Species_Name,Region,Breeding_Season,Fishing_Method,Fish_Population,Average_Size(cm),Overfishing_Risk,Water_Temperature(C),Water_Pollution_Level
Salmon,North Atlantic,Summer,Net,8270,71.92,No,24.68,High
Tuna,Pacific Ocean,Monsoon,Line,1860,85.33,No,21.33,High
Cod,Mediterranean Sea,Summer,Line,6390,88.02,No,16.98,Medium
Herring,Pacific Ocean,Monsoon,Trawl,6191,85.46,Yes,28.51,Low
Herring,Indian Ocean,Monsoon,Trawl,6734,48.35,Yes,25.37,Low
Mackerel,Mediterranean Sea,Monsoon,Net,7265,30.03,No,25.25,Medium
Salmon,Pacific Ocean,Summer,Line,1466,45.7,Yes,27.34,Low
Salmon,Pacific Ocean,Summer,Trawl,5426,90.27,No,22.94,Low
Sardine,Mediterranean Sea,Winter,Line,6578,23.19,No,27.23,Medium
Tuna,Pacific Ocean,Summer,Trawl,9322,56.2,No,22.47,High
Tuna,Mediterranean Sea,Summer,Line,2685,30.99,No,16.01,High
Salmon,Pacific Ocean,Monsoon,Net,1769,62.32,Yes,21.08,High
Herring,North Atlantic,Summer,Trawl,7949,87.68,No,22.46,Medium
Herring,Mediterranean Sea,Summer,Net,3433,89.23,Yes,25.8,Medium
Tuna,North Atlantic,Monsoon,Line,6311,31.3,Yes,16.6,Low
Herring,North Atlantic,Summer,Line,6051,91.69,No,17.1,High
Sardine,Pacific Ocean,Monsoon,Net,7420,63.27,No,18.96,Medium
Herring,Indian Ocean,Summer,Line,2184,41.52,Yes,19.0,Medium
Shark,North Atlantic,Summer,Trawl,5555,73.74,No,25.98,Medium
Cod,North Atlantic,Winter,Trawl,4385,53.35,No,18.76,Low
Tuna,North Atlantic,Summer,Line,7396,44.02,No,24.5,Medium
Mackerel,Indian Ocean,Monsoon,Line,9666,73.46,Yes,22.41,High
Sardine,Indian Ocean,Summer,Line,3558,32.39,Yes,23.6,Medium
Snapper,North Atlantic,Winter,Line,8849,39.72,Yes,27.57,Medium
Cod,Indian Ocean,Summer,Trawl,3047,49.1,No,21.07,Low
Mackerel,Indian Ocean,Summer,Trawl,3747,32.83,No,26.56,High
Herring,Indian Ocean,Monsoon,Line,1189,46.47,No,21.33,High
Snapper,Mediterranean Sea,Winter,Net,3734,61.43,No,20.31,High
Salmon,North Atlantic,Summer,Net,4005,76.69,Yes,29.38,Medium
Salmon,Indian Ocean,Summer,Trawl,5658,79.05,Yes,17.77,Low
Sardine,Mediterranean Sea,Monsoon,Net,2899,84.05,No,16.36,High
Salmon,Pacific Ocean,Summer,Line,8734,76.98,Yes,26.56,Medium
Snapper,Pacific Ocean,Summer,Net,2267,71.29,Yes,16.02,Low
Snapper,Indian Ocean,Summer,Trawl,2528,31.38,Yes,27.56,High
Cod,North Atlantic,Winter,Line,4556,46.02,Yes,21.56,Low
Tuna,Indian Ocean,Summer,Line,4890,52.99,No,28.73,Low
Shark,Pacific Ocean,Monsoon,Trawl,9838,17.46,No,25.82,Medium
Salmon,North Atlantic,Winter,Net,6393,57.55,No,24.16,Low
Sardine,North Atlantic,Summer,Trawl,9792,49.27,Yes,29.24,Medium
Salmon,Pacific Ocean,Summer,Trawl,9433,82.19,Yes,20.95,High
Cod,Mediterranean Sea,Winter,Net,8513,98.01,No,29.31,High
Snapper,Mediterranean Sea,Summer,Line,3612,60.04,No,17.03,Low
Herring,Indian Ocean,Summer,Net,8041,39.04,Yes,22.26,High
Salmon,North Atlantic,Monsoon,Net,7235,13.91,No,19.05,Medium
Tuna,Indian Ocean,Winter,Line,6486,93.22,No,23.1,Medium
Herring,North Atlantic,Monsoon,Line,8099,92.72,No,17.43,Medium
Cod,Pacific Ocean,Summer,Trawl,1775,32.77,No,27.62,Low
Salmon,North Atlantic,Monsoon,Net,9226,72.59,No,27.7,Low
Herring,North Atlantic,Summer,Line,4152,16.79,No,29.33,Low
Salmon,Pacific Ocean,Winter,Net,2585,24.96,Yes,17.32,Medium
Sardine,Mediterranean Sea,Winter,Net,4943,29.51,No,24.35,Medium
Cod,Pacific Ocean,Winter,Line,8555,36.5,No,22.11,Medium
Shark,North Atlantic,Monsoon,Line,4073,99.62,Yes,20.17,Medium
Snapper,Pacific Ocean,Monsoon,Net,2021,72.72,No,20.27,Low
Mackerel,North Atlantic,Summer,Line,4843,44.58,No,21.19,Low
Snapper,Mediterranean Sea,Winter,Net,8989,76.34,Yes,25.57,Low
Snapper,Mediterranean Sea,Monsoon,Line,7873,92.37,No,23.97,Low
Herring,North Atlantic,Summer,Trawl,6675,96.28,No,21.9,Medium
Cod,Mediterranean Sea,Monsoon,Line,1161,15.21,Yes,16.14,Medium
Salmon,Pacific Ocean,Summer,Net,5297,45.51,Yes,16.17,High
Mackerel,Mediterranean Sea,Monsoon,Line,1995,19.61,No,15.04,High
Herring,Indian Ocean,Monsoon,Net,8629,40.21,Yes,29.52,High
Mackerel,Mediterranean Sea,Monsoon,Line,2016,25.27,No,15.08,Medium
Shark,Indian Ocean,Winter,Net,8869,68.22,Yes,16.55,Low
Sardine,Pacific Ocean,Winter,Net,7439,44.94,Yes,19.72,Low
Cod,Mediterranean Sea,Monsoon,Line,8892,30.65,Yes,27.11,Low
Herring,Mediterranean Sea,Summer,Net,7863,33.93,Yes,29.43,Medium
Snapper,Mediterranean Sea,Summer,Trawl,8916,42.43,Yes,26.85,High
Tuna,Pacific Ocean,Winter,Trawl,9529,33.4,Yes,25.36,Low
Herring,Pacific Ocean,Winter,Line,1878,50.79,No,22.82,High
Tuna,Indian Ocean,Winter,Net,5887,12.91,No,16.3,High
Snapper,North Atlantic,Monsoon,Net,5859,35.18,No,29.37,Medium
Sardine,Pacific Ocean,Summer,Net,7331,47.01,Yes,26.38,Medium
Cod,Mediterranean Sea,Winter,Line,9571,64.25,No,24.58,Low
