Entity,Code,Year,"Meat, buffalo | 00000947 || Producing or slaughtered animals | 005320 || animals"
Africa,,1961,496000
Africa,,1962,504000
Africa,,1963,511000
Africa,,1964,519000
Africa,,1965,527000
Africa,,1966,535000
Africa,,1967,542000
Africa,,1968,648000
Africa,,1969,700000
Africa,,1970,695000
Africa,,1971,731000
Africa,,1972,751000
Africa,,1973,771000
Africa,,1974,790000
Africa,,1975,809000
Africa,,1976,828000
Africa,,1977,847000
Africa,,1978,890143
Africa,,1979,919661
Africa,,1980,934078
Africa,,1981,956109
Africa,,1982,960000
Africa,,1983,970000
Africa,,1984,1100000
Africa,,1985,1010000
Africa,,1986,1020000
Africa,,1987,1025000
Africa,,1988,1035000
Africa,,1989,1070000
Africa,,1990,1215000
Africa,,1991,1103000
Africa,,1992,1125000
Africa,,1993,1147000
Africa,,1994,1280000
Africa,,1995,1375000
Africa,,1996,1370000
Africa,,1997,1450000
Africa,,1998,1520000
Africa,,1999,1580000
Africa,,2000,1640000
Africa,,2001,1073468
Africa,,2002,1156965
Africa,,2003,1048000
Africa,,2004,1068000
Africa,,2005,1115000
Africa,,2006,1132000
Africa,,2007,1167000
Africa,,2008,1182000
Africa,,2009,1228000
Africa,,2010,1262000
Africa,,2011,1271000
Africa,,2012,1205000
Africa,,2013,1170000
Africa,,2014,1149000
Africa,,2015,1179000
Africa,,2016,1089000
Africa,,2017,1077000
Africa,,2018,1096000
Africa,,2019,659000
Africa,,2020,556000
Africa,,2021,504634
Africa (FAO),,1961,496000
Africa (FAO),,1962,504000
Africa (FAO),,1963,511000
Africa (FAO),,1964,519000
Africa (FAO),,1965,527000
Africa (FAO),,1966,535000
Africa (FAO),,1967,542000
Africa (FAO),,1968,648000
Africa (FAO),,1969,700000
Africa (FAO),,1970,695000
Africa (FAO),,1971,731000
Africa (FAO),,1972,751000
Africa (FAO),,1973,771000
Africa (FAO),,1974,790000
Africa (FAO),,1975,809000
Africa (FAO),,1976,828000
Africa (FAO),,1977,847000
Africa (FAO),,1978,890143
Africa (FAO),,1979,919661
Africa (FAO),,1980,934078
Africa (FAO),,1981,956109
Africa (FAO),,1982,960000
Africa (FAO),,1983,970000
Africa (FAO),,1984,1100000
Africa (FAO),,1985,1010000
Africa (FAO),,1986,1020000
Africa (FAO),,1987,1025000
Africa (FAO),,1988,1035000
Africa (FAO),,1989,1070000
Africa (FAO),,1990,1215000
Africa (FAO),,1991,1103000
Africa (FAO),,1992,1125000
Africa (FAO),,1993,1147000
Africa (FAO),,1994,1280000
Africa (FAO),,1995,1375000
Africa (FAO),,1996,1370000
Africa (FAO),,1997,1450000
Africa (FAO),,1998,1520000
Africa (FAO),,1999,1580000
Africa (FAO),,2000,1640000
Africa (FAO),,2001,1073468
Africa (FAO),,2002,1156965
Africa (FAO),,2003,1048000
Africa (FAO),,2004,1068000
Africa (FAO),,2005,1115000
Africa (FAO),,2006,1132000
Africa (FAO),,2007,1167000
Africa (FAO),,2008,1182000
Africa (FAO),,2009,1228000
Africa (FAO),,2010,1262000
Africa (FAO),,2011,1271000
Africa (FAO),,2012,1205000
Africa (FAO),,2013,1170000
Africa (FAO),,2014,1149000
Africa (FAO),,2015,1179000
Africa (FAO),,2016,1089000
Africa (FAO),,2017,1077000
Africa (FAO),,2018,1096000
Africa (FAO),,2019,659000
Africa (FAO),,2020,556000
Africa (FAO),,2021,504634
Americas (FAO),,2011,8000
Americas (FAO),,2012,9000
Americas (FAO),,2013,10500
Americas (FAO),,2014,14486
Americas (FAO),,2015,19599
Americas (FAO),,2016,22918
Americas (FAO),,2017,26163
Americas (FAO),,2018,85074
Americas (FAO),,2019,114971
Americas (FAO),,2020,111185
Americas (FAO),,2021,115779
Asia,,1961,7167365
Asia,,1962,7375485
Asia,,1963,7515959
Asia,,1964,7803869
Asia,,1965,7961716
Asia,,1966,8071256
Asia,,1967,8296597
Asia,,1968,8531491
Asia,,1969,8655182
Asia,,1970,8885452
Asia,,1971,9140355
Asia,,1972,9297664
Asia,,1973,9625230
Asia,,1974,9894633
