Entity,Code,Year,"Meat, duck | 00001069 || Producing or slaughtered animals | 005321 || animals"
Africa,,1961,8221000
Africa,,1962,8411000
Africa,,1963,8587000
Africa,,1964,8783000
Africa,,1965,8860000
Africa,,1966,9030000
Africa,,1967,9704000
Africa,,1968,9781000
Africa,,1969,10068000
Africa,,1970,10440000
Africa,,1971,10566000
Africa,,1972,10827000
Africa,,1973,10789000
Africa,,1974,10686000
Africa,,1975,10796000
Africa,,1976,11011000
Africa,,1977,11161000
Africa,,1978,11587000
Africa,,1979,11731000
Africa,,1980,10895000
Africa,,1981,10898000
Africa,,1982,13082000
Africa,,1983,14774000
Africa,,1984,15619000
Africa,,1985,17061000
Africa,,1986,17951000
Africa,,1987,17639000
Africa,,1988,18307000
Africa,,1989,18564000
Africa,,1990,19451000
Africa,,1991,19982000
Africa,,1992,20155000
Africa,,1993,20602000
Africa,,1994,20803000
Africa,,1995,21655000
Africa,,1996,22429000
Africa,,1997,23584000
Africa,,1998,25128000
Africa,,1999,24484000
Africa,,2000,25620000
Africa,,2001,26140000
Africa,,2002,26406000
Africa,,2003,26806000
Africa,,2004,28520000
Africa,,2005,30390000
Africa,,2006,32236000
Africa,,2007,32763000
Africa,,2008,34539000
Africa,,2009,35037000
Africa,,2010,37019000
Africa,,2011,35861000
Africa,,2012,38613000
Africa,,2013,42354000
Africa,,2014,44671000
Africa,,2015,45500000
Africa,,2016,43809000
Africa,,2017,44047000
Africa,,2018,54089000
Africa,,2019,69166000
Africa,,2020,46143000
Africa,,2021,50030000
Africa (FAO),,1961,8221000
Africa (FAO),,1962,8411000
Africa (FAO),,1963,8587000
Africa (FAO),,1964,8783000
Africa (FAO),,1965,8860000
Africa (FAO),,1966,9030000
Africa (FAO),,1967,9704000
Africa (FAO),,1968,9781000
Africa (FAO),,1969,10068000
Africa (FAO),,1970,10440000
Africa (FAO),,1971,10566000
Africa (FAO),,1972,10827000
Africa (FAO),,1973,10789000
Africa (FAO),,1974,10685000
Africa (FAO),,1975,10796000
Africa (FAO),,1976,11011000
Africa (FAO),,1977,11161000
