Entity,Code,Year,Midpoint,Upper bound,Lower bound
Afghanistan,AFG,2015,372142.88,714285.75,30000
Afghanistan,AFG,2016,372142.88,714285.75,30000
Afghanistan,AFG,2017,372142.88,714285.75,30000
Africa,,2015,3285183500,4960220000,1610147000
Africa,,2016,3594157300,5411768300,1776546400
Africa,,2017,3737767700,5608886000,1866649700
Albania,ALB,2015,3177688.2,4514476.5,1840900
Albania,ALB,2016,8830238,11190476,6470000
Albania,ALB,2017,10738572,13357143,8120000
Algeria,DZA,2015,1108457.4,1297532.4,919382.3
Algeria,DZA,2016,1109227.9,1302352.9,916102.94
Algeria,DZA,2017,1109227.9,1302352.9,916102.94
American Samoa,ASM,2015,52500,80000,25000
American Samoa,ASM,2016,52500,80000,25000
American Samoa,ASM,2017,52500,80000,25000
Angola,AGO,2015,2289000,3488000,1090000
Angola,AGO,2016,1714125,2612000,816250
Angola,AGO,2017,3409875,5196000,1623750
Antigua and Barbuda,ATG,2016,26250,40000,12500
Antigua and Barbuda,ATG,2017,26250,40000,12500
Argentina,ARG,2015,3816328,7251745,380911
Argentina,ARG,2016,3720994.5,7064399,377590
Argentina,ARG,2017,3590552.2,6820507,360597.5
Armenia,ARM,2015,3278333.5,5366667,1190000
Armenia,ARM,2016,3278333.5,5366667,1190000
Armenia,ARM,2017,2358333.5,3833333.5,883333.3
Asia,,2015,79218205000,121866090000,36570313000
Asia,,2016,77568800000,119103275000,36034330000
Asia,,2017,82131034000,125777625000,38484443000
Australia,AUS,2015,16794786,25972220,7617352.5
Australia,AUS,2016,17900342,27374488,8426196
Australia,AUS,2017,18296840,28300726,8292953.5
Austria,AUT,2015,4324995,7853523.5,796466.6
Austria,AUT,2016,4274948.5,7813790.5,736106.7
Austria,AUT,2017,4634533.5,8441667,827400
Azerbaijan,AZE,2015,1139342.8,2062285.6,216400
Azerbaijan,AZE,2016,1226383.2,2211333.2,241433.34
Azerbaijan,AZE,2017,1278357.1,2297047.5,259666.69
Bahamas,BHS,2016,2625,4000.0002,1250
Bahamas,BHS,2017,2625,4000.0002,1250
Bahrain,BHR,2015,5833.3335,6666.667,5000
Bahrain,BHR,2016,39900,45600,34200
Bangladesh,BGD,2015,3352401000,5278596000,1426205800
Bangladesh,BGD,2016,3560559600,5578590700,1542528600
Bangladesh,BGD,2017,3728610800,5862439400,1594782000
Barbados,BRB,2015,52500,80000,25000
Barbados,BRB,2016,65625,100000,31250
Barbados,BRB,2017,65625,100000,31250
Belarus,BLR,2015,13348868,21953896,4743840
Belarus,BLR,2016,15981373,26536380,5426366.5
Belarus,BLR,2017,15244178,25066716,5421640
Belgium,BEL,2015,124047.62,238095.23,10000
Belize,BLZ,2015,131250,200000,62500
Belize,BLZ,2016,144375,220000,68750
Belize,BLZ,2017,157500,240000,75000
Benin,BEN,2015,2787375,4234000,1340750
Benin,BEN,2016,6955844,10498920,3412768.2
Benin,BEN,2017,9622062,14606441,4637683.5
Bhutan,BTN,2015,261311.05,449619.06,73003.03
Bhutan,BTN,2016,319180.94,544095.2,94266.664
Bhutan,BTN,2017,377329.66,639238.1,115421.21
Bolivia,BOL,2015,5829110.5,10299381,1358840
Bolivia,BOL,2016,6254774,10979048,1530499.9
Bolivia,BOL,2017,6667321.5,11657143,1677500
Bosnia and Herzegovina,BIH,2015,9277280,17164260,1390300
Bosnia and Herzegovina,BIH,2016,9652831,17931312,1374350
Bosnia and Herzegovina,BIH,2017,8369799,15559298,1180300
Brazil,BRA,2015,754725900,1163563500,345888260
Brazil,BRA,2016,811242600,1250295200,372190000
Brazil,BRA,2017,900311940,1383323900,417300000
Brunei,BRN,2015,175460.83,303160,47761.668
Brunei,BRN,2016,213952.5,369580,58325
Brunei,BRN,2017,365458.3,632666.6,98250
Bulgaria,BGR,2015,16233479,28622946,3844011.2
Bulgaria,BGR,2016,19487512,34862024,4113001.2
Bulgaria,BGR,2017,18308956,31809266,4808647
Burkina Faso,BFA,2015,512083.3,780000,244166.66
Burkina Faso,BFA,2016,748750,1140000,357500.03
Burkina Faso,BFA,2017,748750,1140000,357500.03
Burundi,BDI,2015,3395500,5172000,1619000.1
Burundi,BDI,2016,3400833.2,5180000,1621666.6
Burundi,BDI,2017,3578125.2,5450000.5,1706250
Cambodia,KHM,2015,429702500,579323300,280081660
Cambodia,KHM,2016,481705470,663668700,299742300
Cambodia,KHM,2017,586030400,804356600,367704220
Cameroon,CMR,2015,1799000,2740000,858000.06
Cameroon,CMR,2016,4515258,6847999.5,2182516.5
Cameroon,CMR,2017,4515258,6847999.5,2182516.5
Canada,CAN,2015,25878132,37156180,14600086
Canada,CAN,2016,24908426,35131132,14685719
Canada,CAN,2017,26485040,38461988,14508093
Central African Republic,CAF,2015,275833.34,420000.03,131666.66
Central African Republic,CAF,2016,275833.34,420000.03,131666.66
Central African Republic,CAF,2017,275833.34,420000.03,131666.66
Chad,TCD,2015,6583.334,10000.001,3166.6667
Chad,TCD,2016,194458.33,296000,92916.664
Chad,TCD,2017,725000,1100000,350000
Channel Islands,OWID_CIS,2016,964.2857,1428.5714,500.00003
Channel Islands,OWID_CIS,2017,964.2857,1428.5714,500.00003
Chile,CHL,2015,355261100,619423360,91098800
Chile,CHL,2016,315092100,550158100,80026100
Chile,CHL,2017,312345400,536474620,88216220
China,CHN,2015,51192070000,78209290000,24174854000
China,CHN,2016,48780878000,74363990000,23197774000
China,CHN,2017,49960415000,76074340000,23846494000
Colombia,COL,2015,207724050,317936000,97512104
Colombia,COL,2016,212494880,325134270,99855496
Colombia,COL,2017,216568370,331295230,101841496
Congo,COG,2015,396458.38,604000.06,188916.67
Congo,COG,2016,459458.34,700000,218916.67
Congo,COG,2017,536916.7,818000,255833.33
Cook Islands,COK,2015,787.5,1200,375
Cook Islands,COK,2016,2625,4000.0002,1250
Cook Islands,COK,2017,2625,4000.0002,1250
Costa Rica,CRI,2015,48608292,74283430,22933150
Costa Rica,CRI,2016,43357856,66285710,20430000
Costa Rica,CRI,2017,43357856,66285710,20430000
Cote d'Ivoire,CIV,2015,6283750,9260000,3307500
Cote d'Ivoire,CIV,2016,9819500,14638000,5001000
Cote d'Ivoire,CIV,2017,10254167,15300000,5208333.5
Croatia,HRV,2015,28623324,36220420,21026226
Croatia,HRV,2016,29335420,36169310,22501528
Croatia,HRV,2017,31063010,37497620,24628400
Cuba,CUB,2015,44311170,71986670,16635666
Cuba,CUB,2016,40334860,65438668,15231050
Cuba,CUB,2017,42558160,69181336,15934983
Cyprus,CYP,2015,14647808,16695477,12600140
Cyprus,CYP,2016,18209076,20778690,15639461
Cyprus,CYP,2017,19614004,22338810,16889200
Czechia,CZE,2015,23473658,39300384,7646933
Czechia,CZE,2016,24501200,41009332,7993067
Czechia,CZE,2017,25114242,42065616,8162866.5
Democratic Republic of Congo,COD,2015,7521499.5,11460999,3582000
Democratic Republic of Congo,COD,2016,8278249.5,12613999,3942500
Democratic Republic of Congo,COD,2017,8380625,12770000,3991250
Denmark,DNK,2015,80332730,154145570,6519887
Denmark,DNK,2016,77380130,148390020,6370234
Denmark,DNK,2017,82120230,157537580,6702884
Dominica,DMA,2015,13125,20000,6250
Dominica,DMA,2016,13125,20000,6250
Dominica,DMA,2017,13125,20000,6250
Dominican Republic,DOM,2015,3092500,4740000,1444999.9
Dominican Republic,DOM,2016,3292500,5040000,1545000.1
Dominican Republic,DOM,2017,3579167,5470000.5,1688333.2
East Timor,TLS,2015,110625,170000,51250
East Timor,TLS,2016,136875,210000,63750
East Timor,TLS,2017,173625,266000,81250
Ecuador,ECU,2015,58339290,93028580,23650000
Ecuador,ECU,2016,74492140,119421176,29563112
Ecuador,ECU,2017,75503010,120909760,30096250
Egypt,EGY,2015,2413428200,3651549400,1175307300
Egypt,EGY,2016,2661198800,4011357700,1311039700
Egypt,EGY,2017,2765013000,4153407200,1376618600
El Salvador,SLV,2015,14802375,22556000,7048750
El Salvador,SLV,2016,17878876,27244000,8513750
El Salvador,SLV,2017,17902500,27280000,8525000
Equatorial Guinea,GNQ,2015,18416.666,28000,8833.333
Equatorial Guinea,GNQ,2016,18416.666,28000,8833.333
Equatorial Guinea,GNQ,2017,18416.666,28000,8833.333
Estonia,EST,2015,1386852.4,2661904.8,111800
Estonia,EST,2016,1728588,3307580,149595.98
Estonia,EST,2017,1742149.5,3343857,140442
Eswatini,SWZ,2015,162500,200000,125000
Eswatini,SWZ,2016,162500,200000,125000
Eswatini,SWZ,2017,162500,200000,125000
Ethiopia,ETH,2015,237490.48,362380.97,112600
Ethiopia,ETH,2016,249230.95,380761.9,117700
Ethiopia,ETH,2017,330461.9,505523.8,155400.02
Europe,,2015,1772708000,2831017700,714398200
Europe,,2016,1879684400,3005105000,754263740
Europe,,2017,1890231200,2994795000,785667300
European Union (27),,2015,962490100,1494101600,430878560
European Union (27),,2016,991098500,1522139600,460057380
European Union (27),,2017,1025714750,1564487000,486942430
Faroe Islands,FRO,2015,15929358,22302158,9556557
Faroe Islands,FRO,2016,16462972,23049254,9876690
Faroe Islands,FRO,2017,17154694,24017710,10291677
Fiji,FJI,2015,446250,680000,212500
Fiji,FJI,2016,472500,720000,225000
Fiji,FJI,2017,532875,812000,253750
Finland,FIN,2015,34388480,66004760,2772200
Finland,FIN,2016,33185218,63695236,2675200
Finland,FIN,2017,33690344,64664764,2715920
France,FRA,2015,105750720,193625870,17875570
France,FRA,2016,78934760,142963950,14905570
France,FRA,2017,78934760,142963950,14905570
Gabon,GAB,2015,111666.67,170000,53333.336
Gabon,GAB,2016,111666.67,170000,53333.336
Gabon,GAB,2017,111666.67,170000,53333.336
Gambia,GMB,2015,31500,48000,15000
Gambia,GMB,2016,31500,48000,15000
Gambia,GMB,2017,31500,48000,15000
Georgia,GEO,2015,812142.9,1447619.1,176666.67
Georgia,GEO,2016,812142.9,1447619.1,176666.67
Georgia,GEO,2017,886571.4,1590476.1,182666.66
Germany,DEU,2015,28483616,52580764,4386467
Germany,DEU,2016,29424364,54180860,4667866.5
Germany,DEU,2017,28194078,52011624,4376533.5
Ghana,GHA,2015,114995830,175200000,54791668
Ghana,GHA,2016,135212500,206000000,64425004
Ghana,GHA,2017,144450000,220000000,68900000
Greece,GRC,2015,221443890,254074850,188812930
Greece,GRC,2016,244811740,280071780,209551730
Greece,GRC,2017,268026500,307082620,228970380
Guadeloupe,GLP,2015,25500,31000,20000
Guadeloupe,GLP,2016,24249.998,26999.998,21499.998
Guadeloupe,GLP,2017,22250,25000.002,19500
Guam,GUM,2015,273750,400000,147500
Guam,GUM,2016,273750,400000,147500
Guam,GUM,2017,273750,400000,147500
Guatemala,GTM,2015,35442300,54008000,16876600
Guatemala,GTM,2016,22406366,34178950,10633780
Guatemala,GTM,2017,25976488,39709524,12243450
Guinea,GIN,2015,558333.4,850000,266666.7
Guinea,GIN,2016,558333.4,850000,266666.7
Guinea,GIN,2017,558333.4,850000,266666.7
Guinea-Bissau,GNB,2016,26250,40000,12500
Guinea-Bissau,GNB,2017,91875,140000,43750
Guyana,GUY,2015,511546.66,797320,225773.33
Guyana,GUY,2016,399562.47,627959.94,171164.98
Guyana,GUY,2017,667632.5,1052180,283085
Haiti,HTI,2015,3027500,4620000,1435000
Haiti,HTI,2016,3198333,4879999.5,1516666.6
Haiti,HTI,2017,3487083,5319999.5,1654166.6
High-income countries,,2015,3288353000,4946691000,1630014800
High-income countries,,2016,3229386800,4859984400,1598789200
High-income countries,,2017,3258064400,4863748000,1652380400
Honduras,HND,2015,79012500,120400000,37625000
Honduras,HND,2016,79012500,120400000,37625000
Honduras,HND,2017,78750000,120000000,37500000
Hong Kong,HKG,2015,3024750,4666666.5,1382833.4
Hong Kong,HKG,2016,3388991.5,5222000,1555983.2
Hong Kong,HKG,2017,3410116.8,5282000,1538233.4
Hungary,HUN,2015,21831400,35762000,7900800
Hungary,HUN,2016,19406204,31665946,7146463
Hungary,HUN,2017,21787940,35596220,7979660
Iceland,ISL,2015,2477897.5,4408114.5,547680.75
Iceland,ISL,2016,6989010,12540280,1437740.1
Iceland,ISL,2017,13718352,25169640,2267065
India,IND,2015,7580567000,12944733000,2216401200
India,IND,2016,7883982300,13314477000,2453487400
India,IND,2017,8428985300,14245214000,2612757000
Indonesia,IDN,2015,6392384000,9300174000,3484594200
Indonesia,IDN,2016,6802143700,9891835000,3712452600
Indonesia,IDN,2017,8920279000,12814750000,5025808000
Iran,IRN,2015,651993150,1172784100,131202136
Iran,IRN,2016,736339800,1327400700,145278860
Iran,IRN,2017,739133250,1334937700,143328800
Iraq,IRQ,2015,30083600,50139332,10027866
Iraq,IRQ,2016,35402000,59003332,11800667
Iraq,IRQ,2017,38896800,64827996,12965600
Ireland,IRL,2015,4584382,7453029.5,1715734
Ireland,IRL,2016,4970517,7867381,2073653.5
Ireland,IRL,2017,5230192,8156215.5,2304168.8
Israel,ISR,2015,39137416,58472544,19802284
Israel,ISR,2016,35842956,53029924,18655986
Israel,ISR,2017,35702956,52545836,18860076
Italy,ITA,2015,112219944,188532320,35907564
Italy,ITA,2016,126941540,212762980,41120100
Italy,ITA,2017,126942740,212764980,41120504
Jamaica,JAM,2015,1726250,2630000,822500
Jamaica,JAM,2016,2457375,3744000,1170750
Jamaica,JAM,2017,3195875,4862000,1529750
Japan,JPN,2015,348055900,430474140,265637660
Japan,JPN,2016,349885120,429469250,270301020
Japan,JPN,2017,352413000,437489280,267336740
Jordan,JOR,2015,1468125.1,2340000.2,596250
Jordan,JOR,2016,1468125.1,2340000.2,596250
Jordan,JOR,2017,1468125.1,2340000.2,596250
Kazakhstan,KAZ,2015,1047066.75,1550666.8,543466.7
Kazakhstan,KAZ,2016,2966283.5,4482000.5,1450566.8
Kazakhstan,KAZ,2017,701566.7,1167333.4,235800
Kenya,KEN,2015,43017650,65818480,20216816
Kenya,KEN,2016,36218800,55911904,16525700
Kenya,KEN,2017,29931086,46204856,13657316
Kiribati,KIR,2015,6000.0005,8000.0005,4000.0002
Kiribati,KIR,2016,6000.0005,8000.0005,4000.0002
Kiribati,KIR,2017,6000.0005,8000.0005,4000.0002
Kuwait,KWT,2015,682500,1039999.94,325000
Kuwait,KWT,2016,492411.7,751373.4,233450
Kuwait,KWT,2017,463208.3,706666.6,219750
Kyrgyzstan,KGZ,2015,1828092,3275857.2,380326.7
Kyrgyzstan,KGZ,2016,3450761.5,6173543,727980
Kyrgyzstan,KGZ,2017,3740714.2,6704762,776666.7
Laos,LAO,2015,227252200,345266660,109237730
Laos,LAO,2016,207553950,315466700,99641220
Laos,LAO,2017,215803950,327966700,103641220
Latvia,LVA,2015,1114641.2,1919701.9,309580.5
Latvia,LVA,2016,990603.6,1684185.8,297021.5
Latvia,LVA,2017,995022.2,1707914.4,282130
Lebanon,LBN,2015,2768422.5,5298095,238750
Lebanon,LBN,2016,2520327.2,4821904.5,218750
Lebanon,LBN,2017,2520327.2,4821904.5,218750
Lesotho,LSO,2015,2482152.2,4763904.5,200400.02
Lesotho,LSO,2016,2603719,4997238,210200.02
Lesotho,LSO,2017,3223957,6187714,260200
Liberia,LBR,2015,78750,120000,37500
Liberia,LBR,2016,78750,120000,37500
Liberia,LBR,2017,91875,140000,43750
Libya,LBY,2015,26250,40000,12500
Libya,LBY,2016,26250,40000,12500
Libya,LBY,2017,26250,40000,12500
Lithuania,LTU,2015,5654399.5,9517717,1791081.6
Lithuania,LTU,2016,5553542,9377493,1729591.2
Lithuania,LTU,2017,4427261,7347756,1506766
Low-income countries,,2015,330545400,501746560,159344290
Low-income countries,,2016,374718900,569272000,180165840
Low-income countries,,2017,388071420,589714200,186428700
Lower-middle-income countries,,2015,28328313000,44358517000,12298109000
Lower-middle-income countries,,2016,29561586000,46097910000,13025257000
Lower-middle-income countries,,2017,32989186000,51110240000,14868133000
Madagascar,MDG,2015,6322500,10080000,2565000
Madagascar,MDG,2016,7560000,12000000,3120000
Madagascar,MDG,2017,9147000,14540000,3754000
Malawi,MWI,2015,4245593,6032285.5,2458900
Malawi,MWI,2016,4876113.5,6758303.5,2993923.2
Malawi,MWI,2017,8266233.5,11762667,4769800
Malaysia,MYS,2015,176454660,278188670,74720620
Malaysia,MYS,2016,152830320,237539920,68120730
Malaysia,MYS,2017,168133870,269505180,66762564
Mali,MLI,2015,5731666.5,8720000,2743333.2
Mali,MLI,2016,10331125,15726000,4936249.5
Mali,MLI,2017,9641334,14676001,4606667
Malta,MLT,2015,6877000,7857500,5896500
Malta,MLT,2016,6565874,7501083.5,5630665
Malta,MLT,2017,7303333,8342425.5,6264240.5
Martinique,MTQ,2015,51850,60100,43600
Martinique,MTQ,2016,51750,60000,43500
Martinique,MTQ,2017,41312.5,42000,40625
Mauritius,MUS,2015,1001000,1049500,952500
Mauritius,MUS,2016,1386912.5,1464700,1309125.1
Mauritius,MUS,2017,1307325,1322500,1292150
Mayotte,MYT,2015,100000,100000,100000
Mayotte,MYT,2016,25000,25000,25000
Mexico,MEX,2015,157475680,247804240,67147130
Mexico,MEX,2016,182355680,286677250,78034100
Mexico,MEX,2017,175919420,276925340,74913490
Moldova,MDA,2015,15278334,24626668,5930000
Moldova,MDA,2016,20911352,33705532,8117173
Moldova,MDA,2017,21595708,34668068,8523347
Montenegro,MNE,2015,1550169,2735238,365100
Montenegro,MNE,2016,1835923.9,3246547.8,425300
Montenegro,MNE,2017,2019152.4,3636904.8,401400.03
Morocco,MAR,2015,1180345.2,1728690.5,632000
Morocco,MAR,2016,1205845.2,1811190.5,600500
Morocco,MAR,2017,1289170.2,1957940.5,620400
