Entity,Code,Year,"Meat, goose and guinea fowl | 00001073 || Producing or slaughtered animals | 005321 || animals"
Africa,,1961,4494000
Africa,,1962,4665000
Africa,,1963,4786000
Africa,,1964,4906000
Africa,,1965,5027000
Africa,,1966,5188000
Africa,,1967,5289000
Africa,,1968,5380000
Africa,,1969,5461000
Africa,,1970,5652000
Africa,,1971,5743000
Africa,,1972,5844000
Africa,,1973,5945000
Africa,,1974,5766000
Africa,,1975,6067000
Africa,,1976,5960000
Africa,,1977,5987000
Africa,,1978,6294000
Africa,,1979,6333000
Africa,,1980,5654000
Africa,,1981,5676000
Africa,,1982,6891000
Africa,,1983,7972000
Africa,,1984,8424000
Africa,,1985,9224000
Africa,,1986,9474000
Africa,,1987,9014000
Africa,,1988,9404000
Africa,,1989,9364000
Africa,,1990,9745000
Africa,,1991,11118000
Africa,,1992,12733000
Africa,,1993,14815000
Africa,,1994,10442000
Africa,,1995,10587000
Africa,,1996,10871000
Africa,,1997,11116000
Africa,,1998,11290000
Africa,,1999,11495000
Africa,,2000,11794000
Africa,,2001,11747000
Africa,,2002,11747000
Africa,,2003,11847000
Africa,,2004,11848000
Africa,,2005,11948000
Africa,,2006,11948000
Africa,,2007,11954000
Africa,,2008,11957000
Africa,,2009,12045000
Africa,,2010,12122000
Africa,,2011,12135000
Africa,,2012,12213000
Africa,,2013,12987000
Africa,,2014,13519000
Africa,,2015,14076000
Africa,,2016,13506000
Africa,,2017,13643000
Africa,,2018,14377000
Africa,,2019,9400000
Africa,,2020,9303000
Africa,,2021,9766000
Africa (FAO),,1961,4494000
Africa (FAO),,1962,4665000
Africa (FAO),,1963,4786000
Africa (FAO),,1964,4906000
Africa (FAO),,1965,5027000
Africa (FAO),,1966,5188000
Africa (FAO),,1967,5289000
Africa (FAO),,1968,5380000
Africa (FAO),,1969,5461000
Africa (FAO),,1970,5652000
Africa (FAO),,1971,5743000
Africa (FAO),,1972,5844000
Africa (FAO),,1973,5945000
Africa (FAO),,1974,5766000
Africa (FAO),,1975,6067000
Africa (FAO),,1976,5960000
Africa (FAO),,1977,5987000
Africa (FAO),,1978,6294000
Africa (FAO),,1979,6333000
Africa (FAO),,1980,5654000
Africa (FAO),,1981,5676000
Africa (FAO),,1982,6891000
Africa (FAO),,1983,7972000
Africa (FAO),,1984,8424000
Africa (FAO),,1985,9224000
Africa (FAO),,1986,9474000
Africa (FAO),,1987,9014000
Africa (FAO),,1988,9404000
Africa (FAO),,1989,9364000
Africa (FAO),,1990,9745000
Africa (FAO),,1991,11118000
Africa (FAO),,1992,12733000
Africa (FAO),,1993,14815000
Africa (FAO),,1994,10442000
Africa (FAO),,1995,10587000
Africa (FAO),,1996,10871000
Africa (FAO),,1997,11116000
Africa (FAO),,1998,11290000
Africa (FAO),,1999,11495000
Africa (FAO),,2000,11794000
Africa (FAO),,2001,11747000
Africa (FAO),,2002,11747000
Africa (FAO),,2003,11847000
