Entity,Code,Year,"Meat, rabbit | 00001141 || Producing or slaughtered animals | 005321 || animals"
Africa,,1961,10083000
Africa,,1962,10135000
Africa,,1963,10191000
Africa,,1964,10322000
Africa,,1965,11559000
Africa,,1966,11814000
Africa,,1967,11865000
Africa,,1968,11941000
Africa,,1969,12021000
Africa,,1970,12084000
Africa,,1971,13187000
Africa,,1972,13260000
Africa,,1973,13347000
Africa,,1974,13624000
Africa,,1975,13980000
Africa,,1976,14371000
Africa,,1977,14689000
Africa,,1978,16673000
Africa,,1979,19029000
Africa,,1980,21744000
Africa,,1981,27016000
Africa,,1982,31674000
Africa,,1983,34962000
Africa,,1984,40392000
Africa,,1985,47012000
Africa,,1986,48721000
Africa,,1987,50571000
Africa,,1988,52268000
Africa,,1989,53954000
Africa,,1990,55164000
Africa,,1991,58187000
Africa,,1992,59741000
Africa,,1993,61361000
Africa,,1994,61781000
Africa,,1995,61874000
Africa,,1996,62954000
Africa,,1997,62472000
Africa,,1998,62003000
Africa,,1999,63817000
Africa,,2000,63881000
Africa,,2001,63666000
Africa,,2002,64021000
Africa,,2003,67081000
Africa,,2004,67956000
Africa,,2005,69422000
Africa,,2006,65940000
Africa,,2007,65908000
Africa,,2008,68404000
Africa,,2009,67772000
Africa,,2010,70170000
Africa,,2011,71718000
Africa,,2012,72744000
Africa,,2013,78275000
Africa,,2014,81340000
Africa,,2015,82568000
Africa,,2016,78711000
Africa,,2017,78943000
Africa,,2018,82979000
Africa,,2019,83873000
Africa,,2020,81388000
Africa,,2021,82083000
Africa (FAO),,1961,10083000
Africa (FAO),,1962,10135000
Africa (FAO),,1963,10191000
Africa (FAO),,1964,10322000
Africa (FAO),,1965,11559000
Africa (FAO),,1966,11814000
Africa (FAO),,1967,11865000
Africa (FAO),,1968,11941000
Africa (FAO),,1969,12021000
Africa (FAO),,1970,12084000
Africa (FAO),,1971,13187000
Africa (FAO),,1972,13260000
Africa (FAO),,1973,13347000
Africa (FAO),,1974,13624000
Africa (FAO),,1975,13980000
Africa (FAO),,1976,14371000
Africa (FAO),,1977,14689000
Africa (FAO),,1978,16673000
Africa (FAO),,1979,19029000
Africa (FAO),,1980,21744000
Africa (FAO),,1981,27016000
Africa (FAO),,1982,31674000
Africa (FAO),,1983,34962000
Africa (FAO),,1984,40392000
Africa (FAO),,1985,47012000
Africa (FAO),,1986,48721000
Africa (FAO),,1987,50571000
Africa (FAO),,1988,52268000
Africa (FAO),,1989,53954000
Africa (FAO),,1990,55164000
Africa (FAO),,1991,58187000
Africa (FAO),,1992,59740000
Africa (FAO),,1993,61360000
Africa (FAO),,1994,61781000
Africa (FAO),,1995,61873000
Africa (FAO),,1996,62954000
Africa (FAO),,1997,62472000
Africa (FAO),,1998,62002000
Africa (FAO),,1999,63817000
Africa (FAO),,2000,63881000
Africa (FAO),,2001,63666000
Africa (FAO),,2002,64021000
Africa (FAO),,2003,67081000
Africa (FAO),,2004,67956000
Africa (FAO),,2005,69422000
Africa (FAO),,2006,65940000
Africa (FAO),,2007,65908000
Africa (FAO),,2008,68404000
Africa (FAO),,2009,67772000
Africa (FAO),,2010,70170000
Africa (FAO),,2011,71718000
Africa (FAO),,2012,72744000
Africa (FAO),,2013,78275000
Africa (FAO),,2014,81340000
