Entity,Code,Year,"Meat, turkey | 00001080 || Producing or slaughtered animals | 005321 || animals"
Africa,,1961,1425000
Africa,,1962,1510000
Africa,,1963,1585000
Africa,,1964,1670000
Africa,,1965,1756000
Africa,,1966,1896000
Africa,,1967,1917000
Africa,,1968,2072000
Africa,,1969,2233000
Africa,,1970,2383000
Africa,,1971,2536000
Africa,,1972,2689000
Africa,,1973,2842000
Africa,,1974,2575000
Africa,,1975,2727000
Africa,,1976,2591000
Africa,,1977,2595000
Africa,,1978,2956000
Africa,,1979,3045000
Africa,,1980,2646000
Africa,,1981,2800000
Africa,,1982,2750000
Africa,,1983,2754000
Africa,,1984,3030000
Africa,,1985,3693000
Africa,,1986,4032000
Africa,,1987,3857000
Africa,,1988,4210000
Africa,,1989,4652000
Africa,,1990,8368000
Africa,,1991,5213000
Africa,,1992,6631000
Africa,,1993,7185000
Africa,,1994,7947000
Africa,,1995,7312000
Africa,,1996,7727000
Africa,,1997,8523000
Africa,,1998,8608000
Africa,,1999,9117000
Africa,,2000,10980000
Africa,,2001,11466000
Africa,,2002,12290000
Africa,,2003,12712000
Africa,,2004,13945000
Africa,,2005,18200000
Africa,,2006,15825000
Africa,,2007,19240000
Africa,,2008,21474000
Africa,,2009,22760000
Africa,,2010,25480000
Africa,,2011,26501000
Africa,,2012,29994000
Africa,,2013,31189000
Africa,,2014,32928000
Africa,,2015,33946000
Africa,,2016,37226000
Africa,,2017,39600000
Africa,,2018,41030000
Africa,,2019,40437000
Africa,,2020,42415000
Africa,,2021,43944000
Africa (FAO),,1961,1425000
Africa (FAO),,1962,1510000
Africa (FAO),,1963,1585000
Africa (FAO),,1964,1670000
Africa (FAO),,1965,1756000
Africa (FAO),,1966,1896000
Africa (FAO),,1967,1917000
Africa (FAO),,1968,2072000
Africa (FAO),,1969,2233000
Africa (FAO),,1970,2383000
Africa (FAO),,1971,2536000
Africa (FAO),,1972,2689000
Africa (FAO),,1973,2842000
Africa (FAO),,1974,2575000
Africa (FAO),,1975,2727000
Africa (FAO),,1976,2590000
Africa (FAO),,1977,2595000
Africa (FAO),,1978,2956000
Africa (FAO),,1979,3045000
Africa (FAO),,1980,2646000
Africa (FAO),,1981,2800000
Africa (FAO),,1982,2750000
Africa (FAO),,1983,2754000
Africa (FAO),,1984,3030000
Africa (FAO),,1985,3693000
Africa (FAO),,1986,4032000
Africa (FAO),,1987,3857000
Africa (FAO),,1988,4210000
Africa (FAO),,1989,4652000
Africa (FAO),,1990,8368000
Africa (FAO),,1991,5213000
Africa (FAO),,1992,6631000
Africa (FAO),,1993,7185000
Africa (FAO),,1994,7947000
Africa (FAO),,1995,7312000
Africa (FAO),,1996,7727000
Africa (FAO),,1997,8523000
Africa (FAO),,1998,8608000
