Entity,Code,Year,Midpoint,Upper bound,Lower bound
Afghanistan,AFG,2016,18375494,26390736,10360251
Africa,,2016,146756700000,236392840000,57120563000
Albania,ALB,2016,97917600,149885800,45949416
Algeria,DZA,2016,2929222700,5118408000,740037100
American Samoa,ASM,2016,1223115,1855699.2,590530.6
Angola,AGO,2016,12544348000,22669849000,2418847700
Anguilla,AIA,2016,7934127.5,11394932,4473323
Antigua and Barbuda,ATG,2016,26407688,38198036,14617340
Argentina,ARG,2016,6086819000,10162271000,2011366500
Armenia,ARM,2016,5656013,7811870.5,3500155.2
Aruba,ABW,2016,1893015.5,2720799.5,1065231.5
Asia,,2016,755808530000,1147489400000,364127700000
Australia,AUS,2016,1576521000,2339112700,813929150
Austria,AUT,2016,6339545,9104803,3574286.8
Azerbaijan,AZE,2016,193341860,227987260,158696430
Bahamas,BHS,2016,15101193,21681364,8521022
Bahrain,BHR,2016,113258660,166444910,60072410
Bangladesh,BGD,2016,26421610000,40344260000,12498961000
Barbados,BRB,2016,29441968,42280804,16603132
Belarus,BLR,2016,14944020,26881368,3006673
Belgium,BEL,2016,143952900,240414190,47491588
Belize,BLZ,2016,9150180000,17461731000,838628600
Benin,BEN,2016,1031280260,1759171000,303389600
Bermuda,BMU,2016,3399135,4897966,1900304
Bhutan,BTN,2016,123209.17,176952.16,69466.19
Bolivia,BOL,2016,126251280,181321100,71181450
Bonaire Sint Eustatius and Saba,BES,2016,1278934.2,1836795.1,721073.5
Bosnia and Herzegovina,BIH,2016,5604525.5,8049174.5,3159876.5
Botswana,BWA,2016,4925387.5,7073827,2776948.2
Brazil,BRA,2016,10580088000,15463093000,5697082000
British Indian Ocean Territory,IOT,2016,153648.75,229919.5,77378
British Virgin Islands,VGB,2016,16417910,23655006,9180814
Brunei,BRN,2016,62792070,91143450,34440692
Bulgaria,BGR,2016,234909340,256612600,213206080
Burkina Faso,BFA,2016,307479000,441599940,173358100
Burundi,BDI,2016,282550660,405791680,159309660
Cambodia,KHM,2016,9544973000,13708414000,5381533000
Cameroon,CMR,2016,2219614200,3271273700,1167954800
Canada,CAN,2016,3337038300,5067283500,1606793500
Cape Verde,CPV,2016,117222080,170065060,64379104
Cayman Islands,CYM,2016,2296936.8,3298842,1295031.4
Central African Republic,CAF,2016,571477800,820751800,322203840
Chad,TCD,2016,1821048000,2615374600,1026721660
Channel Islands,OWID_CIS,2016,7493116.5,9107435,5878798
Chile,CHL,2016,85682364000,119255470000,52109267000
China,CHN,2016,190690030000,267972900000,113407150000
Colombia,COL,2016,1141143300,1617207400,665079230
Comoros,COM,2016,1005087500,1880994700,129180344
Congo,COG,2016,1173293200,1714703400,631883100
Cook Islands,COK,2016,14860030,21904562,7815498
Costa Rica,CRI,2016,116109070,171709220,60508936
Cote d'Ivoire,CIV,2016,967044700,1397917000,536172300
Croatia,HRV,2016,1447022800,2214950000,679095700
Cuba,CUB,2016,275387650,376188100,174587220
Curacao,CUW,2016,10445430,16028482,4862377
Cyprus,CYP,2016,14748694,22049222,7448165
Czechia,CZE,2016,4117813.5,7147373,1088253.9
Democratic Republic of Congo,COD,2016,4192604200,6035858400,2349350000
Denmark,DNK,2016,32162517000,33102866000,31222168000
Djibouti,DJI,2016,24846474,36780852,12912096
Dominica,DMA,2016,5125298.5,7373029,2877567.8
Dominican Republic,DOM,2016,134702020,198908930,70495100
East Timor,TLS,2016,56909532,81748740,32070328
Ecuador,ECU,2016,4338935000,6391448600,2286421500
Egypt,EGY,2016,4752913400,8024312000,1481515300
