Entity,Code,Year,Bees | 00001181 || Stocks | 005114 || Number
Africa (FAO),,1961,6845050
Africa (FAO),,1962,6986195
Africa (FAO),,1963,7291050
Africa (FAO),,1964,7365275
Africa (FAO),,1965,7822375
Africa (FAO),,1966,7950264
Africa (FAO),,1967,7717458
Africa (FAO),,1968,7667631
Africa (FAO),,1969,7874429
Africa (FAO),,1970,8150830
Africa (FAO),,1971,8276850
Africa (FAO),,1972,8391825
Africa (FAO),,1973,8452865
Africa (FAO),,1974,8627907
Africa (FAO),,1975,8894825
Africa (FAO),,1976,8960050
Africa (FAO),,1977,8758450
Africa (FAO),,1978,9066075
Africa (FAO),,1979,9232100
Africa (FAO),,1980,9373150
Africa (FAO),,1981,9707975
Africa (FAO),,1982,10009600
Africa (FAO),,1983,10009500
Africa (FAO),,1984,10507125
Africa (FAO),,1985,10972200
Africa (FAO),,1986,11454325
Africa (FAO),,1987,11786125
Africa (FAO),,1988,12022625
Africa (FAO),,1989,12694622
Africa (FAO),,1990,13185854
Africa (FAO),,1991,13759094
Africa (FAO),,1992,14051600
Africa (FAO),,1993,13739700
Africa (FAO),,1994,14069000
Africa (FAO),,1995,14062337
Africa (FAO),,1996,14395882
Africa (FAO),,1997,14158420
Africa (FAO),,1998,14057474
Africa (FAO),,1999,14429620
Africa (FAO),,2000,15915322
Africa (FAO),,2001,16667411
Africa (FAO),,2002,17453212
Africa (FAO),,2003,16917260
Africa (FAO),,2004,16909640
Africa (FAO),,2005,17358848
Africa (FAO),,2006,17150720
Africa (FAO),,2007,16363017
Africa (FAO),,2008,16339675
Africa (FAO),,2009,15927464
Africa (FAO),,2010,16083587
Africa (FAO),,2011,15922478
Africa (FAO),,2012,16616932
Africa (FAO),,2013,16421472
Africa (FAO),,2014,16801350
Africa (FAO),,2015,16935216
Africa (FAO),,2016,17139852
Africa (FAO),,2017,17704748
Africa (FAO),,2018,18388224
Africa (FAO),,2019,17961952
Africa (FAO),,2020,18138382
Africa (FAO),,2021,18246000
Albania,ALB,1961,95100
Albania,ALB,1962,92800
Albania,ALB,1963,83500
Albania,ALB,1964,96500
Albania,ALB,1965,109800
Albania,ALB,1966,105800
Albania,ALB,1967,98100
Albania,ALB,1968,86000
Albania,ALB,1969,88600
Albania,ALB,1970,99800
Albania,ALB,1971,99800
Albania,ALB,1972,89900
Albania,ALB,1973,90000
Albania,ALB,1974,90000
Albania,ALB,1975,90000
Albania,ALB,1976,90000
Albania,ALB,1977,100000
Albania,ALB,1978,100000
Albania,ALB,1979,100000
Albania,ALB,1980,110000
Albania,ALB,1981,106000
Albania,ALB,1982,100000
Albania,ALB,1983,95000
Albania,ALB,1984,90000
Albania,ALB,1985,81000
Albania,ALB,1986,83000
Albania,ALB,1987,87000
Albania,ALB,1988,82000
Albania,ALB,1989,86000
Albania,ALB,1990,80000
Albania,ALB,1991,72900
Albania,ALB,1992,36200
Albania,ALB,1993,20000
Albania,ALB,1994,26900
Albania,ALB,1995,40000
Albania,ALB,1996,53900
Albania,ALB,1997,57300
Albania,ALB,1998,56500
Albania,ALB,1999,67000
