Entity,Code,Year,Buffalo | 00000946 || Stocks | 005111 || animals
Africa,,1961,1501020
Africa,,1962,1530020
Africa,,1963,1558720
Africa,,1964,1587723
Africa,,1965,1617026
Africa,,1966,1646023
Africa,,1967,1675015
Africa,,1968,1943026
Africa,,1969,1976025
Africa,,1970,2009025
Africa,,1971,2058025
Africa,,1972,2098025
Africa,,1973,2135025
Africa,,1974,2170025
Africa,,1975,2204025
Africa,,1976,2235625
Africa,,1977,2266025
Africa,,1978,2342025
Africa,,1979,2321438
Africa,,1980,2346608
Africa,,1981,2370079
Africa,,1982,2392965
Africa,,1983,2322025
Africa,,1984,2414025
Africa,,1985,2429025
Africa,,1986,2443025
Africa,,1987,2454025
Africa,,1988,2464025
Africa,,1989,2548972
Africa,,1990,2897492
Africa,,1991,2526725
Africa,,1992,2548225
Africa,,1993,2570125
Africa,,1994,2920416
Africa,,1995,3017751
Africa,,1996,2906675
Africa,,1997,3095946
Africa,,1998,3149454
Africa,,1999,3329725
Africa,,2000,3530025
Africa,,2001,3532269
Africa,,2002,3717025
Africa,,2003,3777025
Africa,,2004,3845025
Africa,,2005,3885025
Africa,,2006,3937025
Africa,,2007,4104835
Africa,,2008,4052674
Africa,,2009,3838746
Africa,,2010,3818261
Africa,,2011,3983192
Africa,,2012,4164953
Africa,,2013,3915272
Africa,,2014,3949287
Africa,,2015,3701584
Africa,,2016,3436841
Africa,,2017,3432606
Africa,,2018,3445202
Africa,,2019,1427025
Africa,,2020,1348025
Africa,,2021,1263128
Africa (FAO),,1961,1501020
Africa (FAO),,1962,1530020
Africa (FAO),,1963,1558720
Africa (FAO),,1964,1587723
Africa (FAO),,1965,1617026
Africa (FAO),,1966,1646023
Africa (FAO),,1967,1675015
Africa (FAO),,1968,1943026
Africa (FAO),,1969,1976025
Africa (FAO),,1970,2009025
Africa (FAO),,1971,2058025
Africa (FAO),,1972,2098025
Africa (FAO),,1973,2135025
Africa (FAO),,1974,2170025
Africa (FAO),,1975,2204025
Africa (FAO),,1976,2235625
Africa (FAO),,1977,2266025
Africa (FAO),,1978,2342025
Africa (FAO),,1979,2321438
Africa (FAO),,1980,2346608
Africa (FAO),,1981,2370079
Africa (FAO),,1982,2392965
Africa (FAO),,1983,2322025
Africa (FAO),,1984,2414025
Africa (FAO),,1985,2429025
Africa (FAO),,1986,2443025
Africa (FAO),,1987,2454025
Africa (FAO),,1988,2464025
Africa (FAO),,1989,2548972
Africa (FAO),,1990,2897492
Africa (FAO),,1991,2526725
Africa (FAO),,1992,2548225
Africa (FAO),,1993,2570125
Africa (FAO),,1994,2920416
Africa (FAO),,1995,3017751
Africa (FAO),,1996,2906675
Africa (FAO),,1997,3095946
Africa (FAO),,1998,3149454
Africa (FAO),,1999,3329725
Africa (FAO),,2000,3530025
Africa (FAO),,2001,3532269
Africa (FAO),,2002,3717025
Africa (FAO),,2003,3777025
Africa (FAO),,2004,3845025
Africa (FAO),,2005,3885025
Africa (FAO),,2006,3937025
Africa (FAO),,2007,4104835
Africa (FAO),,2008,4052674
Africa (FAO),,2009,3838746
Africa (FAO),,2010,3818261
Africa (FAO),,2011,3983192
Africa (FAO),,2012,4164953
Africa (FAO),,2013,3915272
Africa (FAO),,2014,3949287
Africa (FAO),,2015,3701584
Africa (FAO),,2016,3436841
Africa (FAO),,2017,3432606
Africa (FAO),,2018,3445202
Africa (FAO),,2019,1427025
Africa (FAO),,2020,1348025
Africa (FAO),,2021,1263128
Albania,ALB,1961,6600
Albania,ALB,1962,5600
Albania,ALB,1963,5300
Albania,ALB,1964,4800
Albania,ALB,1965,4700
Albania,ALB,1966,4600
Albania,ALB,1967,3900
Albania,ALB,1968,4200
Albania,ALB,1969,3900
Albania,ALB,1970,3300
Albania,ALB,1971,2400
Albania,ALB,1972,1900
Albania,ALB,1973,2000
Albania,ALB,1974,1900
Albania,ALB,1975,1800
Albania,ALB,1976,1800
Albania,ALB,1977,1800
Albania,ALB,1978,1700
Albania,ALB,1979,1700
Albania,ALB,1980,1700
Albania,ALB,1981,1800
Albania,ALB,1982,1800
Albania,ALB,1983,2000
Albania,ALB,1984,2000
Albania,ALB,1985,2000
Albania,ALB,1986,2000
Albania,ALB,1987,2000
Albania,ALB,1988,2000
Albania,ALB,1989,1900
Albania,ALB,1990,1700
Albania,ALB,1991,1700
Albania,ALB,1992,1700
Albania,ALB,1993,1700
Albania,ALB,1994,110
Albania,ALB,1995,110
Albania,ALB,1996,120
Albania,ALB,1997,120
Albania,ALB,1998,120
Albania,ALB,1999,120
Albania,ALB,2000,120
Albania,ALB,2001,120
Albania,ALB,2002,120
Albania,ALB,2003,120
Albania,ALB,2004,120
Albania,ALB,2005,120
Albania,ALB,2006,120
Albania,ALB,2007,120
Albania,ALB,2008,120
Albania,ALB,2009,120
Albania,ALB,2010,120
Albania,ALB,2011,120
Albania,ALB,2012,120
Albania,ALB,2013,120
Albania,ALB,2014,120
Albania,ALB,2015,116
Albania,ALB,2016,119
Albania,ALB,2017,109
Albania,ALB,2018,92
Albania,ALB,2019,94
Albania,ALB,2020,94
Albania,ALB,2021,94
Americas (FAO),,1961,67800
Americas (FAO),,1962,72900
Americas (FAO),,1963,66000
Americas (FAO),,1964,68100
Americas (FAO),,1965,87200
Americas (FAO),,1966,92300
Americas (FAO),,1967,96500
Americas (FAO),,1968,102000
Americas (FAO),,1969,112300
Americas (FAO),,1970,124400
Americas (FAO),,1971,135500
Americas (FAO),,1972,146600
Americas (FAO),,1973,165800
Americas (FAO),,1974,210000
Americas (FAO),,1975,274200
Americas (FAO),,1976,327400
Americas (FAO),,1977,350600
Americas (FAO),,1978,400800
Americas (FAO),,1979,481800
Americas (FAO),,1980,503000
Americas (FAO),,1981,550200
Americas (FAO),,1982,631874
Americas (FAO),,1983,710582
Americas (FAO),,1984,812878
Americas (FAO),,1985,891042
Americas (FAO),,1986,993839
Americas (FAO),,1987,1091213
Americas (FAO),,1988,1190589
Americas (FAO),,1989,1293818
Americas (FAO),,1990,1405162
Americas (FAO),,1991,1439307
Americas (FAO),,1992,1429873
Americas (FAO),,1993,1505076
Americas (FAO),,1994,1577459
Americas (FAO),,1995,1648072
Americas (FAO),,1996,1052176
Americas (FAO),,1997,983902
Americas (FAO),,1998,1023186
Americas (FAO),,1999,1074107
Americas (FAO),,2000,1108426
Americas (FAO),,2001,1124719
Americas (FAO),,2002,1119365
Americas (FAO),,2003,1154773
Americas (FAO),,2004,1139580
Americas (FAO),,2005,1179744
Americas (FAO),,2006,1163122
Americas (FAO),,2007,1138708
Americas (FAO),,2008,1153080
Americas (FAO),,2009,1141928
Americas (FAO),,2010,1191132
Americas (FAO),,2011,1384735
Americas (FAO),,2012,1380641
Americas (FAO),,2013,1470127
