Entity,Code,Year,Ducks | 00001068 || Stocks | 005112 || animals
Africa,,1961,6232000
Africa,,1962,6363000
Africa,,1963,6479000
Africa,,1964,6611000
Africa,,1965,6726000
Africa,,1966,6875000
Africa,,1967,7430000
Africa,,1968,7517000
Africa,,1969,7766000
Africa,,1970,7946000
Africa,,1971,8133000
Africa,,1972,8204000
Africa,,1973,8275000
Africa,,1974,8047000
Africa,,1975,8184000
Africa,,1976,8046000
Africa,,1977,8125000
Africa,,1978,8398000
Africa,,1979,8470000
Africa,,1980,7843000
Africa,,1981,7778000
Africa,,1982,9109000
Africa,,1983,10089000
Africa,,1984,10707000
Africa,,1985,11501000
Africa,,1986,11938000
Africa,,1987,11644000
Africa,,1988,12160000
Africa,,1989,12349000
Africa,,1990,12871000
Africa,,1991,15372000
Africa,,1992,17343000
Africa,,1993,19863000
Africa,,1994,22781000
Africa,,1995,24726000
Africa,,1996,25079000
Africa,,1997,25428000
Africa,,1998,15757000
Africa,,1999,15994000
Africa,,2000,17095000
Africa,,2001,17624000
Africa,,2002,17929000
Africa,,2003,17779000
Africa,,2004,13120000
Africa,,2005,13857000
Africa,,2006,15584000
Africa,,2007,12245000
Africa,,2008,16270000
Africa,,2009,15522000
Africa,,2010,17897000
Africa,,2011,16297000
Africa,,2012,19005000
Africa,,2013,21146000
Africa,,2014,22267000
Africa,,2015,21939000
Africa,,2016,20921000
Africa,,2017,19361000
Africa,,2018,17265000
Africa,,2019,16028000
Africa,,2020,15459000
Africa,,2021,15613000
Africa (FAO),,1961,6231000
Africa (FAO),,1962,6363000
Africa (FAO),,1963,6478000
Africa (FAO),,1964,6611000
Africa (FAO),,1965,6725000
Africa (FAO),,1966,6875000
Africa (FAO),,1967,7429000
Africa (FAO),,1968,7517000
Africa (FAO),,1969,7765000
Africa (FAO),,1970,7945000
Africa (FAO),,1971,8132000
Africa (FAO),,1972,8204000
Africa (FAO),,1973,8275000
Africa (FAO),,1974,8047000
Africa (FAO),,1975,8184000
Africa (FAO),,1976,8045000
Africa (FAO),,1977,8124000
Africa (FAO),,1978,8397000
Africa (FAO),,1979,8469000
Africa (FAO),,1980,7843000
Africa (FAO),,1981,7778000
Africa (FAO),,1982,9109000
Africa (FAO),,1983,10089000
Africa (FAO),,1984,10707000
Africa (FAO),,1985,11501000
Africa (FAO),,1986,11938000
Africa (FAO),,1987,11644000
Africa (FAO),,1988,12160000
Africa (FAO),,1989,12349000
Africa (FAO),,1990,12871000
Africa (FAO),,1991,15372000
Africa (FAO),,1992,17343000
Africa (FAO),,1993,19863000
Africa (FAO),,1994,22781000
