Entity,Code,Year,Geese | 00001072 || Stocks | 005112 || animals
Africa,,1961,3882000
Africa,,1962,3958000
Africa,,1963,4032000
Africa,,1964,4107000
Africa,,1965,4182000
Africa,,1966,4257000
Africa,,1967,4332000
Africa,,1968,4407000
Africa,,1969,4483000
Africa,,1970,4608000
Africa,,1971,4683000
Africa,,1972,4758000
Africa,,1973,4833000
Africa,,1974,4707000
Africa,,1975,4932000
Africa,,1976,4857000
Africa,,1977,4883000
Africa,,1978,5107000
Africa,,1979,5148000
Africa,,1980,4657000
Africa,,1981,4694000
Africa,,1982,5825000
Africa,,1983,6835000
Africa,,1984,7247000
Africa,,1985,7843000
Africa,,1986,8042000
Africa,,1987,7747000
Africa,,1988,8046000
Africa,,1989,8039000
Africa,,1990,8337000
Africa,,1991,10370000
Africa,,1992,12001000
Africa,,1993,14066000
Africa,,1994,16439000
Africa,,1995,17942000
Africa,,1996,18229000
Africa,,1997,18418000
Africa,,1998,9523000
Africa,,1999,16219000
Africa,,2000,19356000
Africa,,2001,15613000
Africa,,2002,14913000
Africa,,2003,22004000
Africa,,2004,17230000
Africa,,2005,12510000
Africa,,2006,12127000
Africa,,2007,29147000
Africa,,2008,18130000
Africa,,2009,22178000
Africa,,2010,26047000
Africa,,2011,25248000
Africa,,2012,25264000
Africa,,2013,25264000
Africa,,2014,25284000
Africa,,2015,24545000
Africa,,2016,22544000
Africa,,2017,24662000
Africa,,2018,25945000
Africa,,2019,25781000
Africa,,2020,26124000
Africa,,2021,26574000
Africa (FAO),,1961,3882000
Africa (FAO),,1962,3958000
Africa (FAO),,1963,4032000
Africa (FAO),,1964,4107000
Africa (FAO),,1965,4182000
Africa (FAO),,1966,4257000
Africa (FAO),,1967,4332000
Africa (FAO),,1968,4407000
Africa (FAO),,1969,4483000
Africa (FAO),,1970,4608000
Africa (FAO),,1971,4683000
Africa (FAO),,1972,4758000
Africa (FAO),,1973,4833000
Africa (FAO),,1974,4707000
Africa (FAO),,1975,4932000
Africa (FAO),,1976,4857000
Africa (FAO),,1977,4882000
