Entity,Code,Year,Mules and hinnies | 00001110 || Stocks | 005111 || animals
Afghanistan,AFG,1961,20000
Afghanistan,AFG,1962,20460
Afghanistan,AFG,1963,22600
Afghanistan,AFG,1964,24700
Afghanistan,AFG,1965,26800
Afghanistan,AFG,1966,23000
Afghanistan,AFG,1967,23000
Afghanistan,AFG,1968,31000
Afghanistan,AFG,1969,31000
Afghanistan,AFG,1970,35000
Afghanistan,AFG,1971,35000
Afghanistan,AFG,1972,31000
Afghanistan,AFG,1973,26500
Afghanistan,AFG,1974,26500
Afghanistan,AFG,1975,26500
Afghanistan,AFG,1976,26500
Afghanistan,AFG,1977,30000
Afghanistan,AFG,1978,30000
Afghanistan,AFG,1979,30000
Afghanistan,AFG,1980,30000
Afghanistan,AFG,1981,30000
Afghanistan,AFG,1982,30000
Afghanistan,AFG,1983,30000
Afghanistan,AFG,1984,30000
Afghanistan,AFG,1985,30000
Afghanistan,AFG,1986,30000
Afghanistan,AFG,1987,29000
Afghanistan,AFG,1988,28000
Afghanistan,AFG,1989,27000
Afghanistan,AFG,1990,26000
Afghanistan,AFG,1991,25000
Afghanistan,AFG,1992,24000
Afghanistan,AFG,1993,23000
Afghanistan,AFG,1994,23000
Afghanistan,AFG,1995,23000
Afghanistan,AFG,1996,24000
Afghanistan,AFG,1997,26000
Afghanistan,AFG,1998,28000
Afghanistan,AFG,1999,30000
Afghanistan,AFG,2000,30000
Afghanistan,AFG,2001,25000
Afghanistan,AFG,2002,25000
Afghanistan,AFG,2003,25000
Afghanistan,AFG,2004,27000
Afghanistan,AFG,2005,29000
Afghanistan,AFG,2006,23000
Afghanistan,AFG,2007,24000
Afghanistan,AFG,2008,24000
Afghanistan,AFG,2009,26000
Afghanistan,AFG,2010,24000
Afghanistan,AFG,2011,25000
Afghanistan,AFG,2012,24000
Afghanistan,AFG,2013,21000
Afghanistan,AFG,2014,24000
Afghanistan,AFG,2015,24500
Afghanistan,AFG,2016,24900
Afghanistan,AFG,2017,24000
Afghanistan,AFG,2018,23614
Afghanistan,AFG,2019,24141
Afghanistan,AFG,2020,24024
Afghanistan,AFG,2021,23947
Africa,,1961,1836448
Africa,,1962,1896692
Africa,,1963,1863620
Africa,,1964,1999611
Africa,,1965,1949899
Africa,,1966,1978956
Africa,,1967,2043072
Africa,,1968,2061838
Africa,,1969,2088010
Africa,,1970,2086987
Africa,,1971,2076483
Africa,,1972,2075790
Africa,,1973,2076454
Africa,,1974,2081602
Africa,,1975,2100481
Africa,,1976,2113279
Africa,,1977,2137628
Africa,,1978,2172073
Africa,,1979,2216334
Africa,,1980,1137077
Africa,,1981,1142847
Africa,,1982,1152136
Africa,,1983,1214361
Africa,,1984,1195900
Africa,,1985,1223928
Africa,,1986,1259298
Africa,,1987,1305358
Africa,,1988,1299740
Africa,,1989,1313449
Africa,,1990,1340637
Africa,,1991,1365253
Africa,,1992,1374456
Africa,,1993,1370120
Africa,,1994,1365760
Africa,,1995,977255
Africa,,1996,957480
Africa,,1997,954225
Africa,,1998,964080
Africa,,1999,940165
Africa,,2000,899152
Africa,,2001,939252
Africa,,2002,1036293
Africa,,2003,975963
Africa,,2004,1011604
Africa,,2005,1009634
Africa,,2006,1026044
Africa,,2007,1064248
Africa,,2008,1061248
Africa,,2009,1045665
Africa,,2010,705697
Africa,,2011,1005111
Africa,,2012,977633
Africa,,2013,979009
Africa,,2014,1014633
Africa,,2015,982576
Africa,,2016,950844
Africa,,2017,1009383
Africa,,2018,916616
Africa,,2019,898404
Africa,,2020,925956
Africa,,2021,942804
Africa (FAO),,1961,1836948
Africa (FAO),,1962,1897192
Africa (FAO),,1963,1864120
Africa (FAO),,1964,2000111
Africa (FAO),,1965,1950399
Africa (FAO),,1966,1979456
Africa (FAO),,1967,2043572
Africa (FAO),,1968,2062338
Africa (FAO),,1969,2088510
Africa (FAO),,1970,2087487
Africa (FAO),,1971,2076983
Africa (FAO),,1972,2076290
Africa (FAO),,1973,2076954
Africa (FAO),,1974,2082102
Africa (FAO),,1975,2100981
Africa (FAO),,1976,2113779
Africa (FAO),,1977,2138128
Africa (FAO),,1978,2172573
Africa (FAO),,1979,2216834
Africa (FAO),,1980,1137577
Africa (FAO),,1981,1143347
Africa (FAO),,1982,1152636
Africa (FAO),,1983,1214861
Africa (FAO),,1984,1196400
Africa (FAO),,1985,1224378
Africa (FAO),,1986,1259798
Africa (FAO),,1987,1305868
Africa (FAO),,1988,1300240
Africa (FAO),,1989,1313969
Africa (FAO),,1990,1341167
Africa (FAO),,1991,1365803
Africa (FAO),,1992,1375011
Africa (FAO),,1993,1370680
Africa (FAO),,1994,1366320
Africa (FAO),,1995,977820
Africa (FAO),,1996,958050
Africa (FAO),,1997,954805
Africa (FAO),,1998,964680
Africa (FAO),,1999,940785
Africa (FAO),,2000,899777
Africa (FAO),,2001,939882
Africa (FAO),,2002,1036923
Africa (FAO),,2003,976593
Africa (FAO),,2004,1012234
Africa (FAO),,2005,1010264
Africa (FAO),,2006,1026674
Africa (FAO),,2007,1064878
Africa (FAO),,2008,1061883
Africa (FAO),,2009,1046300
Africa (FAO),,2010,706333
Africa (FAO),,2011,1005747
Africa (FAO),,2012,977633
Africa (FAO),,2013,979009
Africa (FAO),,2014,1014633
Africa (FAO),,2015,982575
Africa (FAO),,2016,950843
Africa (FAO),,2017,1009382
Africa (FAO),,2018,916617
Africa (FAO),,2019,898404
Africa (FAO),,2020,925956
Africa (FAO),,2021,942806
Albania,ALB,1961,17000
Albania,ALB,1962,17600
Albania,ALB,1963,18600
Albania,ALB,1964,19000
Albania,ALB,1965,19600
Albania,ALB,1966,19500
Albania,ALB,1967,19500
Albania,ALB,1968,19500
Albania,ALB,1969,19500
Albania,ALB,1970,19500
Albania,ALB,1971,19500
