Entity,Code,Year,Rabbits | 00001140 || Stocks | 005112 || animals
Africa,,1961,2780000
Africa,,1962,2792000
Africa,,1963,2804000
Africa,,1964,2812000
Africa,,1965,3021000
Africa,,1966,3149000
Africa,,1967,3157000
Africa,,1968,3165000
Africa,,1969,3177000
Africa,,1970,3187000
Africa,,1971,3411000
Africa,,1972,3423000
Africa,,1973,3433000
Africa,,1974,3479000
Africa,,1975,3540000
Africa,,1976,3622000
Africa,,1977,3673000
Africa,,1978,3688000
Africa,,1979,3725000
Africa,,1980,3767000
Africa,,1981,4710000
Africa,,1982,5444000
Africa,,1983,6172000
Africa,,1984,7614000
Africa,,1985,7903000
Africa,,1986,8184000
Africa,,1987,8511000
Africa,,1988,8772000
Africa,,1989,9095000
Africa,,1990,11126000
Africa,,1991,11263000
Africa,,1992,13113000
Africa,,1993,15383000
Africa,,1994,18027000
Africa,,1995,19484000
Africa,,1996,20281000
Africa,,1997,10679000
Africa,,1998,10519000
Africa,,1999,11104000
Africa,,2000,11373000
Africa,,2001,11193000
Africa,,2002,11282000
Africa,,2003,11822000
Africa,,2004,19183000
Africa,,2005,18712000
Africa,,2006,19663000
Africa,,2007,20498000
Africa,,2008,23137000
Africa,,2009,18038000
Africa,,2010,15353000
Africa,,2011,14919000
Africa,,2012,14826000
Africa,,2013,15434000
Africa,,2014,16311000
Africa,,2015,17913000
Africa,,2016,17494000
Africa,,2017,18708000
Africa,,2018,18559000
Africa,,2019,18493000
Africa,,2020,18037000
Africa,,2021,18365000
Africa (FAO),,1961,2780000
Africa (FAO),,1962,2792000
Africa (FAO),,1963,2804000
Africa (FAO),,1964,2812000
Africa (FAO),,1965,3021000
Africa (FAO),,1966,3149000
Africa (FAO),,1967,3157000
Africa (FAO),,1968,3165000
Africa (FAO),,1969,3177000
Africa (FAO),,1970,3187000
Africa (FAO),,1971,3411000
Africa (FAO),,1972,3423000
Africa (FAO),,1973,3433000
Africa (FAO),,1974,3479000
Africa (FAO),,1975,3540000
Africa (FAO),,1976,3622000
Africa (FAO),,1977,3673000
Africa (FAO),,1978,3688000
Africa (FAO),,1979,3725000
Africa (FAO),,1980,3767000
Africa (FAO),,1981,4710000
Africa (FAO),,1982,5444000
Africa (FAO),,1983,6172000
Africa (FAO),,1984,7614000
Africa (FAO),,1985,7903000
Africa (FAO),,1986,8184000
Africa (FAO),,1987,8511000
Africa (FAO),,1988,8772000
Africa (FAO),,1989,9095000
Africa (FAO),,1990,11126000
Africa (FAO),,1991,11263000
Africa (FAO),,1992,13113000
Africa (FAO),,1993,15383000
Africa (FAO),,1994,18027000
Africa (FAO),,1995,19484000
Africa (FAO),,1996,20281000
Africa (FAO),,1997,10679000
Africa (FAO),,1998,10519000
Africa (FAO),,1999,11104000
Africa (FAO),,2000,11373000
Africa (FAO),,2001,11193000
Africa (FAO),,2002,11282000
Africa (FAO),,2003,11822000
Africa (FAO),,2004,19183000
Africa (FAO),,2005,18712000
Africa (FAO),,2006,19662000
Africa (FAO),,2007,20498000
Africa (FAO),,2008,23137000
Africa (FAO),,2009,18038000
Africa (FAO),,2010,15353000
Africa (FAO),,2011,14919000
Africa (FAO),,2012,14826000
Africa (FAO),,2013,15434000
Africa (FAO),,2014,16311000
Africa (FAO),,2015,17913000
Africa (FAO),,2016,17494000
