Entity,Code,Year,Turkeys | 00001079 || Stocks | 005112 || animals
Africa,,1961,1213000
Africa,,1962,1276000
Africa,,1963,1339000
Africa,,1964,1405000
Africa,,1965,1469000
Africa,,1966,1588000
Africa,,1967,1598000
Africa,,1968,1713000
Africa,,1969,1829000
Africa,,1970,1944000
Africa,,1971,2057000
Africa,,1972,2170000
Africa,,1973,2283000
Africa,,1974,2094000
Africa,,1975,2207000
Africa,,1976,2109000
Africa,,1977,2116000
Africa,,1978,2377000
Africa,,1979,2438000
Africa,,1980,2151000
Africa,,1981,2266000
Africa,,1982,2180000
Africa,,1983,2471000
Africa,,1984,2669000
Africa,,1985,3094000
Africa,,1986,3326000
Africa,,1987,3180000
Africa,,1988,3526000
Africa,,1989,3699000
Africa,,1990,7293000
Africa,,1991,4323000
Africa,,1992,4930000
Africa,,1993,5819000
Africa,,1994,6320000
Africa,,1995,6340000
Africa,,1996,6286000
Africa,,1997,7232000
Africa,,1998,6792000
Africa,,1999,7422000
Africa,,2000,11150000
Africa,,2001,12004000
Africa,,2002,11619000
Africa,,2003,11141000
Africa,,2004,11960000
Africa,,2005,12804000
Africa,,2006,13836000
Africa,,2007,16979000
Africa,,2008,17989000
Africa,,2009,18860000
Africa,,2010,21499000
Africa,,2011,21830000
Africa,,2012,24858000
Africa,,2013,26172000
Africa,,2014,27099000
Africa,,2015,27296000
Africa,,2016,29321000
Africa,,2017,29500000
Africa,,2018,30673000
Africa,,2019,29570000
Africa,,2020,30254000
Africa,,2021,31487000
Africa (FAO),,1961,1213000
Africa (FAO),,1962,1276000
Africa (FAO),,1963,1339000
Africa (FAO),,1964,1404000
Africa (FAO),,1965,1468000
Africa (FAO),,1966,1587000
Africa (FAO),,1967,1597000
Africa (FAO),,1968,1712000
Africa (FAO),,1969,1828000
Africa (FAO),,1970,1944000
Africa (FAO),,1971,2057000
Africa (FAO),,1972,2170000
Africa (FAO),,1973,2283000
Africa (FAO),,1974,2094000
Africa (FAO),,1975,2208000
Africa (FAO),,1976,2109000
Africa (FAO),,1977,2115000
Africa (FAO),,1978,2376000
Africa (FAO),,1979,2438000
Africa (FAO),,1980,2151000
Africa (FAO),,1981,2266000
Africa (FAO),,1982,2180000
Africa (FAO),,1983,2471000
Africa (FAO),,1984,2669000
Africa (FAO),,1985,3094000
Africa (FAO),,1986,3326000
Africa (FAO),,1987,3180000
Africa (FAO),,1988,3526000
Africa (FAO),,1989,3699000
