Website URL,Title,Date,Author,Cover Image URL,Text Chunk,Position Number
https://animalsaotearoa.org/2024/07/17/kfc-nandos-europe-progress-nz-failing/,Report shows KFC and Nando’s serving second-rate chicken,"July 17, 2024","Marianne Macdonald, Executive Director",https://i0.wp.com/animalsaotearoa.org/wp-content/uploads/2024/07/20240717-ECC-progress-chicken-blog-Jinki-LR.png?resize=750%2C281&ssl=1,"Today a report by the Open Wing Alliance has been released detailing progress in Europe on the Better Chicken Commitment (BCC).

The good news is that 378 companies have signed to meet the higher welfare standards of the European BCC. These commitments cover 1.1 billion chickens and are already positively impacting 230 million chickens right now with more to be impacted as future deadlines approach. The companies that have signed in Europe include Nando’s and KFC. They have recognised the need to make crucial improvements in the lives of the chickens they sell.",1
https://animalsaotearoa.org/2024/07/17/kfc-nandos-europe-progress-nz-failing/,Report shows KFC and Nando’s serving second-rate chicken,"July 17, 2024","Marianne Macdonald, Executive Director",https://i0.wp.com/animalsaotearoa.org/wp-content/uploads/2024/07/20240717-ECC-progress-chicken-blog-Jinki-LR.png?resize=750%2C281&ssl=1,"We’re calling out Nando’s and KFC for their lack of progress in Oceania. This is the second report released in the last month to highlight that these Quick Service Restaurants (QSRs) are serving lower-welfare chicken meat to their customers here and across the ditch, compared with in Europe.",2
https://animalsaotearoa.org/2024/07/17/kfc-nandos-europe-progress-nz-failing/,Report shows KFC and Nando’s serving second-rate chicken,"July 17, 2024","Marianne Macdonald, Executive Director",https://i0.wp.com/animalsaotearoa.org/wp-content/uploads/2024/07/20240717-ECC-progress-chicken-blog-Jinki-LR.png?resize=750%2C281&ssl=1,"Marianne Macdonald, Executive Director of Animals Aotearoa, says that change is urgently needed over this side of the world.",3
https://animalsaotearoa.org/2024/07/17/kfc-nandos-europe-progress-nz-failing/,Report shows KFC and Nando’s serving second-rate chicken,"July 17, 2024","Marianne Macdonald, Executive Director",https://i0.wp.com/animalsaotearoa.org/wp-content/uploads/2024/07/20240717-ECC-progress-chicken-blog-Jinki-LR.png?resize=750%2C281&ssl=1,"“Currently in New Zealand, the breeds of chickens used for meat grow so big and so fast that many suffer chronic pain and lameness. Some can’t lift their bodies up off the floor to reach food or water. Others struggle to breathe or suffer organ failure within weeks of being hatched. All because they’ve been bred to grow faster than nature intended. Not only is this terrible for animals, it is also short-changing consumers in this part of the world.”",4
https://animalsaotearoa.org/2024/07/17/kfc-nandos-europe-progress-nz-failing/,Report shows KFC and Nando’s serving second-rate chicken,"July 17, 2024","Marianne Macdonald, Executive Director",https://i0.wp.com/animalsaotearoa.org/wp-content/uploads/2024/07/20240717-ECC-progress-chicken-blog-Jinki-LR.png?resize=750%2C281&ssl=1,"The BCC is a science-based, six-point corporate Environmental, Social and Governance policy, aiming to mitigate the severe suffering associated with intensive meat chicken farming practices. It addresses critical welfare issues for chickens raised for meat, including unnaturally fast growth rates, lack of enrichment, and high stocking densities.

Both KFC and Nando’s have signed the BCC in the UK and Ireland, but have failed to do the same in New Zealand and Australia.

Jenny Packwood, Head of Brand Engagement, KFC UK & Ireland recognises that their customers care about chicken welfare.",5
https://animalsaotearoa.org/2024/07/17/kfc-nandos-europe-progress-nz-failing/,Report shows KFC and Nando’s serving second-rate chicken,"July 17, 2024","Marianne Macdonald, Executive Director",https://i0.wp.com/animalsaotearoa.org/wp-content/uploads/2024/07/20240717-ECC-progress-chicken-blog-Jinki-LR.png?resize=750%2C281&ssl=1,"“Chicken is central for us—it’s what we do and it’s in our name, and it’s vital that we are trusted with what is at the heart of our business. Our customers rightly want and expect the chicken we serve to be good quality and reared with care. So we’re committed to working towards best practice and improving the welfare of every single chicken across all of our suppliers. Whether it’s creating more space in barns, moving towards slower-growing breeds or implementing stricter auditing processes, we’re leaving no stone unturned in our journey towards improvement. ”",6
https://animalsaotearoa.org/2024/07/17/kfc-nandos-europe-progress-nz-failing/,Report shows KFC and Nando’s serving second-rate chicken,"July 17, 2024","Marianne Macdonald, Executive Director",https://i0.wp.com/animalsaotearoa.org/wp-content/uploads/2024/07/20240717-ECC-progress-chicken-blog-Jinki-LR.png?resize=750%2C281&ssl=1,"In Aotearoa, we’re at the start of this journey, with seven businesses signed up to the BCC; in Australia, the total is three. And while the three largest chicken producers in Europe are signed up to the commitment, none of those in New Zealand and Australia, including the biggest three, Tegel, Ingham’s, and Baiada, have yet done so.   ",7
https://animalsaotearoa.org/2024/07/17/kfc-nandos-europe-progress-nz-failing/,Report shows KFC and Nando’s serving second-rate chicken,"July 17, 2024","Marianne Macdonald, Executive Director",https://i0.wp.com/animalsaotearoa.org/wp-content/uploads/2024/07/20240717-ECC-progress-chicken-blog-Jinki-LR.png?resize=750%2C281&ssl=1,"The falling behind in standards is reiterated by the findings of World Animal Protection’s recent report, Fast Food, Slow Progress, on QSRs and their chicken welfare policies in Australia compared with overseas. It reiterates how standards here are falling behind Europe. 

Back in 2021, Nando’s UK & Ireland Product Director, Judith Irons, said about her company having signed up to the higher welfare standards of the Better Chicken Commitment,",8
https://animalsaotearoa.org/2024/07/17/kfc-nandos-europe-progress-nz-failing/,Report shows KFC and Nando’s serving second-rate chicken,"July 17, 2024","Marianne Macdonald, Executive Director",https://i0.wp.com/animalsaotearoa.org/wp-content/uploads/2024/07/20240717-ECC-progress-chicken-blog-Jinki-LR.png?resize=750%2C281&ssl=1,“We’re very proud to have signed up to the commitment to change all of our product over to a slower-growing breed by 2026.”,9
https://animalsaotearoa.org/2024/07/17/kfc-nandos-europe-progress-nz-failing/,Report shows KFC and Nando’s serving second-rate chicken,"July 17, 2024","Marianne Macdonald, Executive Director",https://i0.wp.com/animalsaotearoa.org/wp-content/uploads/2024/07/20240717-ECC-progress-chicken-blog-Jinki-LR.png?resize=750%2C281&ssl=1,Both KFC and Nando’s are treating their customers in this region with a double standard by serving up chickens who grow abnormally fast and who suffer as a result. People in this region care about animal welfare and expect food businesses to do the same.,10
