baslik,text,label
kopektapar,insan canından çok hayvan canını düşünen canlı çeşidi..,2
basibos-kopek-sorunu,"avrupa'da böyle bir sorunu kesinlikle bulamazsın. sokakta doğru dürüst hayvan bile yoktur. sahipsiz ise barınağa alınır, belli bir süre sonunda sahiplenen olmazsa uyutulur. başıboş köpek sorunu, mülteci sorunuyla beraber türkiye'nin başını çekmekte olan 2 sorundan biridir. şu an için en büyük problemlerimizden biri olarak sayamayız belki ama mevcut durumda günümüzü değil, geleceğimizi kontrol altına alacak önlemler alınmalıdır. bugün barınağa alıp, ertesi gün görece ""kırsal"" bir yere salıvermek problemin önüne geçmez, aksine kırsalda köpeklerin daha da vahşileşmesine sebep olursun.",2
kopek,"köpek; eğer içinizde sevgi duygusundan ufacık bir damla varsa o damlayı alıp önce bir nehir yapan, sonra sizi o nehrin içine sokan hayvana denir. 27 yaşımdayım ailemle aynı evde yaşama durumum ve babamın alerjik astımı sebebiyle hiç köpek sahibi olamadım ama kuzenimin güzel golden retrieverı güzel ""daisy"" mize 14 sene neredeyse beraber baktık. hala unutmamam hastalıktan mecalinin kalmadığı zamanlarda bile her kapıdan girdiğimde kıpırdatabildiği tek yer olan kuyruğunu zar zor oynattığını. bu yaştan sonra bu evde zor ama kendime ait ilk evimde mutlaka sevgiyle hayatta kalan bu hayvanlardan sahipleneceğim.",2
basibos-kopek-sorunu,"efendim durun! hemen hayvan düşmanı ilan etmeyin. daha demin istanbul özgürlük parkında biraz temiz hava almak için oturduğum bankta 3 4 tane köpeğin üzerime koşup havlamasıyla ne yapacağımı şaşırdığım anı görmenizi isterdim. bakınız ne ses çıkarıyordum ne bir şey sadece bankta oturuyordum. düşündüm sonradan acaba ters bir hareket mi yaptım yoo sadece kafamda şapka vardı o mu garip geldi bilmiyorum. şanslıydım ki sıvışabildim insanların olduğu tarafa ve arkamdan havlamaya devam ediyorlardı. bakınız bu sokak köpekleri ya dışarıda açlıktan hastalıktan, ya da fırın fırın ekmek yiyip 85 kilo dobik olup obezlikten ölüyorlar. gerisi de böyle sürü halinde dolaşıyor zaten. velhasıl hayvan düşmanı!! veya senden kötü enerji almışlardır canım! diyecek teyzelerime dayılarıma, bir gün oturdukları bankta benim yaşadığımı yaşamaları halinde bol şans diliyorum efendim.",2
basibos-kopek-sorunu,"ben eleştirileri anlamıyorum. patili dostlarımız et yemesin mi, evladınizin veya ne bileyim ananızın babanızın kemiklerini siyirmasin mi, hiç olmadı bisiklete binen çocuğunuzu korkutup arabalara ezdirmesin mi? haksızlığa karşı susan dilsiz şeytandır, unutmayalım.",2
basibos-kopek-sorunu,kesinlikle ortadan kaldırılması gereken bir sorun. en iyi çözüm kısırlaştırma veya uyutma . hayvanseverler yüzünden bir sürü can açı çekiyor,2
kopektapar,"yaşam hakkı bağlamında sahipli, sahipsiz, eğitimli, başıboş vb tüm köpekler birdir. köpeğe -veya herhangi bir canlıya- değer vermek; sadece işine yarayan ve kendi çıkarına hizmet edenler için değil, o türün tüm bireyleri için aynı duyguları hissetmektir ve bu hislere sahip insanlara köpektapar diye hitap eden yobaz cahillerin boş hayatlarında hiçbir şekilde tadamayacakları bir duygudur. bir arama kurtarma köpeği kendi isteğiyle, kendi rızasıyla veya kendi kariyer planı sonucunda eğitimli bir köpek haline dönüşmez. o köpeği alıp eğiten insan; sokaklara bırakıp sefalet içinde sürünmelerine, gruplaşmalarına ve kontrolsüz çoğalmalarına neden olan da insan. seçimi o hayvanlar değil, bizler yapıyoruz. akıl fikir sahibi olan onlar değil, biziz. o yüzden arama kurtarma köpeğini alkışlayıp sokaklara bırakılan köpeğe tu kaka demek, insanın bencilliğinin ve cehaletinin en net göstergesidir. belki de farklı olan onlar değil, bu farkı örnek gösterip göremeyenleri gerizekâlı olarak yaftalayan cahil yaşam formlarıdır.",2
kopektapar,"kişilik, karakter, ruh olarak adolf hitler’den farkı olmayan cani ruh hastalarının sokak köpeklerinin uyutulmamasını savunan insanlara taktığı isim. sokak köpeklerinin insanların çare bulamama acizliğinden dolayı uyutulmamasını savunuyorum, evet bu düşüncemden dolayı köpeğe tapıyor olabilirim (hoş ben kediciyim, sarmanım var bir tane evimde) ama senin gibi pislik bir ruh hastası değilim en azından.",0
basibos-kopek-sorunu,"ülkedeki sesi kitlesine nazaran çok çıkan ve ""fon"" bağımlısı olduklarını düşündüğüm woke ve sjw azınlık tarafından 5199 sayılı sade suya tirit bir kanunla iyice can sağlığını tehdit eder hale gelmiş sorundur. bu kanun allah kelamı değil, kanunu eleştiremeyeceksem hani benim düşünce özgürlüğüm? işbu kanunu akp çıkarmış chp desteklemiştir. hayvan koruma kanununda aşağıdaki değişikliklerin kanun diliyle yazılması sonucu sokak köpeği sorunu çözülebilir; ""1- yasak ırk ülke sınırlarında bulundurulduğu takdirde hayvan itlaf edilecek ve sahibi ceza soruşturması için savcılıkta gözünü açacak, ayrıca sahibine 100 bin tl idari para cezası kesilecek, 2- sokak köpekleri kademeli olarak toplanıp 15 gün süreyle barınaklara alınacak. bu sürede sahiplendirilirse çip takılmak suretiyle isteklilere hibe edilecek yoksa uyutulacak. sahiplendirilen köpekleri, sahipleri sokağa tekrar geri salarsa çipten saptanıp sahiplerine 75 bin tl idari para cezası verilecek. 3- sahipli köpekler sokakta tasma ve ağızlıksız dolaşamayacak. evet kaniş, pekinez bile olsa dolaşamayacak. sahipli köpeklerin tasma ve ağızlıksız dolaştığının saptanması durumunda sahiplerine 20 bin tl idari para cezası kesilecek. 4- hayvan, bu amaç için üretilmiş dışkı torbası olmadan sokakta gezdirilemeyecek. dışkısını sokağa bırakan köpeğin sahibine 10 bin tl idari para cezası kesilecek (bkz: kist hidatik)"" bu kadar basit. bu vesileyle sjw ve woke azınlığın tepkilerine aldırmaksızın başıboş köpek sorununa değinen zafer partisi ve yeniden refah partisine teşekkür ediyorum.",2
kopektapar,"bir tane dostum var 2018 de benimle yaşamaya başladı... yaklaşık olarak 12 yıl yaşıyor. bu gün ölse ölen adem oğlu gibi üzülür yasını tutarım. mesleğim şoförlük yolda giderken hayvan göreyim durup güvenli bir noktaya kadar götürüp bırakıyorum. fazla değil az merhametli olun. kullandığım araba da sürekli mama olur onlara mama vermek mükemmel bir duygu. sanki insanın dünya da vaar olma amacı buymuş gibi görüyorum. inanan ve iman edenler için ; allah der ki: ""hayvanlar benim sessiz kullarımdır. onlar şimdi zulme susuyorlar ama hesap günü konuşacaklardır.""",3
