instruction,context,response,category
Extract the owner of Lamborghini and a listing of the different types of Huracan cars that Lamborghini has produced for its Motorsport division.,"Automobili Lamborghini S.p.A. (Italian pronunciation: [autoˈmɔːbili lamborˈɡiːni]) is an Italian manufacturer of luxury sports cars and SUVs based in Sant'Agata Bolognese. The company is owned by the Volkswagen Group through its subsidiary Audi.

Ferruccio Lamborghini (1916–1993), an Italian manufacturing magnate, founded Automobili Ferruccio Lamborghini S.p.A. in 1963 to compete with Ferrari. The company was noted for using a rear mid-engine, rear-wheel drive layout. Lamborghini grew rapidly during its first decade, but sales plunged in the wake of the 1973 worldwide financial downturn and the oil crisis. The firm's ownership changed three times after 1973, including a bankruptcy in 1978. American Chrysler Corporation took control of Lamborghini in 1987 and sold it to Malaysian investment group Mycom Setdco and Indonesian group V'Power Corporation in 1994. In 1998, Mycom Setdco and V'Power sold Lamborghini to the Volkswagen Group where it was placed under the control of the group's Audi division.

New products and model lines were introduced to the brand's portfolio and brought to the market and saw an increased productivity for the brand. In the late 2000s, during the worldwide financial crisis and the subsequent economic crisis, Lamborghini's sales saw a drop of nearly 50 per cent.

Lamborghini currently produces the V12-powered Aventador and the V10-powered Huracán, along with the Urus SUV powered by a twin-turbo V8 engine. In addition, the company produces V12 engines for offshore powerboat racing.

Lamborghini Trattori, founded in 1948 by Ferruccio Lamborghini, is headquartered in Pieve di Cento, Italy and continues to produce tractors. Since 1973, Lamborghini Trattori has been a separate entity from the automobile manufacturer.

History
Main article: History of Lamborghini

Ferruccio Lamborghini with a Jarama and a tractor of his brand
Manufacturing magnate Italian Ferruccio Lamborghini founded the company in 1963 with the objective of producing a refined grand touring car to compete with offerings from established marques such as Ferrari. The company's first models, such as the 350 GT, were released in the mid-1960s. Lamborghini was noted for the 1966 Miura sports coupé, which used a rear mid-engine, rear-wheel drive layout.

Lamborghini grew rapidly during its first ten years, but sales fell in the wake of the 1973 worldwide financial downturn and the oil crisis. Ferruccio Lamborghini sold the company to Georges-Henri Rossetti and René Leimer and retired in 1974. The company went bankrupt in 1978, and was placed in the receivership of brothers Jean-Claude and Patrick Mimran in 1980. The Mimrans purchased the company out of receivership by 1984 and invested heavily in its expansion. Under the Mimrans' management, Lamborghini's model line was expanded from the Countach to include the Jalpa sports car and the LM002 high-performance off-road vehicle.

The Mimrans sold Lamborghini to the Chrysler Corporation in 1987. After replacing the Countach with the Diablo and discontinuing the Jalpa and the LM002, Chrysler sold Lamborghini to Malaysian investment group Mycom Setdco and Indonesian group V'Power Corporation in 1994. In 1998, Mycom Setdco and V'Power sold Lamborghini to the Volkswagen Group where it was placed under the control of the group's Audi division. New products and model lines were introduced to the brand's portfolio and brought to the market and saw an increased productivity for the brand Lamborghini. In the late 2000s, during the worldwide financial crisis and the subsequent economic crisis, Lamborghini's sales saw a drop of nearly 50 per cent.

In 2021, the CEO of Lamborghini said that by 2024 all its models will be hybrid.

Automobiles produced
Lamborghini Motorsport Division Squadra Corse produces GT3 cars and cars for their Super Trofeo events based on the Gallardo and Huracán. Apart from them, the Squadra Corse builds cars upon customer request.

GT3 and Super Trofeo Cars
Gallardo LP 570-4 Super Trofeo
Gallardo LP 560-4 Super Trofeo
Huracán LP 620-2 Super Trofeo EVO
Huracán LP 620-2 Super Trofeo EVO2
Huracán Super Trofeo GT2
Huracán GT3
Huracán GT3 Evo
Huracán GT3 Evo 2
Special cars
These cars were built by Squadra Corse upon customer request.

Essenza SCV12
SC18 Alston
SC20","Vokswagen Group owns Lamborghini through its subsidiary, Audi.

Lamborghini has produced the following Huracan motorsport models:
- Huracán LP 620-2 Super Trofeo EVO
- Huracán LP 620-2 Super Trofeo EVO2
- Huracán Super Trofeo GT2
- Huracán GT3
- Huracán GT3 Evo
- Huracán GT3 Evo 2",information_extraction
What is the difference between pets and cattle?,,"Although both are animals at the end of the day, however, the main difference comes partially in the form of perception and, historically, the relationship of humans with certain animals. Pets, e.g. dogs, cats, etc., are used more for companionship and not for food. On the contrary, cattle, e.g. cows, pigs, chickens, etc., are primarily raised for food, i.e. meat, milk, eggs, etc.",open_qa
What are the top reasons to become a vegan?,,"-climate change 
-animal agriculture 
-health",brainstorming
what are the advantages of having a vegetable garden at home on the owners health?,,Vegetable garden allows you to think about the healthy factors of each vegetable. You can prioritize the health benefits of each vegetable and compare against how frequently you use that vegetable. You can plan on how many plants of each variety will be needed for making a dinner for your family. You will try to find vegetables that are easy to maintain and grow with minimal supervision. You will mix between vegetables that will grow in summer verses mild cold temperatures and choose your planting time. If you want year around produce of fresh vegetables you can even plan to have a green house with heating to keep your plants alive in all seasons. Making the soil ready and adding some plant food at regular intervals is required to keep the produce at good numbers. The owner will have health benefits of stress free time during the time they work on the garden and when they see the produce on the dinner table in the form of a delicious dish. Owners have a great time posting their produce pictures and dishes to social media to share with friends. Each year they plan 3 to 4 months in advance on the kind of plants that they would like to plant in the garden. They work with friends to find the seeds for various plants that they like to plant as well as share tips to keep the garden healthy. The key benefit is the owner will be able to get fresh produce that does not use any harsh chemicals or pesticides.,general_qa
What are some plastic use reduction ideas,,"Plastic is a pollutant that won't easily degrade. However; its versatility can't be dismissed and its not easy to get away from its usage in our day to day lives. We can however optimize and reduce the usage. 
1) Invest in a solid reusable grocery bag made out of non plastic material
2) If you don't have your own reusable grocery bag please insist your grocery store to bag your groceries in paper bags
3) This may be a surprise to you but the inner lining of canned beverages is plastic. So getting canned beverages may not be a 100% plastic free experience it's a much effective one than having the same beverage in a plastic bottle
4)  Offices can install filter based water machines rather than storing plastic water bottles.
5) Invest in a reusable water jug or water bottle to avoid use and throw plastic water bottles",brainstorming
How many awards did the film The Walrus and the Whistleblower win per this entry of information?,"The Walrus and the Whistleblower is a 2020 Canadian documentary film directed by Nathalie Bibeau. The film profiles Phil Demers, a former employee of Marineland who attempted to blow the whistle on allegedly inhumane treatment of animals at the institution.

According to a film industry newsletter, the film was made ""in association with the Documentary Channel, and CBC Docs"". The Documentary Channel's announcement about the film stated that Demers had ""appeared four times on the Joe Rogan show, has testified before the Canadian Senate, and is being sued for $1.5 million for plotting to steal Smooshi, the walrus"".

The film premiered as part of the 2020 Hot Docs Canadian International Documentary Festival. Due to the COVID-19 pandemic in Canada it was not screened theatrically, but premiered as part of the festival's online streaming component and aired on CBC Television on May 28 as part of the network's special Hot Docs at Home series of films from the festival.

In June 2020, the film was named as the winner of 2020 Rogers Audience Award, alongside the films 9/11 Kids, There's No Place Like This Place, Anyplace, First We Eat and The Forbidden Reel, and as Overall Favourite at Hot Docs. The Audience Award allowed the film to be fast tracked in the Academy Award for Best Documentary Feature category, ""provided it meets all other criteria for eligibility"". Northern Banner, a division of Raven Banner Entertainment, subsequently announced that it had acquired the rights to distribute the film in Canada, probably starting before year end. The US and international distribution rights went to Gravitas Ventures.

The film received a nomination for the Donald Brittain Award at the 9th Canadian Screen Awards in 2021.","2.  the 2020 Rogers Audience Award, and the Donald Brittain Award in 2021.",closed_qa
What are the primary uses of horses according to the text?,"Horses and humans interact in a wide variety of sport competitions and non-competitive recreational pursuits as well as in working activities such as police work, agriculture, entertainment, and therapy. Horses were historically used in warfare, from which a wide variety of riding and driving techniques developed, using many different styles of equipment and methods of control. Many products are derived from horses, including meat, milk, hide, hair, bone, and pharmaceuticals extracted from the urine of pregnant mares. Humans provide domesticated horses with food, water, and shelter as well as attention from specialists such as veterinarians and farriers.","Horses can be used for recreational activities and therapy as well as working activities like police work or agriculture. Historically horses were also used in warfare. Horses can also provide products like meat, milk, hide, hair, bone or pharmaceuticals.",summarization
What are the primary breathing apparatuses for scuba,"Breathing apparatus
Main article: Scuba set

Recreational diver putting on his scuba set before diving
The defining equipment used by a scuba diver is the eponymous scuba, the self-contained underwater breathing apparatus which allows the diver to breathe while diving, and is transported by the diver. It is also commonly referred to as the scuba set.

As one descends, in addition to the normal atmospheric pressure at the surface, the water exerts increasing hydrostatic pressure of approximately 1 bar (14.7 pounds per square inch) for every 10 m (33 feet) of depth. The pressure of the inhaled breath must balance the surrounding or ambient pressure to allow controlled inflation of the lungs. It becomes virtually impossible to breathe air at normal atmospheric pressure through a tube below three feet under the water.

Most recreational scuba diving is done using a half mask which covers the diver's eyes and nose, and a mouthpiece to supply the breathing gas from the demand valve or rebreather. Inhaling from a regulator's mouthpiece becomes second nature very quickly. The other common arrangement is a full face mask which covers the eyes, nose and mouth, and often allows the diver to breathe through the nose. Professional scuba divers are more likely to use full face masks, which protect the diver's airway if the diver loses consciousness.

Open-circuit
Main article: Diving regulator

Aqualung Legend second stage (demand valve) regulator

Aqualung first stage regulator

Gekko dive computer with attached pressure gauge and compass

Suunto submersible pressure gauge display
Open circuit scuba has no provision for using the breathing gas more than once for respiration. The gas inhaled from the scuba equipment is exhaled to the environment, or occasionally into another item of equipment for a special purpose, usually to increase the buoyancy of a lifting device such as a buoyancy compensator, inflatable surface marker buoy or small lifting bag. The breathing gas is generally provided from a high-pressure diving cylinder through a scuba regulator. By always providing the appropriate breathing gas at ambient pressure, demand valve regulators ensure the diver can inhale and exhale naturally and without excessive effort, regardless of depth, as and when needed.

The most commonly used scuba set uses a ""single-hose"" open circuit 2-stage demand regulator, connected to a single back-mounted high-pressure gas cylinder, with the first stage connected to the cylinder valve and the second stage at the mouthpiece. This arrangement differs from Émile Gagnan's and Jacques Cousteau's original 1942 ""twin-hose"" design, known as the Aqua-lung, in which the cylinder pressure was reduced to ambient pressure in one or two stages which were all in the housing mounted to the cylinder valve or manifold. The ""single-hose"" system has significant advantages over the original system for most applications.

In the ""single-hose"" two-stage design, the first stage regulator reduces the cylinder pressure of up to about 300 bars (4,400 psi) to an intermediate pressure (IP) of about 8 to 10 bars (120 to 150 psi) above ambient pressure. The second stage demand valve regulator, supplied by a low-pressure hose from the first stage, delivers the breathing gas at ambient pressure to the diver's mouth. The exhaled gases are exhausted directly to the environment as waste through a non-return valve on the second stage housing. The first stage typically has at least one outlet port delivering gas at full tank pressure which is connected to the diver's submersible pressure gauge or dive computer, to show how much breathing gas remains in the cylinder.

Rebreather

An Inspiration electronic fully closed circuit rebreather
Main article: Diving rebreather
Less common are closed circuit (CCR) and semi-closed (SCR) rebreathers which, unlike open-circuit sets that vent off all exhaled gases, process all or part of each exhaled breath for re-use by removing the carbon dioxide and replacing the oxygen used by the diver. Rebreathers release few or no gas bubbles into the water, and use much less stored gas volume, for an equivalent depth and time because exhaled oxygen is recovered; this has advantages for research, military, photography, and other applications. Rebreathers are more complex and more expensive than open-circuit scuba, and special training and correct maintenance are required for them to be safely used, due to the larger variety of potential failure modes.

In a closed-circuit rebreather the oxygen partial pressure in the rebreather is controlled, so it can be maintained at a safe continuous maximum, which reduces the inert gas (nitrogen and/or helium) partial pressure in the breathing loop. Minimising the inert gas loading of the diver's tissues for a given dive profile reduces the decompression obligation. This requires continuous monitoring of actual partial pressures with time and for maximum effectiveness requires real-time computer processing by the diver's decompression computer. Decompression can be much reduced compared to fixed ratio gas mixes used in other scuba systems and, as a result, divers can stay down longer or require less time to decompress. A semi-closed circuit rebreather injects a constant mass flow of a fixed breathing gas mixture into the breathing loop, or replaces a specific percentage of the respired volume, so the partial pressure of oxygen at any time during the dive depends on the diver's oxygen consumption and/or breathing rate. Planning decompression requirements requires a more conservative approach for a SCR than for a CCR, but decompression computers with a real-time oxygen partial pressure input can optimise decompression for these systems. Because rebreathers produce very few bubbles, they do not disturb marine life or make a diver's presence known at the surface; this is useful for underwater photography, and for covert work.",The most common breathing apparatus for Scuba Diving is an open circuit single hose 2-stage demand regulator connected to a single gas cylinder.  A less common apparatus is a Closed Circuit or Semi-Closed rebreather.,information_extraction
"Given this article about Operation Aurora, which companies were targeted in the attacks?","Operation Aurora was a series of cyber attacks conducted by advanced persistent threats such as the Elderwood Group based in Beijing, China, with ties to the People's Liberation Army. First publicly disclosed by Google on January 12, 2010, in a blog post, the attacks began in mid-2009 and continued through December 2009.

The attack was aimed at dozens of other organizations, of which Adobe Systems, Akamai Technologies, Juniper Networks, and Rackspace have publicly confirmed that they were targeted. According to media reports, Yahoo, Symantec, Northrop Grumman, Morgan Stanley, and Dow Chemical were also among the targets.

As a result of the attack, Google stated in its blog that it plans to operate a completely uncensored version of its search engine in China ""within the law, if at all,"" and acknowledged that if this is not possible, it may leave China and close its Chinese offices. Official Chinese sources claimed this was part of a strategy developed by the U.S. government.

The attack was named ""Operation Aurora"" by Dmitri Alperovitch, Vice President of Threat Research at cybersecurity company McAfee. Research by McAfee Labs discovered that ""Aurora"" was part of the file path on the attacker's machine that was included in two of the malware binaries McAfee said were associated with the attack. ""We believe the name was the internal name the attacker(s) gave to this operation,"" McAfee Chief Technology Officer George Kurtz said in a blog post.

According to McAfee, the primary goal of the attack was to gain access to and potentially modify source code repositories at these high-tech, security, and defense contractor companies. ""[The SCMs] were wide open,"" says Alperovitch. ""No one ever thought about securing them, yet these were the crown jewels of most of these companies in many ways—much more valuable than any financial or personally identifiable data that they may have and spend so much time and effort protecting.""

History

Flowers left outside Google China's headquarters after its announcement it might leave the country
On January 12, 2010, Google revealed on its blog that it had been the victim of a cyber attack. The company said the attack occurred in mid-December and originated from China. Google stated that over 20 other companies had been attacked; other sources have since cited that more than 34 organizations were targeted. As a result of the attack, Google said it was reviewing its business in China. On the same day, United States Secretary of State Hillary Clinton issued a brief statement condemning the attacks and requesting a response from China.

On January 13, 2010, the news agency All Headline News reported that the United States Congress plans to investigate Google's allegations that the Chinese government used the company's service to spy on human rights activists.

In Beijing, visitors left flowers outside of Google's office. However, these were later removed, with a Chinese security guard stating that this was an ""illegal flower tribute"". The Chinese government has yet to issue a formal response, although an anonymous official stated that China was seeking more information on Google's intentions.

Attackers involved
Further information: Cyberwarfare by China
Technical evidence including IP addresses, domain names, malware signatures, and other factors, show Elderwood was behind the Operation Aurora attack. The ""Elderwood"" group was named by Symantec (after a source-code variable used by the attackers), and is referred to as the ""Beijing Group"" by Dell Secureworks. The group obtained some of Google's source code, as well as access to information about Chinese activists. Elderwood also targeted numerous other companies in the shipping, aeronautics, arms, energy, manufacturing, engineering, electronics, financial, and software sectors.

The ""APT"" designation for the Chinese threat actors responsible for attacking Google is APT17.

Elderwood specializes in attacking and infiltrating second-tier defense industry suppliers that make electronic or mechanical components for top defense companies. Those firms then become a cyber ""stepping stone"" to gain access to top-tier defense contractors. One attack procedure used by Elderwood is to infect legitimate websites frequented by employees of the target company – a so-called ""water hole"" attack, just as lions stake out a watering hole for their prey. Elderwood infects these less-secure sites with malware that downloads to a computer that clicks on the site. After that, the group searches inside the network to which the infected computer is connected, finding and then downloading executives' e-mails and critical documents on company plans, decisions, acquisitions, and product designs.

Attack analysis
In its blog posting, Google stated that some of its intellectual property had been stolen. It suggested that the attackers were interested in accessing Gmail accounts of Chinese dissidents. According to the Financial Times, two accounts used by Ai Weiwei had been attacked, their contents read and copied; his bank accounts were investigated by state security agents who claimed he was under investigation for ""unspecified suspected crimes"". However, the attackers were only able to view details on two accounts and those details were limited to things such as the subject line and the accounts' creation date.

Security experts immediately noted the sophistication of the attack. Two days after the attack became public, McAfee reported that the attackers had exploited purported zero-day vulnerabilities (unfixed and previously unknown to the target system developers) in Internet Explorer and dubbed the attack ""Operation Aurora"". A week after the report by McAfee, Microsoft issued a fix for the issue, and admitted that they had known about the security hole used since September. Additional vulnerabilities were found in Perforce, the source code revision software used by Google to manage their source code.

VeriSign's iDefense Labs claimed that the attacks were perpetrated by ""agents of the Chinese state or proxies thereof"".

According to a diplomatic cable from the U.S. Embassy in Beijing, a Chinese source reported that the Chinese Politburo directed the intrusion into Google's computer systems. The cable suggested that the attack was part of a coordinated campaign executed by ""government operatives, public security experts and Internet outlaws recruited by the Chinese government."" The report suggested that it was part of an ongoing campaign in which attackers have ""broken into American government computers and those of Western allies, the Dalai Lama and American businesses since 2002."" According to The Guardian's reporting on the leak, the attacks were ""orchestrated by a senior member of the Politburo who typed his own name into the global version of the search engine and found articles criticising him personally.""

Once a victim's system was compromised, a backdoor connection that masqueraded as an SSL connection made connections to command and control servers running in Illinois, Texas, and Taiwan, including machines that were running under stolen Rackspace customer accounts. The victim's machine then began exploring the protected corporate intranet that it was a part of, searching for other vulnerable systems as well as sources of intellectual property, specifically the contents of source code repositories.

The attacks were thought to have definitively ended on Jan 4 when the command and control servers were taken down, although it is not known at this point whether or not the attackers intentionally shut them down. However, the attacks were still occurring as of February 2010.

Response and aftermath
The German, Australian, and French governments publicly issued warnings to users of Internet Explorer after the attack, advising them to use alternative browsers at least until a fix for the security hole was made. The German, Australian, and French governments considered all versions of Internet Explorer vulnerable or potentially vulnerable.

In an advisory on January 14, 2010, Microsoft said that attackers targeting Google and other U.S. companies used software that exploits a hole in Internet Explorer. The vulnerability affects Internet Explorer versions 6, 7, and 8 on Windows 7, Vista, Windows XP, Server 2003, Server 2008 R2, as well as IE 6 Service Pack 1 on Windows 2000 Service Pack 4.

The Internet Explorer exploit code used in the attack has been released into the public domain, and has been incorporated into the Metasploit Framework penetration testing tool. A copy of the exploit was uploaded to Wepawet, a service for detecting and analyzing web-based malware operated by the computer security group at the University of California, Santa Barbara. ""The public release of the exploit code increases the possibility of widespread attacks using the Internet Explorer vulnerability,"" said George Kurtz, CTO of McAfee, of the attack. ""The now public computer code may help cybercriminals craft attacks that use the vulnerability to compromise Windows systems.""

Security company Websense said it identified ""limited public use"" of the unpatched IE vulnerability in drive-by attacks against users who strayed onto malicious Web sites. According to Websense, the attack code it spotted is the same as the exploit that went public last week.[clarification needed] ""Internet Explorer users currently face a real and present danger due to the public disclosure of the vulnerability and release of attack code, increasing the possibility of widespread attacks,"" said George Kurtz, chief technology officer of McAfee, in a blog update. Confirming this speculation, Websense Security Labs identified additional sites using the exploit on January 19. According to reports from Ahnlab, the second URL was spread through the Instant Messenger network Misslee Messenger, a popular IM client in South Korea.

Researchers have created attack code that exploits the vulnerability in Internet Explorer 7 (IE7) and IE8—even when Microsoft's recommended defensive measure (Data Execution Prevention (DEP)) is turned on.[dubious – discuss] According to Dino Dai Zovi, a security vulnerability researcher, ""even the newest IE8 isn't safe from attack if it's running on Windows XP Service Pack 2 (SP2) or earlier, or on Windows Vista RTM (release to manufacturing), the version Microsoft shipped in January 2007.""

Microsoft admitted that the security hole used had been known to them since September. Work on an update was prioritized and on Thursday, January 21, 2010, Microsoft released a security patch aiming to counter this weakness, the published exploits based on it and a number of other privately reported vulnerabilities. They did not state if any of the latter had been used or published by exploiters or whether these had any particular relation to the Aurora operation, but the entire cumulative update was termed critical for most versions of Windows, including Windows 7.

Security researchers continued to investigate the attacks. HBGary, a security firm, released a report in which they claimed to have found some significant markers that might help identify the code developer. The firm also said that the code was Chinese language based but could not be specifically tied to any government entity.

On February 19, 2010, a security expert investigating the cyber-attack on Google, has claimed that the people behind the attack were also responsible for the cyber-attacks made on several Fortune 100 companies in the past one and a half years. They have also tracked the attack back to its point of origin, which seems to be two Chinese schools, Shanghai Jiao Tong University and Lanxiang Vocational School. As highlighted by The New York Times, both of these schools have ties with the Chinese search engine Baidu, a rival of Google China. Both Lanxiang Vocational and Jiaotong University have denied the allegation.

In March 2010, Symantec, which was helping investigate the attack for Google, identified Shaoxing as the source of 21.3% of all (12 billion) malicious emails sent throughout the world.

Google retrospective
On October 3, 2022, Google on YouTube released a six-episode series covering the events that occurred during Operation Aurora, with commentary from insiders who dealt with the attack, though the series primary focus was to reassure the Google-using public that measures are in place to counter hacking attempts.","Google, Adobe Systems, Akamai Technologies, Juniper Networks, Rackspace, Yahoo, Symantec, Northrop Grumman, Morgan Stanley, and Dow Chemical appear to have been targted in these attacks.  Some pubically confirmed this while others were claimed to be targeted in media reports.",closed_qa
Why should people convert lawns and ornamental gardens to native plants?,,"Who doesn’t love butterflies? They are a beautiful symbol of innocence. But have you noticed there are fewer and fewer every year? When I was a kid, you couldn’t take a trip without getting some butterflies on the windshield of your car. So why are there so few and what does it mean?

One of the main reasons is the use of pesticides and herbicides. These chemicals are indiscriminate killers. And they knock the whole ecosystem out of balance. In my yard, I have seen how a little patience will put things back into balance. I had aphids, but slowly noticed aphid predators solving the problem. I had flies due to my chicken coop, but over a few weeks I saw Swallows and Phoebes move in to take advantage of the food source.

The other reason we see fewer butterflies is food for caterpillars. Most butterflies and moths (or butterflies of the night as I like to call them) need a particular plant to host their caterpillars. For Monarch butterflies, it is Milkweed (Asclepias), which is an unfortunate name for a beautiful plant. For Pipevine Swallowtails, it is Pipevine (Aristolochia). Without these plants, caterpillars have no source of food. And as cities and suburbs become paved over, there is no place for these once abundant plants to grow. As we look at our own yards, they contain beautiful plants that are imported from other places. But to a butterfly, our yards seem like deserts. Even plants like bottlebrush, which attract a lot of insects for nectar, provide no food for native baby insects. It’s kind of like having a bar for the adults to drink at, but no food to nourish their children so they can grow to be adults too. 

But Doug Tallamy, an entomologist from University of Delaware, says we can help. By putting some native plants in our yards, we can provide the food to bring back butterflies.

As we prepared to redo our garden from evergreen ornamentals, to an English cottage/cut flower garden, something happened. We saw Doug Tallamy speak on a CNPS Silicon Valley Zoom Meeting. And we realized we had to change our direction, and begin gardening with natives. 

As we look at our garden, the key is that we are just beginning…
It is a grand experiment to see what works where. And already the garden is talking to us. The blue eyed grass has jumped the paved walkway to another part of the garden! We expect more movement and magic in the future. Here are some of our thoughts on our garden.

Blessings… Having a giant oak tree in our yard and creek behind us have certainly given us a leg up in terms of food and wildlife access to our yard.

Downside… Lots of shade. Only two, maybe three spots in our garden that get good sun. So, we troll through Calscape looking for plants that will tolerate shade. (If you haven't met Calscape you are in for a treat. I hope you live in California though...).

Goal… As Talamites, we believe in feeding the ecosystem, which starts with caterpillar farming. So how has that worked out? Well, we’ve only seen one or two caterpillars so far. Sigh. It’s all an experiment…

Biggest impact… Leaving the leaves the past year. We can already see the soil improving, and everytime we water we see lots of insects rising up out of the litter. So it is happening. Slowly…

So we continue to replace non-natives with natives. Last weekend we took out Sarcococca and Pierris Japonicas and replaced them with Coffeeberry (Frangula Californica). This weekend we removed two maple trees and replaced them with Bush Anemone (Carpenteria Californica). And next weekend we are going to replace our box hedge with Coyote Brush (Baccharis pilularis). 

Besides the bugs, we've seen lots of other great wildlife in our yard. A new nest of baby squirrels is born in the tree every year. And this year we were surprised by 3 baby raccoons moving into the tree (it is largely hollow).

They are sweet shy and adorable. We've enjoyed watching them come out and scour the tree every night for food.",creative_writing
