Unnamed,"""index""",id,policyareas,cursummary,curtext,title,titlesofficial,titlesshort,sponsorname,sponsorparty,sponsorstate
27,8130,H.R.2205,Transportation and Public Works,"Incentivizing Value Capture for Greener Transportation Act
This bill authorizes the Department of Transportation (DOT) to provide technical assistance grants to states and local governments to (1) develop more state and local value capture mechanisms for long-term funding that promote mobility, public transportation, and affordable transit-oriented development; (2) improve public transportation and mobility; and (3) develop strategic partnerships that create greater self-help capacity that leads to greater long term and robust investments in public transportation, mobility, inclusive economic development, and affordable transit-oriented development.
DOT must","To amend title 49, United States Code, to provide grants and develop 
                         value capture policy.

    Be it enacted by the Senate and House of Representatives of the 
United States of America in Congress assembled,

SECTION 1. SHORT TITLE.

    This Act may be cited as the ``Incentivizing Value Capture for 
Greener Transportation Act''.

SEC. 2. FINDINGS.

    Congress finds the following:
            (1) In 2018, greenhouse gas emissions (GHG) rose sharply by 
        3.4 percent, the second-largest annual gain in more than 20 
        years, and GHG emissions have grown by approximately 1.5 
        percent every year over the last decade.
            (2) Greenhouse gas emissions from the transportation 
        sector, including cars and trucks, are the largest source of 
        GHG emissions in the United States with the transportation 
        sector emitting 1,900,000,000 tons of carbon dioxide (CO2) 
        annually.
            (3) Annual vehicle miles traveled (VMT) in the United 
        States have nearly tripled since 1971, rising to 
        3,210,000,000,000 in 2018.
            (4) Consequently, in 2018, Americans lost an average of 97 
        hours a year due to congestion, costing them nearly 
        $87,000,000,000.
            (5) Residents in communities located near high-capacity 
        transit are twice as likely not to own a car as residents who 
        live elsewhere, and they own half as many cars per household.
            (6) Increasing transit ridership and improving our transit 
        systems in urban, suburban, and exurban areas, using innovative 
        solutions such as land value capture, will help reduce VMT, 
        congestion, GHG emissions, and reliance on fossil fuels and 
        vehicles. By reducing such factors, the United States can help 
        curb the effects of climate change.

SEC. 3. VALUE CAPTURE POLICY AND PLANNING PROGRAM.

    Chapter 53 of title 49, United States Code, is amended by adding at 
the end the following:

``SEC. 5341. TECHNICAL ASSISTANCE AND VALUE CAPTURE POLICY.

    ``(a) Technical Assistance and Policy Development.--
            ``(1) Technical assistance grants.--The Secretary may make 
        a grant available to a State or local government if the 
        Secretary determines that such grant will assist recipients 
        under this section to--
                    ``(A) develop more State and local value capture 
                mechanisms for long-term funding that promote mobility, 
                public transportation, and affordable transit-oriented 
                development;
                    ``(B) improve public transportation and mobility; 
                and
                    ``(C) develop strategic partnerships that create 
                greater self-help capacity that leads to greater long 
                term and robust investments in public transportation, 
                mobility, inclusive economic development, and 
                affordable transit-oriented development.
            ``(2) Performance benchmarks and maintenance of effort.--
                    ``(A) Performance benchmarks.--To be eligible for a 
                grant under this section, the grantee shall include in 
                its application an explanation of how the grant funds 
                will demonstrably increase transit capacity and 
                ridership and reduce carbon dioxide emissions, vehicle 
                miles traveled, and congestion.
                    ``(B) Maintenance of effort.--
                            ``(i) In general and possible reduction.--
                        In addition to the eligibility requirements of 
                        subparagraph (A), a grantee also needs to 
                        include in its application a certification to 
                        maintain the same funding level as the 
                        aggregate expenditures at or above the average 
                        level of expenditures in the 2 fiscal years 
                        prior to the date of enactment of this section. 
                        If a State or local government that receives a 
                        grant under this section reduces its combined 
                        fiscal effort for value capture initiatives and 
                        programs or the aggregate expenditures within 
                        the State or local government to support value 
                        capture, public transportation, or affordable 
                        transit-oriented development programs for any 
                        fiscal year that a State or local government 
                        receives a grant authorized under this section 
                        relative to the previous fiscal year, the 
                        Secretary, except as provided in clause (ii), 
                        shall reduce support for such State or local 
                        government under this section by the same 
                        amount as the decline in State or local effort 
                        for such fiscal year.
                            ``(ii) Waiver.--The Secretary may waive the 
                        requirements of this subparagraph if--
                                    ``(I) the Secretary determines that 
                                a waiver would be appropriate due to a 
                                precipitous decline in the financial 
                                resources of a State or local 
                                government as a result of unforeseen 
                                economic hardship or a natural disaster 
                                that has necessitated across-the-board 
                                reductions in State or local services, 
                                including value capture, public 
                                transportation, and affordable transit-
                                oriented development programs; or
                                    ``(II) due to the circumstances of 
                                a State or local government requiring 
                                reductions in specific programs, if the 
                                State or local government presents to 
                                the Secretary a justification and 
                                demonstration why other programs could 
                                not be reduced and how value capture, 
                                public transportation, and affordable 
                                transit-oriented development programs 
                                in the State will not be 
                                disproportionately harmed by such State 
                                or local action.
            ``(3) Davis-bacon.--The Secretary shall ensure that 
        laborers and mechanics employed by contractors and 
        subcontractors in construction work financed by a grant made 
        under this section will be paid wages not less than those 
        prevailing on similar construction in the locality, as 
        determined by the Secretary of Labor under subchapter IV of 
        chapter 31 of title 40 (commonly known as the `Davis-Bacon 
        Act').
            ``(4) Enforcement.--The Secretary may revoke grant funds 
        provided under this section if a grantee fails to implement the 
        maintenance of effort under paragraph (2)(B) and Davis-Bacon 
        provisions referred to paragraph (3).
            ``(5) Evaluation.--Not later than 3 years after receiving a 
        grant under this section, the grantee shall assess the 
        effectiveness of the use of the funds by evaluating whether the 
        funds created a demonstrable increase in transit capacity and 
        ridership and a reduction in carbon dioxide emissions, vehicle 
        miles traveled, and congestion.
            ``(6) Technical assistance.--The Secretary, through a 
        competitive bid process, may enter into contracts, cooperative 
        agreements, and other agreements with national nonprofit 
        organizations and universities that have the appropriate 
        demonstrated capacity to provide value capture-related 
        technical assistance under this subsection, including guidance 
        on implementing foreign value capture models within the United 
        States.
            ``(7) Supplement not supplant.--Grant funds received under 
        this section shall be used to supplement and not supplant other 
        Federal, State, and local public funds expended on public value 
        capture and affordable transit-oriented development programs in 
        the State or local government.
            ``(8) Value capture policy requirements.--
                    ``(A) Value capture policy.--Not later than October 
                1 of the fiscal year that begins 2 years after the date 
                of enactment of this section, the Secretary, in 
                collaboration with State departments of transportation, 
                metropolitan planning organizations, and regional 
                council of governments, shall establish voluntary and 
                consensus-based value capture standards, policies, and 
                best practices for State and local value capture 
                mechanisms that promote greater investments in public 
                transportation and affordable transit-oriented 
                development.
                    ``(B) Report.--Not later than 15 months after the 
                date of enactment of this section, the Secretary shall 
                make available to the public a report cataloging 
                examples of State and local laws and policies that 
                provide for value capture and value sharing that 
                promote greater investment in public transportation and 
                affordable transit-oriented development.
                    ``(C) Best practices.--Based on the report required 
                under subparagraph (B), the Secretary shall identify 
                and disseminate examples of best practices where States 
                and local governments have adopted value capture and 
                value sharing mechanisms that have successfully 
                provided for greater investment in public 
                transportation and affordable transit-oriented 
                development.
    ``(b) Definitions.--For purposes of this section--
            ``(1) the term `value capture' means capturing a portion of 
        the incremental economic value created by government 
        investments, activities, and policies that may generate 
        alternative revenue streams, assets, or other financial value 
        for which could assist in funding those investments and 
        activities;
            ``(2) the term `transit-oriented development' means a mix 
        of commercial, residential, office, and entertainment centered 
        around or located near a public transportation station that 
        promotes affordable housing and commercial space;
            ``(3) the term `affordable housing' means housing, the cost 
        of which does not exceed 30 percent of the income of a family; 
        and
            ``(4) the term `affordable commercial space' means 
        commercial space dedicated to either protect or promote small 
        and disadvantage businesses provided below market rent 
        value.''.
                                 <all>",Incentivizing Value Capture for Greener Transportation Act,"To amend title 49, United States Code, to provide grants and develop value capture policy.",Incentivizing Value Capture for Greener Transportation Act,"Rep. DeSaulnier, Mark",D,CA
102,6468,H.R.3652,Agriculture and Food,"National Food Waste Reduction Act
This bill requires the Department of Agriculture's Food Loss and Waste Reduction Liaison to establish a Food Waste Research Program in partnership with five regional institutions of higher education.
The program must focus on food waste reduction and food recovery issues on a national, regional, and local level and support certain areas of study, such as the diversion of surplus food to those in need and the use of food waste for environmental purposes. The program must share best practices for food waste reduction with governmental entities, agriculture organizations, farmers, and other relevant entities, and must post research and resources on its website.
The bill also establishes a grant program for research centers and nonprofits to support other cooperative efforts relating to food loss and waste reduction.","To direct the Secretary of Agriculture to establish a food waste 
 research and technical assistance program and grant program, and for 
                            other purposes.

    Be it enacted by the Senate and House of Representatives of the 
United States of America in Congress assembled,

SECTION 1. SHORT TITLE.

    This Act may be cited as the ``National Food Waste Reduction Act''.

SEC. 2. FOOD WASTE RESEARCH PROGRAM.

    (a) Establishment.--The Food Loss and Waste Reduction Liaison of 
the Department of Agriculture (in this section referred to as the 
``Liaison'') shall establish a partnership with 5 regional partner 
institutions, selected under subsection (c), to carry out a Food Waste 
Research Program (in this section referred to as the ``Program'').
    (b) Food Waste Research Program Requirements.--
            (1) Duties.--In carrying out the Program, the Liaison, in 
        partnership with the 5 regional partner institutions selected 
        under subsection (c), shall--
                    (A) plan, conduct, and arrange for public research, 
                data, education, and recommendations within the areas 
                of study specified in paragraph (2), as such areas 
                relate to food waste reduction and food recovery issues 
                nationwide, regionally, and locally;
                    (B) carry out the activities of the Program within 
                a variety of regions in the United States, which are 
                identified and categorized by the Liaison based on the 
                specific food recovery and food waste reduction issues 
                of such regions;
                    (C) identify areas to increase efficiency in the 
                allocation of resources, coordination, cooperation, and 
                consolidation of efforts as they relate to local, 
                statewide, Tribal, regional, and Federal food recovery 
                and food waste reduction efforts;
                    (D) create a Program website, as described in 
                paragraph (4), to disseminate information to the 
                public; and
                    (E) collaborate with other colleges, universities, 
                and nonprofit organizations in the regions selected by 
                the Liaison that have demonstrated capability for 
                research, information dissemination, and professional 
                training in order to develop regional networks that are 
                knowledgeable in food waste reduction issues.
            (2) Areas of study.--In carrying out the duties listed in 
        subsection (a), the Liaison and the regional partner 
        institutions shall consider the following areas of study:
                    (A) Reducing the volume of surplus food produced.
                    (B) Feeding individuals in need to utilize excess 
                food, including through the use of donations of surplus 
                food.
                    (C) Diverting food unusable for purposes of 
                subparagraph (B) to feed animals.
                    (D) Utilizing food waste to create renewable energy 
                sources.
                    (E) Composting food waste to create nutrient rich 
                soil.
                    (F) Diminishing the deposits of food waste in 
                landfills and reducing the incineration of food waste.
            (3) Use of funds.--
                    (A) In general.--The Liaison may make funds 
                available under this section to improve the facilities 
                of the regional partner institutions to a level that 
                meets the requirements of the role of a regional 
                partner institution.
                    (B) Plan.--A regional partner institution may not 
                receive any funding for any facility upgrade under 
                subparagraph (A), unless--
                            (i) the regional partner institution 
                        submits to the Liaison a plan detailing the 
                        type of facility construction or improvements 
                        to take place (including any land acquisition, 
                        engineering, design, and staffing and equipment 
                        needs, in addition to other information as 
                        required by the Liaison); and
                            (ii) the Liaison approves such plan.
                    (C) Non-federal cost share for facility 
                improvement.--A regional partner institutions shall be 
                required to provide at least a 20 percent non-Federal 
                cost share for facility improvement or construction 
                projects pursued by a regional partner institution 
                under subparagraph (A).
                    (D) Matching funds for operating expenses.--A 
                regional partner institution shall be required to 
                provide at least a 30 percent non-Federal cost share 
                for all Program operating expenses related to such 
                regional partner institution.
                    (E) Wage rate requirements.--A construction 
                activity carried out pursuant to this section shall 
                meet Federal prevailing wage requirements as determined 
                by the Secretary of Labor in accordance with subchapter 
                IV of chapter 31 of part A of subtitle II of title 40, 
                United States Code, (commonly referred to as the 
                ``Davis-Bacon Act'').
            (4) Food waste research program website.--The Liaison shall 
        establish a website that shall contain at least the following 
        information:
                    (A) Key findings and best practices.
                    (B) A list of collaborations and partnerships 
                carried out pursuant to this section.
                    (C) Annual reports and other pertinent information 
                on the duties of the Program.
                    (D) The location and contact information for 
                regional partner institutions.
                    (E) Federal, State, local, and regionally specific 
                public research, data, education, and policy 
                recommendations that shall be updated in a timely 
                manner with new information.
                    (F) Tools for tracking reduction efforts and 
                measuring food waste production.
    (c) Selection of Regional Partner Institutions.--
            (1) In general.--Not later than 180 days after the date of 
        the enactment of this section, the Liaison shall select 5 
        regional partner institutions to partner with to carry out the 
        requirements of the Program.
            (2) Criteria for regional partner institutions.--In making 
        a selection under paragraph (1), the Liaison shall select an 
        institution of higher education that--
                    (A) has a focus or expertise in at least one of the 
                areas of study described in subsection (b)(2);
                    (B) has the ability to plan, conduct, and arrange 
                for public research, data, education, and 
                recommendations related to food waste reduction and the 
                areas of study described in subsection (b)(2);
                    (C) can assist the Liaison in fulfilling the duties 
                listed in subsection (b)(1);
                    (D) can contribute the required non-Federal funding 
                to maintain a regional partner institution center; and
                    (E) satisfies any other criteria determined by the 
                Liaison.
            (3) Eligible sub-awardees.--A State, Tribal, or local 
        government, local educational agency, agricultural or commodity 
        organization, farmer, or other organization focused on food 
        waste prevention may serve as an eligible sub-awardee of a 
        regional partner institution if the entity meets the 
        requirements of subparagraphs (A) through (C) of paragraph (2).
            (4) Employment status.--Members of regional partner 
        institutions shall not be considered Federal employees for any 
        purpose.
    (d) Collaboration With Federal, Regional, State, Tribal, and Local 
Governments and Organizations.--The Liaison, in conjunction with the 5 
regional partner institutions selected under subsection (c) shall 
collaborate and share best practices on regional, State, Tribal, and 
locally specific food waste and food waste reduction issues with--
            (1) State and county governments;
            (2) Tribal governments;
            (3) units of local government;
            (4) local educational entities;
            (5) colleges and universities;
            (6) agricultural and commodity organizations;
            (7) farmers; and
            (8) organizations focused on food waste prevention.
    (e) Information Collection and Dissemination.--
            (1) Report of regional partner institutions.--Not later 
        than 1 year after the date of the enactment of this section, 
        and annually thereafter, the regional partnership institutions 
        shall submit to the Liaison a report containing the activities, 
        partnerships, collaborations, Federal policy recommendations, 
        previous and continuing budgets, findings, and any other 
        applicable information carried out under the Program.
            (2) Liaison report.--Not later than 15 months after the 
        date of the enactment of this section, and annually thereafter, 
        the Liaison shall submit to the Committee on Agriculture of the 
        House of Representatives and the Committee on Agriculture, 
        Nutrition, and Forestry of the Senate and publish on the 
        Program website an annual report containing a compilation of 
        the activities, partnerships, collaborations, Federal policy 
        recommendations, previous and continuing budgets, findings, and 
        any other applicable information relating to the Program.
            (3) Review of report.--The Liaison shall review the annual 
        report from the regional partner institutions to ensure that 
        funds are being used efficiently according to the duties of the 
        Program and that the Program is producing utilizable public 
        research, data, education, and recommendations related to food 
        waste and food waste reduction issues.
    (f) Authorization of Appropriations.--There are authorized to be 
appropriated to carry out this section $10,000,000 for fiscal year 
2022.

SEC. 3. GRANTS TO RESEARCH CENTERS OR NON-PROFIT ORGANIZATIONS.

    (a) Grant Authority.--Not later than 180 days after the date of the 
enactment of this section, the Food Loss and Waste Reduction Liaison of 
the Department of Agriculture (in this section referred to as the 
``Liaison'') shall establish a grant program under which the Liaison 
shall make grants to eligible entities, on a competitive basis, to 
establish contracts or cooperative agreements described in subsection 
(c) of section 224 of the Department of Agriculture Reorganization Act 
of 1994 (7 U.S.C. 6924(c)) with such eligible entities to carry out the 
duties described in subsection (b) of such section.
    (b) Application.--To be eligible to receive a grant under this 
section, an eligible entity shall submit to the Liaison an application 
at such time and in such manner as the Liaison may require.
    (c) Criteria.--In making grants under this section, the Liaison 
shall consider, with respect to each applicant, the following:
            (1) The alignment of food loss and recovery programs and 
        resources developed by such applicant with the Environmental 
        Protection Agency Food Recovery Hierarchy.
            (2) The ability of the facilities and resources of such 
        applicant to develop and deliver food loss reduction and 
        recovery programs.
            (3) The experience of such applicant in developing high-
        impact food loss reduction and recovery programs and resources 
        at the State, Tribal, regional, or national scale.
            (4) Previous collaboration of such applicant with other 
        food loss reduction and recovery focused organizations in the 
        private, nonprofit, and government sectors.
            (5) Any other information that the Liaison shall require.
    (d) Use of Funds.--An eligible entity that receives a grant under 
this section shall use such grant to carry out the activities described 
in subsection (c) of section 224 of the Department of Agriculture 
Reorganization Act of 1994 (7 U.S.C. 6924(c)) to accomplish the duties 
described in subsection (b) of such section.
    (e) Duration.--Each grant under this section shall be for a period 
of 3 years.
    (f) Grant Renewal.--The Liaison may renew a grant under this 
section for an additional period of 3 years.
    (g) Federal Share.--The Federal share of a grant under this section 
shall not exceed 70 percent of the costs of the activities carried out 
under this section.
    (h) Report to Congress.--Not later than 1 year after the date of 
enactment of this Act, and annually thereafter, the Liaison shall 
submit to Congress a report describing the activities conducted under 
this section and the effects of such activities on food loss and waste 
reduction nationally.
    (i) Eligible Entity Defined.--The term ``eligible entity'' means a 
research center or nonprofit organization described in section 224(c) 
of the Department of Agriculture Reorganization Act of 1994 (7 U.S.C. 
6924(c)).
    (j) Authorization of Appropriations.--There are authorized to be 
appropriated to carry out this section $10,000,000 for fiscal year 
2022.
                                 <all>",National Food Waste Reduction Act,"To direct the Secretary of Agriculture to establish a food waste research and technical assistance program and grant program, and for other purposes.",National Food Waste Reduction Act,"Rep. Axne, Cynthia",D,IA
160,3136,S.1372,Animals,"Sustainable Shark Fisheries and Trade Act of 2021
This bill addresses the conservation and management of sharks.
The bill prohibits the importation into the United States of shark products from a nation that does not have measures to provide for the conservation and management of sharks and measures to prohibit shark finning (the removal of a shark's fins, including the tail, and discarding the remainder of the shark at sea) that are comparable to those of the United States. The bill includes exceptions to this prohibition for law enforcement, subsistence purposes, education, conservation, or scientific research.
The Department of Commerce must certify nations with protections for sharks that are comparable to those of the United States.
Commerce must revise its regulations to include rays and skates as species that are subject to the Seafood Import Monitoring Program. (The Seafood Import Monitoring Program has data reporting and recordkeeping requirements for imported fish or fish products entering U.S. commerce.)","To amend and enhance the High Seas Driftnet Fishing Moratorium 
  Protection Act to improve the conservation of sharks, and for other 
                               purposes.

    Be it enacted by the Senate and House of Representatives of the 
United States of America in Congress assembled,

SECTION 1. SHORT TITLE.

    This Act may be cited as the ``Sustainable Shark Fisheries and 
Trade Act of 2021''.

SEC. 2. SHARK CONSERVATION AND TRADE FAIRNESS CERTIFICATION.

    Section 610 of the High Seas Driftnet Fishing Moratorium Protection 
Act (16 U.S.C. 1826k) is amended--
            (1) in subsection (a)(2)--
                    (A) by striking subparagraph (A) and inserting the 
                following:
                    ``(A) that nation or any individual or entity from 
                that nation has imported shark products into the United 
                States or seeks to import shark products into the 
                United States; and''; and
                    (B) in subparagraph (B)--
                            (i) by striking ``adopted'' and inserting 
                        ``sought and obtained, not later than the 
                        effective date specified in paragraph (8) of 
                        subsection (g), a certification from the 
                        Secretary under that subsection that the nation 
                        has in effect''; and
                            (ii) by striking ``, taking into account 
                        different conditions'';
            (2) in subsection (b), in paragraphs (2) and (3), by 
        striking ``subsection (a)'' each place it appears and inserting 
        ``subsection (a)(1)'';
            (3) in subsection (c)--
                    (A) in paragraph (1), by striking ``subsection 
                (a)'' and inserting ``subsection (a)(1)''; and
                    (B) by adding at the end the following:
            ``(6) Applicability to certain countries.--This subsection 
        does not apply to nations identified under subsection 
        (a)(2).'';
            (4) in subsection (d)--
                    (A) in paragraph (1), by inserting ``or (g)'' after 
                ``under subsection (c)''; and
                    (B) in paragraph (3), by inserting ``or (g)'' after 
                ``under subsection (c)''; and
            (5) by adding at the end the following:
    ``(g) Shark Conservation and Trade Fairness Certification.--
            ``(1) Prohibition on importation.--
                    ``(A) In general.--Except as provided in 
                subparagraph (B), shark products may not be imported 
                into the United States unless the shark products were 
                landed in a nation to which the Secretary has issued a 
                certification or partial certification under paragraph 
                (2).
                    ``(B) Exceptions.--The prohibition under 
                subparagraph (A) shall not apply to shark products that 
                are--
                            ``(i) traded, owned, held, or otherwise 
                        possessed by an employee or agent of a 
                        governmental agency for law enforcement 
                        purposes;
                            ``(ii) used for noncommercial subsistence 
                        purposes in accordance with Federal, State, 
                        tribal, or territorial law;
                            ``(iii) used solely for display, education, 
                        conservation, or research purposes by an 
                        accredited zoo, aquarium, museum, college, or 
                        university; or
                            ``(iv) used by any other person under a 
                        State or Federal permit to conduct 
                        noncommercial scientific research.
            ``(2) Certifications.--Pursuant to the regulations 
        prescribed under paragraph (5), the Secretary--
                    ``(A) shall grant a certification to any nation 
                that has adopted and effectively enforces regulatory 
                programs to provide for the conservation and management 
                of sharks, and measures to prohibit shark finning, that 
                are comparable to those of the United States; and
                    ``(B) may grant a partial certification to a nation 
                if the Secretary determines that the nation--
                            ``(i) has adopted and effectively enforces 
                        regulatory programs that are comparable to the 
                        regulatory programs of the United States to 
                        provide for the conservation and management of 
                        a specific species of shark imported into the 
                        United States or used to produce shark products 
                        imported into the United States; and
                            ``(ii) has in effect an effective ban on 
                        shark finning that is comparable to that of the 
                        United States.
            ``(3) Expiration; renewal.--A certification or partial 
        certification issued under this subsection--
                    ``(A) shall be effective for not more than 3 years 
                from the date of issuance; and
                    ``(B) may be renewed in accordance with the 
                provisions of this subsection relating to the initial 
                issuance of the certification.
            ``(4) Certain determinations.--The Secretary shall make a 
        determination with respect to whether to renew under paragraph 
        (3) or revoke pursuant to paragraph (5)(A)(ii) a certification 
        or partial certification issued under this subsection not later 
        than 180 days after the submission of the application for 
        renewal or the petition for revocation, as the case may be.
            ``(5) Regulations.--
                    ``(A) In general.--Not later than 2 years after the 
                date of the enactment of the Sustainable Shark 
                Fisheries and Trade Act of 2021, the Secretary shall 
                prescribe regulations under chapter 5 of title 5, 
                United States Code, with respect to the submission, 
                evaluation, revocation, and renewal of applications for 
                certifications and partial certifications under 
                paragraph (2). Such regulations shall--
                            ``(i) prescribe the content and format of 
                        applications and standards for the information 
                        to be provided in such applications; and
                            ``(ii) establish a process for petitioning 
                        the Secretary for revocation of the 
                        certification or partial certification of any 
                        nation, including standards for the information 
                        required to be provided to demonstrate that the 
                        nation no longer meets the criteria established 
                        under this subsection for the certification.
                    ``(B) Criteria for certification or partial 
                certification.--The regulations prescribed under 
                subparagraph (A) shall establish criteria for 
                determining whether a nation has and effectively 
                enforces regulatory programs to provide for the 
                conservation and management of sharks, and measures to 
                prohibit shark finning, that are comparable to those of 
                the United States, which shall include, at a minimum, a 
                requirement that such programs--
                            ``(i) be consistent with the national 
                        standards for fishery conservation and 
                        management set forth at section 301(a) of the 
                        Magnuson-Stevens Conservation and Management 
                        Act (16 U.S.C. 1851(a));
                            ``(ii) provide for regularly updated 
                        management plans, scientifically established 
                        catch limits, and bycatch assessments and 
                        minimization;
                            ``(iii) include a program to prevent 
                        overfishing of sharks and rebuild overfished 
                        stocks;
                            ``(iv) require reporting and data 
                        collection;
                            ``(v) be consistent with the International 
                        Plan of Action for Conservation and Management 
                        of Sharks of the Food and Agriculture 
                        Organization of the United Nations; and
                            ``(vi) include a mechanism to ensure that, 
                        if the nation allows landings of sharks by 
                        foreign vessels that are not subject to such 
                        programs, only shark products that comply with 
                        such programs are exported to the United 
                        States.
            ``(6) Publication; public comment.--The Secretary shall--
                    ``(A) publish in the Federal Register notice of 
                applications, petitions, and decisions with respect to 
                certifications, renewal of certifications, or 
                revocation of certifications under this subsection; and
                    ``(B) provide an opportunity for public comment 
                with respect to such applications, petitions, and 
                decisions.
            ``(7) Final agency action.--A decision of the Secretary 
        with respect to the issuance, renewal, or revocation of a 
        certification or partial certification under this subsection, 
        or a failure to make a determination under paragraph (4) in the 
        time required by that paragraph, shall be considered a final 
        agency action for the purposes of chapter 7 of title 5, United 
        States Code.
            ``(8) Effective date.--The prohibition under paragraph (1) 
        shall take effect on the earlier of--
                    ``(A) the date on which regulations are prescribed 
                under paragraph (5); or
                    ``(B) the date that is 3 years after the date of 
                the enactment of the Sustainable Shark Fisheries and 
                Trade Act of 2021.
            ``(9) Definitions.--In this subsection:
                    ``(A) Shark.--The term `shark' means any species of 
                the subclass Elasmobranchii.
                    ``(B) Shark product.--The term `shark product' 
                means live sharks, whole sharks, and the meat, skin, 
                oil, fins (including wings and tails), gill rakers, 
                cartilage, jaws, teeth, liver, or any product 
                containing meat, skin, oil, fins (including wings and 
                tails), gill rakers, cartilage, jaws, teeth, or liver 
                derived from sharks.
                    ``(C) Shark finning.--The term `shark finning' 
                means the removal of a shark's fins, including the 
                tail, and discarding the remaining carcass of the shark 
                at sea.''.

SEC. 3. ACTIONS TO STRENGTHEN INTERNATIONAL FISHERY MANAGEMENT 
              ORGANIZATIONS.

    Section 608(a) of the High Seas Driftnet Fishing Moratorium 
Protection Act (16 U.S.C. 1826i(a)) is amended--
            (1) in paragraph (1), by striking subparagraph (F) and 
        inserting the following:
                    ``(F) to adopt shark conservation and management 
                measures and measures to prevent shark finning that are 
                consistent with the International Plan of Action for 
                Conservation and Management of Sharks of the Food and 
                Agriculture Organization of the United Nations;''; and
            (2) by striking paragraph (3) and inserting the following:
            ``(3) seeking to enter into international agreements that 
        require measures for the conservation and management of sharks 
        and measures to prevent shark finning that are consistent with 
        the International Plan of Action for Conservation and 
        Management of Sharks; and''.

SEC. 4. INCLUSION OF RAYS AND SKATES IN SEAFOOD TRACEABILITY PROGRAM.

    Not later than one year after the date of the enactment of this 
Act, the Secretary of Commerce shall revise section 300.324 of title 
50, Code of Federal Regulations to include rays and skates on the list 
provided for under subsection (a)(2) of that section.

SEC. 5. RULES OF CONSTRUCTION.

    (a) Additional or More Stringent Requirements.--Nothing in this 
Act, or an amendment made by this Act, shall be construed to preempt 
any Federal or State law establishing additional or more stringent 
requirements than the requirements of subsection (g) of section 610 of 
the High Seas Driftnet Fishing Moratorium Protection Act (16 U.S.C. 
1826k), as added by section 3.
    (b) Agency Responsibilities.--Nothing in this Act, or an amendment 
made by this Act, shall be construed to infringe on the duties of any 
agency other than the Department of Commerce, or to impose additional 
duties, in enforcing the agency's responsibilities related to imports.

SEC. 6. FUNDING.

    There are authorized to be appropriated to the Secretary of 
Commerce to carry out this Act, and the amendments made by this Act--
            (1) $325,000 for fiscal year 2022;
            (2) $325,000 for fiscal year 2023;
            (3) $400,000 for each of fiscal years 2024, 2025, and 2026; 
        and
            (4) $250,000 for fiscal year 2027.
                                 <all>",Sustainable Shark Fisheries and Trade Act of 2021,"A bill to amend and enhance the High Seas Driftnet Fishing Moratorium Protection Act to improve the conservation of sharks, and for other purposes.",Sustainable Shark Fisheries and Trade Act of 2021,"Sen. Rubio, Marco",R,FL
164,2427,S.431,Transportation and Public Works,"Generating Resilient, Environmentally Exceptional National Streets Act or the GREEN Streets Act
This bill establishes national goals to reduce carbon dioxide and other greenhouse gas emissions and improve the resilience of the transportation system.
Specifically, the bill directs","To amend title 23, United States Code, to require transportation 
 planners to consider projects and strategies to reduce greenhouse gas 
                   emissions, and for other purposes.

    Be it enacted by the Senate and House of Representatives of the 
United States of America in Congress assembled,

SECTION 1. SHORT TITLE.

    This Act may be cited as the ``Generating Resilient, 
Environmentally Exceptional National Streets Act'' or the ``GREEN 
Streets Act''.

SEC. 2. CONSIDERATION OF PROJECTS AND STRATEGIES TO REDUCE GREENHOUSE 
              GAS EMISSIONS.

    (a) National Goals and Performance Management Measures.--Section 
150 of title 23, United States Code, is amended--
            (1) in subsection (b)--
                    (A) by redesignating paragraph (7) as paragraph 
                (8); and
                    (B) by inserting after paragraph (6) the following:
            ``(7) Combating climate change.--To reduce carbon dioxide 
        and other greenhouse gas emissions and improve the resilience 
        of the transportation system.'';
            (2) in subsection (c)--
                    (A) in paragraph (1)--
                            (i) by striking the paragraph designation 
                        and all that follows through ``Not later'' and 
