postUrl,sharedPostUrl,type,imgUrl,postContent,likeCount,commentCount,repostCount,postDate,viewCount,action,profileUrl,timestamp,postTimestamp,videoUrl,sharedJobUrl
https://www.linkedin.com/feed/update/urn:li:activity:7224765089826885632,https://www.youtube.com/watch?v=I4txT1U3ncM,Article,,"My presentation from the Animal & Vegan Advocacy (AVA) Summit is now live on YouTube! The focus of my talk is practical applications of AI for non-technical animal advocates, providing a step-by-step approach to implementing AI in animal advocacy.",16,1,0,1d,540,Post,https://www.linkedin.com/in/sam-tucker-vegan/,2024-08-02T22:55:30.617Z,2024-08-01T13:17:07.059Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7224277144644829185,,Text,,"The biggest flaw in almost all methods of measuring animal welfare is ignoring the negative value of death itself. This is a huge error, but I think we can correct for it fairly easily.

In most cases, people have a much stronger desire to avoid death than they do to avoid suffering. Outside of depression and mental illness, this tends to hold true in almost all cases except for the most extreme and hopeless forms of suffering, such as truly excruciating pain from a terminal disease.

1 in 5 people live with chronic pain and the vast majority of them don’t even think about suicide, yet alone act on it. So even people with intense and unending pain usually would prefer to live with that pain than die.

It seems intuitively obvious that animals have similar preferences, given how deeply rooted a desire to avoid death is in our collective evolutionary biology. Any animal that wasn’t willing to experience pain over death would have died out a long time ago and the same evolutionary pressures that caused us as humans to value our own lives so much have most likely affected all animals in the same way.

So to measure the true negative value of death within the same framework we use to measure welfare, we can ask ourselves one simple question: how much pain and suffering is the average person willing to experience in order to avoid death?

The negative value of death then must be equivalent to an amount of suffering that is so extreme, prolonged and inevitable that any rational person would choose death to end it.

That leads me to think that for most animals, despite the fact that we cause them extreme and prolonged pain in our food system, the worst thing we do for their welfare is killing them. Especially because the pain we inflict on animals is very far from inevitable, it’s a direct result of the conditions we inflict upon them.

It’s actually hard to imagine the sheer level of torture you would have to inflict on someone (whether human or otherwise) for them to actually prefer you would have killed them instead.

The idea that killing someone is amongst the worst things you could possibly do to them if you care about their welfare is very uncontroversial when we’re talking about humans, and it’s also actually pretty uncontroversial when we talk about companion animals too.

If you had to choose between someone punching your healthy, happy dog in the face (causing them pain, but not killing them) or shooting them in the back of the head while they sleep (killing them, but not causing them pain), you’d probably struggle to find anyone who thinks that shooting them is genuinely the better choice for their dog’s welfare.

The fact that killing someone who doesn’t want to die is amongst the worst things we can do for their welfare is entirely uncontroversial and it’s time for us to apply that equally towards all animals.",28,10,5,2d,1802,Post,https://www.linkedin.com/in/sam-tucker-vegan/,2024-08-02T22:55:30.618Z,2024-07-31T04:58:11.862Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7219971745666015232,,Image,https://media.licdn.com/dms/image/D5622AQFElWolO4nNTA/feedshare-shrink_800/0/1721375403284?e=1725494400&v=beta&t=Ly76WjH1qe4OHtgDI0-yNyV95FTCXOT6PSrhEZuN960,"The best thing about working from home is that when my dog has a panic attack in the middle of the day for no apparent reason, she can just cuddle me on the couch until she feels better ❤️

Avra didn't have an easy start to life as a victim of abuse living on the streets that narrowly avoided death when she ended up in the shelter system. 

When I first started fostering her (which didn't last long because I ended up adopting her pretty much straight away), it would sometimes take her days to recover from a panic attack. 

Today, it only took her a few minutes of cuddling on the couch to recover from her first panic attack in nearly two years.",97,3,0,2w,2183,Post,https://www.linkedin.com/in/sam-tucker-vegan/,2024-08-02T22:55:30.618Z,2024-07-19T07:50:04.755Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7218043615233679361,,Text,,"The biggest misconception about Open Paws is thinking that we are trying to build a Large Language Model like ChatGPT from scratch. This has never been our goal.

Our focus is on building a massive database with reliable information on animal rights issues and veganism, ranked by animal advocates for relevance, ethical alignment, trustworthiness, logic, emotional impact, and cultural sensitivity.

This database will contain scientific studies, research reports, social media marketing analytics, campaign materials, statistics, examples of successful campaigns, website content, and more.

Every intervention at the intersection of AI and animal advocacy requires gathering data first, not just training custom models.

If you want to use existing AI models and ensure they’re giving reliable responses, you need a database like this to ground its responses in factual information.

If you want to influence third-party AI models to be more animal-friendly, you need a database like this for those companies to extract data from.

If you want to train animal advocacy organizations on using AI tools effectively, you need a database like this for them to add their own data, so their AI can provide contextually relevant responses.

We will start by training predictive models to estimate how content will perform across various metrics, including social media engagement, political influence, donation potential, and more. These models can be used as standalone tools to test content variations before going live or combined with existing AI tools to filter out bad responses and return the best ones.

Only after we’ve done all of that, funded entirely by free cloud computing credits, will we look at fine-tuning existing open-source LLMs, not training any new ones from scratch.

Our approach, based on an extensive literature review of over 1,000 research papers on ML and AI, is scientifically sound, technically implementable, and will significantly improve AI performance on animal advocacy tasks for a fraction of the cost of training an LLM from scratch.

We will start with a state-of-the-art open-source LLM and continue pre-training on our niche-specific database before fine-tuning using our predictive models as the reward function. This ensures the AI gains a deeper understanding of animal advocacy facts and is optimized to create real-world change for animals, not just repeat common viewpoints.

Meanwhile, this technology is only part of our work. We’ve given over 50 free consultations to animal advocacy organizations, prepared policy reports, advised students, built custom AI-powered automations, made VEG3 freely available to over 5,000 users, surveyed nearly 200 animal advocacy organizations about their AI use, presented at conferences, developed academic research agendas, and engaged with major AI labs.

Yet, the misconception persists that we are solely focused on building a new Large Language Model from scratch.",43,8,1,2w,2106,Post,https://www.linkedin.com/in/sam-tucker-vegan/,2024-08-02T22:55:30.619Z,2024-07-14T00:08:22.637Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7216954396641742848,,Document,,"𝗪𝗵𝗮𝘁 𝗰𝗮𝗺𝗲 𝗳𝗶𝗿𝘀𝘁 𝘁𝗵𝗲 𝗳𝘂𝗻𝗱𝗶𝗻𝗴 𝗼𝗿 𝘁𝗵𝗲 𝗶𝗺𝗽𝗮𝗰𝘁?

𝗙𝘂𝗻𝗱𝗲𝗿𝘀 𝘄𝗮𝗻𝘁 𝘁𝗼 𝗳𝘂𝗻𝗱 𝘀𝗼𝗰𝗶𝗮𝗹 𝗰𝗵𝗮𝗻𝗴𝗲 𝘁𝗵𝗮𝘁 𝗶𝘀:

✅ Evidenced
✅ Cost effective
✅ Innovative
✅ Monitored
✅ Costed
✅ Sustainable
✅ Well communicated

But it all costs the ""sort of money"" - they don't want to spend.

𝗕𝗲𝗰𝗮𝘂𝘀𝗲 𝘁𝗵𝗲 𝗮𝗯𝗼𝘃𝗲 𝘁𝗮𝗸𝗲𝘀 𝗶𝗻𝘃𝗲𝘀𝘁𝗺𝗲𝗻𝘁 𝗶𝗻:

💹 IT systems
💹 Financial systems
💹 Staff training
💹 Fundraising processes
💹 Talent 
💹 Communications

which are all ""overheads"" - and typically not fundable.

Funders don't want to pay for overheads - even though it would improve impact and impact measurement.

Most funders allocate between 10% to 20% of their donation to cover them - but research shows most overheads absorb 17% to 35% of costs. 

So even on the ""shoe-string"" budget, the real costs are not being covered.

So why don't charities invest in the above themselves??

If a charity invested in IT for example, and got rid of all the outdated and highly manual systems - it would be better for the staff (less burn out) and the service users (if it improved the quality, quantity or speed of service).

It might be expensive to implement but could save money in the mid and long term. 

But charities don't because it would (a) spike those overheads in year one (b) wouldn't get funded if it was considered an overhead.

So, staff compensate for lack of resources and service users suffer.

And charities continue to report low overheads and high impact to conform to funders' wishes/pressure.

But the more charities report doing well on low overheads - the more funders believe it's possible.

Throw in deeply ingrained behaviour and a power imbalance - and you're stuck in a vicious circle.

It's call ""The Starvation Cycle"" (which I've tried to illustrate in the carousel below).

𝗧𝗵𝗲 𝗼𝗻𝗹𝘆 𝘄𝗮𝘆 𝘁𝗼 𝗯𝗿𝗲𝗮𝗸 𝗳𝗿𝗲𝗲 𝗶𝘀 𝘁𝗼 𝘀𝗵𝗶𝗳𝘁 𝗳𝘂𝗻𝗱𝗲𝗿𝘀' 𝗳𝗼𝗰𝘂𝘀 𝗙𝗥𝗢𝗠 𝗰𝗼𝘀𝘁 𝗲𝗳𝗳𝗲𝗰𝘁𝗶𝘃𝗲𝗻𝗲𝘀𝘀 𝗧𝗢 𝗼𝘂𝘁𝗰𝗼𝗺𝗲𝘀.

Cost effectiveness STARVES impact - it doesn't drive it. 

Investment in infrastructure benefits service users much more than reducing costs.

📌 𝗔𝗰𝗵𝗶𝗲𝘃𝗶𝗻𝗴 𝗺𝗼𝗿𝗲 𝗳𝗼𝗿 𝗲𝗻𝗱 𝘂𝘀𝗲𝗿𝘀 𝘀𝗵𝗼𝘂𝗹𝗱 𝗯𝗲 𝘁𝗵𝗲 𝗱𝗿𝗶𝘃𝗶𝗻𝗴 𝗳𝗼𝗿𝗰𝗲 𝗳𝗼𝗿 𝗮𝗹𝗹 𝗱𝗼𝗻𝗮𝘁𝗶𝗼𝗻𝘀 - 𝗮𝗻𝗱 𝗰𝗼𝘂𝗹𝗱 𝗯𝗲 𝘁𝗵𝗲 𝘀𝗽𝗼𝗸𝗲 𝗶𝗻 ""𝗧𝗵𝗲 𝗦𝘁𝗮𝗿𝘃𝗮𝘁𝗶𝗼𝗻 𝗖𝘆𝗰𝗹𝗲'𝘀"" 𝘄𝗵𝗲𝗲𝗹...

BUT it would need a sector wide approach.

If charities continue to say 100% of your donation goes to XYZ or we keep our overheads low - the longer ALL charities will be stuck in the starvation cycle.

Staff and service users deserve investment.  Most charities are trying to solve big social issues, while balancing burn out, staff turnover, lack of resources etc.

Doing it all on a shoe-string budget isn't serving the people or shifting the needle on the issues.

It's time to break the starvation cycle- before it breaks the sector....

🔨",607,100,81,4w,,Sam Tucker ⓥ reposted this,https://www.linkedin.com/in/sam-tucker-vegan/,2024-08-02T22:55:30.622Z,2024-07-11T00:00:12.688Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7202269856505683968,,Image,https://media.licdn.com/dms/image/D5622AQFee_9PTd30-Q/feedshare-shrink_800/0/1717154944088?e=1725494400&v=beta&t=fIpuoRBgaS6pxZ165kWOTMcFZzXY3rkn6FVUOMJ1PXo,"After enjoying a few days with my friend in Bangkok on the way to London, I'm back on another plane getting ready to attend the Effective Altruism Global Conference and to speak at the AI, Animals & Digital Minds Conference 🤖🐾🧠

If you're going to be at either event, come and say hi if you see me around 👋",16,1,0,2mo,774,Post,https://www.linkedin.com/in/sam-tucker-vegan/,2024-08-02T22:55:30.622Z,2024-05-31T11:29:05.494Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7201404894161821696,,Image,https://media.licdn.com/dms/image/D5610AQG3p4hxagI22Q/image-shrink_800/0/1716937204001?e=1723244400&v=beta&t=vgUomxWYTxpB8H7R0wVG-Taqo0JfFttMxBBkpj96jiw,"Nearly 200 animal advocates from more than 100 animal rights organisations have already filled out this survey on AI usage in animal advocacy!

We're only keeping this survey open until the end of the month, so if you haven't filled out the survey already, now is your last chance to do so: https://buff.ly/44phwDN",5,0,1,2mo,,Sam Tucker ⓥ reposted this,https://www.linkedin.com/in/sam-tucker-vegan/,2024-08-02T22:55:30.623Z,2024-05-29T02:12:02.401Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7200021776041402368,,Text,,"Within the animal rights movement, I’ve seen a lot of very minor disagreements between advocates cause disproportionate amounts of division and harm to our movement. 

I’ve been reflecting a lot on why this happens, who it benefits and what we can learn about it from the great social justice movements of the past. As I’ve been thinking about this, I’ve found that history and psychology both have a lot to teach us about this topic. 

From a historic perspective, we can see that virtually all successful social justice movements have been disrupted by their opposition, who have intentionally exacerbated disagreements and created division in order to weaken those movements.

COINTELPRO, a covert operation where the FBI infiltrated and disrupted various social justice groups, is a great example of this, and thanks to many declassified documents, we know exactly what kind of tactics they used to divide and conquer these movements.

An FBI agent describing COINTELRPO said “in every instance, consideration should be given to disrupting the organized activity of these groups and no opportunity should be missed to capitalize upon organizational and personal conflicts in their leadership.”

From a psychological perspective, humans are particularly vulnerable to this kind of exploitation due to the ""narcissism of small differences."" This concept suggests that the more a community shares commonalities, the more likely its members are to engage in interpersonal conflicts and ridicule. 

This happens because the more we consider a community to be part of our identity, the more our ego subconsciously wants that community to be smaller, so that we in turn feel more special for being part of it. 

The end result is that strong, united and powerful movements fracture into a disorganised mess of increasingly smaller and weaker factions that refuse to co-operate with each other, a process that is driven just as much by the natural flaws of human psychology as it is by those who benefit from seeing this flaw exacerbated.

So whenever you find yourself disagreeing with another advocate in the animal rights movement, ask yourself these two questions.

First, is this disagreement objectively large enough to justify the level of division it is causing? If someone from outside of our movement were to see this disagreement, would they consider our views to be as different as we believe them to be, or would our views look very similar from an external perspective?

Second, is this disagreement making the movement stronger or weaker? And if this disagreement is weakening the movement, who benefits the most from that?",48,15,3,2mo,3473,Post,https://www.linkedin.com/in/sam-tucker-vegan/,2024-08-02T22:55:30.624Z,2024-05-25T06:36:01.344Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7199536798404911104,,Image,https://media.licdn.com/dms/image/D5622AQGCLISzF9bMrA/feedshare-shrink_800/0/1716503333002?e=1725494400&v=beta&t=dfEkQ0ucohmJIzTaZDcz6uLqWzkEP7PMotagUZOgTr8,"I just landed back home in Australia a couple of days ago after speaking at the Animal & Vegan Advocacy (AVA) Summit in Washington DC and soon I'll be getting back on another plane to speak at the AI, Animals and Digital Minds Conference in London! 

In this talk, I'll discuss some of the latest findings in ML and AI research and how they can be applied to building systems that are aligned with the interests of all animals and devoid of speciesist bias.

Thank you to Constance Li and the team at Hive for all of the hard work that went into organising this conference.",51,3,1,2mo,1445,Post,https://www.linkedin.com/in/sam-tucker-vegan/,2024-08-02T22:55:30.625Z,2024-05-23T22:28:53.665Z,,
https://www.linkedin.com/feed/update/urn:li:activity:7198290272198250509,,Image,https://media.licdn.com/dms/image/D5622AQFBdlmxaxieAA/feedshare-shrink_800/0/1716206136287?e=1725494400&v=beta&t=advOI01e0PKorlI5HSRJ4pyNRzOagPW1-7YMqRk6Wjo,"I'm so honored to have been part of so many important discussions about artificial intelligence in the animal rights movement this year at Animal & Vegan Advocacy (AVA) Summit.

Not only did I present on the topic, but I also had the chance to be part of multiple organised meet ups about it and talk to countless people about it one on one.

The biggest takeaway for me has been that the movement finally understands the importance of AI and its potential impact for animals, but most animal advocates still feel lost and directionless when it comes to actually knowing what to do about it, including many AI experts!

The four things there seem to be the strongest agreements about are that we need to collect more data, we need to invest more in training advocates to use AI, we need to create tools that are easier for animal advocates to use for their specific use cases and we need to increase our influence within major AI companies.

To me it's been very affirming that we're on the right path with Open Paws, with our first intervention being collecting and pooling together data on animal advocacy and our next three interventions focused on using that data to create better AI tools for advocates, teach animal advocates how to use them effectively and share that data with major AI companies to improve that animal-friendliness of their models.",94,10,0,2mo,3139,Post,https://www.linkedin.com/in/sam-tucker-vegan/,2024-08-02T22:55:30.626Z,2024-05-20T11:55:38.658Z,,
