Date,Content,Created by,Labels,Organic Reach,Paid Reach,Total reach,Organic impressions,Paid impressions,Total impressions,Engaged users,Engagement rate per reach (%),Engagement rate per impression (%),Clicks,Link clicks,Photo views,Video play,Other clicks,Organic video views,Paid video views,Total video views,Average time watched,Average percentage of time watched,Url
01/01/2024 00:19 PM EST -0500,"We often start the New Year with a whole bunch of resolutions to change our lives for the better. But what if we started this 2024 with a list of wishes that would make the world a better place for people, animals, and nature alike?   1. May every animal farm close down forever 2. May no activist for social justice be prosecuted or sent to prison for defending lives, exposing cruelty, or speaking up. 3. May no more ancestral lands be devastated for profit. 4. May more laws be passed to restore nature and protect wildlife. 5. May whaling be banned forever, everywhere in the world. 6. May all countries in the world ban wild animal circuses and shows. 7. May technology keep innovating to give us even more plant-based alternatives to all animal products.  What are your wishes and hopes for 2024? Add them in the comments below! 👇",,,1384,0,1384,1417,0,1417,12.0,0.9,0.8,1,0,1,0,1,,,,,,https://www.facebook.com/photo.php?fbid=420996280251535&set=a.296116792739485&type=3
01/02/2024 00:08 PM EST -0500,Cheers to the start of 2024! 🎉 Embracing new beginnings with fresh accounts and valuable content for our follow list. Here are a few favorites to kick off the year right! 💫   💚 Earthling Ed  💚 Joey Carbstrong  💚 Ryuji Chua  💚 Nzinga Young 💚 Tash Peterson  💚 Farah Amber  💚 Jamie’s Corner  💚 Zacchary Bird  💚 BlackForager 💚 Humane_Vision (IG)  #NewYearNewFollows #2024Favorites,,,1648,0,1648,1814,0,1814,,,,0,0,0,0,14,5694.0,0.0,5694.0,7.0,21.0,https://www.facebook.com/421477633536733
01/02/2024 03:40 PM EST -0500,"There are so many important reasons why people switch to a vegan or plant-based diet, but — in a world dominated by the meat industry and its aggressive marketing and lobbying tactics — it is not always easy to stick to our principles.  But just because we fell off the vegan wagon once does not mean we have to stay off it!  ",,,829,0,829,843,0,843,27.0,3.3,3.2,3,3,0,0,3,,,,,,https://www.facebook.com/421546500196513
01/03/2024 02:50 PM EST -0500,"""Animal rights campaigners are urging Michael Gove to stop the construction of the UK’s first fully on-land salmon farm, claiming the decision to give it planning permission was flawed.""  Why does the government allow these awful farms to be approved? 🐟",,,668,0,668,671,0,671,16.0,2.4,2.4,4,4,0,0,2,,,,,,https://www.facebook.com/422055433478953
01/03/2024 03:54 PM EST -0500,"“Eating a healthy diet is a known way to help keep a person’s heart healthy and lower their risk for cardiovascular disease.""  Did you go vegan for your health? ❤️🌱",,,679,0,679,695,0,695,20.0,2.9,2.9,9,9,0,0,1,,,,,,https://www.facebook.com/422076100143553
01/03/2024 05:44 PM EST -0500,"Exploring common ground between veganism and Islam with Altamush Saeed, a passionate social justice advocate and follower of Islam 🌱✨  Islam's teachings of compassion and kindness toward all living beings resonate with the vegan philosophy of advocating compassion by avoiding the use of animals for food, clothing, or any other purpose.   Now is the ideal moment to embrace a vegan lifestyle! 🌿",,,900,0,900,927,0,927,41.0,4.6,4.4,0,0,0,0,10,280.0,0.0,280.0,13.0,5.8,https://www.facebook.com/422110210140142
01/04/2024 02:45 PM EST -0500,"Growing little hearts with compassion and nourishing minds with kindness. 🌱✨  Planting the seeds of a plant-based lifestyle in the next generation for a healthier, more sustainable future.   📹  Naomi Hallum",,,1546,0,1546,1546,0,1546,,,,0,0,0,0,26,1308.0,0.0,1308.0,9.0,20.1,https://www.facebook.com/422599910091172
01/04/2024 02:50 PM EST -0500,"""The king reportedly sticks to mostly plant-based eating and a simple exercise routine to stay healthy.""  A vegan diet: fit for a King 👑",,,1006,0,1006,1012,0,1012,92.0,9.1,9.1,18,18,0,0,63,,,,,,https://www.facebook.com/422601853424311
01/04/2024 03:54 PM EST -0500,"""Rapidly reducing animal agriculture and shifting humanity to a plant-based diet is one of the best, easiest and fastest things we can do to save the planet.""  Do you support the Plant Based Treaty?",,,681,0,681,717,0,717,21.0,3.1,2.9,2,2,0,0,2,,,,,,https://www.facebook.com/422623136755516
01/05/2024 10:46 AM EST -0500,"Meet Deeko.  🐣 As a male chick in the egg industry, Deeko faced a tragic fate. Thankfully he was rescued and just look how much his life means to him.🩷💚  🐥💔 Henry Spira once questioned why we cuddle some animals and put a fork in others. One look at Deeko, and we know there is no reason to deny any animal compassion.  Video by: fawziajaffan (IG) Edit by Farah Amber",,,20189,0,20189,20189,0,20189,,,,0,0,0,0,838,28409.0,0.0,28409.0,11.0,46.8,https://www.facebook.com/423068376710992
01/05/2024 02:50 PM EST -0500,"""Meat enthusiasts might want to look away now because the Stanford findings chime with a wealth of other evidence suggesting a vegan diet is good for you.""  Will you choose vegan for your health? 🤔💪",,,829,0,829,829,0,829,37.0,4.5,4.5,5,5,0,0,3,,,,,,https://www.facebook.com/423170273367469
01/05/2024 03:54 PM EST -0500,"""Airlines have started offering vegan meal options, some still need to catch up in fully incorporating them into their menus.""  Which airlines need to improve their vegan options? Tag them below! 👇✈️",,,1225,0,1225,1247,0,1247,51.0,4.2,4.1,17,17,0,0,10,,,,,,https://www.facebook.com/423190900032073
01/06/2024 01:12 PM EST -0500,"McCartney, who has long been vocal in her disdain for leather and fur, urged other designers to ditch animal materials and move to more sustainable plant-based alternatives  ",,,375,0,375,382,0,382,3.0,0.8,0.8,3,3,0,0,0,,,,,,https://www.facebook.com/423661439985019
01/06/2024 02:37 PM EST -0500,"Not only is animal agriculture a cruel industry, but it is also a highly inefficient way to feed our growing population.  Resources to learn more 👉  GenV.org/why-vegan/for-the-planet/   Global research shows that farming animals requires vast amounts of fresh water and land  — land that could instead be used to more efficiently grow crops for human consumption, or be allowed to return to its natural state.  We can choose to reject this destructive industry. We can choose more environmentally conscious vegan options instead. Try our free 7-Day Vegan For The Planet challenge today.",,,1837,0,1837,1905,0,1905,38.0,2.1,2.0,8,0,8,0,9,,,,,,https://www.facebook.com/photo.php?fbid=423691796648650&set=a.296116792739485&type=3
01/06/2024 02:50 PM EST -0500,"""The environmental impacts of meat and dairy consumption are well documented. As thousands join the 10th year of Veganuary, how far have attitudes towards veganism changed?""  How far do you think veganism will go in the next ten years?",,,459,0,459,463,0,463,12.0,2.6,2.6,2,2,0,0,4,,,,,,https://www.facebook.com/423696063314890
01/07/2024 11:35 AM EST -0500,"As we get older our eating patterns and behaviors are likely to change. While we can get all the nutrients we need on a vegan diet, there are things to be aware of as we age.  One common change as we get older among all diets is that we tend to eat less, which can lead to insufficient intakes of calcium, iron, zinc, B vitamins, and vitamin E. Even getting sufficient calories can be an issue.  But none of this has to be a problem. Learn more about veganism in older age on our website: genv.org/veganism-for-all/veganism-in-older-age/",,,1474,0,1474,1494,0,1494,,,,1,1,0,0,12,1306.0,0.0,1306.0,5.0,22.9,https://www.facebook.com/424173863267110
01/07/2024 02:50 PM EST -0500,"""The study published in JAMA Network Open found that consumers could save an estimated $500 a year if they opted to go vegan.""  Have you saved money by switching to a vegan diet? 🤑",,,795,0,795,813,0,813,14.0,1.8,1.7,4,4,0,0,0,,,,,,https://www.facebook.com/424252696592560
01/07/2024 05:59 PM EST -0500,Did you know that a vegan diet has been found to improve cardiovascular health?  Have you noticed any health benefits since going vegan? Share your experience with us!  ,Jamie Logan,,850,0,850,860,0,860,46.0,5.4,5.3,11,11,0,0,1,,,,,,https://www.facebook.com/424314043253092
01/08/2024 00:12 PM EST -0500,"Dora is taking her first walk after being rescued from an animal testing laboratory. We are so grateful to her rescuers and so proud of this brave soul.  More than 50 million animals undergo experiments in US labs annually.  Animal testing is bad science, and it is cruel.",,,10910,0,10910,11172,0,11172,,,,5,5,0,0,538,11668.0,0.0,11668.0,9.0,98.7,https://www.facebook.com/424738566543973
01/08/2024 02:50 PM EST -0500,"""Nestled in the Gulf of Thailand, this island paradise has evolved into a haven for those passionate about conscious living, veganism, and sustainable tourism.""  BRB, going to Thailand! 🇹🇭 🏝️",,,985,0,985,999,0,999,45.0,4.6,4.5,31,31,0,0,0,,,,,,https://www.facebook.com/424799263204570
