Date,Content,Created by,Labels,Reach,Completion rate (%),Video replays,Watched fully,Engagement,Engagement rate per impression (%),Engagement rate per reach (%),Impressions,Url
12/04/2023 02:32 PM EST -0500,"Surendra decided to go vegan in 1986. Thirty-six years later, at 88 years of age, he enjoys great health and stays fit and active. As he testifies, regardless of age, a vegan diet is a healthy option, and the sooner you switch, the better it is for you! #vegan #antiaging #fitness #health #inspiring",,,0,100.0,0,0,0,0.0,0.0,0,https://www.tiktok.com/@genv_eng/video/7308824666271976734?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/05/2023 05:11 PM EST -0500,"Every piece of packaged meat at the store, was once an animal that wanted to live.  How can we improve as a society if we treat our weakest members like their lives don’t matter? _____ #AnimalRights #vegan #SaveAnimals #Crab",,,0,100.0,0,0,0,0.0,0.0,0,https://www.tiktok.com/@genv_eng/video/7309236634430541087?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/06/2023 02:44 PM EST -0500,Let’s debunk the myth that meat consumption is a measure of manliness. The true measure of a man is how he treats those around him. Let’s reject toxic masculinity and acknowledge that kindness and empathy are not signs of weakness but a natural and healthy part of being human 🙅‍♂️🚫🥩. 💚 @The Vegan Queens  #masculinity #DragQueens #ToxicMasculinity #meat #veganism,,,353,70.1,50,58,28,6.9,7.9,403,https://www.tiktok.com/@genv_eng/video/7309569823661444382?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/07/2023 04:30 PM EST -0500,"It is with deep sadness we commemorate the passing of our friend in social justice, Benjamin Zephaniah.  We were beyond delighted when he agreed to support our very first campaign, challenging Pope Francis to go vegan for Lent. Benjamin always went the extra mile for the campaigns he supported. And he supported many. Benjamin was a poet, a writer, a musician, a husband, a campaigner, a professor, a martial artist, and a vegan. He was also our friend, and it was our deep privilege to know him and to work with him. @Benjamin zephaniah  #RIP #BenjaminZephaniah #InLovingMemory #ThankYou",,,5939,24.1,635,448,926,14.1,15.6,6574,https://www.tiktok.com/@genv_eng/video/7309968232880852254?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/08/2023 04:36 PM EST -0500,"One of these animals will be loved and cared for, and the other will be exploited and killed. There are no differences between dogs and cows, certainly not in the ways that matter. Human violence towards animals must end. We should treat all animals with love and respect. #Dog #Cow #CuteAnimals",,,798,41.6,100,129,157,17.5,19.7,898,https://www.tiktok.com/@genv_eng/video/7310340987249888542?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/11/2023 04:29 PM EST -0500,This is how you have a turkey for Christmas dinner! At the table WITH you. Alive and free! Go vegan today for them. Try our 7-day vegan challenge at the link in our bio. _____________ genv.org/go-vegan #ChristmasDinner #Turkey #CuteAnimals #AnimalRescue #Vegan,,,932,26.1,93,68,153,14.9,16.4,1025,https://www.tiktok.com/@genv_eng/video/7311452201048706335?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/12/2023 04:03 PM EST -0500,"Wouldn't our world be better if we chose to be kind? We don't all have to rehabilitate animals like this compassionate family did, but we can decide not to buy meat. We can choose not to support an industry that cages animals from birth, raises them in sheds, and then transports them to their deaths. A kind world starts on your plate. #kindness #pigs #AnimalRescue #compassion",,,162969,23.6,14384,14613,10710,6.0,6.6,177353,https://www.tiktok.com/@genv_eng/video/7311816836830530846?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/15/2023 04:05 PM EST -0500,"If you are rooting for him to escape, you understand veganism. All animals fight for their lives. They run, they hide, they desperately try to escape those who intend to harm them. Thank you to @skylandssanctuary for saving Ricardo from the slaughterer’s knife and bringing him to safety. #AnimalRescue #LetThemLive #VeganForTheAnimals",,,9685,31.0,1315,817,320,2.9,3.3,11000,https://www.tiktok.com/@genv_eng/video/7312930472013647147?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/15/2023 04:05 PM EST -0500,"One form of oppression we are taught as children is that some animals are “friends” and others are “food”.  The truth is, every animal is an individual who desires life, love, and freedom. This holiday season, celebrate all life by taking our 30-day vegan challenge at the link in our bio. ___________ genv.org/go-vegan #WhatsTheDifference #Pigs #Cows #Turkeys #Chickens #Fish #VeganForTheAnimals",,,472,13.5,56,10,37,7.0,7.8,528,https://www.tiktok.com/@genv_eng/video/7312930459049020702?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
12/17/2023 09:32 AM EST -0500,"These happy pigs are having the time of their lives! While these pigs get the opportunity to enjoy themselves, most pigs spend their entire lives in cramped pens and filthy barns on modern factory farms before a long and frightening trip to a slaughterhouse. We will never stop striving for a world where all beings can experience this freedom. #CuteAnimals #pigs #cute #HappyAnimals ",,,390,50.4,43,80,62,14.3,15.9,433,https://www.tiktok.com/@genv_eng/video/7313571304718880030?utm_campaign=tt4d_open_api&utm_source=7151857282639200258
