Date,Content,Created by,Labels,Impressions,Likes,Reposts,Quote posts,Replies,Engagement,Engagement rate per impression (%),Video views,Url
01/05/2024 04:05 PM EST -0500,"Meet Deeko.  🐣 As a male chick in the egg industry, Deeko faced a tragic fate. Thankfully he was rescued and just look how much his life means to him.🩷💚  Video by: fawziajaffan (IG) Edit by: @itsfarahamber https://t.co/rgZARBEPiU",,,1187,65,22,0,1,140,11.8,336.0,https://twitter.com/GenV_Eng/status/1743378130096550249
01/08/2024 03:00 PM EST -0500,This is when Dora took her first steps after being rescued from an animal testing lab. Over 50 million animals like Dora undergo experiments in US labs each year. Few survive. 💔  Animal testing is cruel and unscientific. 🐶  Learn more: https://t.co/mpURrKQEwE  #AnimalTesting https://t.co/55u9PjvKBC,,,190,7,1,0,0,16,8.4,54.0,https://twitter.com/GenV_Eng/status/1744449019886092322
01/08/2024 04:03 PM EST -0500,"Farmed animals can teach us valuable lessons about empathy, compassion, and the power of second chances. We can honor them by raising our voices in support of their rights. They deserve nothing less.  Video by: Menkay.ig (IG) https://t.co/1qTEcuJdvB",,,268,6,3,0,0,21,7.8,97.0,https://twitter.com/GenV_Eng/status/1744464787885461756
01/09/2024 02:54 PM EST -0500,"""@emirates will introduce an array of fresh vegan dishes onboard and in lounges later this year, adding even more delicious meals to its ‘vegan vault’ of more than 300 curated plant-based recipes.""  Will your next flight be this vegan? https://t.co/S2TPJNu3nj",,,158,7,1,0,0,8,5.1,,https://twitter.com/GenV_Eng/status/1744809771646029935
01/10/2024 03:00 PM EST -0500,"Embracing a vegan lifestyle in 2024 is not just about food, it's a way to make a positive impact on your health and the environment. 🌱💚  Have you considered transitioning to a plant-based diet for the New Year?  Share your thoughts!  https://t.co/PUnU2oGEFg",Jamie Logan,,79,2,0,0,0,6,7.6,,https://twitter.com/GenV_Eng/status/1745173728458100842
01/10/2024 03:04 PM EST -0500,"According to leading cardiologist, Dr. Kim Williams: “There are two kinds of cardiologists: vegans and those who haven't read the data.”   For sources, to learn more and for access to our FREE 31-Day Support Program, follow the link >  https://t.co/wHf0ouPVT6 https://t.co/YsCBXtKugd",,,99,4,1,0,0,5,5.1,,https://twitter.com/GenV_Eng/status/1745174696256020637
01/10/2024 04:00 PM EST -0500,"90 to 95 percent of people living in Blue Zones are eating a whole food, plant-based diet.  What we eat plays a significant role in our longevity. What changes can you make to adopt a more plant-based diet and increase your overall well-being?  https://t.co/zczPcJ4Sio",Jamie Logan,,85,4,0,0,0,5,5.9,,https://twitter.com/GenV_Eng/status/1745188813104668946
01/11/2024 08:06 AM EST -0500,"🍼💔 Separated from their mothers shortly after birth and isolated in crates, these young calves desperately seek comfort from one another.  This is the real cost of dairy. https://t.co/QLuj2KO6X9",,,14317,318,165,12,15,901,6.3,3554.0,https://twitter.com/GenV_Eng/status/1745431910627619156
01/11/2024 07:00 PM EST -0500,"January is a time for a health reset, new goals and… vegan food.  Here are some great tips on how to include more plant based foods in your life!  https://t.co/QfL0xg1YP1",Jamie Logan,,85,3,0,0,0,3,3.5,,https://twitter.com/GenV_Eng/status/1745596495754051611
01/12/2024 11:38 AM EST -0500,"All animals who are farmed for dairy are subjected to repeated impregnation and the loss of their young. After all, the industry only makes its profits if it stops the calves from drinking the milk that their mothers produced for them. https://t.co/yb2riPAkC1",Simon Plazolles-Hayes,,58,0,2,0,0,2,3.4,,https://twitter.com/GenV_Eng/status/1745847750262964639
01/12/2024 00:00 PM EST -0500,"Which southern-style vegan breakfast dish would you try first?  From biscuits and gravy to buttermilk blueberry pancakes, these recipes are a delicious way to start the day and support a cruelty-free lifestyle. 🌱🥞  https://t.co/tV2MOdpfQL",Jamie Logan,,57,1,0,0,0,1,1.8,,https://twitter.com/GenV_Eng/status/1745853175259656537
01/12/2024 00:32 PM EST -0500,"Cows and cats both have inherent rights, yet one is celebrated, and the other is farmed and killed. In the ways that matter, these animals are no different.  If we care about animals, we must change our perception of them and see them all as worthy of protection. https://t.co/zZmmsFozwZ",Simon Plazolles-Hayes,,160,6,3,0,0,19,11.9,36.0,https://twitter.com/GenV_Eng/status/1745861364994691077
01/12/2024 04:12 PM EST -0500,🦜✨ A gentle reminder from a feathered friend about the life behind what's on our plates. 🍽️💔   Alene Anello describes how her pet bird Conrad reconnected her to the individuals she was eating. 🌱 🐖 🐄 🐏  Watch the full interview here: https://t.co/klIfxEaEFS   @ChickensLegal https://t.co/H5xFT48qAR,,,1046,18,9,1,0,55,5.3,203.0,https://twitter.com/GenV_Eng/status/1745916626548019321
01/13/2024 03:09 PM EST -0500,"""Researchers said cutting out meat and dairy could lead to 2.1million fewer cases of disease, such as cancer, cardiovascular disease and diabetes.""  Should governments encourage veganism for national health? https://t.co/v4NWH6K8f1",Simon Plazolles-Hayes,,129,3,0,0,0,8,6.2,,https://twitter.com/GenV_Eng/status/1746263235580268858
01/13/2024 06:06 PM EST -0500,"🐦✨ Meet Conrad, the feathery friend who transformed @AleneAnello's world. 🌱 His influence sparked @ChickensLegal, Alene's mission to hold companies accountable for animal welfare. 💪🐔  https://t.co/klIfxEaEFS",,,127,2,0,0,0,2,1.6,,https://twitter.com/GenV_Eng/status/1746307638768423402
01/14/2024 11:19 AM EST -0500,We have a great recipe for home-made rice milk 🥛  Try this simple milk recipe and let us know how it turns out.  What’s your favorite plant-based milk? Let us know in the comments 👇🏽 https://t.co/wGmzbyN4NV,,,154,3,0,0,0,5,3.2,45.0,https://twitter.com/GenV_Eng/status/1746567644952646064
01/15/2024 04:01 PM EST -0500,The double-edged sword for animals in agriculture 🌱🤖   AI and automation could mean improved care - or ominous new ways to exploit animals for efficiency and profits. Is big data friend or foe? 🚫🐄🤯  Watch the full interview here: https://t.co/1p0mYutQJD  @Liconstan https://t.co/llDMDHxaAw,,,192,1,2,0,0,5,2.6,34.0,https://twitter.com/GenV_Eng/status/1747000999800147974
01/16/2024 11:13 AM EST -0500,"The beginning of the year is perfect for starting a new habit. But more than becoming vegan, we want to help you to STAY vegan.  Ready to start a life of compassion? 💛⚡  Go vegan today! Try our 30-day vegan challenge here: https://t.co/EisWea4nvd  #NewYear #GoVegan https://t.co/AIQnaSczdy",,,153,4,2,0,0,8,5.2,12.0,https://twitter.com/GenV_Eng/status/1747290922105115025
01/16/2024 02:05 PM EST -0500,"As you read this, millions of animals are experiencing the warmth of the sunshine for the last time as they are trucked to the slaughterhouse. They find no mercy, no help, no compassion.  You don’t have to love animals to know that killing them is wrong.  #GoVegan https://t.co/KttZ7k85N5",Simon Plazolles-Hayes,,312,6,2,0,0,15,4.8,62.0,https://twitter.com/GenV_Eng/status/1747334339816223073
01/17/2024 03:03 PM EST -0500,"Technically, yes you can.  But avoiding meat and dairy products is understood to be the single biggest way to reduce our environmental impact on the planet.   So if you're an environmentalist who eats meat, then going vegan is something you should strongly consider. 🌎 https://t.co/LH3ktAI5j4",,,296,8,3,0,1,17,5.7,,https://twitter.com/GenV_Eng/status/1747711160177074550
01/18/2024 07:44 AM EST -0500,"The use of AI in animal agriculture could worsen the industry’s already unethical practices and its poor environmental track record, but here's the twist – we can also harness the power of AI for positive change! 🔄💡   https://t.co/1p0mYutQJD",,,79,1,1,0,0,2,2.5,,https://twitter.com/GenV_Eng/status/1747963046910140857
01/18/2024 01:48 PM EST -0500,"This is the reality of millions of pigs worldwide. Mothers are trapped in farrowing crates, unable even to turn around. Their babies, born into a world of filthy concrete, repeat the cycle of confinement and slaughter.  Choose vegan and help end these cruel practices. 🐷❤️ https://t.co/llvsZ3kZCr",Simon Plazolles-Hayes,,546,4,3,0,0,13,2.4,112.0,https://twitter.com/GenV_Eng/status/1748054865815675063
01/19/2024 04:08 PM EST -0500,"The dairy industry spends millions of dollars advertising their products every year.  One artist, Praxis put up posters and billboards across the United States to reveal the truth behind the advertising facade. https://t.co/WKbJtvz6Gw",,,298,4,0,0,0,9,3.0,58.0,https://twitter.com/GenV_Eng/status/1748452314178847213
01/20/2024 11:27 AM EST -0500,"Vegans are not perfect, nor do we claim to be. But in a world of cruelty — both industrialized and normalized — vegans make an effort not to contribute to animal suffering.  Will you choose not to harm animals today?  #GoVegan https://t.co/xOL8v1TDYN",,,495,3,6,0,0,42,8.5,52.0,https://twitter.com/GenV_Eng/status/1748743984690745378
01/21/2024 11:14 AM EST -0500,"Chicken Run 2 is not just a movie, but a rallying cry for animal liberation! 🐔✊ Embark on an adventure with our brave feathered friends as they break free from cages and unite for a world where every creature deserves freedom. 🎬 https://t.co/Wq4KK5d9iE",,,599,6,2,0,0,11,1.8,119.0,https://twitter.com/GenV_Eng/status/1749103122432020969
01/22/2024 02:17 PM EST -0500,"This is the disturbing reality of the dairy industry. Each pen contains a calf, separated from his mother at birth, and confined alone until he is slaughtered for veal at only 18 weeks old.  How can we ignore this senseless cruelty? 💔🐮  #dairy  🎥 @weanimals https://t.co/c8MRVIcZxL",Simon Plazolles-Hayes,,449,6,6,0,0,16,3.6,48.0,https://twitter.com/GenV_Eng/status/1749511675386978616
01/22/2024 04:21 PM EST -0500,Making the vegan switch has never been smoother! 🌱✨  Shoutout to @HappyCow for being our go-to guide in discovering awesome vegan spots worldwide. 🌍🐮 https://t.co/eqIaMdESvn,,,1175,3,0,1,0,13,1.1,153.0,https://twitter.com/GenV_Eng/status/1749542791099654312
01/23/2024 11:18 AM EST -0500,A growing body of scientific evidence is linking dairy consumption to cancer disease and recurrence. Why take the risk?  Healthy - and tasty - plant-based alternatives are available. You can even make them at home: https://t.co/sDWCUYLiRX https://t.co/8skNnZlWZB,,,85,1,0,0,0,2,2.4,,https://twitter.com/GenV_Eng/status/1749828866091184429
01/23/2024 01:34 PM EST -0500,"It is perfectly possible to get the protein you need from a plant-based diet. There is no doubt about that at all, but it is a good idea to know what we need and where to find it. https://t.co/q7iS833tPy",Simon Plazolles-Hayes,,74,0,0,0,0,1,1.4,,https://twitter.com/GenV_Eng/status/1749863208653840597
01/23/2024 02:00 PM EST -0500,Who says vegans don’t get enough protein?  🤔  What are your favorite vegan protein sources? 💪  👑 @veganqueens  #veganprotein #veganproteinsources #vegetarianprotein #highprotein #veganqueens #veganism #plantbased #plantbasedprotein #proteinmyth https://t.co/mUx6987h2F,Simon Plazolles-Hayes,,112,1,0,0,0,1,0.9,20.0,https://twitter.com/GenV_Eng/status/1749869840817385798
01/23/2024 05:59 PM EST -0500,"This man saved this fawn from drowning at the right time. We may not have the opportunity to perform a rescue, but we can help animals or harm them for every meal. 🦌  Going vegan isn’t about sacrifice; veganism is about choosing the option that doesn’t harm others. ❤ https://t.co/3qhpnK0w5B",Simon Plazolles-Hayes,,357,2,0,0,0,6,1.7,67.0,https://twitter.com/GenV_Eng/status/1749930000810143830
01/24/2024 03:21 PM EST -0500,"We are raised to believe that milk and other animal products are necessary for us to lead a healthy lifestyle. But just how true is this?  Watch the teaser, and check out our full-length interview with Dr. Allan Kornberg here: https://t.co/qRQKxbeFem https://t.co/EAi7nelWFb",,,159,0,1,0,0,1,0.6,26.0,https://twitter.com/GenV_Eng/status/1750252446654373953
01/24/2024 04:13 PM EST -0500,"Protein from plant sources doesn’t come with the same environmental toll, health risks, or horrendous animal suffering that meat and dairy come with.  Here are the top vegan protein sources to show how many great options there are!  #protein https://t.co/0Apu8IqOJb",Simon Plazolles-Hayes,,89,0,0,0,0,3,3.4,,https://twitter.com/GenV_Eng/status/1750265607960825981
01/24/2024 05:00 PM EST -0500,Unlocking the power of plant-based protein! 🌱💪 Check out this insightful article on Today's Health for valuable tips and delicious options for vegans and vegetarians.  https://t.co/Mb0St1MKhA,Jamie Logan,,74,1,0,0,0,1,1.4,,https://twitter.com/GenV_Eng/status/1750277344231641564
01/25/2024 11:27 AM EST -0500,"According to a study conducted by Oxford University, cutting meat and dairy products could reduce an individual’s carbon footprint from food by up to 73%.  Will you go vegan for the planet?   😎 @newrootsinst https://t.co/5N7xgqKi7Z",,,165,2,1,0,0,7,4.2,21.0,https://twitter.com/GenV_Eng/status/1750555966448316873
01/25/2024 06:14 PM EST -0500,Could swapping a small portion of animal protein for plant-based options lead to healthier aging? 🌱💪 #HealthyAging #PlantBasedDiet #EcoFriendly 🧠✨ - https://t.co/98PnnUKReh,Jamie Logan,AI Article,72,2,0,0,0,3,4.2,,https://twitter.com/GenV_Eng/status/1750658471777693723
