Date,Content,Created by,Labels,Views,Avg. percentage viewed,Likes,Dislikes,Comments,Shares,Added to a playlist,Removed from a playlist,Subscribers gained,Subscribers lost,Total engagement,Url
01/18/2024 11:00 AM AEDT +1100,🦆¿Qué es el especismo? ¿Cómo podemos ayudar a los animales en la naturaleza? Esta y otras preguntas más son respondidas por el filósofo Oscar Horta en esta entrevista. ¡No te la pierdas!   #animales #naturaleza #especismo #naturelovers #antiespecismo #vegan  #animalesincreíbles #silvestres #animalessenpeligrodeextincion #animals #animalesenlibertad #vidasilvestre #ayuda #ayudaanimal #animalessilvestres #filosofia #visión #porlosanimales #nature #shorts #animals #conoce #información #sabíasque,,,857,73.82,26,1,0,0,0,0,0,0,26,https://www.youtube.com/watch?v=aXI9v2zQepQ
01/31/2024 11:00 AM AEDT +1100,"👧🏾👦🏼¿Vives con niñes y quieres saber cómo adoptar el veganismo? ¡Esta entrevista es para ti! Alba de @fromlosttotheveggie nos cuenta su experiencia siendo una súper mamá vegana 🦹🏻‍♀️🐮  ✨️Cocinar con las infancias es una de las tantas actividades que se pueden hacer para aprender a comer más vegetales, eso que tanto le cuesta a les más peques. 👶🏽  ✨️¡No te pierdas la entrevista completa próximamente! ¡Y tampoco olvides suscribirte a nuestro canal para más contenido sobre veganismo! 🐷🐔🐥  #somosgenv #entrevista #infancias #niñez #familia  #veganismo #cocina #plantas #genv #maternidad",,,116,37.96,5,1,1,0,0,0,0,0,6,https://www.youtube.com/watch?v=v11t7c0nx1E
02/22/2024 10:59 AM AEDT +1100,"🐮🐷🐔Al leer esto, millones de animales están experimentando el calor intenso del sol, algunos de ellos por primera vez en sus vidas, mientras son transportados hacia un matadero. No encuentran piedad, ni ayuda, ni compasión.  🐶🐱🐰No tienes que amar a los animales para saber que matarlos está mal. Puedes probar dejarlos fuera de tu alimentación hoy mismo suscribiéndote a nuestro desafío gratuito de 7 días por los animales. ¡No esperes más! https://pulse.ly/wjaixzsre4   #cabra #derechoanimal #amor",ADMIN ACCOUNT,,4018,112.75,122,5,2,1,0,0,29,1,125,https://www.youtube.com/watch?v=-LYGvK31Qno
03/06/2024 08:48 AM AEDT +1100,,,,408,56.19,13,2,0,0,0,0,0,0,13,https://www.youtube.com/watch?v=bzx4WLgcaXU
03/09/2024 05:00 AM AEDT +1100,"⚡️👶🏽 ¿Cómo criar infancias en clave vegana? Nuestra entrevistada de hoy, @fromlosttotheveggie, tiene varios trucos que darnos.  ⚡️ Sí. Desde el nacimiento, todas podemos ser veganas. No hay duda de eso ya, pero, ¿cómo se lo toma la familia? ¿Seguirán el ejemplo de sus padres después? Ella nos cuenta su historia y su mejor secreto para comunicar el veganismo.  👇🏻 Para más información sobre veganismo en la infancia, accede a nuestra web genv.org/es 🌐",,,42,41.27,5,0,0,1,2,2,1,0,8,https://www.youtube.com/watch?v=dDzQd-vRODQ
03/22/2024 06:31 AM AEDT +1100,"⚡✊🏽Uno de los trabajos más importantes que podemos hacer como activistas es comprender cómo todas las luchas están interrelacionadas o por qué la interseccionalidad es tan importante para el bienestar de todes en el planeta.  ⚡️✊🏽El mensaje y el trabajo de @blackbehaviouresp es tan importante que teníamos que hacerle una entrevista para que nos contase su camino como activista y el trabajo que ella realiza.  ⚡️🫶🏽Por favor, ayúdanos a compartir este teaser para llegar a mucha más gente.  ⚡️✊🏿Para obtener más información sobre la interseccionalidad y el activismo, visita genv.org/es 🌐🌱",,,2,47.45,1,0,0,0,0,0,0,0,1,https://www.youtube.com/watch?v=BZaPe4gOIT4
03/22/2024 10:00 AM AEDT +1100,"📢 ✊🏿El veganismo es también una lucha contra la opresión, pero, ¿están todas las luchas interrelacionadas de alguna forma?  📣💪🏽Kimmy (@blackbehaviouresp) es una activista antirracista, vegana y ambientalista que trabaja como DEI para empresas, asociaciones y colectivos que quieren integrar practicas más inclusivas en su trabajo. Además, es experta en salud mental y ahora ejerce su trabajo en España.  ⚡️✊🏿Para obtener más información sobre la interseccionalidad y el activismo, visita genv.org/es 🌐🌱  ¡Comparte este video y únete a la lucha por un futuro más igualitario y compasivo! 🌍🌈",,,16,27.3,4,0,0,0,1,1,0,0,5,https://www.youtube.com/watch?v=Plp8-WS-htY
04/23/2024 02:13 AM AEST +1000,"🐰 ¿Qué ocurre con los animales luego de la experimentación? Nicole nos lo explica claramente: todos los animales son sacrificados. Cuando los animales ya no son funcionales para la industria y el testeo de productos, mueren.   🌱 El veganismo implica revisar aquellos consumos que demandan explotación en todos los aspectos de nuestra vida. Es por eso que también debemos estar atentas a qué productos conllevan explotación en los laboratorios de diversas especies de animales, y dejar estos productos de lado para reemplazarlos por aquellos que estén certificados como cruelty-free. Por suerte, cada vez más marcas empiezan a considerar a los animales y utilizan otras formas de testeado, pero aún son muchas las que comercializan productos basados en crueldad. Para reducir la demanda de estos productos, podemos encontrar reemplazos que dejen a los animales libres de sufrimiento.   ✊🏾 No te pierdas la entrevista completa a Nicole donde nos hace un recorrido por esta cruel industria y nos invita a repensar nuestro consumo.",,,50,38.88,10,0,0,5,1,1,1,0,16,https://www.youtube.com/watch?v=tsRUKbp94vg
06/13/2024 06:12 AM AEST +1000,"🥚🐔A través de todo el proceso de producción masivo de pollo y huevo, estas aves desde el día uno en este mundo son tratadas como objetos.   🐣 Las y los bebés pollito están desorientados, no saben qué está pasando, la mujer que ahí trabaja los pasa por esa máquina para administrarles vacunas y de ahí al siguientes pasos para su engorda.   Te invitamos a probar la alimentación vegetal y dejar de contribuir a las prácticas crueles de la ganadería industrial.   #polllo #huevo #gallina #pollito #aves",,,35,264.89,0,0,0,1,1,0,0,0,2,https://www.youtube.com/watch?v=AG6p54xjBbk
06/14/2024 07:33 AM AEST +1000,"🌾🌽 Una proporción significativa de los cultivos vegetales se generan para alimentar a los animales destinados para consumo humano, no a las personas directamente. El trigo, el maíz y la soja están entre las plantaciones más comunes para los animales no humanos.  Actualmente se cultiva suficiente comida para alimentar a más de 92 mil millones de animales terrestres no humanos cada año, mientras que, de acuerdo a la ONU, aproximadamente 828 millones de personas fueron afectadas por el hambre en 2021, lo que representa el 9.8 por ciento de la población mundial en ese momento. Necesitamos una revolución en el sistema alimentario y puedes comenzarlo desde tus elecciones.   #recetas #recetasveganas #soja #soya #animales #trigo #maiz #cultivos #tierra #comida",,,11,75.4,3,0,0,1,0,0,0,0,4,https://www.youtube.com/watch?v=KUlnwVB0Now
