Video_URL,Title,Youtuber,Post_date,Time,Text,Position
https://www.youtube.com/watch?v=-1hF0DsHzqA,Lone star tick takes over Halloween,Generation Vegan,31 Oct 2023,0:00,today I am in Washington Square Park and I am giving people one of two choices go vegan on your own or you go vegan because I bite you are you guys aware of the lone star tick when I bite people they turn vegan I'm already vegan perfect so you went vegan for the right reasons not because I had to force you to but you know what I'd love it if you forced me,1
https://www.youtube.com/watch?v=-1hF0DsHzqA,Lone star tick takes over Halloween,Generation Vegan,31 Oct 2023,0:21,to when these ticks bite you they inject a sugar called Alpha gal into your bloodstream and it causes people to develop an autoimmune response same sugar is also found in meat and dairy products after a lone star tick bites you if you are to eat meat which you shouldn't you will break out in hives in rashes and you will have explosive diarrhea,2
https://www.youtube.com/watch?v=-1hF0DsHzqA,Lone star tick takes over Halloween,Generation Vegan,31 Oct 2023,0:43,wow why do you think people go vegan more healthy an ethical thing all about the planet you know I'm making adjustments in my diet but I'm not going full vegan unless I bite you please don't bite me well getting bit by a tick um will it get me good math grads listen you you could either go vegan on your own or I could bite you I I'll go on my own I'll go vegan on my own if you could,3
https://www.youtube.com/watch?v=-1hF0DsHzqA,Lone star tick takes over Halloween,Generation Vegan,31 Oct 2023,1:07,live a life that reduces suffering and cruelty for all living beings why why wouldn't you why wouldn't I yeah you're right why wouldn't I go vegan if you go to gen.org you can sign up to take a 7-Day vegan challenge oh my God that sounds great it's like I give you two choices you either go vegan because you realize it's the right thing to do or you go vegan because bite you,4
https://www.youtube.com/watch?v=-1hF0DsHzqA,Lone star tick takes over Halloween,Generation Vegan,31 Oct 2023,1:31,either way you should do it done,5
https://www.youtube.com/watch?v=-5eLO5V8oUM,DIY Almond Milk | Vegan Recipe,Generation Vegan,19 Oct 2023,0:00,hi my name is Raj and welcome to my Indian plant-based kitchen today I'm going to show you how to make almond milk so here we're taking overnight soaked almonds it allows the anti-nutrients to get out to kind of plump them up soften them up a little bit I measured roughly about a cup right,1
https://www.youtube.com/watch?v=-5eLO5V8oUM,DIY Almond Milk | Vegan Recipe,Generation Vegan,19 Oct 2023,0:22,and I'm going to follow that with a liter or about a quart of filtered fresh water I'm going to be adding in two pieces of dates that I've lightly soaked for a couple of hours a pinch of sea salt [Music] all right that should be good enough so it's quite thick and creamy as you can see I've got myself here a large mixing,2
https://www.youtube.com/watch?v=-5eLO5V8oUM,DIY Almond Milk | Vegan Recipe,Generation Vegan,19 Oct 2023,0:53,bowl and I'm just gonna pour this whole mixture through the nut milk bag you can use a fine cheese cloth you can maybe use an old t-shirt but of course you've washed and I'm just going to squeeze this out and definitely this process is way way better than milking a cow um yeah the action might be similar but,3
https://www.youtube.com/watch?v=-5eLO5V8oUM,DIY Almond Milk | Vegan Recipe,Generation Vegan,19 Oct 2023,1:17,at least you're not hurting any cows here I'm just gonna pour it back in Into The Jug so that we can fill up our jug that we're gonna put into the fridge and let chill and we're gonna just nicely pour that in there we have it a whole liter of almond milk wow super creamy it's got that hint of sweetness that you,4
https://www.youtube.com/watch?v=-5eLO5V8oUM,DIY Almond Milk | Vegan Recipe,Generation Vegan,19 Oct 2023,1:44,get typically in dairy milk this is perfection [Music],5
