"url","content","type","position"
"https://www.avasummit.com/","https://static.wixstatic.com/media/0f26c5_ef6e7bd53c584749bd44ce5759e0867e~mv2.gif","image",1
"https://www.avasummit.com/","https://static.wixstatic.com/media/8d6893330740455c96d218258a458aa4.png/v1/fill/w_22,h_22,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/8d6893330740455c96d218258a458aa4.png","image",2
"https://www.avasummit.com/","https://static.wixstatic.com/media/e316f544f9094143b9eac01f1f19e697.png/v1/fill/w_22,h_22,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/e316f544f9094143b9eac01f1f19e697.png","image",3
"https://www.avasummit.com/","https://static.wixstatic.com/media/9c4b521dd2404cd5a05ed6115f3a0dc8.png/v1/fill/w_22,h_22,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/9c4b521dd2404cd5a05ed6115f3a0dc8.png","image",4
"https://www.avasummit.com/","https://static.wixstatic.com/media/48a2a42b19814efaa824450f23e8a253.png/v1/fill/w_22,h_22,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/48a2a42b19814efaa824450f23e8a253.png","image",5
"https://www.avasummit.com/","https://static.wixstatic.com/media/a1b09fe8b7f04378a9fe076748ad4a6a.png/v1/fill/w_22,h_22,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/a1b09fe8b7f04378a9fe076748ad4a6a.png","image",6
"https://www.avasummit.com/","The AVA Summit is aninternational conference seriesforadvocatesfocusing onsystemic changeand working on various strategies toward one shared vision: Removing animals from our food system and other human use. Upcoming Events","text",7
"https://www.avasummit.com/","https://static.wixstatic.com/media/nsplsh_585a484b38675231786834~mv2_d_5300_3334_s_4_2.jpg/v1/fill/w_147,h_92,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/nsplsh_585a484b38675231786834~mv2_d_5300_3334_s_4_2.jpg","image",8
"https://www.avasummit.com/","https://static.wixstatic.com/media/nsplsh_585a484b38675231786834~mv2_d_5300_3334_s_4_2.jpg/v1/fill/w_299,h_299,fp_0.50_0.50,q_80,usm_0.66_1.00_0.01,enc_auto/nsplsh_585a484b38675231786834~mv2_d_5300_3334_s_4_2.jpg","image",9
"https://www.avasummit.com/","https://static.wixstatic.com/media/nsplsh_476973695f473843585749~mv2_d_3968_2976_s_4_2.jpg/v1/fill/w_147,h_110,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/nsplsh_476973695f473843585749~mv2_d_3968_2976_s_4_2.jpg","image",10
"https://www.avasummit.com/","https://static.wixstatic.com/media/nsplsh_476973695f473843585749~mv2_d_3968_2976_s_4_2.jpg/v1/fill/w_299,h_299,fp_0.50_0.50,q_80,usm_0.66_1.00_0.01,enc_auto/nsplsh_476973695f473843585749~mv2_d_3968_2976_s_4_2.jpg","image",11
"https://www.avasummit.com/","https://static.wixstatic.com/media/nsplsh_899905d8e09147de8e5f184c92a36e6e~mv2.jpg/v1/fill/w_147,h_98,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/nsplsh_899905d8e09147de8e5f184c92a36e6e~mv2.jpg","image",12
"https://www.avasummit.com/","https://static.wixstatic.com/media/nsplsh_899905d8e09147de8e5f184c92a36e6e~mv2.jpg/v1/fill/w_299,h_299,fp_0.50_0.50,q_80,usm_0.66_1.00_0.01,enc_auto/nsplsh_899905d8e09147de8e5f184c92a36e6e~mv2.jpg","image",13
"https://www.avasummit.com/","https://static.wixstatic.com/media/0f26c5_d43f200d0b314bcc9cfa34b00e99c762~mv2.jpg/v1/fill/w_88,h_59,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/0f26c5_d43f200d0b314bcc9cfa34b00e99c762~mv2.jpg","image",14
"https://www.avasummit.com/","Learn from leading experts and rising stars in the animal and vegan advocacy movement from around the world,​ ​ carefully selected by the AVA Summit Advisory Committee, with topics spanning from public policy, law, food technology, philosophy, scientific research, behavioral studies, media, and so many more.","text",15
"https://www.avasummit.com/","https://static.wixstatic.com/media/nsplsh_3958547949694663654b4d~mv2_d_3712_2475_s_4_2.jpg/v1/fill/w_101,h_67,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/nsplsh_3958547949694663654b4d~mv2_d_3712_2475_s_4_2.jpg","image",16
"https://www.avasummit.com/","https://static.wixstatic.com/media/0f26c5_088632ebb4ef4db788f70d86142b1386~mv2.jpg/v1/fill/w_92,h_61,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/AVA%20(5016%20of%205172).jpg","image",17
"https://www.avasummit.com/","Committed toinspiringour participants to be asimpactfulas possible,​ ​ we provide an unparalleled platform for learning and networking opportunities that strengthen and nurture our community. We are dedicated to providing this space for global advocates,​ ​ to come together and learn in a highly modern, diverse, progressive, and impactful environment.","text",18
