url,content,type,position
https://africaanimalmedia.com/2022/09/20/three-thousand-home-animals-to-be-vaccinated-in-kogi/,https://africaanimalmedia.com/wp-content/uploads/2022/09/logo.png,image,1
https://africaanimalmedia.com/2022/09/20/three-thousand-home-animals-to-be-vaccinated-in-kogi/,https://africaanimalmedia.com/wp-content/uploads/2022/09/logo4-1.png,image,2
https://africaanimalmedia.com/2022/09/20/three-thousand-home-animals-to-be-vaccinated-in-kogi/,Three Thousand Home Animals to be vaccinated In Kogi,text,3
https://africaanimalmedia.com/2022/09/20/three-thousand-home-animals-to-be-vaccinated-in-kogi/,https://africaanimalmedia.com/wp-content/themes/assets/../assets/img/jeg-empty.png,image,4
https://africaanimalmedia.com/2022/09/20/three-thousand-home-animals-to-be-vaccinated-in-kogi/,By Ademu Usman Idakwo,text,5
https://africaanimalmedia.com/2022/09/20/three-thousand-home-animals-to-be-vaccinated-in-kogi/,"About three Thousand Domestic Animals are to be given vaccines by the officials of State ministry of Agriculture in Lokoja, Kogi State.",text,6
https://africaanimalmedia.com/2022/09/20/three-thousand-home-animals-to-be-vaccinated-in-kogi/,https://africaanimalmedia.com/wp-content/uploads/2022/09/IMG-20220920-WA0013-e1663701771207-300x169.jpg,image,7
https://africaanimalmedia.com/2022/09/20/three-thousand-home-animals-to-be-vaccinated-in-kogi/,"The programme is in conjunction with the Nigerian Veterinary Medical Association, NVMA on the 2022 Veterinary Week with a tagged ‘ Rabies : One Health- Zero Death .",text,8
https://africaanimalmedia.com/2022/09/20/three-thousand-home-animals-to-be-vaccinated-in-kogi/,"A Senior Official of the Veterinary department in the Ministry , Dr. Hassana , A said this year free vaccinations for home animals shall commence on September22nd in Lokoja, the state Capital.",text,9
https://africaanimalmedia.com/2022/09/20/three-thousand-home-animals-to-be-vaccinated-in-kogi/,"She gave further explanation that to commemorate with the World Rabies Day and the 2022 Veterinary week, Two thousand doses of Anti-rabies are to be administered on Dogs and one thousand doses of Pest des petit Ruminant , PPR shall be given to Sheep and Goats, CBPP to cattle and La sota poultry in order to strengthen their health .",text,10
https://africaanimalmedia.com/2022/09/20/three-thousand-home-animals-to-be-vaccinated-in-kogi/,"The veterinary doctor further stated that there will also be a ‘Mega Dog Walk and Dog Show’ where every pet owners interested in show casing the beauty of his or her dog can enlist it for the exercise which will take place at President Muhammadu Buhari Square in Lokoja, Kogi State Capital.",text,11
https://africaanimalmedia.com/2022/09/20/three-thousand-home-animals-to-be-vaccinated-in-kogi/,Dr. Hassana affirmed that kogi state government in the Northern Nigeria has been given adequate care and support to the wellbeing of domestic animals .,text,12
https://africaanimalmedia.com/2022/09/20/three-thousand-home-animals-to-be-vaccinated-in-kogi/,"The veterinarian said home animals have a yearly routine of vaccinations in the state, stressing that this has reduced the incident of death a raising from disease affecting them .",text,13
