url,content,type,position
https://animalthinktank.org.uk/about-us/,https://www.facebook.com/tr?id=1555998994834888&ev=PageView&noscript=1,image,1
https://animalthinktank.org.uk/about-us/,https://animalthinktank.org.uk/wp-content/uploads/2021/04/ATT_Logo_RGB.png,image,2
https://animalthinktank.org.uk/about-us/,"Three individuals from diverse backgrounds united to fill a crucial gap in the Animal Freedom movement and launched Animal Think Tank. Now, we are scaling up to a team of 25+ people and preparing to launch an organized movement for Animal Freedom in the UK.",text,3
https://animalthinktank.org.uk/about-us/,We believe that a truly free society means freedom for everyone—including other animals.,text,4
https://animalthinktank.org.uk/about-us/,"We’re creatinga world where animals have the freedom to shape their lives according to their own needs and wants, andwheretheir interests are taken into consideration in every area of society.",text,5
https://animalthinktank.org.uk/about-us/,"A world that respectsall animalsas individuals with unique personalities, languages and cultures.",text,6
https://animalthinktank.org.uk/about-us/,"A world where humansworkwith other animals to protect our shared home, so we can all thrive for generations to come.",text,7
https://animalthinktank.org.uk/about-us/,The greatest leaps forward in social progresswere made possible bythe success of other freedom movements.,text,8
https://animalthinktank.org.uk/about-us/,"That’s why we’re building a powerful, resilient movement that can go the distance in ensuring all animalshave theirfreedom embraced by society andprotected in UK law.",text,9
https://animalthinktank.org.uk/about-us/,Wewillachieve this byempowering everyday people to stand up for Animal Freedom and create lasting change together.,text,10
https://animalthinktank.org.uk/about-us/,"To dive in further, have a look atUnpacking the Missionand ourOrganisational Overview.",text,11
https://animalthinktank.org.uk/about-us/,"In 2018,three people from diverse backgrounds came together, driven by the realisation that there was a vital piece missing in the Animal Freedom movement—a unified socialmovement powerful enough tolast as long as it takes for Animal Freedom to become a reality.",text,12
https://animalthinktank.org.uk/about-us/,"Since Animal Think Tank launched, we’ve trained hundreds of change–makers in workshops in the UK, the US and Canada. We also helped launchAnimal Rebellion(an initiative of one of our original co–founders)as a partner to Extinction Rebellion,which successfully highlightedthe urgent issue offarminganimalswithin the environmental movement.",text,13
https://animalthinktank.org.uk/about-us/,"Right now,we’re in the process of scaling up to a team of 25+ people and preparing to launch an organised movement for Animal Freedom in the UK.",text,14
https://animalthinktank.org.uk/about-us/,We take inspiration from successful freedom movements that helped transform society:,text,15
https://animalthinktank.org.uk/about-us/,– US Civil Rights movement,text,16
https://animalthinktank.org.uk/about-us/,– Indian Independence movement,text,17
https://animalthinktank.org.uk/about-us/,– Colour Revolutions of Eastern Europe,text,18
https://animalthinktank.org.uk/about-us/,– Anti-Slavery movement,text,19
https://animalthinktank.org.uk/about-us/,"– Freedom to Marry movement, etc.",text,20
https://animalthinktank.org.uk/about-us/,https://animalthinktank.org.uk/wp-content/uploads/2021/04/gandhi-salt-march.jpg,image,21
https://animalthinktank.org.uk/about-us/,"The most impactful freedom movements in history were the result of many years of research and planning.Mahatma Gandhi spent years developing the strategies, narratives, philosophy and culture necessary to build amovementpowerful enoughto achieve India’s independence.",text,22
https://animalthinktank.org.uk/about-us/,Animal Think Tank is learning from successful movements of the past and gainingtried-and-testedinsightsinto what can shift public opinion and bring about lasting social change.,text,23
https://animalthinktank.org.uk/about-us/,"Central to our approachisunderstandingthat change requires many different individuals, groups and organisations, all with diverse approaches. That’s whywe’re supporting andcollaborating with others working towards Animal Freedomto build greater unity and momentum within the wider movement.",text,24
https://animalthinktank.org.uk/about-us/our-team/,https://www.facebook.com/tr?id=1555998994834888&ev=PageView&noscript=1,image,1
https://animalthinktank.org.uk/about-us/our-team/,https://animalthinktank.org.uk/wp-content/uploads/2021/04/ATT_Logo_RGB.png,image,2
https://animalthinktank.org.uk/about-us/our-team/,"Our team possesses a wide range of experience, knowledge and skills.",text,3
https://animalthinktank.org.uk/about-us/our-team/,"Having come from all walks of life, the members of the ATT team,including full- and part-time volunteers and members,have each made the choice to dedicate themselves to the cause of Animal Freedom.",text,4
https://animalthinktank.org.uk/about-us/our-team/,https://animalthinktank.org.uk/wp-content/uploads/2021/04/Laila-Kassam.jpg,image,5
https://animalthinktank.org.uk/about-us/our-team/,Laila Kassam PhD,text,6
https://animalthinktank.org.uk/about-us/our-team/,Direction Lead,text,7
https://animalthinktank.org.uk/about-us/our-team/,Laila is a founder and director of Animal Think Tank. As Mission Lead (Culture) she is responsible for building a healthy and resilient organisational culture to enable the delivery of Animal Think Tank’s mission.,text,8
https://animalthinktank.org.uk/about-us/our-team/,Meet Laila,text,9
https://animalthinktank.org.uk/about-us/our-team/,She is co-editor of the book‘Rethinking Food and Agriculture: New Ways Forward’and co-founder of theVeterinary Vegan NetworkandEthical Globe.,text,10
https://animalthinktank.org.uk/about-us/our-team/,"Laila worked in the international development sector from 2003 to 2018 with NGOs, foundations, government ministries and international research institutions. Her work focused on conducting research for rural development projects in sub-Saharan Africa and South Asia. This ranged from planning multi-million dollar projects to assessing their impact on poverty and food security.Her researchhas been published in peer-reviewed journals and by international organisations includingCGIARand the Food and Agriculture Organisation of the UN (FAO). She has lived and worked in the UK, Switzerland, Kenya, Guyana, Malaysia and Ghana.",text,11
https://animalthinktank.org.uk/about-us/our-team/,"Laila has a PhD in Development Economics (SOAS), an MSc in Development Management (LSE) and a BSc in Economics and Politics (Bristol). She has a passion for permaculture and natural building. She takes pride in her Muslim heritage and in her spare time she loves to read, meditate and spend time with other animals, including her feline housemate Lucky.",text,12
https://animalthinktank.org.uk/about-us/our-team/,https://animalthinktank.org.uk/wp-content/uploads/2023/10/Mark-Westcombe.jpg,image,13
https://animalthinktank.org.uk/about-us/our-team/,Mark Westcombe,text,14
https://animalthinktank.org.uk/about-us/our-team/,Direction Lead,text,15
https://animalthinktank.org.uk/about-us/our-team/,Mark is a founder and director of Animal Think Tank. As Mission Lead (Task) he is responsible for building and resourcing Animal Think Tank’s organisational capacity and steering the delivery of organisational strategy and mission.,text,16
https://animalthinktank.org.uk/about-us/our-team/,Meet Mark,text,17
https://animalthinktank.org.uk/about-us/our-team/,He was a co-founder ofAnimal Rebellionand previously organised the UK’s Animal Rights Gathering (2017 & 2018).,text,18
https://animalthinktank.org.uk/about-us/our-team/,"Professionally Mark has worked as a management consultant and group facilitator specialising in risk mitigation, strategic decision making and project impact. He has worked for many national and international organisations, including HMRC, British Sugar, the NHS, Ministry of HE Indonesia, Ministry of Trade Sweden, and Ministry Of Defence. He was a lecturer in this area atLancaster University Management Schoolat BSc, MSc and MBA levels between 2001 and 2018. He is a trainer in Systems Thinking and Group Facilitation for his professional body,The Operational Research Society. He has twice been awarded teaching prizes for his work on incorporating diversity into the university syllabus. He has postgraduate training as aGroup Analyst(Psychotherapy).",text,19
https://animalthinktank.org.uk/about-us/our-team/,"Mark was a founder and director of the multi-award-winningLancaster Cohousing; and co-founder and director of theUK Cohousing Network2006-2015, and chair 2013-2015. As a gay man, he has enjoyed organising several of Lancaster’s QueerFeasts, as well as helping organise Lancaster Pride in 2007. In his spare time he enjoys fell running; foraging; cooking; and generally being outdoors.",text,20
https://animalthinktank.org.uk/about-us/our-team/,https://animalthinktank.org.uk/wp-content/uploads/2023/10/Kangan-Upadhye.jpg,image,21
https://animalthinktank.org.uk/about-us/our-team/,Kangan Upadhye,text,22
https://animalthinktank.org.uk/about-us/our-team/,Strategy Lead,text,23
