"url","content","type","position"
"https://www.animalempathy.ph/","https://images.squarespace-cdn.com/content/v1/63ce292349adf6520a6cfb6f/2814a465-219d-4d18-a2e0-4a3197a7f0d1/website+resources+%282%29.png?format=1500w","image",1
"https://www.animalempathy.ph/","https://images.squarespace-cdn.com/content/v1/63ce292349adf6520a6cfb6f/3378c3dd-e6fa-4ae1-89a5-c70271a80eba/AE+Primary+Logo.png?format=1500w","image",2
"https://www.animalempathy.ph/","https://images.squarespace-cdn.com/content/v1/63ce292349adf6520a6cfb6f/2814a465-219d-4d18-a2e0-4a3197a7f0d1/website+resources+%282%29.png?format=1500w","image",3
"https://www.animalempathy.ph/","https://images.squarespace-cdn.com/content/v1/63ce292349adf6520a6cfb6f/3378c3dd-e6fa-4ae1-89a5-c70271a80eba/AE+Primary+Logo.png?format=1500w","image",4
"https://www.animalempathy.ph/","https://images.squarespace-cdn.com/content/v1/63ce292349adf6520a6cfb6f/9eb15da8-174c-48c8-bef2-444f628b3739/website+resources+%289%29.png","image",5
"https://www.animalempathy.ph/","Bringing farmed animal issues in the Philippines to the forefront and harnessing collective action to effectively help farmed animals and our fellow Filipinos Towards a nation that fosters empathy for farmed animals Carmel Desiree Pascual, Alternative Protein Research Mapping Initiative in the Philippines “AEP played a crucial role in advancing my career and advocacy by supporting our alternative protein project. Through this incubation, I gained valuable insights, skills, and connections that are instrumental in my career progression. Given the limited opportunities in our country for exploring alternative proteins, my collaboration with AEP was pivotal in launching my career in this emerging field. I am now committed to accelerating the adoption and progress of alternative proteins in our country!” Althy Cendaña, Operations Associate at Fish Welfare Initiative “I finally made the transition and it's all thanks to [AEP’s]  support, advice, and challenging questions about what I want in my career. It's very important for me to be in a line of work where I have people who can relate with my experiences, but I realized that even though we don't work in the same organization, I will always have you so I won't feel so alone after all! AEP created a thriving community and support system for animal advocates in the Philippines. By attending AEP events and meetups, I learn so much from other advocates and I feel the boost in motivation to keep looking for ways to help end animal suffering. As an engineering graduate, it's been a big challenge for me to find opportunities within the space. I'm thankful to AEP for the push and for believing in my skills, that someday I'll be able to finally work for animal welfare. Through AEP's events and team, I was also able to grow my professional network- both local and international.","text",6
"https://www.animalempathy.ph/","My engagement with AEP has played a huge role in me getting my dream job at my dream organization.” Feil Immanuel Aquino “AEP capacitated me further as an animal advocate in the best form of learning possible--through experiences that both humble and empowered me. My time in AEP as a volunteer has been fruitful and heartwarming because I work with people I already know whom I had since been learning a lot from and still continue to learn from in each interaction that we have in-person and online. In a way, volunteering for AEP also gave me this quiet accountability mechanism to make a conscious effort in (a) re-evaluating my career fit and the aptitudes I currently have and want to grow into; (b) thinking about questions contextualized to the Philippines and LMICs that I want to live through to seek the answers; (c) and imagining a kinder, and more just world so I could position myself better in spaces where I can further contribute to solve neglected problems relevant to animal advocacy and alternative protein (extending to food security). Because of my participation in AEP, I think I have become a more engaged Effective Altruist to the global community and I can viscerally nurture the positive impact I hope to give to the world better albeit still being in undergrad.”","text",7
"https://www.animalempathy.ph/","Chayenne Galo “I have learned a lot from the modules they’ve provided, especially with the weekly sessions that were conducted. Helped me find what specific advocacy to focus on. They check up on you and how you’re doing with the advocacy. Even though I have some backlogs, they are always there to help one out.”","text",8
"https://www.animalempathy.ph/","https://images.squarespace-cdn.com/content/v1/63ce292349adf6520a6cfb6f/7edd7559-69b9-4dea-869e-6ff95a0e91a1/website+resources.png","image",9
"https://www.animalempathy.ph/","Where we are 400+ community members from various parts of the Philippines 30+ volunteers from various parts of the Philippines 30+ capstone projects from 2021-2023","text",10
