"url","content","type","position"
"https://www.fishwelfareinitiative.org/","https://static.wixstatic.com/media/456215_09ec6f51158b4071aa48514b7e882993~mv2.png/v1/fill/w_210,h_90,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/FWI_logo_wordmark.png","image",1
"https://www.fishwelfareinitiative.org/","https://static.wixstatic.com/media/11062b_a99a5bf5c6e640eea97cec2352836173f000.jpg/v1/fill/w_980,h_865,al_c,q_85,usm_0.33_1.00_0.00,enc_auto/11062b_a99a5bf5c6e640eea97cec2352836173f000.jpg","image",2
"https://www.fishwelfareinitiative.org/","Fish welfare is the future of aquaculture. Imagine a world with healthier ecosystems, more resilient businesses, and better fish welfare. Here's how we get there.","text",3
"https://www.fishwelfareinitiative.org/","https://static.wixstatic.com/media/6f025a_996c3c8483ce4d2a920d25e2b0030c89~mv2.jpg/v1/fill/w_132,h_88,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/asian_carp.jpg","image",4
"https://www.fishwelfareinitiative.org/","Let's start with the numbers: ​ An estimated 73-180 billion fishes are farmedeach year. That makes fishes the most farmed group of vertebrates in the world.","text",5
"https://www.fishwelfareinitiative.org/","https://static.wixstatic.com/media/53745e_7ece982c674c4574a225c6bea79561ab~mv2.jpg/v1/crop/x_0,y_175,w_4048,h_2681/fill/w_139,h_92,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/salmon%20farm%20location%20unknown.jpg","image",6
"https://www.fishwelfareinitiative.org/","Aquaculture is the fastest growing food sectorin the world. As aquaculture grows, more people become reliant on fisheries for food, more jobs are dependent on aquaculture, and more fishes are farmed.","text",7
"https://www.fishwelfareinitiative.org/","https://static.wixstatic.com/media/11062b_41148c6b0dca4f42b8380089fd183012f000.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_41148c6b0dca4f42b8380089fd183012f000.jpg","image",8
"https://www.fishwelfareinitiative.org/","As aquaculture grows,fish welfaremust grow, too.","text",9
"https://www.fishwelfareinitiative.org/","https://static.wixstatic.com/media/53745e_5d916e17e6aa458ca385b1c4208a4fc9~mv2.jpg/v1/fill/w_132,h_87,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/noaa-6ULvZdi-aYo-unsplash.jpg","image",10
"https://www.fishwelfareinitiative.org/","Unfortunately, conditions are often extremely poor for fishes in aquaculture. The majority of farmed fishes are subject to overcrowded and restrictive conditions, which, when unchecked, lead to severe stress, worse water quality, and more fishes dying. Read more on fish farm conditions.","text",11
"https://www.fishwelfareinitiative.org/","https://static.wixstatic.com/media/53745e_9e341d1d0fed4679b874a5a913ac6514~mv2.jpg/v1/fill/w_138,h_92,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/tim-van-der-kuip-Qj6HuTbsVjs-unsplash_jp.jpg","image",12
"https://www.fishwelfareinitiative.org/","Fish welfare is the future. Welfare interventions are a necessary step towards a more sustainable, humane, and resilient future for all sentient beings.Learn more about why fish welfare is important for our future.","text",13
"https://www.fishwelfareinitiative.org/","https://static.wixstatic.com/media/11062b_64ae2a899006496dac01c2e81fac97f1f000.jpg/v1/fill/w_147,h_83,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/11062b_64ae2a899006496dac01c2e81fac97f1f000.jpg","image",14
"https://www.fishwelfareinitiative.org/","We're working to improve the welfare of billions of fishes through collaborative welfare interventions.","text",15
"https://www.fishwelfareinitiative.org/","https://static.wixstatic.com/media/53745e_41276a71b73d46cbbba527bc098891be~mv2.jpg/v1/fill/w_132,h_88,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/animal-1853610_1920_edited_edited.jpg","image",16
"https://www.fishwelfareinitiative.org/","Who We Are Fish Welfare Initiative (FWI) is a startup organization whose mission is to improve the welfare of fish as much as possible. We focus specifically on farmed fishes, i.e., fishes raised in aquaculture. ​","text",17
"https://www.fishwelfareinitiative.org/","https://static.wixstatic.com/media/53745e_7ece982c674c4574a225c6bea79561ab~mv2.jpg/v1/fill/w_123,h_92,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/salmon%20farm%20location%20unknown.jpg","image",18
"https://www.fishwelfareinitiative.org/","What We Do We collaborate with corporations, governments, and producers to improve fish welfare standards and practices. ​ Our broad approach is simple: we research the most promising ways of improving fish welfare, and then we enable stakeholders to do so. ​ See our published research here.","text",19
"https://www.fishwelfareinitiative.org/","https://static.wixstatic.com/media/nsplsh_685965493437424b757863~mv2_d_6000_4000_s_4_2.jpg/v1/fill/w_132,h_88,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/Image%20by%20Diego%20Guzm%C3%A1n.jpg","image",20
"https://www.fishwelfareinitiative.org/","How We Do It ​ We believe in having the greatest impact we can. Following our initial research, our team now partners with NGOs to help farmers introduce higher welfare farming methods in the second-highest fish producing country in the world: India. ​ Learn more about welfare improvements in aquacultureand Meet our partners. Learn how the welfare of fish impacts biodiversity, human health, and business sustainability. RESEARCH Research must be at the foundation of all work to improve fish welfare. OUR TEAM Learn more about the people behind Fish Welfare Initiative. JOIN US Looking to help reduce the suffering of billions of fish? Excited to work at a new startup in an extremely neglected area? NEWSLETTER Sign up for our newsletter to receive updates about our work, research, and job opportunities. Seepast issues. By subscribing, you consent to receive periodic email updates from Fish Welfare Initiative. FWI will not share your data with anyone. Thanks for subscribing! Our Work Home India Impact Blog","text",21
"https://www.fishwelfareinitiative.org/","https://static.wixstatic.com/media/ea10fd_833b9dabf748446a99526ae5228a398a~mv2.png/v1/crop/x_128,y_0,w_5870,h_2427/fill/w_184,h_76,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/FWI_logo_wordmark_white.png","image",22
