url,content,type,position,Language
https://genv.org/pt-br/vidas-emocionais-animais/,"Ao visitar nosso site, você concorda com nossa política de privacidade em relação a cookies, informações, estatísticas, etc.Leia mais",text,1,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Ao visitar nosso site, você concorda com nossa política de privacidade em relação a cookies, informações, estatísticas, etc.Leia mais",text,2,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,AceitarX,text,3,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,A vida emocional dos animais,text,4,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,https://genv.org/wp-content/uploads/2019/02/animal-behavior-emotion-chicken-400x267.jpg,image,5,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Bilhões de animais são criados todos os anos para nos servirem ou serem nosso alimento, sendo a maioria deles criados e explorados em fazendas industriais, muitas vezes em condições não naturais. Mas será que um animal é capaz de sentir emoções? Será que eles sentem estresse ou dor?",text,6,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"A definição desencienteé ser ‘capaz de perceber ou sentir coisas’. Como seres sencientes, todos os animais – desde vacas, porcos e ovelhas a galinhas, patos e gansos – são capazes de sentir dor, medo, conforto, alegria e uma série de emoções, tal como os humanos.",text,7,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,A vida secreta dos animais:,text,8,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Pesquisadores descobriram, por exemplo, que ascabrassentem frustração quando isoladas dos seus companheiros de rebanho ou quando a comida lhes é negada. Outros estudos descobriram que o tipo de personalidade de umpeixepode afetar a probabilidade de ele ter certos parasitas, ou a sua capacidade de ultrapassarbarreirasao migrar.",text,9,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Asovelhassão capazes de reconhecer os rostos de outras ovelhas e lembrar-se deles por até dois anos, enquanto as galinhas mães ensinam aos seus pintinhos quais alimentos são melhores para comer. Asvacasmostram entusiasmo quando descobrem como abrir um portão que leva a uma recompensa alimentar, e osporcossão considerados tão inteligentes quanto um ser humano de três anos – são capazes de resolver problemas difíceis, adoram brincar e têm personalidades únicas.",text,10,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Então, como os animais sentem emoções, também podem sofrer. Os animais de consumo, em particular, estão sujeitos a elevados níveis de estresse, desde as dificuldades que enfrentam durante o transporte, passando pela dor quando são separados da família ou do rebanho, até à dor que sentem durante o abate e em situações do dia a dia.",text,11,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Embora a cultura popular nos faça acreditar que as vacas leiteiras vivem felizes no pasto, que as galinhas poedeiras vivem vida maravilhosas em ninhos cheios de palha e que os porcos passam os dias brincando na lama, infelizmente, para a maioria dos animais de consumo, isso está longe da verdade.",text,12,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,Como a vida nas fazendas industriais afeta as emoções dos animais,text,13,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Animais criados em gigantescas fazendas industriais ou nos sistemas de engorda animal por meio de confinamento (“concentrated animal feeding operations”em inglês) -, que representam mundialmente72%das aves, 42% dos ovos e 55% da produção de carne suína – têm vidas pobres e miseráveis.",text,14,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Nos Estados Unidos,95%de todos os animais de consumo são criados em unidades de criação intensiva. Desde porcas mantidas em pequenas jaulas de gestação, nas quais não podem nem mesmo se mexer; passando pelos frangos que sofrem deformidades e ataques cardíacos porque são criados para engordar o mais rápido possível; até os bezerros separados das mães com apenas 24 horas de idade – para que os humanos possam beber o leite que deveria ser deles -, sabe-se que os animais sofrem intensamente na pecuária industrial.",text,15,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Então, as fazendas industriais só prejudicam a vida emocional e física dos animais? Na natureza, os animais – independentemente da espécie – adoram procurar alimentos, brincar e aprender habilidades sociais. Todos esses são comportamentos completamente naturais que a evolução ditou, independentemente de as espécies terem sido criadas seletivamente para servirem como alimento – como os porcos criados em fazendas em comparação com os seus antepassados javalis que podiam correr soltos. Mas como um animal feito para brincar, passear e desenvolver habilidades sociais ao lado de sua família vai conseguir ser emocionalmente saudável estando confinado em uma gaiola minúscula e muitas vezes suja e separado da sua família?",text,16,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Infelizmente, não conseguem. É por isso que além das limitações físicas que o sistema pecuário impõe aos animais de consumo, as vidas emocionais desses animais são também profundamente afetadas. E mesmo os animais criados em pastos nem sempre são capazes de se comportar naturalmente, sobretudo se analisarmos a situação da vaca leiteira e de seu bezerro, separados logo após o nascimento.",text,17,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,Devemos dar aos animais – e ao planeta – um futuro mais brilhante,text,18,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Como os animais são capazes de sentir uma gama tão complexa de emoções, será que não devemos reavaliar a nossa relação com outras espécies e considerarmos a mudança para uma dieta livre de produtos de origem animal? Ao experimentarmos o veganismo, não só estamos diminuindo o nosso impacto ambiental, como também ajudando a reduzir o sofrimento dos bilhões de animais que todos os anos são criados e mortos para alimentação.",text,19,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Você vai demonstrar mostrar compaixão por todas as criaturas viva experimentando o veganismo nesta Quaresma? Se inscreva para receber o . Ele tem conselhos sobre como seguir uma dieta com alimentos de origem vegetal, pelos animais, pelo planeta e pela sua saúde. O download é gratuito e o guia tem uma série de ideias para receitas deliciosas, dicas sobre como comer fora e informações sobre documentários que podem mudar a sua vida.",text,20,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Caroline Burgess-Pike é Gestora Internacional de Relações Públicas do Million Dollar Vegan. É vegana há mais de três anos e fez a mudança depois de assistir a documentários como Cowspiracy e Terráqueos. Caroline se tornou vegana por motivos éticos e ambientais, e também tem passado grande parte da sua vida profissional e pessoal fazendo campanha por um mundo melhor para os animais. A sua carreira abrange o jornalismo, o marketing para marcas veganas, campanhas de solidariedade social e comunicação empresarial.",text,21,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,Compartilhe,text,22,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,Mais posts do blog,text,23,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,https://genv.org/wp-content/uploads/2019/02/FMcuteboyeatingapple-400x599.jpg,image,24,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,Uma única pessoa pode mesmo fazer diferença tornando-se vegana?,text,25,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,https://genv.org/wp-content/uploads/2019/02/Vegan-Evan-400x267.jpeg,image,26,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,Por que os católicos devem experimentar o veganismo nesta Quaresma?,text,27,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,https://genv.org/wp-content/uploads/2019/02/Deforestation3-400x300.jpg,image,28,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,A pecuária está destruindo o planeta,text,29,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,Quer aderir ao veganismo?,text,30,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,Já adotou o veganismo?,text,31,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Receba as notícias mais recentes, conteúdos e dicas sobre veganismo do mundo todo.",text,32,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Generation Vegan é uma organização sem fins lucrativos, registrada como 501(c)(3) de acordo com a legislação estadunidense, que se dedica a divulgar informações sobre os benefícios ambientais, éticos, pessoais e de saúde pública de uma alimentação baseada em plantas.",text,33,GenV Brazilian Portuguese
https://genv.org/pt-br/vidas-emocionais-animais/,"Impulsionada pela filantropia, a GenV (Million Dollar Vegan) é uma organização sem fins lucrativos, registrada como 501(c)(3) de acordo com a legislação estadunidense. Número fiscal 87-2839022",text,34,GenV Brazilian Portuguese
https://genv.org/pt-br/recipes/categorias/sem-cozimento/,"Ao visitar nosso site, você concorda com nossa política de privacidade em relação a cookies, informações, estatísticas, etc.Leia mais",text,1,GenV Brazilian Portuguese
https://genv.org/pt-br/recipes/categorias/sem-cozimento/,"Ao visitar nosso site, você concorda com nossa política de privacidade em relação a cookies, informações, estatísticas, etc.Leia mais",text,2,GenV Brazilian Portuguese
https://genv.org/pt-br/recipes/categorias/sem-cozimento/,AceitarX,text,3,GenV Brazilian Portuguese
https://genv.org/pt-br/recipes/categorias/sem-cozimento/,Receitas,text,4,GenV Brazilian Portuguese
https://genv.org/pt-br/recipes/categorias/sem-cozimento/,https://genv.org/wp-content/uploads/2022/03/recipes-header-400x200.jpg,image,5,GenV Brazilian Portuguese
https://genv.org/pt-br/recipes/categorias/sem-cozimento/,"Comer de forma saudável nunca foi tão gostoso! Experimente algumas de nossas receitas favoritas, incluindo lanches saborosos, refeições do dia a dia e sobremesas deliciosas.",text,6,GenV Brazilian Portuguese
https://genv.org/pt-br/recipes/categorias/sem-cozimento/,https://genv.org/wp-content/uploads/2022/10/oat-milk-400x267.jpg,image,7,GenV Brazilian Portuguese
https://genv.org/pt-br/recipes/categorias/sem-cozimento/,Leite de aveia,text,8,GenV Brazilian Portuguese
https://genv.org/pt-br/recipes/categorias/sem-cozimento/,https://genv.org/wp-content/uploads/2022/10/cashew-milk-400x267.jpg,image,9,GenV Brazilian Portuguese
