url,content,type,position,Language
https://genv.org/fr/pourquoi-vegane/pour-lhumanite/,"En visitant notre site, vous acceptez notre politique de confidentialité concernant les cookies, le suivi, les statistiques, etc.Lire la suite",text,1,GenV French
https://genv.org/fr/pourquoi-vegane/pour-lhumanite/,AccepterX,text,2,GenV French
https://genv.org/fr/pourquoi-vegane/pour-lhumanite/,Pour l’humanité,text,3,GenV French
https://genv.org/fr/pourquoi-vegane/pour-lhumanite/,https://genv.org/wp-content/uploads/2022/05/why-humanity-header-1-400x200.jpg,image,4,GenV French
https://genv.org/fr/pourquoi-vegane/pour-lhumanite/,"Le véganisme concerne tout autant les être humains que les animaux et l’environnement. Nos choix de consommation se traduisent, par exemple, par une incidence sur l’offre et les prix du marché alimentaire mondial et, par conséquent, sur la capacité des gens, où qu’ils soient, à accéder à la possibilité de disposer d’une alimentation saine et nutritive.",text,5,GenV French
https://genv.org/fr/pourquoi-vegane/pour-lhumanite/,"Nos choix peuvent également affecter la situation des travailleurs précaires, exploités et malmenés par les systèmes de production de certains aliments, tandis que l’élevage d’animaux affecte l’ensemble de l’humanité par l’émergence de maladies à potentiel pandémique et de pathogènes résistants aux antibiotiques. Dans tous les cas, l’industrie de l’élevage a toujours un impact nettement préjudiciable.",text,6,GenV French
https://genv.org/fr/pourquoi-vegane/pour-lhumanite/,La menace de l’antibiorésistance,text,7,GenV French
https://genv.org/fr/pourquoi-vegane/pour-lhumanite/,"L’écrasante majorité des animaux d’élevage du monde entier sont entassés dans des systèmes intensifs. L’élevage industriel stresse les animaux et affaiblit leur système immunitaire tout en les exposant à des conditions insalubres. Il n’est pas surprenant de constater que les infections et les maladies foisonnent. Mais plutôt que de leur fournir de meilleures conditions, l’industrie traite les animaux avec de grandes quantités d’antibiotiques qui, du fait de leur utilisation excessive, ont permis l’émergence de souches bactériennes résistantes aux antibiotiques.",text,8,GenV French
https://genv.org/fr/pourquoi-vegane/pour-lhumanite/,"À l’échelle mondiale, deux tiers de tous les antibiotiques d’importance médicale sont administrés aux animaux d’élevage, un gaspillage inconsidéré. Les bactéries résistantes aux antibiotiques, qui sont la conséquence directe de cette surconsommation d’antibiotiques et qui sont déjà responsables de quelque 700.000 décès chaque année, représentent une terrible menace sanitaire pour l’avenir de l’humanité.",text,9,GenV French
https://genv.org/fr/pourquoi-vegane/pour-lhumanite/,"Élevages, zoonoses et risques de pandémies",text,10,GenV French
