url,content,type,position,Language
https://genv.org/hi/million-dollar-vegan/fight-climate-change-with-diet-change/,"हमारी साइट पर जाकर, आप कुकीज़, ट्रैकिंग आँकड़े आदि से संबंधित हमारी गोपनीयता नीति से सहमत होते हैं।अधिक पढ़ें।",text,1,GenV Hindi
https://genv.org/hi/million-dollar-vegan/fight-climate-change-with-diet-change/,"हमारी साइट पर जाकर, आप कुकीज़, ट्रैकिंग आँकड़े आदि से संबंधित हमारी गोपनीयता नीति से सहमत होते हैं।अधिक पढ़ें।",text,2,GenV Hindi
https://genv.org/hi/million-dollar-vegan/fight-climate-change-with-diet-change/,स्वीकार करनाX,text,3,GenV Hindi
https://genv.org/hi/million-dollar-vegan/fight-climate-change-with-diet-change/,आहार परिवर्तन द्वारा जलवायु परिवर्तन से लड़ें,text,4,GenV Hindi
https://genv.org/hi/million-dollar-vegan/fight-climate-change-with-diet-change/,https://genv.org/wp-content/uploads/2022/03/fight-climate-change-header-1-400x200.jpg,image,5,GenV Hindi
https://genv.org/hi/million-dollar-vegan/fight-climate-change-with-diet-change/,"2019 में, सर पॉल मेकार्टनी और कई अन्य हस्तियों, वैज्ञानिकों और पर्यावरणविदों के समर्थन से, हमने पोप फ्रांसिस को यह पेशकश की कि अगर वह लेंट उत्सव के लिए वीगन बनते हैं तो हम उनकी पसंद के धर्मार्थ संगठन को 10 लाख डॉलर दान देंगे। यह अभियान 15 देशों में एक साथ शुरू हुआ और इसने वैश्विक सुर्खियां बटोरीं।",text,6,GenV Hindi
https://genv.org/hi/million-dollar-vegan/fight-climate-change-with-diet-change/,"इस अभियान का लक्ष्य हमारे द्वारा चुने गए भोजन और जलवायु संकट, वनों की कटाई और जैव विविधता की हानि के बीच के संबंधों को स्पष्ट रूप से प्रदर्शित करना था। ये सभी वह मुद्दे हैं जिनके बारे में पोप फ्रांसिस ने अपने 2015 के एन्सिक्लिकल पत्र, लौदातो सी’ में बात की थी। वह लगभग निश्चित रूप से यह नहीं जानते थे कि एक मानव गतिविधि इस सारे विनाश का संचालन करती है और वह है : पशुपालन उद्योग।",text,7,GenV Hindi
https://genv.org/hi/million-dollar-vegan/fight-climate-change-with-diet-change/,"हमारे अभियान की राजदूत 12 वर्षीय जेनेसिस बटलर थीं, जो एक पशु कार्यकर्ता और जलवायु परिवर्तन प्रचारक हैं। पोप को लिखे अपने पत्र में, उन्होंने जलवायु परिवर्तन, प्रदूषण, विश्व भूख, वन्यजीवों के विलुप्त होने और पशुपालन उद्योग के पशुओं की पीड़ा में पशुपालन उद्योग द्वारा निभाई गई भूमिका को रेखांकित किया। जेनेसिस ने पोंटिफ से इस बारे में कोई कदम उठाने का आग्रह किया एवं उनसे मिलने की इच्छा जताई।",text,8,GenV Hindi
https://genv.org/hi/million-dollar-vegan/fight-climate-change-with-diet-change/,अभियान की तस्वीरें,text,9,GenV Hindi
https://genv.org/hi/million-dollar-vegan/fight-climate-change-with-diet-change/,"जेनेसिस को वेटिकन में आमंत्रित किया गया, जहाँ उनकी मुलाकात एक वरिष्ठ कैथोलिक पादरी से हुई।",text,10,GenV Hindi
https://genv.org/hi/million-dollar-vegan/fight-climate-change-with-diet-change/,"उन्होंने इतनी सत्यनिष्ठा और जुनून के साथ बात की कि फादर पट्टाज़निक उनके दूत बनने के लिए तैयार हो गए, और उनका पत्र लेकर मशहूर हस्तियों, वैज्ञानिकों और दसियों हज़ार लोगों द्वारा हस्ताक्षरित कराया, और इसे व्यक्तिगत रूप से पोप फ्रांसिस को सौंप दिया। जवाब में, पोप ने हमारे अभियान को स्वीकार किया और जेनेसिस को अपना आशीर्वाद भेजा।",text,11,GenV Hindi
