"url","content","type","position"
"https://humaneactionpittsburgh.org/","https://humaneactionpittsburgh.org/wp-content/uploads/2023/01/2020_HA_color_transpnotag_White-e1672936554660.png","image",1
"https://humaneactionpittsburgh.org/","https://humaneactionpittsburgh.org//wp-content/uploads/2021/03/2020_HA_color_transpnotag_White-1024x650.png","image",2
"https://humaneactionpittsburgh.org/","Our vision​ is a world without animal suffering where all beings are treated with compassion. Billions of animals suffer needlessly every year More than 10,000 animal cruelty charges are filed a year in Pennsylvania aloneAnd that’s just a fraction of the number of animals abused Over 300 land animals are killed or abused every second in the US Animal abuse comes in many forms…Puppy Mills. Factory Farms. Habitat Destruction. Wildlife Trapping. Culls. Exploitation. Killing Contests. Pollution. Neglect. Domestic Violence.","text",3
"https://humaneactionpittsburgh.org/","https://humaneactionpittsburgh.org/wp-content/uploads/2024/03/image001.png","image",4
"https://humaneactionpittsburgh.org/","Circus ban As a circus elephant performing around the country, Becky lived in chains, endured travel in extreme temperatures, and was beaten into submission in order to perform humiliating and painful tricks. HAP initiated and passed a law in 2017 banning training instruments of pain thereby barring animal circuses from ever performing within city limits again. Puppy mills As the “Puppy Mill Capital of the East”, Pennsylvania has some of the worst-of-the-worst puppy mills in the country.  HAP’s multi-faceted approach to ending puppy mill misery included passing the first retail-sales ban of mill-bred animals in PA, which bans pet stores from selling puppy mill dogs.","text",5
"https://humaneactionpittsburgh.org/","https://humaneactionpittsburgh.org/wp-content/uploads/2024/03/image005.jpg","image",6
"https://humaneactionpittsburgh.org/","https://humaneactionpittsburgh.org/wp-content/uploads/2024/03/8C3D9E4F-7757-40B9-9C8D-27A6EF94A499-1.jpg","image",7
"https://humaneactionpittsburgh.org/","https://humaneactionpittsburgh.org/wp-content/uploads/2024/03/8BBE041B-84D2-4D85-B204-A2903B180C14-1.jpg","image",8
"https://humaneactionpittsburgh.org/","Single use plastics Single-use plastics (SUPs) are killing animals - and us - and habitat loss is at an all-time high.  We are fighting against plastic pollution by organizing community litter clean ups, increasing awareness of proper composting procedures, and were instrumental in passing Pittsburgh’s “plastic ban ban”.","text",9
"https://humaneactionpittsburgh.org/","https://humaneactionpittsburgh.org/wp-content/uploads/2024/03/web_plastic_bags_istock-963098424_1.webp","image",10
