"url","content","type","position"
"https://paxfauna.org/","The Animal Movement Needs a Course Correction Building a New Animal Freedom Movement","text",1
"https://paxfauna.org/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20800%20533'%3E%3C/svg%3E","image",2
"https://paxfauna.org/","https://paxfauna.org/wp-content/uploads/Animal-Farming-Pandemics-and-Climate-Crisis-min.jpg","image",3
"https://paxfauna.org/","New Strategies New Messaging","text",4
"https://paxfauna.org/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20750%20747'%3E%3C/svg%3E","image",5
"https://paxfauna.org/","https://paxfauna.org/wp-content/uploads/img_5328.jpg","image",6
"https://paxfauna.org/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20800%20554'%3E%3C/svg%3E","image",7
"https://paxfauna.org/","https://paxfauna.org/wp-content/uploads/McDonalds-factory-min.jpg","image",8
"https://paxfauna.org/","New Ways of Organizing Our Approach is Different","text",9
"https://paxfauna.org/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20703%201024'%3E%3C/svg%3E","image",10
"https://paxfauna.org/","https://paxfauna.org/wp-content/uploads/2020/11/horseshoe_bend_t20_j_FyQrz-e1606445235256-703x1024.jpg","image",11
"https://paxfauna.org/","Leadership","text",12
"https://paxfauna.org/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20530%20500'%3E%3C/svg%3E","image",13
"https://paxfauna.org/","https://paxfauna.org/wp-content/uploads/2020/11/eva_megaphone-e1610517409904.jpg","image",14
"https://paxfauna.org/","Eva Hamer Eva is a longtime organizer in the animal freedom movement.","text",15
"https://paxfauna.org/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20530%20500'%3E%3C/svg%3E","image",16
"https://paxfauna.org/","https://paxfauna.org/wp-content/uploads/Aidan-Kankyoku-headshot-scaled.jpg","image",17
"https://paxfauna.org/","Aidan Kankyoku Aidan Kankyoku is a researcher focused on developing new strategies for the social movement wing of the farmed animal advocacy space. Join Our Team From Our Blog","text",18
"https://paxfauna.org/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20512'%3E%3C/svg%3E","image",19
"https://paxfauna.org/","https://paxfauna.org/wp-content/uploads/IMG_8378-1396437404-768x512.jpg","image",20
"https://paxfauna.org/","""Welfarism vs. Abolitionism"" is Obsolete","text",21
"https://paxfauna.org/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20433'%3E%3C/svg%3E","image",22
"https://paxfauna.org/","https://paxfauna.org/wp-content/uploads/Map-with-stars-1-768x433.png","image",23
"https://paxfauna.org/","Where the Animal Movement Will Be Reborn","text",24
"https://paxfauna.org/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20554'%3E%3C/svg%3E","image",25
"https://paxfauna.org/","https://paxfauna.org/wp-content/uploads/humiliation-and-bullying-at-school-focus-on-sad-y-2022-10-07-02-58-08-utc-768x554.jpeg","image",26
"https://paxfauna.org/","The Animal Movement’s Biggest Blind Spot","text",27
"https://paxfauna.org/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20433'%3E%3C/svg%3E","image",28
"https://paxfauna.org/","https://paxfauna.org/wp-content/uploads/liberation-pledge-768x433.png","image",29
"https://paxfauna.org/","Rethinking the Liberation Pledge","text",30
"https://paxfauna.org/","Introducing Pro-Animal Future's 10-Year Plan","text",31
"https://paxfauna.org/","Poll: Denver Voters Supportive of Pro-Animal Policies","text",32
"https://paxfauna.org/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20768%20512'%3E%3C/svg%3E","image",33
"https://paxfauna.org/","https://paxfauna.org/wp-content/uploads/01giraffesilentextinction-768x512.jpg","image",34
"https://paxfauna.org/","Empathy with Our Opposition: Persuading through Nonviolent Communication Be the First to Hear About Our Cutting- Edge Research Get updates from Pax Fauna ""*"" indicates required fields Δ get updates from pax fauna ""*"" indicates required fields Δ Notifications","text",35
"https://paxfauna.org/about/","About Us Pax = PeaceFauna = Animal","text",1
"https://paxfauna.org/about/","https://paxfauna.org/wp-content/uploads/2020/11/two-dirty-pigs-e1606384885103-1024x576.jpg","image",2
"https://paxfauna.org/about/","https://paxfauna.org/wp-content/uploads/2020/11/two-dirty-pigs-e1606384885103-1024x576.jpg","image",3
"https://paxfauna.org/about/","Pax Fauna exists todesign a more effective social movement for animal freedom in the U.S., using original research as well as careful study of social movement literature and the recent history of the animal movement, in order to reverse the cultural norm of eating animals. How We Show Up Fiercely Compassionate Rigorously Humble Professionally Playful Driven By Necessity Open Everything Fail Fast Trauma Informed Power Positive Right to be Raggedy Our Partners","text",4
"https://paxfauna.org/about/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20973%201024'%3E%3C/svg%3E","image",5
