"url","content","type","position"
"https://www.shrimpwelfareproject.org/rilarvimerseafood","https://static.wixstatic.com/media/374353_e284b9aca1c74738a6d74b5363ed1ab4~mv2.png/v1/fill/w_280,h_60,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/COLOUR%20PNG.png","image",1
"https://www.shrimpwelfareproject.org/rilarvimerseafood","https://static.wixstatic.com/media/26c75f_25147368903b45e99a56635a66e5a636~mv2.png/v1/fill/w_35,h_35,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/FB.png","image",2
"https://www.shrimpwelfareproject.org/rilarvimerseafood","https://static.wixstatic.com/media/26c75f_28bac89b9dc543679128ddc220745352~mv2.png/v1/fill/w_35,h_35,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/LinkedIn.png","image",3
"https://www.shrimpwelfareproject.org/rilarvimerseafood","Home","text",4
"https://www.shrimpwelfareproject.org/rilarvimerseafood","Interventions","text",5
"https://www.shrimpwelfareproject.org/rilarvimerseafood","(Shr)Impact","text",6
"https://www.shrimpwelfareproject.org/rilarvimerseafood","Team","text",7
"https://www.shrimpwelfareproject.org/rilarvimerseafood","Blog","text",8
"https://www.shrimpwelfareproject.org/rilarvimerseafood","Donate","text",9
"https://www.shrimpwelfareproject.org/rilarvimerseafood","Acerca de","text",10
"https://www.shrimpwelfareproject.org/rilarvimerseafood","MER Seafood","text",11
"https://www.shrimpwelfareproject.org/rilarvimerseafood","MER Seafood is committed to phasing out Eyestalk Ablation","text",12
"https://www.shrimpwelfareproject.org/rilarvimerseafood","MER Seafood is a corporate shrimp farm operating in Honduras.","text",13
"https://www.shrimpwelfareproject.org/rilarvimerseafood","In March 2017, Rilarvi Hatchery by MER Seafood began to phase out eyestalk ablation in their female broodstock. There were periods of time in the following years when the hatchery did a test with a small percentage of ablated females. However, the test did not considerably improve production. Since January 2021, MER Seafood farms have been growing 100% non-ablation shrimp. MER Seafood is proud to guarantee that 100% of their supply chain does not practice eyestalk ablation.","text",14
"https://www.shrimpwelfareproject.org/rilarvimerseafood","This move helped MER Seafood come closer to a more humane approach in shrimp production and its aim to improve animal welfare and quality of products, meet the requirements of international certification standards, and ensure a path to 100%  sustainable shrimp farming.","text",15
"https://www.shrimpwelfareproject.org/rilarvimerseafood","https://static.wixstatic.com/media/f32092_591825fb40794f1dbce516e595b8946e~mv2.jpg/v1/fill/w_865,h_574,al_c,q_85,usm_0.66_1.00_0.01,enc_auto/unnamed-1.jpg","image",16
"https://www.shrimpwelfareproject.org/rilarvimerseafood","https://static.wixstatic.com/media/f32092_e146ca7baab34ab2ab43b003b74cb449~mv2.png/v1/fill/w_86,h_49,al_c,q_85,usm_0.66_1.00_0.01,blur_2,enc_auto/unnamed.png","image",17
"https://www.shrimpwelfareproject.org/rilarvimerseafood","Solar power is the next step in sustainable shrimp farming for MER Seafood.","text",18
"https://www.shrimpwelfareproject.org/rilarvimerseafood","https://static.wixstatic.com/media/f32092_b6dbf022d08b41f997a5ca4616aadf72~mv2.jpg/v1/fill/w_102,h_77,al_c,q_80,usm_0.66_1.00_0.01,blur_2,enc_auto/unnamed.jpg","image",19
"https://www.shrimpwelfareproject.org/rilarvimerseafood","Read more:","text",20
"https://www.shrimpwelfareproject.org/rilarvimerseafood","https://static.wixstatic.com/media/374353_e284b9aca1c74738a6d74b5363ed1ab4~mv2.png/v1/crop/x_0,y_0,w_3208,h_655/fill/w_194,h_40,al_c,q_85,usm_0.66_1.00_0.01,blur_3,enc_auto/374353_e284b9aca1c74738a6d74b5363ed1ab4~mv2.png","image",21
"https://www.shrimpwelfareproject.org/rilarvimerseafood","Contact us:info@shrimpwelfareproject.org","text",22
