"url","content","type","position"
"https://www.themissionmotor.org/","We use essential cookies only to provide you with a great experience and to run our website effectively. By using this website, you agree to the use of essential cookies. We use essential cookies only to provide you with a great experience and to run our website effectively. By using this website, you agree to the use of essential cookies.","text",1
"https://www.themissionmotor.org/","https://images.squarespace-cdn.com/content/v1/62dbd7d5e2512d7fdad1729c/aeaefb29-232e-40b6-a1f5-37776c6c32a8/MissionMotor_Horizontal_FullColor.png?format=1500w","image",2
"https://www.themissionmotor.org/","https://images.squarespace-cdn.com/content/v1/62dbd7d5e2512d7fdad1729c/aeaefb29-232e-40b6-a1f5-37776c6c32a8/MissionMotor_Horizontal_FullColor.png?format=1500w","image",3
"https://www.themissionmotor.org/","https://images.squarespace-cdn.com/content/v1/62dbd7d5e2512d7fdad1729c/8b6d8881-829a-4d84-8cc0-69fb1db496f7/designervn-g945H9TK_2w-unsplash.jpg","image",4
"https://www.themissionmotor.org/","The Mission Motor works to increase the adoption of MEL practices within the animal and vegan advocacy community. We offer training and support on Monitoring, Evaluation, and Learning to ensure that data gathered through MEL continuously improves processes and interventions, the existing evidence base increases, organizations can make the highest achievable impact.","text",5
"https://www.themissionmotor.org/","https://images.squarespace-cdn.com/content/v1/62dbd7d5e2512d7fdad1729c/1663403284839-BF3N8GTWQ72H1U7BOB35/unsplash-image-SmnnJ0wdE4U.jpg","image",6
"https://www.themissionmotor.org/","Changing the world is possible.We’ve done it before. We are happy to share our extensive knowledge and experience on how to set up suitable Monitoring, Evaluation, and Learning systems.We love simple, effective processes that support you in achieving success. Whether it concerns creating a theory of change, brainstorming suitable metrics, or designing survey questions, we are here to help.","text",7
"https://www.themissionmotor.org/","https://images.squarespace-cdn.com/content/v1/62dbd7d5e2512d7fdad1729c/1690041318444-J8NOY6JA8PUW3AK4P6GL/image-asset.jpeg","image",8
"https://www.themissionmotor.org/","How does it work? Organizations qualify for our support if they implement programs to end intensive animal factory farming are eager to discover if and why their interventions do or do not work have capacity to dedicate time to work with us, and are willing and able to make changes based on the data and insights they collect. We work globally with all types of organizations and interventions. If you meet these criteria and have questions about how to gather reliable data, identify areas for improvement, or test different tactics and strategies, just reach out!We are generally able to address smaller questions at short notice. We work with a waiting list if more support is required. The Mission MotorAccelerating foundations for change Charity status in the NetherlandsRSIN-number: 864226597Chamber of Commerce: 87177722 E-mail: contact@themissionmotor.org Tel: +31 (0)6-21708832 Follow us onLinkedIn Bank: Triodos bank, SWIFT code TRIONL2UAccount number: NL27TRIO 0320 550699 Website created byVegan Hacktivists","text",9
"https://www.themissionmotor.org/what-we-do","We use essential cookies only to provide you with a great experience and to run our website effectively. By using this website, you agree to the use of essential cookies. We use essential cookies only to provide you with a great experience and to run our website effectively. By using this website, you agree to the use of essential cookies.","text",1
"https://www.themissionmotor.org/what-we-do","https://images.squarespace-cdn.com/content/v1/62dbd7d5e2512d7fdad1729c/aeaefb29-232e-40b6-a1f5-37776c6c32a8/MissionMotor_Horizontal_FullColor.png?format=1500w","image",2
"https://www.themissionmotor.org/what-we-do","https://images.squarespace-cdn.com/content/v1/62dbd7d5e2512d7fdad1729c/aeaefb29-232e-40b6-a1f5-37776c6c32a8/MissionMotor_Horizontal_FullColor.png?format=1500w","image",3
"https://www.themissionmotor.org/what-we-do","https://images.squarespace-cdn.com/content/v1/62dbd7d5e2512d7fdad1729c/99f4a4bb-9462-4d0f-aa26-ef5d6dbe0f31/Team+outside+PXL_20240828_100522755.jpg","image",4
