url,content,type,position
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,"AlphaFold used AI by training a deep learning model on a vast dataset of known protein structures and their corresponding amino acid sequences, enabling it to predict new structures from new sequences. To quantify (negative or positive) affective experiences, we depart from a very different reality, since there is not yet any method that enables directly accessing subjective affective states. Therefore, different from proteins, there is no dataset of known correspondences that can be used by deep learning models. ",text,1
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,"However, a method to estimate the key elements of affective experiences – duration and intensity –  has been recently made available through the development of the Welfare Footprint Framework (WFF). Over the last few years, the WFF has been used to estimate the welfare impact of animal welfare reforms and interventions in different species. Although originally developed for use by researchers, the WFF is nevertheless highly suitable for use by AI, specifically in Large Language Models (LLMs) like OpenAI’s GPT series, Google’s Gemini, Anthropic’s Claude, and Meta’s LLaMA.",text,2
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,"One particularly critical part of this process, where the WFF made its major contribution, is in the description and quantification of affective states. This is explained in more detail elsewhere, but in short, the method for describing negative experiences is performed with the Pain-Track (Fig. 2) and follows two basic stages:",text,3
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,"Breaking Down the Experience: because the intensity of most experiences fluctuates over time (e.g., it may increase as a disease advances, or reduce as healing progresses), each experience is divided into meaningful time segments, each representing an expected intensity pattern. For example, the pain from stubbing a toe starts with sharp, immediate pain lasting seconds, followed by acute pain with swelling, lasting minutes. This continues through secondary pain and bruising (minutes to hours), subacute pain and healing (hours to days), and mild residual pain during recovery. This approach can be applied to any unpleasant experience, such as disease, injury, fear, frustration, or hunger. ",text,4
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,"Estimating Intensity and Duration during each Segment: for each temporal segment, the intensity of the negative experience is estimated, ranging from Annoying to Excruciating. To transform scattered knowledge from various fields into estimates within each cell in the Pain-Track, the WFF uses a structured approach that documents existing evidence and highlights how well it supports or contradicts each intensity hypothesis. For example, to estimate the intensity of pain a make piglet endures during surgical castration, a procedure whereby piglets are restrained, the scrotum incised with a scalpel, and the testes extracted by tearing the tissues or severing the spermatic cord, the experience is first divided into meaningful time segments. Next, all relevant information is gathered from the literature. This includes, among others, data on nociceptor densities in this tissue, the animal’s behavior, posture and vocalizations during and after the process, neurological and physiological responses, the characterization and typical duration of inflammatory processes, the type and dose of analgesics required to alleviate pain, and the evolutionary significance of pain for the animal and in the area affected. Each of these lines of evidence is then compared with the definitions of the four categories of pain intensity used in the WFF to estimate the intensity and duration of the experience in each of these specific moments. Once estimates of the intensity and duration of the experience are made for each time segment of a Pain-Track, calculating welfare loss, measured as Cumulative Time in Pain of different intensities (or Cumulative Pain for short), is straightforward and automatic. ",text,5
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,"Since discovering the powerful capabilities of LLMs to gather and interpret large volumes of data, we have been exploring their potential, particularly in creating Pain-Tracks. One outcome of this exploration is the ‘Pain-Track’ Custom GPT. This tool provides a starting point for describing and quantifying the impact of various welfare issues across species. In the video below, you can see an example of its operation, where the user simply confirmed each step by answering ‘yes’. However, interactions can be much more detailed (see the section ‘Tips for Using the Pain-Track Custom GPT’ further down in this text).",text,6
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,"From the moment the tool has started to perform satisfactorily, our priority has been to make it available to the research and advocacy community,  even if they are not yet perfect. We found it particularly useful for didactic purposes, incorporating it into our workshops as a way to engage participants in the understanding and use of the Welfare Footprint method. Participants are motivated by being able to immediately describe and quantify sources of suffering in their target species or even for their personal pain experiences.",text,7
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,"While the results of the tool should only be interpreted as a starting point of analysis, which still requires human revision, estimates of Cumulative Pain produced so far are promising. For example, except for Annoying pain, estimates of Cumulative Pain due to surgical castration in male piglets produced by the the Custom Pain-Track GPT tool fall within the credibility interval of estimates developed by researchers, as shown below: ",text,8
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,"Still, LLMs are not deterministic, so estimates vary across queries. In the example above, 3 out of 10 individual estimates of Excruciating pain, and 5 (out of 10) individual estimates of Disabling pain did not overlap with those produced by the researchers, despite being in the same ‘ballpark’. Therefore, if the outputs of this GPT tool are aimed at informing decision-making, we advise using the average of about 10 queries, in the same way that human-based estimates are typically the consensus of various researchers.",text,9
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,"Identifying and understanding the sources of suffering (mainly in its extreme forms) in humans and animals under our custody are arguably among the most morally important research endeavors we can embark on. Given that the technological conditions are ripe, as we have shown throughout this text, we propose the ‘Pain Atlas Project’ to make this possible. By potentially utilizing higher levels of AI resources or collaborating with an AI company or institution, we hope to achieve an advance in animal welfare sciences comparable to what AlphaFold accomplished for molecular biology.",text,10
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,This project is designed to be structured around three core components:,text,11
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,1. Mapping of Suffering,text,12
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,"This component involves a comprehensive analysis of the primary source of suffering endured by different animal species throughout their lives and various contexts (Figure 1, sections I & II). This includes conditions such as injuries, diseases, deprivations, and stressors, building on efforts such as the Veterinary Extension of SNOMED CT.  ",text,13
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,2. Quantification of Suffering,text,14
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,"This component involves use of the Cumulative Pain metric to estimate the magnitude of suffering associated with each of the sources of suffering identified (Figure 1, section III). In a large-scale effort such as the Atlas, the instructions would be more detailed than those allowed with user-end resources like Custom GPTs. For instance, the results for each Pain-Track should be the consensus (or average) of the results obtained from different ‘agents’, each with a different specialty (e.g., ‘physiologist’, ‘veterinary’, ‘neuroscientist’)",text,15
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,3. Visualization of Suffering,text,16
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,"This final component uses visualization tools to construct a detailed and global landscape of suffering across species and living conditions. The focus will be on highlighting hotspots of suffering and assessing the effectiveness of potential interventions. This analytical phase is crucial for transforming raw data into actionable insights, ultimately guiding decision-making and intervention strategies..",text,17
https://welfarefootprint.org/2024/06/25/ai-mapping-suffering/,We invite everyone to provide feedback in the EA forum and discuss potential collaborations (feel free to also reach out to us at AI@welfarefootprint.org). ,text,18
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"To inform efforts for the prevention and alleviation of animal suffering, the Welfare Footprint Project has so far primarily focused on quantifying negative affective experiences  [1], often referred to simply as ‘pain.’ This emphasis is based on the understanding that negative experiences generally have a greater impact on well-being than positive ones, often preventing the experience of positive states  [2]. From an evolutionary standpoint, pain is expected to be more noticeable than pleasure, as pain signals immediate threats to survival and reproduction, whereas positive experiences tend to reinforce behaviors that are beneficial in the medium term, like social bonding, learning, optimal foraging and mating. Failing to experience pleasure is not as immediately consequential as not responding to pain. This tendency to focus more on negative than positive events, known as negativity bias, is in fact a well-documented phenomenon in humans  [3].",text,1
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"Still, positive states also play a crucial role in shaping an individual’s quality of life, and determining the extent to which it is ‘good’ [4], or at least ‘worth living’ [5]. Positive states are not only momentarily pleasurable; they also have long-term effects that help  individuals overcome adversity [6]. For example, experiences of positive affect have been shown to naturally relieve pain (through endogenous analgesia), boost resilience to stress, and improve immune function [7–9]. Accordingly, the assessment of positive affect and the identification of conditions promoting it have gained substantial traction in the animal welfare sciences in recent years [10–12]. ",text,2
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"The goal of this contribution is to expand the Welfare Footprint framework to include not only the measurement of negative experiences in animals, but also positive states, or ‘pleasure’. Since the reasoning behind this metric is similar to that for assessing pain — already discussed in prior works [1,13] (see a 8 min video or a presentation at the Effective Altruism conference) — we do not describe these principles again here. Instead, we introduce the definitions and tools equivalent to those used for the quantification of negative affective states, now adapted for positive affect: the operational definitions of ‘pleasure’ and its four different intensity levels, the ‘Pleasure-Track’ notation system, and the ‘Cumulative Pleasure’. Additionally, with the full spectrum of affective experiences considered,  we also introduce a visualization proposal, termed ‘Cumulative Affect’, to represent the overall Welfare Footprint of any population in a context and time scope of interest.",text,3
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"We propose an operational definition of pleasure directly derived from the operational definition of pain previously proposed [14], as follows:",text,4
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"“Pleasure is a conscious experience, evolved to elicit or reinforce behaviors beneficial to an organism’s survival and/or reproduction. It is affectively and cognitively processed as a positive and dynamic sensation that can vary in intensity, duration, texture, spatial specificity, and anatomical location. Pleasure is characterized as ‘physical’ when primarily triggered by stimuli that are directly rewarding or enjoyable, and as ‘psychological’ when triggered by cognitive processes, memories, and emotional states. Depending on its intensity and duration, pleasure can override other adaptive instincts and motivational drives, leading to states of dependency and self-damage.”",text,5
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"In the Welfare Footprint Framework, pain intensity categories are operationally defined based on the assumption that more unpleasant sensations should be more disruptive, engaging a greater share of attention. [15,16].  This is rooted in the evolutionary expectation that the greater the threat, the more intense the signal should be to ensure it is prioritized over other functions and behaviors [17,18]. A similar approach can be used to define categories of pleasure intensity, with intensity categories defined based on the degree of engagement with positive experiences. First, the degree of engagement in experiences is likely to correspond to the hedonic value of these experiences [6]. A greater motivation to play, interact socially and explore is likely driven by a more intense positive experience. Second, the degree of motivation to engage in positive experiences is also likely to match their broader adaptive value [19]. Just as pain intensity often signals threat severity, pleasure intensity may correlate with the evolutionary importance of the activity, such as resource holding, learning, parental care, and mating (though maladaptive exceptions can be present, such as addiction in humans and feather-plucking in birds).",text,6
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"Similarly with the case of pain, here we propose the use of emphatic and universally recognized terms, focusing on concepts that reflect the degree of engagement with the pleasurable state. The definitions of pain intensities were first presented in a paper aimed at the medical audience [13], but designed to maintain their universality for non-human animals. This same broad approach is used to define pleasure intensities:",text,7
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"Just as we recently included the category ‘no pain’ as an additional intensity level (zero pain), it is also convenient, whenever relevant, to include the category ‘no pleasure,’ which represents the hypothesis that no positive affective states are experienced over the period of interest. ",text,8
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"The Pleasure-Track is a notation system analogous to the Pain-Track [13], where hypotheses on the temporal evolution and intensity of positive affective states are described. To this end, each experience is atomized into a level of analysis that is justifiable through empirical evidence. This is done by decomposing each experience into meaningful time segments, where each time segment is characterized by an expected intensity. Next, hypotheses about the intensity and duration of the experience at each of these segments can be informed by empirical evidence.  ",text,9
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"To illustrate the concept of a Pleasure-Track, we consider the hypothetical intensity and duration of play bouts in young calves, as follows: (Phase I) the play session begins with calves engaging in light play or exploration. This includes behaviors such as gently nudging or sniffing play objects, or light social interactions with other calves. The engagement is present but not overwhelming, allowing the calves to remain aware of their surroundings and easily shift their focus to other stimuli. As the play behavior escalates (Phase II), calves enter a state characterized by more vigorous activities such as running, jumping, and robust social play like head-butting or chasing. The calves show a clear focus on these rewarding activities, with their behavior directed towards maintaining or enhancing the experience. Physiological indicators might include increased heart rate or more expressive body language, reflecting their engagement in the play. The peak of the play experience (Phase III) is where the activity becomes the primary focus of the calves’ attention, with calves fully immersed in play, displaying spontaneous expressions of pleasure such as vocalizations or exuberant body movements. After reaching the peak of excitement, the intensity of play begins to decrease. Calves may start to engage in less vigorous activities, such as slower running or gentle nudging, as they start to wind down from the high energy play. This stage (Phase IV) is characterized by a gradual reduction in the intensity of their actions and a shift towards more relaxed behaviors. When the play bout concludes (Phase V) calves often display behaviors indicative of relaxation. This may include lying down, social grooming, or simply resting in close proximity to their playmates. The Pleasure-Track below summarizes these hypothetical ethological observations for a group of calves. Average phase durations are also hypothetical, and in real scenarios are expected to vary with factors such as the species, age, space available, group size, climatic conditions, time of day, and hunger [20].",text,10
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"As with the Pain-Track, the Pleasure-Track is designed to capture situations in which there is uncertainty in the classification of the intensity of pleasure. Therefore, probabilities are used to represent how likely it is that each category of pleasure intensity is experienced. Uncertainty (or natural variation) regarding how long each phase of the experience lasts is captured in the range of values at the bottom row of each temporal segment. The Pleasure-Track illustrated above is hypothetical, but in real situations, each numerical input should be based on a thorough review of evidence from various sources. Because evidence will be often limited, criticism of the proposed values should be always encouraged.",text,11
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"Like with estimates of cumulative time in negative states (‘Cumulative Pain’), it is also possible to estimate ‘Cumulative Pleasure’, namely the time spent in positive affective states of different intensities, as follows:",text,12
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"The assessment of Cumulative Pleasure for an individual over a certain period or even their lifetime, can be also established by determining the cumulative impact of all the positive events experienced. Similar to negative experiences, this is best represented as the sum of the time spent in positive states from all these events, whether they happen sequentially or simultaneously. This also includes events that happen repeatedly. For instance, if young calves play as described in the hypothetical scenario 1-8 times a day for 4 weeks, the Cumulative Pleasure for each calf would be a total of approximately 15-130 minutes of Euphoria, 1 to 7.3 hours of Joy, and 1.7 to 13.3 hours of Satisfaction. This is the of the estimates shown in the Pleasure-Track, daily frequency of playing bout and total number of days playing.",text,13
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"Of course, different positive experiences can interact with each other in various ways, both physically and psychologically. These effects, when potentially leading to changes in the outcomes, must be investigated on a case-by-case basis.",text,14
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"Cumulative Pleasure can be also calculated at the population level. This requires accounting for differences in the exposure of population members to different positive experiences. This is achieved by weighting estimates by the prevalence of each experience, which enables  determining the cumulative time in pleasure experienced by an average member of the population. For example, in the hypothetical scenario of play in calves, Cumulative Pleasure could be weighted by the proportion of the calf population playing in the period of interest. For instance, if 50-90% of the calves played over the period of two weeks, Cumulative Pleasure for the average population member over this period would be the product of this prevalence and Cumulative Pleasure for each individual over the two weeks (resulting in 15-130 minutes of Euphoria, 59-440 minutes of Joy and 100-800 minutes of satisfaction)",text,15
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"As with estimates of time spent in pain, we don’t combine the four categories of pleasure intensity into a single one. This is because, as thoroughly discussed for pain [21], there are no empirical references to establish a weighting system between the intensity categories, hence a single scale of pleasure. ",text,16
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"By considering positive experiences, Welfare Footprints can be expressed as the time spent in negative and positive affective states of different intensities, i.e., Cumulative Pain and Cumulative Pleasure. To help visualize these effects, we propose to present Welfare Footprints as a double bar chart, as illustrated in the examples  below. This graphical representation juxtaposes the time spent in negative affective states against the time spent in positive affective states, across various intensities. The figure illustrates two footprints, depicting the distribution of time spent by an individual (or population, if the prevalence of different pains and pleasures are factored in the analysis) at each intensity of pain and pleasure (note that the quality of life depicted in the first Welfare Footprint [A] is clearly better than in the second [B]): ",text,17
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"The time units used in the chart for each intensity category (seconds, hours, days, and months) are flexible and can be adjusted. However, because of this flexibility, it is  crucial to always specify the units in the chart.",text,18
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"Because positive and negative intensities are displayed side by side, it is important to reiterate that no equivalence is implied. For instance, whether 10 seconds on the most intense form of pleasure (‘Bliss’) can be considered a direct counterpart of 10 seconds under the most intense form of pain (‘Excruciating’) remains to be determined.",text,19
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"The welfare of sentient organisms is shaped by a complex interplay of positive and negative affective states [6,19,22]. While combining both positive and negative experiences would offer a fuller picture of their affective lives, there are many challenges to measure or compare these states ethically or quantitatively  [5,23–27]. For example, Shriver [26] challenges the idea that pleasure and pain are just two ends of a continuum, pointing out that these states are driven by different cognitive processes, contribute differently to overall well-being, and have separate relationships with motivational systems. Considering these complexities, we do not attempt estimating how cumulative time in pain and pleasure might balance each other out. Instead, we focus on describing and measuring these affective states in a transparent and relatable way: by estimating time spent in states of pleasure and pain, at different levels of intensity.",text,20
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"We still maintain that negative states have a disproportionate impact on an individual’s life and welfare. Pain, especially when severe, can prevent the possibility of positive experiences. However, positive experiences and states are valuable, especially when more intense sources of pain have already been mitigated. Therefore, Welfare Footprints must not overlook this aspect. This text is aimed at incorporating positive experiences into the Welfare Footprint framework. Welfare Footprints that focus solely on pain are already valuable (especially for addressing the extreme situations many captive animals face), but a more comprehensive approach that includes positive experiences can provide a richer assessment. This complete version of a Welfare Footprint can thus better guide animal welfare policies, inform advocacy groups, and enhance public awareness about the ethical implications of animal use.",text,21
https://welfarefootprint.org/2024/03/12/positive-animal-welfare/,"1. Alonso WJ, Schuck-Paim C. The Comparative Measurement of Animal Welfare: the Cumulative Pain Framework. In: Schuck-Paim C, Alonso WJ, editors. Quantifying Pain in Laying Hens. Independently published. https://tinyurl.com/bookhens; 2021.
2. Schuck-Paim C, Alonso WJ. How attention modulates the perceived intensity and duration of simultaneous affective experiences:Implications for refining Cumulative Pain estimates and for determining the potential for positive welfare. In: Welfare Footprint Project [Internet]. 16 Apr 2023 [cited 5 May 2023]. Available: https://welfarefootprint.org/2023/04/16/method-refinement-attention/
3. Norris CJ. The negativity bias, revisited: Evidence from neuroscience measures and an individual differences approach. Soc Neurosci. 2021;16: 68–82.
4. Rowe E, Mullan S. Advancing a “Good Life” for Farm Animals: Development of Resource Tier Frameworks for On-Farm Assessment of Positive Welfare for Beef Cattle, Broiler Chicken and Pigs. Animals. 2022;12: 565.
5. Yeates J. Better to have lived and lost – the concept of a life worth living. In: Butterworth A, editor. Animal Welfare in a Changing World. CAB International; 2018. pp. 162–170.
6. Leknes S, Tracey I. A common neurobiology for pain and pleasure. Nat Rev Neurosci. 2008;9: 314–320.
7. Yeates JW, Main DCJ. Assessment of positive welfare: a review. Vet J. 2008;175: 293–300.
8. Moskowitz JT, Saslow LR. Health and psychology: The importance of positive affect. In: Tugade MM, editor. Handbook of positive emotions (pp. New York, NY, US: The Guilford Press, xv; 2014. pp. 413–431.
9. Gentle MJ. Attentional Shifts Alter Pain Perception in the Chicken. Anim Welf. 2001;10: 187–194.
10. EU. Action project to provide the background for including positive welfare in farm animal welfare assessment. In: LIFT – COST ACTION [Internet]. Super Admin; 2022-2026 [cited 28 Feb 2024]. Available: https://liftanimalwelfare.eu/
11. Mellor DJ. Animal emotions, behaviour and the promotion of positive welfare states. N Z Vet J. 2012;60: 1–8.
12. Mellor DJ. Updating Animal Welfare Thinking: Moving beyond the “Five Freedoms” towards “A Life Worth Living.” Animals (Basel). 2016;6. doi:10.3390/ani6030021
13. Alonso WJ, Schuck-Paim C. Pain-Track: a time-series approach for the description and analysis of the burden of pain. BMC Res Notes. 2021;14: 229.
14. Alonso WJ, Schuck-Paim C. A Novel Proposal for the Definition of Pain. pre-print (OSF). 2023; 2.
15. Barclay RJ, Herbert WJ, Poole T. The disturbance index : a behavioural method of assessing the severity of common laboratory procedures on rodents. UFAW, Universities Federation for Animal Welfare; 1988.
16. Eccleston C, Crombez G. Pain demands attention: a cognitive-affective model of the interruptive function of pain. Psychol Bull. 1999;125: 356–366.
17. Merker B. Drawing the line on pain. Animal Sentience: An Interdisciplinary Journal on Animal Feeling. 2016;1: 23.
18. Mellor DJ, Beausoleil NJ, Littlewood KE, McLean AN, McGreevy PD, Jones B, et al. The 2020 Five Domains Model: Including Human-Animal Interactions in Assessments of Animal Welfare. Animals (Basel). 2020;10. doi:10.3390/ani10101870
19. Mellor DJ. Positive animal welfare states and encouraging environment-focused and animal-to-animal interactive behaviours. N Z Vet J. 2015;63: 9–16.
20. Whalin L, Weary DM, von Keyserlingk MAG. Understanding Behavioural Development of Calves in Natural Settings to Inform Calf Management. Animals (Basel). 2021;11. doi:10.3390/ani11082446
21. Schuck-Paim C, Alonso WJ, Hamilton C. Short agony or long ache: comparing sources of suffering that differ in duration and intensity. Effective Altruism Forum. 2024. Available: https://forum.effectivealtruism.org/editPost?postId=C2qiY9hwH3Xuirce3)
22. Berridge KC, Kringelbach ML. Neuroscience of affect: brain mechanisms of pleasure and displeasure. Curr Opin Neurobiol. 2013;23: 294–303.
23. Reimert I, Webb LE, van Marwijk MA, Bolhuis JE. Review: Towards an integrated concept of animal welfare. Animal. 2023;17 Suppl 4: 100838.
24. Poirier C, Bateson M, Gualtieri F, Armstrong EA, Laws GC, Boswell T, et al. Validation of hippocampal biomarkers of cumulative affective experience. Neurosci Biobehav Rev. 2019;101: 113–121.
25. Suffering and happiness: Morally symmetric or orthogonal? In: Center for Reducing Suffering [Internet]. 9 Sep 2020 [cited 29 Feb 2024]. Available: https://centerforreducingsuffering.org/research/suffering-and-happiness-morally-symmetric-or-orthogonal/
26. Shriver A. The Asymmetrical Contributions of Pleasure and Pain to Subjective Well-Being. RevPhilPsych. 2014;5: 135–153.
27. Tomasik B. Are Happiness and Suffering Symmetric? [cited 29 Feb 2024]. Available: https://reducing-suffering.org/happiness-suffering-symmetric/",text,22
https://welfarefootprint.org/2024/02/20/shortagony-or-longache/,"The Welfare Footprint framework quantifies the cumulative load of affective experiences an individual, or population, experiences over a period of time. Although applicable to affective states of positive and negative valence, it is primarily focused on the latter. Here, evidence-based estimates of the time spent in pain of four intensities (Annoying, Hurtful, Disabling, and Excruciating) are used to quantify suffering in different scenarios, and thus help prioritize among welfare interventions. However, in some cases trade-offs may arise between brief intense suffering or longer lasting suffering of a milder intensity. Here we review the extent to which existing evidence could be used to establish a weighting system between pain intensity categories, hence a single scale of suffering. ",text,1
https://welfarefootprint.org/2024/02/20/shortagony-or-longache/,"* The perceived unpleasantness of pain, as subjectively rated on pain intensity scales, escalates disproportionatelly with these ratings, suggesting that experiences of more severe unpleasantness feel disproportionately worse compared to their placement on a typical scale.",text,2
https://welfarefootprint.org/2024/02/20/shortagony-or-longache/,"* Determining the exact form of the relationship, however, is still challenging, as insights from human pain studies are limited and difficult to apply to animals, and designing experiments to address this issue in animals is inherently challenging. ",text,3
https://welfarefootprint.org/2024/02/20/shortagony-or-longache/,"* Pain Intensity weights are likely dynamic and modulated by multiple factors, including interspecific differences in the perception of time. The very relationship between pain aversiveness and intensity ratings may change depending on the experience’s duration. ",text,4
https://welfarefootprint.org/2024/02/20/shortagony-or-longache/,"* Currently, the uncertainty associated with equivalence weights among pain intensity categories is orders of magnitude greater than the uncertainty related to other attributes of pain experiences, such as their prevalence or duration. ",text,5
https://welfarefootprint.org/2024/02/20/shortagony-or-longache/,"* Given these challenges, we currently favor a disaggregated approach. Disaggregated estimates can currently rank most welfare challenges and farm animal production scenarios in terms of suffering.",text,6
https://welfarefootprint.org/2024/02/20/shortagony-or-longache/,"* In the case of more complex trade-offs between brief severe pain and longer-lasting milder pain  we suggest two approaches. First, ensuring that all consequences of the welfare challenges are taken into account. For example, the effects of long-lasting chronic pain extend beyond the immediate experience, leading to long-term consequences (e.g., pain sensitization, immune suppression, behavioral deprivation, helplessness, depression) that may themselves trigger experiences of intense pain.  The same may happen with experiences of brief intense pain endured early in life. Second, once all secondary effects are considered, we suggest examining which weights would steer different decision paths, and determining how justifiable those weights are. This approach allows for normative flexibility, enabling stakeholders to rely on their own values and perspectives when making decisions.",text,7
https://welfarefootprint.org/2024/02/20/shortagony-or-longache/,"Pain, both physical and psychological, is an integral aspect of life for sentient organisms. Pain serves a vital biological purpose by signaling actual or potential harm or injury, prompting individuals to avoid or mitigate the cause of pain [1]. It varies in intensity (where intensity denotes the unpleasantness or aversiveness experienced by an individual, not intensity of physical stimuli), from a mild annoyance to an excruciating agony, and duration, from fleeting moments to persistent, long-lasting conditions. This diversity in the intensity and duration of pain also serves the adaptive purpose of guiding priorities [1,2]: while an acute, sharp pain demands immediate attention, a chronic, dull ache reminds individuals of a lingering issue that, though not urgent, can also have multiple and serious consequences if not attended to.",text,8
https://welfarefootprint.org/2024/02/20/shortagony-or-longache/,"While the function of pain as a biological alarm system is clear, its implications on overall well-being are more complex. Does a short-lived yet intense agony compromise well-being more than a prolonged but more moderate discomfort? For instance, farmed animals endure brief yet harrowing experiences, such as surgical castration without anesthesia or some slaughter practices, which are intensely painful but relatively quick. Contrast this with the more moderate, but continuous discomfort of being in an overcrowded space over several months. Both situations detrimentally affect welfare, but understanding which causes more distress, or if they can even be directly compared, is needed to make informed choices that prioritize welfare effectively [3].",text,9
https://welfarefootprint.org/2024/02/20/shortagony-or-longache/,"In their quest to maximize fitness, organisms often operate on heuristic principles, prioritizing immediate or more intense threats based on simple rules of thumb, rather than a comprehensive evaluation of all potential consequences over a longer time frame [4]. This might mean, for instance, giving priority to pain of higher intensity, everything else being equal. However, in the realms of human and animal welfare, the goal is often to establish a metric that considers overall welfare over longer time frames, enabling the prioritization of actions that minimize suffering without burden shifting.",text,10
https://welfarefootprint.org/2024/02/20/shortagony-or-longache/,"Within the Welfare Footprint framework [5], the intensity (unpleasantness) of negative affective experiences (referred to as ‘pain’ for simplicity) is categorized into four levels (Annoying, Hurtful, Disabling, and Excruciating) and welfare loss, or ‘suffering’, is expressed as total time spent in each intensity category (‘Cumulative Pain’). In this way, the method adopts a pragmatic stance by expressing outcomes across pain intensities over time without conflating them into a single metric. By doing so, it acknowledges the challenges and inherent uncertainties involved in comparing different pains across their dimensions, at the same time offering actionable, evidence-based results that can be used for the pursuit of different priorities (e.g., those prioritizing the relief of the worst kinds of preventable suffering can focus only on estimates of time in Disabling and Excruciating pain). Still, considering that this research area holds scientific and practical value, our focus here is to  contribute to discussion in this direction. ",text,11
