Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~15533627,Research Group Eticonsum+Target of Animal Welfare requirements for all products and species in 2025,Mercadona,2022,Yes,https://wikirate.org/~15533258,15533627.0,https://info.mercadona.es/document/en/download-report-2022.pdf,1.0,"pg. 58 ""Animal welfare For their part, all the egg suppliers of Irmãdona have this animal welfare certificate and, with respect to its meat suppliers, the company is continuing to work towards all of them being certified in 2023."" ""Additionally, the company now offers free-range eggs throughout the chain from free-range chickens and cage-free chickens. And in order to continue to progress with this commitment, it has the goal of guaranteeing, by the end of 2025, that 100% of its fresh eggs are from cagefree chickens raised in non-combined systems."" Manali Rana[https://wikirate.org/Manali_Rana].....2023-08-08 07:00:34 UTC",US58733R1023;US58733R2013;US58733RAC60;US58733RAD44;US58733RAE27;US58733RAF91
https://wikirate.org/~15533786,Research Group Eticonsum+Target of Animal Welfare requirements for all products and species in 2025,Grupo Eroski,2022,Yes,https://wikirate.org/~15533172,15533786.0,,1.0,"pg. 148 ""In addition to the incorporation of external reference seals, EROSKI has adopted the following commitments:"" ""Eggs from cage-free hens in 2024"" ""Egg ingredients from cage-free hens in 2025:"" ""European Chicken Commitment on our own brand in 2026:"" Manali Rana[https://wikirate.org/Manali_Rana].....2023-08-09 12:59:42 UTC",
https://wikirate.org/~15533773,Research Group Eticonsum+Target of Animal Welfare requirements for all products and species in 2025,Alcampo S.A.,2022,Yes,https://wikirate.org/~15533645,15533773.0,,1.0,"pg. 81 “Alcampo has had an Animal Welfare Policy since 2020, having set goals up to 2026. In 2022, going one step further, Alcampo expanded its commitments to include 100% of products containing eggs as one of its ingredients, will come from hens not raised in cages or in combined systems in 2024 for the Alcampo Producción Controlada brand and in 2025 for the rest of the own brand. Likewise, the company has adhered to the European Chicken Commitment to guarantee that 100% of fresh and frozen chicken, as well as processed products (containing more than 50% chicken) meet the requirements set by said commitment for all their own brands and their exclusive brand To the Controlled Production field.” Manali Rana[https://wikirate.org/Manali_Rana].....2023-08-09 12:44:46 UTC",
https://wikirate.org/~15533475,Research Group Eticonsum+Target of Animal Welfare requirements for all products and species in 2025,El Corte Ingles S.A.,2022,Yes,https://wikirate.org/~15533468,15533475.0,,1.0,"pg. 3 ""In addition, new developments have been made in the field of animal welfare in response to the awareness of animal welfare conditions, such as:  European Chicken Commitment for the company's own brand: the organisation has adhered to the commitment to renounce the marketing of own brand fastgrowing fresh chicken. Thus, 100% of the current supply of this type of chickencomes from slow-growing, animal welfare-certified breeds. The company is working with its suppliers to achieve the targets of this commitment in all its own-brand offerings (whether fresh, frozen or processed chicken) containing 50% or more of chicken by the end of 2026."" pg. 4 "" Fresh cage-free eggs: El Corte Inglés has already fulfilled its commitment to source 100% of its own brand eggs from cage-free hens and combined systems (floor, freerange or organic). Currently, 100% of the own-brand eggs sold and served in its cafés and restaurants include animal welfare certifications. By 2025, the company will extended also this commitmen...",ES05051138V2;ES05051138W0
https://wikirate.org/Research_Group_Eticonsum+Target_of_Animal_Welfare_requirements_for_all_products_and_species_in_2025+Research_Group_Eticonsum+Mercadona+2022,Research Group Eticonsum+Target of Animal Welfare requirements for all products and species in 2025+Research Group Eticonsum,Mercadona,2022,10.0,,,,,,US58733R1023;US58733R2013;US58733RAC60;US58733RAD44;US58733RAE27;US58733RAF91
https://wikirate.org/Research_Group_Eticonsum+Target_of_Animal_Welfare_requirements_for_all_products_and_species_in_2025+Research_Group_Eticonsum+Grupo_Eroski+2022,Research Group Eticonsum+Target of Animal Welfare requirements for all products and species in 2025+Research Group Eticonsum,Grupo Eroski,2022,10.0,,,,,,
https://wikirate.org/Research_Group_Eticonsum+Target_of_Animal_Welfare_requirements_for_all_products_and_species_in_2025+Research_Group_Eticonsum+Alcampo_S_A+2022,Research Group Eticonsum+Target of Animal Welfare requirements for all products and species in 2025+Research Group Eticonsum,Alcampo S.A.,2022,10.0,,,,,,
https://wikirate.org/Research_Group_Eticonsum+Target_of_Animal_Welfare_requirements_for_all_products_and_species_in_2025+Research_Group_Eticonsum+El_Corte_Ingles_S_A+2022,Research Group Eticonsum+Target of Animal Welfare requirements for all products and species in 2025+Research Group Eticonsum,El Corte Ingles S.A.,2022,10.0,,,,,,ES05051138V2;ES05051138W0
https://wikirate.org/~15533569,Research Group Eticonsum+Target of Animal Welfare requirements for all products and species in 2025,Lidl Stiftung & Co. KG,2021,Yes,https://wikirate.org/~15533510,15533569.0,https://gruppe.schwarz/en/asset/download/7078/file/221116_cr_sustainability2021_en_ges.pdf,1.0,"pg. 83 “Commitment to more responsible animal husbandry and sustainable fish purchasing” “Compliance with and promotion of more responsible husbandry conditions for livestock on land and in water plays an important role for the retail divisions Lidl and Kauf¬land.” “By the end of 2025, they want to establish husbandry method level 2 as the permanent minimum standard for animal primary products.” Manali Rana[https://wikirate.org/Manali_Rana].....2023-08-07 15:04:05 UTC",
https://wikirate.org/~15533369,Research Group Eticonsum+Target of Animal Welfare requirements for all products and species in 2025,Aldi Nord,2021,Yes,https://wikirate.org/~15532893,15533369.0,https://www.aldi-nord.de/content/dam/aldi/corporate-responsibility/de/nachhaltigkeitsbericht/2017/sonstige/downloads-und-archiv/en/ALDI_Nord_Sustainability_Report_2021-EN.pdf.res/1687535882257/ALDI_Nord_Sustainability_Report_2021-EN.pdf,1.0,"pg. 23 ""Animal welfare is an important concern for ALDI Nord Germany and German citizens. As part of our initiatives to increase animal welfare, especially for livestock such as pigs, broilers, turkeys and cattle, we called for a change in husbandry practices (‘Haltungswechsel’): By 2030 we will consistently convert our fresh meat and drinking milk (fresh and UHT) to the more animal-friendly husbandry levels 3 and 4 (fresh air and organic farming). We started by changing our fresh pork from husbandry level 1 to husbandry level 2 (except fillets), and further extended the welfare labelling system (‘Haltungsform’) from fresh meat to cold cuts and other processed meat products in 2021. From the beginning of 2022, we also labelled dairy products with the welfare labelling system. Responding to the concerns of farmers and customers, ALDI Nord Germany committed to converting the entire supply chain for fresh pork to 5D. This means that the entire supply chain is in Germany: from birth to slaughter and processing...",
