Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~121635,PETA+Animal Testing,Whole Foods Market Inc.,2015,No,,121635,,1,,
https://wikirate.org/~111061,PETA+Animal Testing,Lush,2015,No,,111061,,1,,
https://wikirate.org/~104908,PETA+Animal Testing,"Wal-Mart Stores, Inc.",2015,No,https://wikirate.org/~62184,104908,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~132236,PETA+Animal Testing,Procter & Gamble Co.,2015,Yes,https://wikirate.org/~67187,132236,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=-1&Product=0&Dotest=8&Regchange=-1&Country=-1&Keyword=,1,,US7427181091;US7427181174;US7427181257;US7427182081;US7427183071;US7427184061;US7427185050;US742718BH18;US742718BK47;US742718BL20;US742718BM03;US742718BN85;US742718BP34;US742718BQ17;US742718BR99;US742718BS72;US742718BT55;US742718BU29;US742718BV02;US742718BW84;US742718BX67;US742718BY41;US742718BZ16;US742718CA55;US742718CB39;US742718CC12;US742718CD94;US742718CE77;US742718CF43;US742718CG26;US742718CH09;US742718CJ64;US742718CK38;US742718CL11;US742718CM93;US742718CN76;US742718CP25;US742718CQ08;US742718CR80;US742718CS63;US742718CT47;US742718CU10;US742718CV92;US742718CW75;US742718CX58;US742718CY32;US742718CZ07;US742718DA47;US742718DB20;US742718DC03;US742718DD85;US742718DE68;US742718DF34;US742718DG17;US742718DH99;US742718DJ55;US742718DK29;US742718DL02;US742718DM84;US742718DN67;US742718DQ98;US742718DR71;US742718DS54;US742718DT38;US742718DU01;US742718DV83;US742718DX40;US742718DY23;US742718DZ97;US742718EB11;US742718EC93;US742718ED76;US742718EE59;US742718EF25;US742718EG08;US742718EH80;US742718EJ47;US742718EM75;US742718EN58;US742718EP07;US742718EQ89;US742718ER62;US742718EU91;US742718EV74;US742718EW57;US742718EZ88;US742718FA29;US742718FB02;US742718FG98;US742718FH71;US742718FJ38;US742718FK01;US742718FL83;US742718FM66;US742718FN40;US742718FP97;US742718FQ70;US742718FV65;US742718FW49;US742718FX22;US742718FY05;US742718FZ79;US742718GA10;US742718GB92;US742718GE32;US742718GF07;US742718GG89;USU742711877;USU74271DY72;USU74271DZ48;USU74271EA87;USU74271EB60;USU74271EC44;USU74271ED27;USU74271EE00;USU74271EF74;USU74271EG57;USU74271EH31;USU74271EJ96;USU74271EK69;USU74271EL43;USU74271EM26;USU74271EN09;USU74271EP56;USU74271EQ30;USU74271ER13;USU74271ES95;USU74271ET78;USU74271EU42
https://wikirate.org/~132343,PETA+Animal Testing,Johnson&Johnson,2015,Yes,https://wikirate.org/~67187,132343,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=-1&Product=0&Dotest=8&Regchange=-1&Country=-1&Keyword=,1,,US4781601046;US478160AJ37;US478160AK00;US478160AL82;US478160AM65;US478160AN49;US478160AP96;US478160AQ79;US478160AT19;US478160AU81;US478160AV64;US478160AW48;US478160AX21;US478160AY04;US478160AZ78;US478160BA19;US478160BB91;US478160BC74;US478160BD57;US478160BE31;US478160BF06;US478160BG88;US478160BH61;US478160BJ28;US478160BK90;US478160BL73;US478160BM56;US478160BN30;US478160BR44;US478160BS27;US478160BT00;US478160BU72;US478160BV55;US478160BW39;US478160BX12;US478160BY94;US478160CD49;US478160CE22;US478160CF96;US478160CG79;US478160CH52;US478160CJ19;US478160CK81;US478160CL64;US478160CM48;US478160CN21;US478160CP78;US478160CQ51;US478160CR35;US478160CS18;US478160CT90;US478160CU63;US478160CV47;US478160CW20;US478160CX03;US47816LAK44;US47816LAN82;US47816LAR96;US47816LAS79
https://wikirate.org/~123503,PETA+Animal Testing,Unilever,2015,Yes,https://wikirate.org/~67187,123503,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=-1&Product=0&Dotest=8&Regchange=-1&Country=-1&Keyword=,1,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~118120,PETA+Animal Testing,Henkel AG & Co. KGaA,2015,Yes,https://wikirate.org/~67187,118120,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=-1&Product=0&Dotest=8&Regchange=-1&Country=-1&Keyword=,1,,DE0001488104;DE0006048408;DE0006048432;US42550U1097;US42550U2087
https://wikirate.org/~161063,PETA+Animal Testing,Bayer AG,2015,Yes,https://wikirate.org/~67187,161063,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=-1&Product=0&Dotest=8&Regchange=-1&Country=-1&Keyword=,1,,DE0005752059;DE000BAY0017;US0727303028
https://wikirate.org/~120563,PETA+Animal Testing,Safeway Inc.,2015,No,,120563,,1,,
https://wikirate.org/~115693,PETA+Animal Testing,Hugo Boss AG,2015,Yes,https://wikirate.org/~67187,115693,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=-1&Product=0&Dotest=8&Regchange=-1&Country=-1&Keyword=,1,,DE000A1PHFF7;US4445601069
https://wikirate.org/~127028,PETA+Animal Testing,GlaxoSmithKline,2015,Yes,https://wikirate.org/~67187,127028,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=-1&Product=0&Dotest=8&Regchange=-1&Country=-1&Keyword=,1,,GB00BN7SWP63;US37733W2044
https://wikirate.org/~62197,PETA+Animal Testing,eShave,2015,No,https://wikirate.org/~62184,62197,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~62710,PETA+Animal Testing,American International Group,2015,No,https://wikirate.org/~62184,62710,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,US0268741156;US0268741230;US0268741313;US0268741495;US0268741560;US0268741644;US0268744044;US0268745033;US0268747500;US0268747682;US0268747765;US0268747849;US0268747922;US0268748003;US0268748185;US0268748599;US026874AM93;US026874AN76;US026874AP25;US026874AQ08;US026874AR80;US026874AS63;US026874AT47;US026874AU10;US026874AV92;US026874AW75;US026874AX58;US026874AY32;US026874AZ07;US026874BA47;US026874BC03;US026874BD85;US026874BE68;US026874BH99;US026874BJ55;US026874BL02;US026874BM84;US026874BR71;US026874BS54;US026874BT38;US026874BU01;US026874BV83;US026874BW66;US026874BX40;US026874BY23;US026874BZ97;US026874CA38;US026874CB11;US026874CE59;US026874CF25;US026874CG08;US026874CH80;US026874CJ47;US026874CK10;US026874CL92;US026874CM75;US026874CN58;US026874CP07;US026874CQ89;US026874CS46;US026874CT29;US026874CU91;US026874CV74;US026874CW57;US026874CX31;US026874CY14;US026874CZ88;US026874DA29;US026874DB02;US026874DC84;US026874DD67;US026874DE41;US026874DF16;US026874DG98;US026874DH71;US026874DK01;US026874DL83;US026874DM66;US026874DN40;US026874DP97;US026874DQ70;US026874DR53;US026874DS37;US02687MAA53;US02687MAB37;US02687MAC10;US02687MAD92;US02687MAE75;US02687MAF41;US02687MAG24;US02687MAH07;US02687MAJ62;US02687MAK36;US02687MAL19;US02687MAM91;US02687MAN74;US02687MAP23;US02687MAQ06;US02687MAR88;US02687MAS61;US02687MAT45;US02687MAU18;US02687MAV90;US02687MAW73;US02687MAX56;US02687MAY30;US02687MAZ05;US02687MBA45;US02687MBB28;US02687MBC01;US02687MBD83;US02687MBE66;US02687MBF32;US02687MBG15;US02687MBH97;US02687MBJ53;US02687MBK27;US02687MBL00;US02687MBM82;US02687MBN65;US02687MBP14;US02687MBQ96;US02687MBR79;US02687MBS52;US02687MBT36;US02687MBU09;US02687MBV81;US02687MBW64;US02687MBX48;US02687MBY21;US02687MBZ95;US02687MCA36;US02687MCB19;US02687NAA37;US02687NAB10;US02687NAC92;US02687NAD75;US02687NAE58;US02687NAF24;US02687NAG07;US02687NAH89;US02687NAJ46;US02687NAK19;US02687NAL91;US02687NAM74;US02687NAN57;US02687NAP06;US02687NAQ88;US02687NAR61;US02687NAS45;US02687NAT28;US02687NAU90;US02687NAV73;US02687NAW56;US02687NAX30;US02687NAY13;US02687NAZ87;US02687NBA28;US02687NBB01;US02687NBC83;US02687NBD66;US02687NBE40;US02687NBF15;US02687NBG97;US02687NBH70;US02687NBJ37;US02687NBK00;US02687NBL82;US02687NBM65;US02687NBN49;US02687NBP96;US02687NBQ79;US02687NBR52;US02687NBS36;US02687NBT19;US02687NBU81;US02687NBV64;US02687NBW48;US02687NBX21;US02687NBY04;US02687NBZ78;US02687NCA19;US02687NCB91;US02687QAF54;US02687QAG38;US02687QAH11;US02687QAJ76;US02687QAK40;US02687QAL23;US02687QAM06;US02687QAN88;US02687QAP37;US02687QAQ10;US02687QAR92;US02687QAS75;US02687QAT58;US02687QAU22;US02687QAV05;US02687QAW87;US02687QAX60;US02687QAY44;US02687QAZ19;US02687QBA58;US02687QBB32;US02687QBC15;US02687QBD97;US02687QBE70;US02687QBF46;US02687QBG29;US02687QBH02;US02687QBJ67;US02687QBK31;US02687QBL14;US02687QBM96;US02687QBN79;US02687QBP28;US02687QBQ01;US02687QBR83;US02687QBS66;US02687QBT40;US02687QBU13;US02687QBV95;US02687QBX51;US02687QBY35;US02687QBZ00;US02687QCA40;US02687QCB23;US02687QCC06;US02687QCD88;US02687QCE61;US02687QCF37;US02687QCG10;US02687QCH92;US02687QCJ58;US02687QCK22;US02687QCL05;US02687QCM87;US02687QCN60;US02687QCP19;US02687QCQ91;US02687QCR74;US02687QCS57;US02687QCT31;US02687QCU04;US02687QCV86;US02687QCW69;US02687QCX43;US02687QCY26;US02687QCZ90;US02687QDA31;US02687QDB14;US02687QDC96;US02687QDD79;US02687QDE52;US02687QDF28;US02687QDG01;US02687QDH83;US02687QDJ40;US02687QDK13;US02687QDL95;US02687QDN51;US02687QDP00;US02687QDQ82;US02687QDR65;US02687QDS49;US02687QDT22;US02687QDU94;US02687QDV77;US02687QDW50;US02687QDX34;US02687QDY17;US02687QDZ81;US02687QEA22;US02687QEB05;US02687QEC87;US02687QED60;US02687WAA36;US02687WAB19;US02687WAC91;US02687WAD74;US02687WAE57;US02687WAF23;US02687WAG06;US02687WAH88;US02687WAJ45;US02687WAK18;US02687WAL90;US02687WAM73;US02687WAN56;US02687WAP05;US02687WAQ87;US02687WAR60;US02687WAS44;US02687WAT27;US02687WAU99;US02687WAV72;US02687WAW55;US02687WAX39;US02687WAY12;US02687WAZ86;US02687WBA27;US02687WBB00;US02687WBC82;US02687WBD65;US02687WBE49;US02687WBF14;US02687WBG96;US02687WBH79;US02687WBJ36;US02687WBK09;US02687WBL81;US02687WBM64;US02687WBN48;US02687WBP95;US02687WBQ78;US02687WBR51;US02687WBS35;US02687WBT18;US02687WBU80;US02687WBV63;US02687WBW47;US02687WBX20;US02687WBY03;US02687WBZ77;US02687WCA18;US02687WCB90;USU02687AC21;USU02687AE86;USU02687AF51;USU02687BE77;USU02687BN76;USU02687BW75;USU02687CB20;USU02687CH99;USU02687CJ55
https://wikirate.org/~67200,PETA+Animal Testing,Walgreens,2015,Yes,https://wikirate.org/~67187,67200,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=-1&Product=0&Dotest=8&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~76762,PETA+Animal Testing,L'Occitane,2015,Yes,https://wikirate.org/~67187,76762,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=-1&Product=0&Dotest=8&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~85354,PETA+Animal Testing,Valeant Pharmaceuticals,2015,Yes,https://wikirate.org/~67187,85354,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=-1&Product=0&Dotest=8&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~88660,PETA+Animal Testing,Tapestry Inc,2015,Yes,https://wikirate.org/~67187,88660,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=-1&Product=0&Dotest=8&Regchange=-1&Country=-1&Keyword=,1,,US189754AA23;US189754AB06;US189754AC88;US8760301072;US876030AA54;US876030AB38;US876030AC11;US876030AD93;US876030AE76;US876030AF42
https://wikirate.org/~100645,PETA+Animal Testing,Church & Dwight,2015,Yes,https://wikirate.org/~67187,100645,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=-1&Product=0&Dotest=8&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~105013,PETA+Animal Testing,100% Pure,2015,No,https://wikirate.org/~62184,105013,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~105021,PETA+Animal Testing,1121 Apothecary,2015,No,https://wikirate.org/~62184,105021,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~105029,PETA+Animal Testing,"2 Beauty Ex., Inc.",2015,No,https://wikirate.org/~62184,105029,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~105037,PETA+Animal Testing,2nd Love Cosmetics,2015,No,https://wikirate.org/~62184,105037,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~105045,PETA+Animal Testing,3rd Rock Sunblock,2015,No,https://wikirate.org/~62184,105045,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~105053,PETA+Animal Testing,415 Labs,2015,No,https://wikirate.org/~62184,105053,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~105061,PETA+Animal Testing,4mula,2015,No,https://wikirate.org/~62184,105061,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~105069,PETA+Animal Testing,A Perfume Organic,2015,No,https://wikirate.org/~62184,105069,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~105077,PETA+Animal Testing,A Wild Soap Bar,2015,No,https://wikirate.org/~62184,105077,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~105085,PETA+Animal Testing,Abhati,2015,No,https://wikirate.org/~62184,105085,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~105093,PETA+Animal Testing,Able & Aware,2015,No,https://wikirate.org/~62184,105093,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
https://wikirate.org/~105101,PETA+Animal Testing,Abra Therapeutics,2015,No,https://wikirate.org/~62184,105101,http://features.peta.org//cruelty-free-company-search/cruelty_free_companies_search.aspx?Donottest=8&Product=0&Dotest=-1&Regchange=-1&Country=-1&Keyword=,1,,
