Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Lidl_Stiftung_Co_KG+2020,Research Group Eticonsum+6.2 Animal welfare certifications,Lidl Stiftung & Co. KG,2020,10.0,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Carrefour_S_A+2020,Research Group Eticonsum+6.2 Animal welfare certifications,Carrefour S.A.,2020,0.0,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Aldi_Nord+2020,Research Group Eticonsum+6.2 Animal welfare certifications,Aldi Nord,2020,7.5,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Mercadona+2020,Research Group Eticonsum+6.2 Animal welfare certifications,Mercadona,2020,0.0,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Grupo_Eroski+2020,Research Group Eticonsum+6.2 Animal welfare certifications,Grupo Eroski,2020,5.0,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Distribuidora_Internacional_de_Alimentacion_SA_DIA+2020,Research Group Eticonsum+6.2 Animal welfare certifications,Distribuidora Internacional de Alimentacion SA (DIA),2020,0.0,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Alcampo_S_A+2020,Research Group Eticonsum+6.2 Animal welfare certifications,Alcampo S.A.,2020,2.5,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+El_Corte_Ingles_S_A+2020,Research Group Eticonsum+6.2 Animal welfare certifications,El Corte Ingles S.A.,2020,2.5,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Lidl_Stiftung_Co_KG+2019,Research Group Eticonsum+6.2 Animal welfare certifications,Lidl Stiftung & Co. KG,2019,10.0,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Carrefour_S_A+2019,Research Group Eticonsum+6.2 Animal welfare certifications,Carrefour S.A.,2019,0.0,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Aldi_Nord+2019,Research Group Eticonsum+6.2 Animal welfare certifications,Aldi Nord,2019,7.5,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Mercadona+2019,Research Group Eticonsum+6.2 Animal welfare certifications,Mercadona,2019,0.0,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Grupo_Eroski+2019,Research Group Eticonsum+6.2 Animal welfare certifications,Grupo Eroski,2019,5.0,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Distribuidora_Internacional_de_Alimentacion_SA_DIA+2019,Research Group Eticonsum+6.2 Animal welfare certifications,Distribuidora Internacional de Alimentacion SA (DIA),2019,0.0,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+Alcampo_S_A+2019,Research Group Eticonsum+6.2 Animal welfare certifications,Alcampo S.A.,2019,2.5,
https://wikirate.org/Research_Group_Eticonsum+6_2_Animal_welfare_certifications+El_Corte_Ingles_S_A+2019,Research Group Eticonsum+6.2 Animal welfare certifications,El Corte Ingles S.A.,2019,2.5,
