Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~6953858,Research Group Eticonsum+Policy on Animal Welfare,Lidl Stiftung & Co. KG,2020,Yes,https://wikirate.org/~6948465,6953858,https://empresa.lidl.es/sostenibilidad/politica-de-compras-responsable,1,"Lidl desarrolla las actuaciones y compromisos más ambiciosos en materia de bienestar animal de todas las 8 compañias evaluadas hasta finales de 2020. Es especialmente destacable sus esfuerzos en certificar todos sus productos frescos de origen animal con los estandares de referencia y más exigentes del mercado . Todo ello sin incrementar los precios de los productos, según comunica la compañía: "" Este valor añadido sobre el bienestar animal que ofrecemos en nuestros productos no se ve reflejado en ninguna subida de precios, por lo que el consumidor final consume carne fresca y de calidad, sin necesidad de pagar más por ello. Lidl publica un documento individual con su Política de Bienestar Animal. En él detalla sus actuaciones y compromisos en relacion al abastecimiento de huevos, leche y carne frescca Luis Leyton[https://wikirate.org/Luis_Leyton].....2021-02-27 20:53:20 UTC",
https://wikirate.org/~6950060,Research Group Eticonsum+Policy on Animal Welfare,Carrefour S.A.,2020,No,https://wikirate.org/~6948998,6950060,https://hola.carrefour.es/documents/71764615/72770165/CON+EL+MEDIO+AMBIENTE+V11.pdf/a7569e48-c3d8-3646-2f96-a53a7418da34,1,"No vemos ningun tipo de declaracion sobre bienestar animal por parte de la compañía en sus informes públicos disponibles al menos hasta febrero 2021. La puntuación de Carrefour en este apartado sobre Bienestar Animal debería por tanto ser de 0/100, salvo para aquellos indicadores que pudiésemos evaluar en base a otras fuentes de información como las tiendas físicas u online de la compañía en el caso de los productos certificados o los huevos de gallinas enjauladas. Pese a la falta de información, conservaremos no obstante la misma valoración de la compañía obtenida con sus informes de 2018 (año en que si puiblican su EINF) En este sentido, las únicas 2 puntuaciones positivas de Carrefour en la evaluación anterior( oferta de productos veggy y politica de antibioticos ) entendemos que tienen continuidad en 2019. Luis Leyton[https://wikirate.org/Luis_Leyton].....2021-02-27 20:47:31 UTC",FR0000045650;FR0000045668;FR0000120172;FR0000965527;FR0013383213;FR0013419736;FR0013505260;FR0014009DZ6;FR0014009E07;FR001400D0F9;FR001400HU68;FR001400LUK3;FR0126844838;FR0126844861;FR0126845090;FR0126846247;FR0126846254;FR0126864760;FR0126865189;FR0126867730;FR0126871534;FR0126872144;FR0126872987;FR0126873068;FR0126873076;FR0126894775;FR0126894791;FR0126894916;FR0126936006;FR0126968850;FR0126969411;FR0126969650;FR0126970039;FR0126970104;FR0126970153;FR0126971987;FR0127006502;FR0127009688;FR0127010405;FR0127433516;FR0127657460;FR0127684613;FR0127770222;FR0128482116;FR0128506591;FR0128506773;FR0128508035;FR0128513357;FR0128514074;FR0128537893;FR0128539527;FR0128540228;FR0128567189;FR0128567379;FR0128567759;FR0128567775;FR0128567809;FR0128567833;FR0128568021;FR0128568260;FR0128580992;FR0128607316;FR0128608660;FR0128609320;FR0128633767;FR0128633957;FR0128635010;FR0128636786;FR0128637768;FR0128637974;FR0128638063;FR0128638113;FR0128638386;FR0128638451;FR0128638469;FR0128638683;FR0128638691;FR0128638709;FR0128638717;FR0128638725;FR0128638782;FR0128638840;FR0128638899;FR0128639186;FR0128639384;FR0128657337;FR0128657469;FR0128659168;FR0128659804;FR0128662394;FR0128663533;FR0128664291;FR0128664853;FR0128664903;FR0128666445;FR0128668045;FR0128668276;FR0128668359;FR0128668367;FR0128668581;FR0128669845;FR0128691211;FR0128692953;FR0128693423;FR0128716711;FR0128718121;FR0128719046;US1444302046
https://wikirate.org/~6961454,Research Group Eticonsum+Policy on Animal Welfare,Aldi Nord,2020,Yes,https://wikirate.org/~6948615,6961454,https://www.aldi.es/content/dam/aldi/corporate-responsibility/de/nachhaltigkeitsbericht/2017/sonstige/downloads-und-archiv/es/Unternehmensgruppe_ALDI_Nord_Politica_internacional_compra_bienestar_animal-julio_2016_ES.pdf.res/1591782509008/Unternehmensgruppe_ALDI_Nord_Politica_internacional_compra_bienestar_animal-julio_2016_ES.pdf,1,"Aldi Nord publica desde principios de 2016 una Política Internacional de Compra sobre Bienestar Animal amplia y global aplicable a todos los productos de marca propia, tanto de alimentación como de no alimentación que contengan materias primas de origen animal. En ella encontramos sus principales inciativas, acciones y compromisos, además de sus estrategias de selección de su surtido de producto orientado al bienestar animal : - ""Tenemos en cuenta los aspectos de bienestar animal a la hora de desarrollar nuestro surtido de productos. - Vendemos materias primas de origen animal y productos con materias primas de origen animal con certificaciones reconocidas y que cumplen con nuestros requisitos. - Incrementamos continuamente el número de productos que cumplen con las políticas de bienestar animal. - Ofrecemos productos vegetarianos y veganos como alternativas a los productos de origen animal. - No vendemos ciertas materias primas de origen animal, de acuerdo con nuestra selección de productos orientados al ...",
https://wikirate.org/~6947461,Research Group Eticonsum+Policy on Animal Welfare,Mercadona,2020,Yes,https://wikirate.org/~6946530,6947461,https://info.mercadona.es/es/actualidad/esta-es-la-politica-de-bienestar-animal-de-mercadona/news,1,"Mercadona publica en su web lo que denomina Politica de Bienestar Animal, la cual es algo escueta y sin mucho contenido. Se basa principalmente en acciones concretas, pero que no van mas allá de la exigencia a sus proveedores sobre cumplimiento de la legislacion vigente. Valoramos su compromiso de ""exigir a todos sus proveedores de carne, huevos y leche una certificacion de bienestar animal"", los cuales se han comprometido a tenerla implantada antes de 2021 Luis Leyton[https://wikirate.org/Luis_Leyton].....2021-02-25 21:57:43 UTC",US58733R1023;US58733R2013;US58733RAC60;US58733RAD44;US58733RAE27;US58733RAF91
https://wikirate.org/~6957656,Research Group Eticonsum+Policy on Animal Welfare,Grupo Eroski,2020,No,https://wikirate.org/~6948500,6957656,https://www.eroski.es/bienestar-animal/,1,"Eroski publica en su WEB un apartado especifo sobre BA, pero no va más allá de una descripción detallada de las certificaciones de BA en sus productos de la gama Eroski NATUR. No corresponde a una Política de abastecimiento de BA amplia al menos en los terminos que esperamos con esta pregunta y cumplen enseñas como Acampo, Lidl y Aldi Luis Leyton[https://wikirate.org/Luis_Leyton].....2021-02-27 21:00:27 UTC",
https://wikirate.org/~6951959,Research Group Eticonsum+Policy on Animal Welfare,Distribuidora Internacional de Alimentacion SA (DIA),2020,Unknown,https://wikirate.org/~6949072,6951959,,1,"Lo único que hemos encontrato por parte de la compañía en relación al Bienestar Animal es un documento pdf que denominan ""Politica ed Bienestar Animal"", en el que incluyen solo 3 lineas por las que se comprometen a vender en sus establecimientos de España, a partir de 202 exclusivamente aquellos huevos que procedan de sistemas libres de jaula. No vemos nada con respecto a esta materia en su EINF 2019 Además de no publicar una Politica sobre Bienestar Animal amplia y concreta, tampoco cuentan con productos certificados de ningún tipo en este sentido, ni alternativas veganas de marca propia. Luis Leyton[https://wikirate.org/Luis_Leyton].....2021-02-27 20:50:15 UTC",
https://wikirate.org/~6959555,Research Group Eticonsum+Policy on Animal Welfare,Alcampo S.A.,2020,Yes,https://wikirate.org/~6948566,6959555,https://www.alcampocorporativo.es/wp-content/uploads/sites/7/2019/09/POLITICA_BIENESTAR-ANIMAL_0920.pdf,1,"A través de su último informe de actividad y RSC 2019 podemos acceder a un ink con el Informe de Bienesar Animal de Auchan que incluye objetivos muy concretos con plazos no mas allá de 2025. Estos compromisos van desde la no comercialización de huevos de gallinas enjauladas de marca propia (en 2021) y de todos sus proveedores (en 2025), hasta las exigencias de requisitos de Bienestar Animal al 100% de sus proveedores de su marca Alcampo Producción Controlada, que amplían al 100% de los de marca propia para 2025. Además, en 2022 según afirma la cadena, ""el 100% de explotaciones ganaderas de proveedores de Alcampo Producción Controlada de alimentos de origen animal, se habrán adherido a los compromisos publicados oficialmente en el Plan Nacional de Resistencias de Antibióticos. Luis Leyton[https://wikirate.org/Luis_Leyton].....2021-02-27 21:04:19 UTC",
https://wikirate.org/~6955757,Research Group Eticonsum+Policy on Animal Welfare,El Corte Ingles S.A.,2020,No,https://wikirate.org/~6948978,6955757,,1,No hemos encontrado declaraciones en relación al bienestar animal en ninguno de los informes publicados por El Corte Inglés en 2019 Luis Leyton[https://wikirate.org/Luis_Leyton].....2021-02-27 20:56:49 UTC,ES05051138V2;ES05051138W0
https://wikirate.org/~6954727,Research Group Eticonsum+Policy on Animal Welfare,Lidl Stiftung & Co. KG,2019,Yes,https://wikirate.org/~6948474,6954727,https://media.lidl-flyer.com/ac1453a2-e771-11ea-8cd1-005056ae4067/Estado-de-Informacion-no-Financiera-AF18-Estado-de-Informacion-no-Financiera-AF18-02.pdf,1,"Lidl desarrolla las actuaciones y compromisos más ambiciosos en materia de bienestar animal de todas las 8 compañias evaluadas hasta finales de 2020. Es especialmente destacable sus esfuerzos en certificar todos sus productos frescos de origen animal con los estandares de referencia y más exigentes del mercado . Todo ello sin incrementar los precios de los productos, según comunica la compañía: "" Este valor añadido sobre el bienestar animal que ofrecemos en nuestros productos no se ve reflejado en ninguna subida de precios, por lo que el consumidor final consume carne fresca y de calidad, sin necesidad de pagar más por ello. Lidl publica un documento individual con su Política de Bienestar Animal. En él detalla sus actuaciones y compromisos en relacion al abastecimiento de huevos, leche y carne frescca Luis Leyton[https://wikirate.org/Luis_Leyton].....2021-02-27 20:54:57 UTC",
https://wikirate.org/~6950929,Research Group Eticonsum+Policy on Animal Welfare,Carrefour S.A.,2019,No,https://wikirate.org/~6949014,6950929,https://hola.carrefour.es/documents/62475512/63122439/Informe+no+financiero+2018_Carrefour.pdf/b84ac7e7-c950-24c0-6254-b2d86f958586,1,"Carrefour no comunica una Política de Bienestar Animal concreta y amplia, al menos en los términos que exige nuestra evaluación. Solo observamos un par de declaraciones en su EINF de 2018 en torno a linea de productos frescos ""calidad y origen"" que entre sus garantías de protección medioambiental se encuentra el respeto animal. Luis Leyton[https://wikirate.org/Luis_Leyton].....2021-02-27 20:48:47 UTC",FR0000045650;FR0000045668;FR0000120172;FR0000965527;FR0013383213;FR0013419736;FR0013505260;FR0014009DZ6;FR0014009E07;FR001400D0F9;FR001400HU68;FR001400LUK3;FR0126844838;FR0126844861;FR0126845090;FR0126846247;FR0126846254;FR0126864760;FR0126865189;FR0126867730;FR0126871534;FR0126872144;FR0126872987;FR0126873068;FR0126873076;FR0126894775;FR0126894791;FR0126894916;FR0126936006;FR0126968850;FR0126969411;FR0126969650;FR0126970039;FR0126970104;FR0126970153;FR0126971987;FR0127006502;FR0127009688;FR0127010405;FR0127433516;FR0127657460;FR0127684613;FR0127770222;FR0128482116;FR0128506591;FR0128506773;FR0128508035;FR0128513357;FR0128514074;FR0128537893;FR0128539527;FR0128540228;FR0128567189;FR0128567379;FR0128567759;FR0128567775;FR0128567809;FR0128567833;FR0128568021;FR0128568260;FR0128580992;FR0128607316;FR0128608660;FR0128609320;FR0128633767;FR0128633957;FR0128635010;FR0128636786;FR0128637768;FR0128637974;FR0128638063;FR0128638113;FR0128638386;FR0128638451;FR0128638469;FR0128638683;FR0128638691;FR0128638709;FR0128638717;FR0128638725;FR0128638782;FR0128638840;FR0128638899;FR0128639186;FR0128639384;FR0128657337;FR0128657469;FR0128659168;FR0128659804;FR0128662394;FR0128663533;FR0128664291;FR0128664853;FR0128664903;FR0128666445;FR0128668045;FR0128668276;FR0128668359;FR0128668367;FR0128668581;FR0128669845;FR0128691211;FR0128692953;FR0128693423;FR0128716711;FR0128718121;FR0128719046;US1444302046
