Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~6953863,Research Group Eticonsum+Animal welfare requirements for all products and species,Lidl Stiftung & Co. KG,2020,Yes,https://wikirate.org/~6948465
https://wikirate.org/~6950065,Research Group Eticonsum+Animal welfare requirements for all products and species,Carrefour S.A.,2020,Unknown,https://wikirate.org/~6948998
https://wikirate.org/~6961459,Research Group Eticonsum+Animal welfare requirements for all products and species,Aldi Nord,2020,Yes,https://wikirate.org/~6948615
https://wikirate.org/~6947466,Research Group Eticonsum+Animal welfare requirements for all products and species,Mercadona,2020,No,https://wikirate.org/~6946530
https://wikirate.org/~6957661,Research Group Eticonsum+Animal welfare requirements for all products and species,Grupo Eroski,2020,No,https://wikirate.org/~6948500
https://wikirate.org/~6951964,Research Group Eticonsum+Animal welfare requirements for all products and species,Distribuidora Internacional de Alimentacion SA (DIA),2020,Unknown,https://wikirate.org/~6949072
https://wikirate.org/~6959560,Research Group Eticonsum+Animal welfare requirements for all products and species,Alcampo S.A.,2020,No,https://wikirate.org/~6948566
https://wikirate.org/~6955762,Research Group Eticonsum+Animal welfare requirements for all products and species,El Corte Ingles S.A.,2020,Unknown,https://wikirate.org/~6948978
https://wikirate.org/~6954731,Research Group Eticonsum+Animal welfare requirements for all products and species,Lidl Stiftung & Co. KG,2019,Yes,https://wikirate.org/~6948474
https://wikirate.org/~6950933,Research Group Eticonsum+Animal welfare requirements for all products and species,Carrefour S.A.,2019,Unknown,https://wikirate.org/~6949014
https://wikirate.org/~6962327,Research Group Eticonsum+Animal welfare requirements for all products and species,Aldi Nord,2019,Yes,https://wikirate.org/~6948615
https://wikirate.org/~6948310,Research Group Eticonsum+Animal welfare requirements for all products and species,Mercadona,2019,No,https://wikirate.org/~6946530
https://wikirate.org/~6958529,Research Group Eticonsum+Animal welfare requirements for all products and species,Grupo Eroski,2019,No,https://wikirate.org/~6948500
https://wikirate.org/~6952832,Research Group Eticonsum+Animal welfare requirements for all products and species,Distribuidora Internacional de Alimentacion SA (DIA),2019,Unknown,https://wikirate.org/~6949072
https://wikirate.org/~6960428,Research Group Eticonsum+Animal welfare requirements for all products and species,Alcampo S.A.,2019,Unknown,https://wikirate.org/~6948566
https://wikirate.org/~6956630,Research Group Eticonsum+Animal welfare requirements for all products and species,El Corte Ingles S.A.,2019,No,https://wikirate.org/~6948990
