Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~6953883,Research Group Eticonsum+Responsible use of antibiotics,Lidl Stiftung & Co. KG,2020,Unknown,https://wikirate.org/~6948465
https://wikirate.org/~6950085,Research Group Eticonsum+Responsible use of antibiotics,Carrefour S.A.,2020,Yes,https://wikirate.org/~6948998
https://wikirate.org/~6961479,Research Group Eticonsum+Responsible use of antibiotics,Aldi Nord,2020,Unknown,https://wikirate.org/~6948615
https://wikirate.org/~6947486,Research Group Eticonsum+Responsible use of antibiotics,Mercadona,2020,Yes,https://wikirate.org/~6946530
https://wikirate.org/~6957681,Research Group Eticonsum+Responsible use of antibiotics,Grupo Eroski,2020,Yes,https://wikirate.org/~6948500
https://wikirate.org/~6951984,Research Group Eticonsum+Responsible use of antibiotics,Distribuidora Internacional de Alimentacion SA (DIA),2020,No,https://wikirate.org/~6949072
https://wikirate.org/~6959580,Research Group Eticonsum+Responsible use of antibiotics,Alcampo S.A.,2020,Yes,https://wikirate.org/~6948566
https://wikirate.org/~6955782,Research Group Eticonsum+Responsible use of antibiotics,El Corte Ingles S.A.,2020,Unknown,https://wikirate.org/~6948978
https://wikirate.org/~6954747,Research Group Eticonsum+Responsible use of antibiotics,Lidl Stiftung & Co. KG,2019,Unknown,https://wikirate.org/~6948474
https://wikirate.org/~6950949,Research Group Eticonsum+Responsible use of antibiotics,Carrefour S.A.,2019,Yes,https://wikirate.org/~6949014
https://wikirate.org/~6962343,Research Group Eticonsum+Responsible use of antibiotics,Aldi Nord,2019,Unknown,https://wikirate.org/~6948615
https://wikirate.org/~6948326,Research Group Eticonsum+Responsible use of antibiotics,Mercadona,2019,No,https://wikirate.org/~6946530
https://wikirate.org/~6958545,Research Group Eticonsum+Responsible use of antibiotics,Grupo Eroski,2019,Yes,https://wikirate.org/~6948500
https://wikirate.org/~6952848,Research Group Eticonsum+Responsible use of antibiotics,Distribuidora Internacional de Alimentacion SA (DIA),2019,No,https://wikirate.org/~6949072
https://wikirate.org/~6960444,Research Group Eticonsum+Responsible use of antibiotics,Alcampo S.A.,2019,Yes,https://wikirate.org/~6948566
https://wikirate.org/~6956646,Research Group Eticonsum+Responsible use of antibiotics,El Corte Ingles S.A.,2019,No,https://wikirate.org/~6948990
