Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~6953888,Research Group Eticonsum+Animal welfare policies for all non-food products,Lidl Stiftung & Co. KG,2020,Unknown,https://wikirate.org/~6948465
https://wikirate.org/~6950090,Research Group Eticonsum+Animal welfare policies for all non-food products,Carrefour S.A.,2020,Unknown,https://wikirate.org/~6948998
https://wikirate.org/~6961484,Research Group Eticonsum+Animal welfare policies for all non-food products,Aldi Nord,2020,Yes,https://wikirate.org/~6948615
https://wikirate.org/~6947491,Research Group Eticonsum+Animal welfare policies for all non-food products,Mercadona,2020,No,https://wikirate.org/~6946530
https://wikirate.org/~6957686,Research Group Eticonsum+Animal welfare policies for all non-food products,Grupo Eroski,2020,No,https://wikirate.org/~6948500
https://wikirate.org/~6951989,Research Group Eticonsum+Animal welfare policies for all non-food products,Distribuidora Internacional de Alimentacion SA (DIA),2020,Unknown,https://wikirate.org/~6949072
https://wikirate.org/~6959585,Research Group Eticonsum+Animal welfare policies for all non-food products,Alcampo S.A.,2020,No,https://wikirate.org/~6948566
https://wikirate.org/~6955787,Research Group Eticonsum+Animal welfare policies for all non-food products,El Corte Ingles S.A.,2020,Unknown,https://wikirate.org/~6948978
https://wikirate.org/~6954751,Research Group Eticonsum+Animal welfare policies for all non-food products,Lidl Stiftung & Co. KG,2019,Unknown,https://wikirate.org/~6948474
https://wikirate.org/~6950953,Research Group Eticonsum+Animal welfare policies for all non-food products,Carrefour S.A.,2019,Unknown,https://wikirate.org/~6949014
https://wikirate.org/~6962347,Research Group Eticonsum+Animal welfare policies for all non-food products,Aldi Nord,2019,Yes,https://wikirate.org/~6948615
https://wikirate.org/~6948330,Research Group Eticonsum+Animal welfare policies for all non-food products,Mercadona,2019,No,https://wikirate.org/~6946530
https://wikirate.org/~6958549,Research Group Eticonsum+Animal welfare policies for all non-food products,Grupo Eroski,2019,No,https://wikirate.org/~6948500
https://wikirate.org/~6952852,Research Group Eticonsum+Animal welfare policies for all non-food products,Distribuidora Internacional de Alimentacion SA (DIA),2019,Unknown,https://wikirate.org/~6949072
https://wikirate.org/~6960448,Research Group Eticonsum+Animal welfare policies for all non-food products,Alcampo S.A.,2019,No,https://wikirate.org/~6948566
https://wikirate.org/~6956650,Research Group Eticonsum+Animal welfare policies for all non-food products,El Corte Ingles S.A.,2019,No,https://wikirate.org/~6948990
