Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~6953893,Research Group Eticonsum+Animal welfare policies for some non-food products,Lidl Stiftung & Co. KG,2020,Unknown,https://wikirate.org/~6948465
https://wikirate.org/~6950095,Research Group Eticonsum+Animal welfare policies for some non-food products,Carrefour S.A.,2020,Unknown,https://wikirate.org/~6948998
https://wikirate.org/~6961489,Research Group Eticonsum+Animal welfare policies for some non-food products,Aldi Nord,2020,Yes,https://wikirate.org/~6948615
https://wikirate.org/~6947496,Research Group Eticonsum+Animal welfare policies for some non-food products,Mercadona,2020,No,https://wikirate.org/~6946530
https://wikirate.org/~6957691,Research Group Eticonsum+Animal welfare policies for some non-food products,Grupo Eroski,2020,No,https://wikirate.org/~6948500
https://wikirate.org/~6951994,Research Group Eticonsum+Animal welfare policies for some non-food products,Distribuidora Internacional de Alimentacion SA (DIA),2020,Unknown,https://wikirate.org/~6949072
https://wikirate.org/~6959590,Research Group Eticonsum+Animal welfare policies for some non-food products,Alcampo S.A.,2020,No,https://wikirate.org/~6948566
https://wikirate.org/~6955792,Research Group Eticonsum+Animal welfare policies for some non-food products,El Corte Ingles S.A.,2020,Unknown,https://wikirate.org/~6948978
https://wikirate.org/~6954755,Research Group Eticonsum+Animal welfare policies for some non-food products,Lidl Stiftung & Co. KG,2019,Unknown,https://wikirate.org/~6948474
https://wikirate.org/~6950957,Research Group Eticonsum+Animal welfare policies for some non-food products,Carrefour S.A.,2019,Unknown,https://wikirate.org/~6949014
https://wikirate.org/~6962351,Research Group Eticonsum+Animal welfare policies for some non-food products,Aldi Nord,2019,Yes,https://wikirate.org/~6948615
https://wikirate.org/~6948334,Research Group Eticonsum+Animal welfare policies for some non-food products,Mercadona,2019,No,https://wikirate.org/~6946530
https://wikirate.org/~6958553,Research Group Eticonsum+Animal welfare policies for some non-food products,Grupo Eroski,2019,No,https://wikirate.org/~6948500
https://wikirate.org/~6952856,Research Group Eticonsum+Animal welfare policies for some non-food products,Distribuidora Internacional de Alimentacion SA (DIA),2019,Unknown,https://wikirate.org/~6949072
https://wikirate.org/~6960452,Research Group Eticonsum+Animal welfare policies for some non-food products,Alcampo S.A.,2019,No,https://wikirate.org/~6948566
https://wikirate.org/~6956654,Research Group Eticonsum+Animal welfare policies for some non-food products,El Corte Ingles S.A.,2019,No,https://wikirate.org/~6948990
