Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~6953898,"Research Group Eticonsum+Elimination of ""cage eggs""",Lidl Stiftung & Co. KG,2020,Yes,https://wikirate.org/~6948465
https://wikirate.org/~6950100,"Research Group Eticonsum+Elimination of ""cage eggs""",Carrefour S.A.,2020,No,https://wikirate.org/~6948998
https://wikirate.org/~6961494,"Research Group Eticonsum+Elimination of ""cage eggs""",Aldi Nord,2020,Yes,https://wikirate.org/~6948615
https://wikirate.org/~6947501,"Research Group Eticonsum+Elimination of ""cage eggs""",Mercadona,2020,No,https://wikirate.org/~6946530
https://wikirate.org/~6957696,"Research Group Eticonsum+Elimination of ""cage eggs""",Grupo Eroski,2020,No,https://wikirate.org/~6948500
https://wikirate.org/~6951999,"Research Group Eticonsum+Elimination of ""cage eggs""",Distribuidora Internacional de Alimentacion SA (DIA),2020,No,https://wikirate.org/~6949072
https://wikirate.org/~6959595,"Research Group Eticonsum+Elimination of ""cage eggs""",Alcampo S.A.,2020,No,https://wikirate.org/~6948566
https://wikirate.org/~6955797,"Research Group Eticonsum+Elimination of ""cage eggs""",El Corte Ingles S.A.,2020,No,https://wikirate.org/~6948978
https://wikirate.org/~6954759,"Research Group Eticonsum+Elimination of ""cage eggs""",Lidl Stiftung & Co. KG,2019,Yes,https://wikirate.org/~6948474
https://wikirate.org/~6950961,"Research Group Eticonsum+Elimination of ""cage eggs""",Carrefour S.A.,2019,No,https://wikirate.org/~6949014
https://wikirate.org/~6962355,"Research Group Eticonsum+Elimination of ""cage eggs""",Aldi Nord,2019,Yes,https://wikirate.org/~6948590
https://wikirate.org/~6948338,"Research Group Eticonsum+Elimination of ""cage eggs""",Mercadona,2019,No,https://wikirate.org/~6946530
https://wikirate.org/~6958557,"Research Group Eticonsum+Elimination of ""cage eggs""",Grupo Eroski,2019,No,https://wikirate.org/~6948500
https://wikirate.org/~6952860,"Research Group Eticonsum+Elimination of ""cage eggs""",Distribuidora Internacional de Alimentacion SA (DIA),2019,No,https://wikirate.org/~6949072
https://wikirate.org/~6960456,"Research Group Eticonsum+Elimination of ""cage eggs""",Alcampo S.A.,2019,No,https://wikirate.org/~6948566
https://wikirate.org/~6956658,"Research Group Eticonsum+Elimination of ""cage eggs""",El Corte Ingles S.A.,2019,No,https://wikirate.org/~6948990
