Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~6953903,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Lidl Stiftung & Co. KG,2020,Yes,https://wikirate.org/~6948465
https://wikirate.org/~6950105,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Carrefour S.A.,2020,No,https://wikirate.org/~6948998
https://wikirate.org/~6961499,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Aldi Nord,2020,Yes,https://wikirate.org/~6948615
https://wikirate.org/~6947506,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Mercadona,2020,Yes,https://wikirate.org/~6946530
https://wikirate.org/~6957701,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Grupo Eroski,2020,Yes,https://wikirate.org/~6948500
https://wikirate.org/~6952004,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Distribuidora Internacional de Alimentacion SA (DIA),2020,Yes,https://wikirate.org/~6949072
https://wikirate.org/~6959600,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Alcampo S.A.,2020,Yes,https://wikirate.org/~6948566
https://wikirate.org/~6955802,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",El Corte Ingles S.A.,2020,No,https://wikirate.org/~6948978
https://wikirate.org/~6954763,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Lidl Stiftung & Co. KG,2019,Yes,https://wikirate.org/~6948474
https://wikirate.org/~6950965,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Carrefour S.A.,2019,No,https://wikirate.org/~6949014
https://wikirate.org/~6962359,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Aldi Nord,2019,Yes,https://wikirate.org/~6948590
https://wikirate.org/~6948342,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Mercadona,2019,Yes,https://wikirate.org/~6946530
https://wikirate.org/~6958561,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Grupo Eroski,2019,Yes,https://wikirate.org/~6948500
https://wikirate.org/~6952864,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Distribuidora Internacional de Alimentacion SA (DIA),2019,No,https://wikirate.org/~6949072
https://wikirate.org/~6960460,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",Alcampo S.A.,2019,Yes,https://wikirate.org/~6948566
https://wikirate.org/~6956662,"Research Group Eticonsum+Goal of elimination of ""cage eggs"" in 2025",El Corte Ingles S.A.,2019,No,https://wikirate.org/~6948990
