Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~6953908,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Lidl Stiftung & Co. KG,2020,Yes,https://wikirate.org/~6948465
https://wikirate.org/~6950110,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Carrefour S.A.,2020,No,https://wikirate.org/~6948998
https://wikirate.org/~6961504,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Aldi Nord,2020,Yes,https://wikirate.org/~6948615
https://wikirate.org/~6947511,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Mercadona,2020,No,https://wikirate.org/~6946530
https://wikirate.org/~6957706,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Grupo Eroski,2020,Yes,https://wikirate.org/~6948500
https://wikirate.org/~6952009,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Distribuidora Internacional de Alimentacion SA (DIA),2020,No,https://wikirate.org/~6949072
https://wikirate.org/~6959605,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Alcampo S.A.,2020,No,https://wikirate.org/~6948566
https://wikirate.org/~6955807,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",El Corte Ingles S.A.,2020,No,https://wikirate.org/~6948978
https://wikirate.org/~6954767,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Lidl Stiftung & Co. KG,2019,Yes,https://wikirate.org/~6948474
https://wikirate.org/~6950969,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Carrefour S.A.,2019,No,https://wikirate.org/~6949014
https://wikirate.org/~6962363,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Aldi Nord,2019,Yes,https://wikirate.org/~6948590
https://wikirate.org/~6948346,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Mercadona,2019,No,https://wikirate.org/~6946530
https://wikirate.org/~6958565,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Grupo Eroski,2019,Unknown,https://wikirate.org/~6948500
https://wikirate.org/~6952868,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Distribuidora Internacional de Alimentacion SA (DIA),2019,No,https://wikirate.org/~6949072
https://wikirate.org/~6960464,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",Alcampo S.A.,2019,No,https://wikirate.org/~6948566
https://wikirate.org/~6956666,"Research Group Eticonsum+Elimination of own brand ""cage eggs""",El Corte Ingles S.A.,2019,No,https://wikirate.org/~6948990
