Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~6953913,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Lidl Stiftung & Co. KG,2020,Yes,https://wikirate.org/~6948465
https://wikirate.org/~6950115,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Carrefour S.A.,2020,No,https://wikirate.org/~6948998
https://wikirate.org/~6961509,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Aldi Nord,2020,Yes,https://wikirate.org/~6948615
https://wikirate.org/~6947516,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Mercadona,2020,Yes,https://wikirate.org/~6946530
https://wikirate.org/~6957711,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Grupo Eroski,2020,Yes,https://wikirate.org/~6948500
https://wikirate.org/~6952014,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Distribuidora Internacional de Alimentacion SA (DIA),2020,Yes,https://wikirate.org/~6949072
https://wikirate.org/~6959610,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Alcampo S.A.,2020,Yes,https://wikirate.org/~6948566
https://wikirate.org/~6955812,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",El Corte Ingles S.A.,2020,No,https://wikirate.org/~6948978
https://wikirate.org/~6954771,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Lidl Stiftung & Co. KG,2019,Yes,https://wikirate.org/~6948474
https://wikirate.org/~6950973,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Carrefour S.A.,2019,No,https://wikirate.org/~6949014
https://wikirate.org/~6962367,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Aldi Nord,2019,Yes,https://wikirate.org/~6948590
https://wikirate.org/~6948350,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Mercadona,2019,Yes,https://wikirate.org/~6946530
https://wikirate.org/~6958569,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Grupo Eroski,2019,Yes,https://wikirate.org/~6948500
https://wikirate.org/~6952872,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Distribuidora Internacional de Alimentacion SA (DIA),2019,No,https://wikirate.org/~6949072
https://wikirate.org/~6960468,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",Alcampo S.A.,2019,Yes,https://wikirate.org/~6948566
https://wikirate.org/~6956670,"Research Group Eticonsum+Elimination of own brand ""cage eggs"" in 2023",El Corte Ingles S.A.,2019,No,https://wikirate.org/~6948990
