Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~15176608,Fashion Revolution+1.1 Own Operations Policies,Pull & Bear,2023,"Harassment & Violence, Animal Welfare, Community Engagement, Energy & Carbon Emissions, Diversity & Inclusion, Waste & Recycling (Packaging/Office/Retail), Working Hours & Rest Breaks, Health & Safety, Anti-bribery Corruption & Presentation of False Information, Restricted Substance List, Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions), Equal Pay, Biodiversity & Conservation, Waste & Recycling (Product/Textiles), Discrimination, Freedom of Association Right to Organise & Collective Bargaining, Water Usage & Footprint, Mental Health & Wellbeing (2021 only)",https://wikirate.org/~15070199,15176608,https://www.inditex.com/documents/10279/241538/Occupational+Health+and+Safety+Policy.pdf/28389756-c269-579b-ecb5-19a3855ff09c,17,"Page(s) 266 , 6 , 303 , 265 , 116 , 116 , 8 , 9 , 10 , 9 , 158, 228-229 , 261-264 , 240-241, 258-260 , 198 , 268 , 262 , 4 , 4 , 234-236, 258-260 , 5 , 9-10 , 5 , 4 ,",
https://wikirate.org/~15143788,Fashion Revolution+1.1 Own Operations Policies,Free People,2023,"Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions), Discrimination, Diversity & Inclusion, Community Engagement, Harassment & Violence, Health & Safety, Restricted Substance List, Waste & Recycling (Product/Textiles), Anti-bribery Corruption & Presentation of False Information, Maternity Rights & Parental Leave, Waste & Recycling (Packaging/Office/Retail)",https://wikirate.org/~15086157,15143788,https://www.urbn.com/2022-URBN-Impact-Report.pdf,4,"Page(s) 3, 6 , 9 , 3 , 3 , 3 , 9 , 9 ,",
https://wikirate.org/~15193530,Fashion Revolution+1.1 Own Operations Policies,Muji,2023,"Animal Welfare, Biodiversity & Conservation, Discrimination, Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions), Waste & Recycling (Packaging/Office/Retail), Working Hours & Rest Breaks, Energy & Carbon Emissions, Diversity & Inclusion, Community Engagement, Harassment & Violence, Annual Leave & Public Holidays, Health & Safety, Mental Health & Wellbeing (2021 only), Anti-bribery Corruption & Presentation of False Information, Freedom of Association Right to Organise & Collective Bargaining, Waste & Recycling (Product/Textiles), Equal Pay",https://wikirate.org/~15068774,15193530,https://ryohin-keikaku.jp/eng/sustainability/governance/compliance/,11,"Page(s) E-04 Water Usage , The ESG databook can be downloaded at this website. ,",
https://wikirate.org/~15168738,Fashion Revolution+1.1 Own Operations Policies,FILA,2023,"Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions), Discrimination, Working Hours & Rest Breaks, Energy & Carbon Emissions, Diversity & Inclusion, Community Engagement, Harassment & Violence, Health & Safety, Mental Health & Wellbeing (2021 only), Anti-bribery Corruption & Presentation of False Information, Freedom of Association Right to Organise & Collective Bargaining",https://wikirate.org/~15082173,15168738,https://www.filaholdings.com/resource/file/en/YOUR%20FILA%20IMPACT_2021%20(ENG).pdf,3,"Page(s) 4 , 6 , 44595 , 44595 , 56 , 3 , 2 , 3 , 98 , 3 , 51 , 59 , 2 , FILA Global Code of Conduct for FILA Group Members , FILA Global Code of Conduct for FILA Group Members , FILA Global Code of Conduct for FILA Group Members , FILA Global Code of Conduct for FILA Group Members , FILA Report 2021 , FILA Global Code of Conduct for FILA Group Members , FILA Global Code of Conduct for FILA Group Members , FILA Global Code of Conduct for FILA Group Members , FILA Report 2021 , FILA Global Code of Conduct for FILA Group Members , FILA Global Code of Conduct for FILA Group Members ,",
https://wikirate.org/~15113423,Fashion Revolution+1.1 Own Operations Policies,Kmart Corporation,2023,"Harassment & Violence, Biodiversity & Conservation, Discrimination, Equal Pay, Waste & Recycling (Packaging/Office/Retail), Diversity & Inclusion, Anti-bribery Corruption & Presentation of False Information, Health & Safety",https://wikirate.org/~15060016,15113423,https://transformco.com/corporate-responsibility/environmental-sustainability,6,"Page(s) 5 , 1 , 14 , 14 , 14 ,",
https://wikirate.org/~15204140,Fashion Revolution+1.1 Own Operations Policies,Reserved,2023,"Discrimination, Mental Health & Wellbeing (2021 only), Waste & Recycling (Packaging/Office/Retail), Freedom of Association Right to Organise & Collective Bargaining, Anti-bribery Corruption & Presentation of False Information, Community Engagement, Equal Pay, Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions), Health & Safety, Harassment & Violence, Diversity & Inclusion, Biodiversity & Conservation",https://wikirate.org/~15083740,15204140,https://www.lpp.com/en/informacje-prasowe/lpp-has-implemented-a-programme-to-support-employees-and-their-loved-ones,8,"Page(s) 12 , 41 , 5 , 5 , 5 , 68 , 5 , 46 , 44 , 17 ,",
https://wikirate.org/~15198434,Fashion Revolution+1.1 Own Operations Policies,OVS SpA,2023,"Animal Welfare, Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions), Energy & Carbon Emissions, Annual Leave & Public Holidays, Water Usage & Footprint, Mental Health & Wellbeing (2021 only), Biodiversity & Conservation, Community Engagement, Maternity Rights & Parental Leave, Waste & Recycling (Packaging/Office/Retail), Restricted Substance List, Waste & Recycling (Product/Textiles), Anti-bribery Corruption & Presentation of False Information, Working Hours & Rest Breaks, Discrimination, Diversity & Inclusion, Harassment & Violence, Health & Safety, Freedom of Association Right to Organise & Collective Bargaining, Equal Pay",https://wikirate.org/~15079205,15198434,https://wecare.ovscorporate.it/pdf/OVS-Restricted-Substance-List-2022_def.pdf,16,"Page(s) 7 , 4 , 8 , 22 , 9 , 193 , 75 , 7 , 22 , 12 , 29, 74 , 6 , 21 , 5 , 5 , 13 , 24 , 10 , 6 , 5 , 6 , 6 ,",
https://wikirate.org/~15216747,Fashion Revolution+1.1 Own Operations Policies,United Colors of Benetton,2023,"Animal Welfare, Biodiversity & Conservation, Discrimination, Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions), Waste & Recycling (Packaging/Office/Retail), Energy & Carbon Emissions, Diversity & Inclusion, Water Usage & Footprint, Community Engagement, Harassment & Violence, Health & Safety, Mental Health & Wellbeing (2021 only), Restricted Substance List, Anti-bribery Corruption & Presentation of False Information, Freedom of Association Right to Organise & Collective Bargaining, Waste & Recycling (Product/Textiles), Equal Pay",https://wikirate.org/~15080207,15216747,https://www.benettongroup.com/site/assets/files/1109/3__diversity_policy_1.pdf,19,"Page(s) 8 , 74 , 24 , 74 , 14 , 4 ,",
https://wikirate.org/~15230906,Fashion Revolution+1.1 Own Operations Policies,PrettyLittleThing,2023,,https://wikirate.org/~15080373,15230906,https://www.boohooplc.com/sites/boohoo-corp/files/2022-12/boohoo-group-plc-anti-corruption-and-bribery-policy-v1.pdf,5,"Page(s) 38 , 27 , 39 , 37 , 19 , 30 , 24 , 19 , 2 , 30 , 30 , 30 , 17 , 15 ,",
https://wikirate.org/~15155352,Fashion Revolution+1.1 Own Operations Policies,Tezenis,2023,"Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions), Energy & Carbon Emissions, Annual Leave & Public Holidays, Water Usage & Footprint, Mental Health & Wellbeing (2021 only), Biodiversity & Conservation, Community Engagement, Maternity Rights & Parental Leave, Waste & Recycling (Packaging/Office/Retail), Restricted Substance List, Waste & Recycling (Product/Textiles), Anti-bribery Corruption & Presentation of False Information, Working Hours & Rest Breaks, Discrimination, Diversity & Inclusion, Harassment & Violence, Health & Safety, Freedom of Association Right to Organise & Collective Bargaining, Equal Pay",https://wikirate.org/~15080758,15155352,https://www.calzedoniagroup.com/en/world-in-progress/supply-chain/our-production-facilities/recycle-and-reuse,4,"Page(s) 41 , 5 , 5 , 52 , 5 , 44753 , 5 , 46, 47 , 5 , 6 , 6 , 41 , 49 , 48 , 27 , 35 , 74 , 48 ,",
