Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~20257136,Textile Exchange+Textile Exchange Member,Inditex,2023,Yes,https://wikirate.org/~20257130,20257136,,1,"Yes, the company is a member of the Textile Exchange. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-11-19 12:29:21 UTC",ES0148396007;ES0SDIV00052
https://wikirate.org/~19244987,Textile Exchange+Textile Exchange Member,Gap inc.,2023,Yes,https://wikirate.org/~19244981,19244987,,1,"Yes, the company is a member of the Textile Exchange. ... https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-07-03 10:32:42 UTC",US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/~15519475,Textile Exchange+Textile Exchange Member,H&M,2023,Yes,https://wikirate.org/~15519469,15519475,,1,"Yes, the company is in the list. Manali Rana[https://wikirate.org/Manali_Rana].....2023-07-17 11:51:18 UTC",SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~19246665,Textile Exchange+Textile Exchange Member,Nike Inc.,2023,Yes,https://wikirate.org/~19246659,19246665,,1,"Yes, the company is a member of the Textile Exchange. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-07-08 08:24:15 UTC",US653922AA25;US653922AB08;US653922AC80;US653922AD63;US653922AE47;US653922AF12;US653922AG94;US653922AH77;US653922AJ34;US653922AK07;US653922AL89;US653922AM62;US653922AN46;US653922AP93;US653922AQ76;US653922AR59;US653922AS33;US653922AT16;US653922AU88;US653922AV61;US653922AW45;US653922AX28;US653922AY01;US653922AZ75;US653922BA16;US653922BB98;US653922BC71;US653922BD54;US653922BE38;US653922BF03;US653922BG85;US653922BH68;US653922BJ25;US653922BK97;US653922BL70;US653922BM53;US653922BN37;US653922BP84;US653922BQ67;US653922BR41;US653922BS24;US653922BT07;US653922BU79;US653922BV52;US653922BW36;US653922BX19;US653922BY91;US653922BZ66;US653922CA07;US653922CB89;US6541061031;US6541062021;US654106AA13;US654106AB95;US654106AC78;US654106AD51;US654106AE35;US654106AF00;US654106AG82;US654106AH65;US654106AJ22;US654106AK94;US654106AL77;US654106AM50
https://wikirate.org/~19246743,Textile Exchange+Textile Exchange Member,Adidas AG,2023,Yes,https://wikirate.org/~19246737,19246743,,1,"Yes, the company is a member of the Textile Exchange. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-07-08 10:23:17 UTC",DE000A1EWWW0;US00687A1079;US00687P1049
https://wikirate.org/~19871199,Textile Exchange+Textile Exchange Member,Esprit Holdings Limited,2023,No,https://wikirate.org/~19871189,19871199,,1,Not found. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-10-21 08:10:54 UTC,
https://wikirate.org/~19247618,Textile Exchange+Textile Exchange Member,Burberry Group plc,2023,Yes,https://wikirate.org/~19247612,19247618,,1,"Yes, the company is a member of the Textile Exchange. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-07-10 11:17:57 UTC",GB0031743007;US12082W1053;US12082W2044
https://wikirate.org/~19246253,Textile Exchange+Textile Exchange Member,Marks and Spencer Group plc,2023,No,https://wikirate.org/~19246247,19246253,,1,"No, the company is not a member of the Textile Exchange. ... https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-07-05 08:02:51 UTC",GB0031274896
https://wikirate.org/~19244929,Textile Exchange+Textile Exchange Member,Puma,2023,Yes,https://wikirate.org/~19244923,19244929,,1,"Yes, the company is a member of the Textile Exchange. ... https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-07-03 10:04:29 UTC",DE0006969603;US7458781082;US7458782072
https://wikirate.org/~19856368,Textile Exchange+Textile Exchange Member,Hugo Boss AG,2023,No,https://wikirate.org/~19856362,19856368,,1,Not found. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-09-30 05:05:26 UTC,DE000A1PHFF7;US4445601069
https://wikirate.org/~19863725,Textile Exchange+Textile Exchange Member,Hermes International,2023,Yes,https://wikirate.org/~19863719,19863725,,1,"Yes, the company is a member of the Textile Exchange. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-10-09 08:46:54 UTC",FR0000052292
https://wikirate.org/~19856412,Textile Exchange+Textile Exchange Member,Next PLC,2023,Yes,https://wikirate.org/~19856406,19856412,,1,"Yes, the company is a member of the Textile Exchange. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-09-30 07:22:58 UTC",GB0032089863
https://wikirate.org/~19543816,Textile Exchange+Textile Exchange Member,Tapestry Inc,2023,Yes,https://wikirate.org/~19543534,19543816,,1,"Yes, the company is a member of the Textile Exchange. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-07-26 13:08:11 UTC",US189754AA23;US189754AB06;US189754AC88;US8760301072;US876030AA54;US876030AB38;US876030AC11;US876030AD93;US876030AE76;US876030AF42
https://wikirate.org/~19869831,Textile Exchange+Textile Exchange Member,Dick's Sporting Goods,2023,No,https://wikirate.org/~19869825,19869831,,1,Not found. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-10-18 08:38:47 UTC,
https://wikirate.org/~19374915,Textile Exchange+Textile Exchange Member,JC Penney,2023,Yes,https://wikirate.org/~19374884,19374915,,1,"Yes, the company is a member of the Textile Exchange. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-07-16 07:12:59 UTC",
https://wikirate.org/~20270889,Textile Exchange+Textile Exchange Member,Fast Retailing,2023,Yes,https://wikirate.org/~20270883,20270889,,1,"Yes, the company is a member of the Textile Exchange. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-11-27 06:11:53 UTC",JP3802300008
https://wikirate.org/~19443452,Textile Exchange+Textile Exchange Member,L Brands,2023,No,https://wikirate.org/~19443446,19443452,,1,Not found. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-07-22 09:51:30 UTC,
https://wikirate.org/~19579428,Textile Exchange+Textile Exchange Member,Nordstrom,2023,No,https://wikirate.org/~19579422,19579428,,1,Not found. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-08-02 12:15:39 UTC,US6556641008;US655664AH33;US655664AJ98;US655664AK61;US655664AL45;US655664AM28;US655664AN01;US655664AP58;US655664AQ32;US655664AR15;US655664AS97;US655664AT70;US655664AU44;US655664AV27;US655664AW00;US655664AX82;US655664AY65;USU04167AA77;USU04167AB50;USU04167AC34;USU04167AD17
https://wikirate.org/~19266687,Textile Exchange+Textile Exchange Member,Swatch Group,2023,No,https://wikirate.org/~19266671,19266687,,1,Not found. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-07-11 13:14:54 UTC,
https://wikirate.org/~19859955,Textile Exchange+Textile Exchange Member,Ross Stores,2023,No,https://wikirate.org/~19859949,19859955,,1,Not found. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-10-04 13:58:08 UTC,US7782961038;US778296AA10;US778296AB92;US778296AC75;US778296AD58;US778296AE32;US778296AF07;US778296AG89
https://wikirate.org/~19858131,Textile Exchange+Textile Exchange Member,Foot Locker Inc.,2023,No,https://wikirate.org/~19858125,19858131,,1,Not found. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-10-01 09:55:24 UTC,US3448491049;US344849AA21;US344849AB04;US922944AA10;US922944AB92;US980883AC68;US98089LAG68;US98089LAH42;US98089LAJ08;USU3449AAA52;USU98088AA26
https://wikirate.org/~19866899,Textile Exchange+Textile Exchange Member,Abercrombie & Fitch,2023,Yes,https://wikirate.org/~19866893,19866899,,1,"Yes, the company is a member of the Textile Exchange. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-10-14 11:26:18 UTC",US0028961086;US0028962076
https://wikirate.org/~19580405,Textile Exchange+Textile Exchange Member,Hanesbrands,2023,Yes,https://wikirate.org/~19580399,19580405,,1,"Yes, the company is a member of the Textile Exchange. https://textileexchange.org/members/ Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-08-05 06:55:55 UTC",US4103451021;US410345AA03;US410345AB85;US410345AC68;US410345AD42;US410345AE25;US410345AF99;US410345AG72;US410345AH55;US410345AJ12;US410345AK84;US410345AL67;US410345AM41;US410345AN24;US410345AP71;US410345AQ54;USU24437AA04;USU24437AB86;USU24437AC69;USU24437AD43;USU24437AE26;USU24437AF90;USU24437AG73
