Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~13012229,Textile Exchange+Responsible Down Commitment,Unilever,2022,No,https://wikirate.org/~13011433,13012229,,1,Unilever is not on the list. Manali Rana[https://wikirate.org/Manali_Rana].....2022-07-18 14:12:39 UTC,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~13012547,Textile Exchange+Responsible Down Commitment,Carrefour S.A.,2022,No,https://wikirate.org/~13012540,13012547,,1,The company is not on the list. https://textileexchange.org/standards/find-certified-company/rds-certified/ Manali Rana[https://wikirate.org/Manali_Rana].....2022-07-19 12:17:15 UTC,FR0000045650;FR0000045668;FR0000120172;FR0000965527;FR0013383213;FR0013419736;FR0013505260;FR0014009DZ6;FR0014009E07;FR001400D0F9;FR001400HU68;FR001400LUK3;FR0126844838;FR0126844861;FR0126845090;FR0126846247;FR0126846254;FR0126864760;FR0126865189;FR0126867730;FR0126871534;FR0126872144;FR0126872987;FR0126873068;FR0126873076;FR0126894775;FR0126894791;FR0126894916;FR0126936006;FR0126968850;FR0126969411;FR0126969650;FR0126970039;FR0126970104;FR0126970153;FR0126971987;FR0127006502;FR0127009688;FR0127010405;FR0127433516;FR0127657460;FR0127684613;FR0127770222;FR0128482116;FR0128506591;FR0128506773;FR0128508035;FR0128513357;FR0128514074;FR0128537893;FR0128539527;FR0128540228;FR0128567189;FR0128567379;FR0128567759;FR0128567775;FR0128567809;FR0128567833;FR0128568021;FR0128568260;FR0128580992;FR0128607316;FR0128608660;FR0128609320;FR0128633767;FR0128633957;FR0128635010;FR0128636786;FR0128637768;FR0128637974;FR0128638063;FR0128638113;FR0128638386;FR0128638451;FR0128638469;FR0128638683;FR0128638691;FR0128638709;FR0128638717;FR0128638725;FR0128638782;FR0128638840;FR0128638899;FR0128639186;FR0128639384;FR0128657337;FR0128657469;FR0128659168;FR0128659804;FR0128662394;FR0128663533;FR0128664291;FR0128664853;FR0128664903;FR0128666445;FR0128668045;FR0128668276;FR0128668359;FR0128668367;FR0128668581;FR0128669845;FR0128691211;FR0128692953;FR0128693423;FR0128716711;FR0128718121;FR0128719046;US1444302046
https://wikirate.org/~13012126,Textile Exchange+Responsible Down Commitment,Zara,2022,No,https://wikirate.org/~13012119,13012126,,1,The company is not on the list. https://textileexchange.org/standards/find-certified-company/rds-certified/ Manali Rana[https://wikirate.org/Manali_Rana].....2022-07-18 11:42:22 UTC,
https://wikirate.org/~13067256,Textile Exchange+Responsible Down Commitment,New Look Retail Group,2022,No,https://wikirate.org/~13067180,13067256,,1,The company is not on the list. Manali Rana[https://wikirate.org/Manali_Rana].....2022-07-21 10:28:50 UTC,
https://wikirate.org/~13178256,Textile Exchange+Responsible Down Commitment,Missguided Limited,2021,Unknown,https://wikirate.org/~13177672,13178256,,1,The company has not published any reports. Manali Rana.....2022-08-01 12:48:18 UTC Lucia Ixtacuy[https://wikirate.org/Lucia_Ixtacuy].....2022-08-01 15:35:25 UTC,
https://wikirate.org/~13176811,Textile Exchange+Responsible Down Commitment,Topshop,2021,Unknown,https://wikirate.org/~13176059,13176811,https://asos-12954-s3.s3.eu-west-2.amazonaws.com/files/9316/4974/2308/Fashion_With_Integrity_-_Progress_Update_-_120422.pdf,1,"The report covers the period September 2020-August 2021 and it states of covering Topshop by the end of 2021. Therefore, the cited document does not include Topshop information and no other reporting has been found for the company. pg. 6 “March 2021 We announced our commitment to publishing the supply chains of our newly-acquired brands – Topshop, Topman, Miss Selfridge and HIIT – for the first time by the end of 2021.” Manali Rana.....2022-07-28 06:57:44 UTC Lucia Ixtacuy[https://wikirate.org/Lucia_Ixtacuy].....2022-07-29 10:48:21 UTC",
https://wikirate.org/~5448336,Textile Exchange+Responsible Down Commitment,Inditex,2019,No,https://wikirate.org/~5414336,5448336,https://responsibledown.org/find-responsible-down-standard/,1,,ES0148396007;ES0SDIV00052
https://wikirate.org/~5448281,Textile Exchange+Responsible Down Commitment,Gap inc.,2019,No,https://wikirate.org/~5414336,5448281,https://responsibledown.org/find-responsible-down-standard/,1,,US3647601083;US3647602073;US364760AA65;US364760AB49;US364760AC22;US364760AD05;US364760AE87;US364760AF52;US364760AG36;US364760AH19;US364760AJ74;US364760AK48;US364760AL21;US364760AM04;US364760AN86;US364760AP35;US364760AQ18;USU36547AC86;USU36547AD69;USU36547AE43;USU36547AF18;USU36547AG90
https://wikirate.org/~5414743,Textile Exchange+Responsible Down Commitment,Levi Strauss & Co.,2019,Yes,https://wikirate.org/~5414336,5414743,https://responsibledown.org/find-responsible-down-standard/,1,,US52736R1023;US52736RAA05;US52736RAC60;US52736RAE27;US52736RAF91;US52736RAJ14;US52736RAK86;US52736RAL69;US52736RAM43;US52736RAN26;US52736RAP73;US52736RAQ56;US52736RAR30;US52736RAS13;US52736RAT95;US52736RAU68;US52736RAV42;US52736RAZ55;US52736RBA95;US52736RBB78;US52736RBC51;US52736RBD35;US52736RBE18;US52736RBF82;US52736RBG65;US52736RBH49;US52736RBJ05;USU52799AC47;USU52799AF77;USU52799AG50;USU52799AJ99;USU52799AP59;USU52799AQ33;USU52799AT71;USU52799AU45;USU52799AX83;USU52799AY66;USU52799AZ32;USU52799BD11;USU52799BE93
https://wikirate.org/~5414725,Textile Exchange+Responsible Down Commitment,H&M,2019,Yes,https://wikirate.org/~5414336,5414725,https://responsibledown.org/find-responsible-down-standard/,1,Retrieved from responsibledown.org[http://responsibledown.org] on 15 July 2019 Aileen Robinson[https://wikirate.org/Aileen_Robinson].....2019-07-15 12:33:40 UTC,SE0000106270;SE0000106288;SE0000157521;SE0000157539;SE0000160731;SE0000160749
https://wikirate.org/~5448416,Textile Exchange+Responsible Down Commitment,Nike Inc.,2019,No,https://wikirate.org/~5414336,5448416,https://responsibledown.org/find-responsible-down-standard/,1,,US653922AA25;US653922AB08;US653922AC80;US653922AD63;US653922AE47;US653922AF12;US653922AG94;US653922AH77;US653922AJ34;US653922AK07;US653922AL89;US653922AM62;US653922AN46;US653922AP93;US653922AQ76;US653922AR59;US653922AS33;US653922AT16;US653922AU88;US653922AV61;US653922AW45;US653922AX28;US653922AY01;US653922AZ75;US653922BA16;US653922BB98;US653922BC71;US653922BD54;US653922BE38;US653922BF03;US653922BG85;US653922BH68;US653922BJ25;US653922BK97;US653922BL70;US653922BM53;US653922BN37;US653922BP84;US653922BQ67;US653922BR41;US653922BS24;US653922BT07;US653922BU79;US653922BV52;US653922BW36;US653922BX19;US653922BY91;US653922BZ66;US653922CA07;US653922CB89;US6541061031;US6541062021;US654106AA13;US654106AB95;US654106AC78;US654106AD51;US654106AE35;US654106AF00;US654106AG82;US654106AH65;US654106AJ22;US654106AK94;US654106AL77;US654106AM50
https://wikirate.org/~5448111,Textile Exchange+Responsible Down Commitment,Adidas AG,2019,No,https://wikirate.org/~5414336,5448111,https://responsibledown.org/find-responsible-down-standard/,1,,DE000A1EWWW0;US00687A1079;US00687P1049
https://wikirate.org/~5448346,Textile Exchange+Responsible Down Commitment,Kering,2019,No,https://wikirate.org/~5414336,5448346,https://responsibledown.org/find-responsible-down-standard/,1,,FR0000121485;FR0000896805;FR0012199008;FR0012669257;FR0013165677;FR0013248721;FR0013512407;FR001400A5M7;FR001400A5N5;FR001400AKX0;FR001400G3Y1;FR001400G412;FR001400KHW7;FR001400KHX5;FR001400KHZ0;FR001400KI02;FR001400M6M1;FR001400M6N9;FR001400OM10;FR001400OM28;US4920891078
https://wikirate.org/~5414707,Textile Exchange+Responsible Down Commitment,C&A,2019,Yes,https://wikirate.org/~5414336,5414707,https://responsibledown.org/find-responsible-down-standard/,1,,
https://wikirate.org/~5448371,Textile Exchange+Responsible Down Commitment,Louis Vuitton Malletier SA (LVMH),2019,No,https://wikirate.org/~5414336,5448371,https://responsibledown.org/find-responsible-down-standard/,1,,
https://wikirate.org/~5414677,Textile Exchange+Responsible Down Commitment,Esprit Holdings Limited,2019,Yes,https://wikirate.org/~5414336,5414677,https://responsibledown.org/find-responsible-down-standard/,1,,
https://wikirate.org/~5448176,Textile Exchange+Responsible Down Commitment,Burberry Group plc,2019,No,https://wikirate.org/~5414336,5448176,https://responsibledown.org/find-responsible-down-standard/,1,,GB0031743007;US12082W1053;US12082W2044
