Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8069862,KnowTheChain+1.1 Commitment,Associated British Foods plc,2020,100,https://wikirate.org/~8069649,8069862.0,,2.0,,GB0006731235
https://wikirate.org/KnowTheChain+1_1_Commitment+Aileen_Rob+Associated_British_Foods_plc+2020,KnowTheChain+1.1 Commitment+Aileen Rob,Associated British Foods plc,2020,10,,,,,,GB0006731235
https://wikirate.org/~8070086,KnowTheChain+1.2 Supplier Code of Conduct,Associated British Foods plc,2020,70,https://wikirate.org/~8069649,8070086.0,,2.0,,GB0006731235
https://wikirate.org/KnowTheChain+1_2_Supplier_Code_of_Conduct+Aileen_Rob+Associated_British_Foods_plc+2020,KnowTheChain+1.2 Supplier Code of Conduct+Aileen Rob,Associated British Foods plc,2020,7,,,,,,GB0006731235
https://wikirate.org/~8070308,KnowTheChain+1.3 Management and Accountability,Associated British Foods plc,2020,25,https://wikirate.org/~8069649,8070308.0,,2.0,,GB0006731235
https://wikirate.org/KnowTheChain+1_3_Management_and_Accountability+Aileen_Rob+Associated_British_Foods_plc+2020,KnowTheChain+1.3 Management and Accountability+Aileen Rob,Associated British Foods plc,2020,2.5,,,,,,GB0006731235
https://wikirate.org/~8070538,KnowTheChain+1.4 Training,Associated British Foods plc,2020,45,https://wikirate.org/~8069649,8070538.0,,2.0,,GB0006731235
https://wikirate.org/KnowTheChain+1_4_Training+Aileen_Rob+Associated_British_Foods_plc+2020,KnowTheChain+1.4 Training+Aileen Rob,Associated British Foods plc,2020,4.5,,,,,,GB0006731235
https://wikirate.org/~8070814,KnowTheChain+1.5 Stakeholder Engagement,Associated British Foods plc,2020,50,https://wikirate.org/~8069649,8070814.0,,2.0,,GB0006731235
https://wikirate.org/KnowTheChain+1_5_Stakeholder_Engagement+Aileen_Rob+Associated_British_Foods_plc+2020,KnowTheChain+1.5 Stakeholder Engagement+Aileen Rob,Associated British Foods plc,2020,5,,,,,,GB0006731235
https://wikirate.org/KnowTheChain+1_Commitment_Governance+Associated_British_Foods_plc+2020,KnowTheChain+1. Commitment & Governance,Associated British Foods plc,2020,5.8,,,,,,GB0006731235
https://wikirate.org/~8071036,KnowTheChain+2.1 Traceability and Supply Chain Transparency,Associated British Foods plc,2020,12.5,https://wikirate.org/~8069649,8071036.0,,2.0,,GB0006731235
https://wikirate.org/KnowTheChain+2_1_Traceability_and_Supply_Chain_Transparency+Aileen_Rob+Associated_British_Foods_plc+2020,KnowTheChain+2.1 Traceability and Supply Chain Transparency+Aileen Rob,Associated British Foods plc,2020,1.25,,,,,,GB0006731235
https://wikirate.org/~8071251,KnowTheChain+2.2 Risk Assessment,Associated British Foods plc,2020,75,https://wikirate.org/~8069649,8071251.0,,2.0,,GB0006731235
https://wikirate.org/KnowTheChain+2_2_Risk_Assessment+Aileen_Rob+Associated_British_Foods_plc+2020,KnowTheChain+2.2 Risk Assessment+Aileen Rob,Associated British Foods plc,2020,7.5,,,,,,GB0006731235
