Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/Fashion_Revolution+1_1_Governance+Marks_and_Spencer_Group_plc+2024,Fashion Revolution+1.1 Governance,Marks and Spencer Group plc,2024,0.0,,,,,,GB0031274896
https://wikirate.org/~5896243,Fashion Revolution+1.1 Own Operations Policies,Marks and Spencer Group plc,2020,"Animal Welfare, Annual Leave & Public Holidays, Anti-bribery Corruption & Presentation of False Information, Biodiversity & Conservation, Community Engagement, Contracts & Terms of Employment, Discrimination, Diversity & Inclusion, Energy & Carbon Emissions, Equal Pay, Freedom of Association Right to Organise & Collective Bargaining, Harassment & Violence, Health & Safety, Maternity Rights & Parental Leave, Notice Period Dismissal & Disciplinary Action, Restricted Substance List, Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions), Waste & Recycling (Packaging/Office/Retail), Waste & Recycling (Product/Textiles), Water Usage & Footprint, Working Hours & Rest Breaks",https://wikirate.org/~5820915,5896243.0,https://corporate.marksandspencer.com/sustainability/clothing-and-home/product-standards/non-food-animal-welfare,13.0,,GB0031274896
https://wikirate.org/~7517919,Fashion Revolution+1.1 Own Operations Policies,Marks and Spencer Group plc,2021,"Animal Welfare, Anti-bribery Corruption & Presentation of False Information, Biodiversity & Conservation, Community Engagement, Discrimination, Diversity & Inclusion, Energy & Carbon Emissions, Equal Pay, Freedom of Association Right to Organise & Collective Bargaining, Harassment & Violence, Health & Safety, Mental Health & Wellbeing (2021 only), Restricted Substance List, Working Hours & Rest Breaks",https://wikirate.org/~5820915,7517919.0,https://corporate.marksandspencer.com/sustainability/clothing-and-home/product-standards/non-food-animal-welfare,13.0,"Page(s) 4 , 8 , 6 , 2 , 8 , 3 , 2 , 6 , 7 , 2 , 6 , 3 , 13 , 9 , 4 , 2 , 3 , 3 , Fashion Revolution[https://wikirate.org/Fashion_Revolution].....2021-07-05 19:19:22 UTC",GB0031274896
https://wikirate.org/~13124064,Fashion Revolution+1.1 Own Operations Policies,Marks and Spencer Group plc,2022,"Discrimination, Biodiversity & Conservation, Health & Safety, Diversity & Inclusion, Waste & Recycling (Packaging/Office/Retail), Animal Welfare, Anti-bribery Corruption & Presentation of False Information, Restricted Substance List, Harassment & Violence, Mental Health & Wellbeing (2021 only)",https://wikirate.org/~13034388,13124064.0,https://corporate.marksandspencer.com/msar2021/plan-a-report-2021.pdf,18.0,"Page(s) 2 , 2 , page 31-36 , 3 , 2 , 3 , pg. 3 , 2 , pg. 3 , pg 148 and 151, 152, 154 and 155 , Pg's 19 and 36 , Pg 4 , 3 , pg. 7 , 35-36 ,",GB0031274896
https://wikirate.org/~15190100,Fashion Revolution+1.1 Own Operations Policies,Marks and Spencer Group plc,2023,"Animal Welfare, Biodiversity & Conservation, Discrimination, Wages & Financial Benefits (e.g. bonuses/insurance/social security/pensions), Waste & Recycling (Packaging/Office/Retail), Working Hours & Rest Breaks, Energy & Carbon Emissions, Diversity & Inclusion, Community Engagement, Harassment & Violence, Health & Safety, Mental Health & Wellbeing (2021 only), Restricted Substance List, Anti-bribery Corruption & Presentation of False Information, Freedom of Association Right to Organise & Collective Bargaining, Equal Pay",https://wikirate.org/~15073849,15190100.0,https://corporate.marksandspencer.com/sites/marksandspencer/files/marks-spencer/sustainabilty-at-M-S/sustainability-report-2022.pdf,17.0,"Page(s) 9 , 2 , 3 , 2 , 3 , 3 , 3 , pg 30, 32, 33, 37 and 40 , 4 ,",GB0031274896
https://wikirate.org/Fashion_Revolution+1_1_Own_Operations_Policies+Fashion_Transparency_Index_2021_Scoring+Marks_and_Spencer_Group_plc+2021,Fashion Revolution+1.1 Own Operations Policies+Fashion Transparency Index 2021 - Scoring,Marks and Spencer Group plc,2021,7.0,,,,,,GB0031274896
https://wikirate.org/Fashion_Revolution+1_1_Own_Operations_Policies+Fashion_Transparency_Index_2021_Scoring+Marks_and_Spencer_Group_plc+2022,Fashion Revolution+1.1 Own Operations Policies+Fashion Transparency Index 2021 - Scoring,Marks and Spencer Group plc,2022,5.0,,,,,,GB0031274896
https://wikirate.org/Fashion_Revolution+1_1_Own_Operations_Policies+Fashion_Transparency_Index_2021_Scoring+Marks_and_Spencer_Group_plc+2023,Fashion Revolution+1.1 Own Operations Policies+Fashion Transparency Index 2021 - Scoring,Marks and Spencer Group plc,2023,8.0,,,,,,GB0031274896
https://wikirate.org/Fashion_Revolution+1_1_Own_Operations_Policies+Fashion_Revolution_Research_Group+Marks_and_Spencer_Group_plc+2020,Fashion Revolution+1.1 Own Operations Policies+Fashion Revolution Research Group,Marks and Spencer Group plc,2020,9.995999999999995,,,,,,GB0031274896
https://wikirate.org/Fashion_Revolution+1_2_Supply_Chain_Policies+Marks_and_Spencer_Group_plc+2021,Fashion Revolution+1.2 Supply Chain Policies,Marks and Spencer Group plc,2021,9.166692307692315,,,,,,GB0031274896
