Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8069757,KnowTheChain+1.1 Commitment,Unilever,2020,100,https://wikirate.org/~8069649,8069757.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+1_1_Commitment+Aileen_Rob+Unilever+2020,KnowTheChain+1.1 Commitment+Aileen Rob,Unilever,2020,10,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~8069972,KnowTheChain+1.2 Supplier Code of Conduct,Unilever,2020,80,https://wikirate.org/~8069649,8069972.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+1_2_Supplier_Code_of_Conduct+Aileen_Rob+Unilever+2020,KnowTheChain+1.2 Supplier Code of Conduct+Aileen Rob,Unilever,2020,8,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~8070203,KnowTheChain+1.3 Management and Accountability,Unilever,2020,100,https://wikirate.org/~8069649,8070203.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+1_3_Management_and_Accountability+Aileen_Rob+Unilever+2020,KnowTheChain+1.3 Management and Accountability+Aileen Rob,Unilever,2020,10,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~8070419,KnowTheChain+1.4 Training,Unilever,2020,75,https://wikirate.org/~8069649,8070419.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+1_4_Training+Aileen_Rob+Unilever+2020,KnowTheChain+1.4 Training+Aileen Rob,Unilever,2020,7.5,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~8070693,KnowTheChain+1.5 Stakeholder Engagement,Unilever,2020,100,https://wikirate.org/~8069649,8070693.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+1_5_Stakeholder_Engagement+Aileen_Rob+Unilever+2020,KnowTheChain+1.5 Stakeholder Engagement+Aileen Rob,Unilever,2020,10,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+1_Commitment_Governance+Unilever+2020,KnowTheChain+1. Commitment & Governance,Unilever,2020,9.1,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~13010676,Climate Action Research+100% Renewable Electricity Commitment,Unilever,2021,Already Achieved,https://wikirate.org/~13010468,13010676.0,https://www.unilever.com/files/92ui5egz/production/e582e46a7f7170fd10be32cf65113b738f19f0c2.pdf,1.0,"pg. 51 ""Renewable electricity In January 2020, we reached our target of purchasing 100% renewable grid electricity for our operations through a combination of PPAs and RECs (bundled and unbundled). Since we set this target, we've worked with the RE100 campaign to evolve industry best practice in renewable electricity reporting. "" Manali Rana[https://wikirate.org/Manali_Rana].....2022-07-13 10:38:29 UTC",GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~8070929,KnowTheChain+2.1 Traceability and Supply Chain Transparency,Unilever,2020,37.5,https://wikirate.org/~8069649,8070929.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+2_1_Traceability_and_Supply_Chain_Transparency+Aileen_Rob+Unilever+2020,KnowTheChain+2.1 Traceability and Supply Chain Transparency+Aileen Rob,Unilever,2020,3.75,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~8071146,KnowTheChain+2.2 Risk Assessment,Unilever,2020,100,https://wikirate.org/~8069649,8071146.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+2_2_Risk_Assessment+Aileen_Rob+Unilever+2020,KnowTheChain+2.2 Risk Assessment+Aileen Rob,Unilever,2020,10,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+2_Traceability_and_Risk_Assessment+Unilever+2020,KnowTheChain+2. Traceability and Risk Assessment,Unilever,2020,6.875,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~8071362,KnowTheChain+3.1 Purchasing Practices,Unilever,2020,62.5,https://wikirate.org/~8069649,8071362.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+3_1_Purchasing_Practices+Aileen_Rob+Unilever+2020,KnowTheChain+3.1 Purchasing Practices+Aileen Rob,Unilever,2020,6.25,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~8075430,KnowTheChain+3.2 Supplier Selection,Unilever,2020,50,https://wikirate.org/~8069649,8075430.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+3_2_Supplier_Selection+Aileen_Rob+Unilever+2020,KnowTheChain+3.2 Supplier Selection+Aileen Rob,Unilever,2020,5,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~8071936,KnowTheChain+3.3 Integration into Supplier Contracts,Unilever,2020,30,https://wikirate.org/~8069649,8071936.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+3_3_Integration_into_Supplier_Contracts+Aileen_Rob+Unilever+2020,KnowTheChain+3.3 Integration into Supplier Contracts+Aileen Rob,Unilever,2020,3,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+3_Purchasing_Practices+Unilever+2020,KnowTheChain+3. Purchasing Practices,Unilever,2020,4.75,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~8072175,KnowTheChain+4.1 Recruitment Approach,Unilever,2020,30,https://wikirate.org/~8069649,8072175.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+4_1_Recruitment_Approach+Aileen_Rob+Unilever+2020,KnowTheChain+4.1 Recruitment Approach+Aileen Rob,Unilever,2020,3,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~8072400,KnowTheChain+4.2 Recruitment Fees,Unilever,2020,75,https://wikirate.org/~8069649,8072400.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+4_2_Recruitment_Fees+Aileen_Rob+Unilever+2020,KnowTheChain+4.2 Recruitment Fees+Aileen Rob,Unilever,2020,7.5,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~8072615,KnowTheChain+4.3 Monitoring and Responsible Recruitment,Unilever,2020,75,https://wikirate.org/~8069649,8072615.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+4_3_Monitoring_and_Responsible_Recruitment+Aileen_Rob+Unilever+2020,KnowTheChain+4.3 Monitoring and Responsible Recruitment+Aileen Rob,Unilever,2020,7.5,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/~8072868,KnowTheChain+4.4 Rights of Workers in Vulnerable Conditions,Unilever,2020,60,https://wikirate.org/~8069649,8072868.0,,2.0,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+4_4_Rights_of_Workers_in_Vulnerable_Conditions+Aileen_Rob+Unilever+2020,KnowTheChain+4.4 Rights of Workers in Vulnerable Conditions+Aileen Rob,Unilever,2020,6,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
https://wikirate.org/KnowTheChain+4_Recruitment+Unilever+2020,KnowTheChain+4. Recruitment,Unilever,2020,6.0,,,,,,GB00B10RZP78;NL0000388684;NL0000388726;NL0000388742;NL0015000S61;NL0015000YS1;NL0015000ZW0;NL00150016G8;NL0015001BD9;NL0015001FI9;NL0015001L26;NL0015001S78;NL0015001YU5;NL00150023K6;US013078AA81;US9047677045
