Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8069787,KnowTheChain+1.1 Commitment,Coles Group,2020,100,https://wikirate.org/~8069649,8069787.0,,2.0,,US1938704095
https://wikirate.org/KnowTheChain+1_1_Commitment+Aileen_Rob+Coles_Group+2020,KnowTheChain+1.1 Commitment+Aileen Rob,Coles Group,2020,10,,,,,,US1938704095
https://wikirate.org/~8070002,KnowTheChain+1.2 Supplier Code of Conduct,Coles Group,2020,90,https://wikirate.org/~8069649,8070002.0,,2.0,,US1938704095
https://wikirate.org/KnowTheChain+1_2_Supplier_Code_of_Conduct+Aileen_Rob+Coles_Group+2020,KnowTheChain+1.2 Supplier Code of Conduct+Aileen Rob,Coles Group,2020,9,,,,,,US1938704095
https://wikirate.org/~8070233,KnowTheChain+1.3 Management and Accountability,Coles Group,2020,75,https://wikirate.org/~8069649,8070233.0,,2.0,,US1938704095
https://wikirate.org/KnowTheChain+1_3_Management_and_Accountability+Aileen_Rob+Coles_Group+2020,KnowTheChain+1.3 Management and Accountability+Aileen Rob,Coles Group,2020,7.5,,,,,,US1938704095
https://wikirate.org/~8070456,KnowTheChain+1.4 Training,Coles Group,2020,45,https://wikirate.org/~8069649,8070456.0,,2.0,,US1938704095
https://wikirate.org/KnowTheChain+1_4_Training+Aileen_Rob+Coles_Group+2020,KnowTheChain+1.4 Training+Aileen Rob,Coles Group,2020,4.5,,,,,,US1938704095
https://wikirate.org/~8070739,KnowTheChain+1.5 Stakeholder Engagement,Coles Group,2020,50,https://wikirate.org/~8069649,8070739.0,,2.0,,US1938704095
https://wikirate.org/KnowTheChain+1_5_Stakeholder_Engagement+Aileen_Rob+Coles_Group+2020,KnowTheChain+1.5 Stakeholder Engagement+Aileen Rob,Coles Group,2020,5,,,,,,US1938704095
https://wikirate.org/KnowTheChain+1_Commitment_Governance+Coles_Group+2020,KnowTheChain+1. Commitment & Governance,Coles Group,2020,7.2,,,,,,US1938704095
https://wikirate.org/~6028940,Climate Action Research+100% Renewable Electricity Commitment,Coles Group,2019,Unknown,https://wikirate.org/~6028696,6028940.0,https://www.colesgroup.com.au/FormBuilder/_Resource/_module/ir5sKeTxxEOndzdh00hWJw/file/Coles_Sustainability_Report_2019.pdf,1.0,,US1938704095
https://wikirate.org/~7174783,Climate Action Research+100% Renewable Electricity Commitment,Coles Group,2020,By 2030,https://wikirate.org/~7174739,7174783.0,https://www.colesgroup.com.au/media-releases/?page=coles-launches--together-to-zero--strategy-to-drive-generational-sustainability,1.0,Aim for the entire group to be powered by 100% renewable energy by 2025 and aim to deliver net zero greenhouse gas emissions by 2050 (see Media Release source) Michael Cistulli[https://wikirate.org/Michael_Cistulli].....2021-03-30 05:27:34 UTC,US1938704095
https://wikirate.org/~14560019,Climate Action Research+100% Renewable Electricity Commitment,Coles Group,2022,By 2020,https://wikirate.org/~14560013,14560019.0,,1.0,"By FY25, Page 4 Martin Gan[https://wikirate.org/Martin_Gan].....2023-03-28 01:24:06 UTC",US1938704095
https://wikirate.org/~18821478,Climate Action Research+100% Renewable Electricity Commitment,Coles Group,2023,By 2025,https://wikirate.org/~18821461,18821478.0,,1.0,,US1938704095
https://wikirate.org/~8070960,KnowTheChain+2.1 Traceability and Supply Chain Transparency,Coles Group,2020,50,https://wikirate.org/~8069649,8070960.0,,2.0,,US1938704095
https://wikirate.org/KnowTheChain+2_1_Traceability_and_Supply_Chain_Transparency+Aileen_Rob+Coles_Group+2020,KnowTheChain+2.1 Traceability and Supply Chain Transparency+Aileen Rob,Coles Group,2020,5,,,,,,US1938704095
https://wikirate.org/~8071176,KnowTheChain+2.2 Risk Assessment,Coles Group,2020,25,https://wikirate.org/~8069649,8071176.0,,2.0,,US1938704095
https://wikirate.org/KnowTheChain+2_2_Risk_Assessment+Aileen_Rob+Coles_Group+2020,KnowTheChain+2.2 Risk Assessment+Aileen Rob,Coles Group,2020,2.5,,,,,,US1938704095
