Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~6928845,Poverty Footprint+Access to Healthcare for Work-related Incidents,Co-operative Group Ltd.,2019,Unknown,https://wikirate.org/~6594050,6928845.0,https://assets.ctfassets.net/5ywmq66472jr/2SPRRF9gZuaMwXJFxKLKKj/573b714e0753db86e0faa86b2218bd5e/GRI_Index_2019.pdf,2.0,,
https://wikirate.org/~14148778,Commons+Address,Co-operative Group Ltd.,2022,1 Angel Square Manchester M60 0AG,https://wikirate.org/~13403182,14148778.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,
https://wikirate.org/GreenDex+Annual_Revenue+Co_operative_Group_Ltd+2022,GreenDex+Annual Revenue,Co-operative Group Ltd.,2022,14180024660.9,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Co_operative_Group_Ltd+2016,Walk Free+Australian MSA Registry Submission,Co-operative Group Ltd.,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Co_operative_Group_Ltd+2017,Walk Free+Australian MSA Registry Submission,Co-operative Group Ltd.,2017,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Co_operative_Group_Ltd+2018,Walk Free+Australian MSA Registry Submission,Co-operative Group Ltd.,2018,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Co_operative_Group_Ltd+2019,Walk Free+Australian MSA Registry Submission,Co-operative Group Ltd.,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Co_operative_Group_Ltd+2021,Walk Free+Australian MSA Registry Submission,Co-operative Group Ltd.,2021,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Co_operative_Group_Ltd+2016,Walk Free+Australian MSA statement assessed,Co-operative Group Ltd.,2016,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Co_operative_Group_Ltd+2017,Walk Free+Australian MSA statement assessed,Co-operative Group Ltd.,2017,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Co_operative_Group_Ltd+2018,Walk Free+Australian MSA statement assessed,Co-operative Group Ltd.,2018,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Co_operative_Group_Ltd+2019,Walk Free+Australian MSA statement assessed,Co-operative Group Ltd.,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Co_operative_Group_Ltd+2021,Walk Free+Australian MSA statement assessed,Co-operative Group Ltd.,2021,No,,,,,,
https://wikirate.org/~5735376,"Global Reporting Initiative+Average hours of training (female), GRI 404-1 (formerly G4-LA9)",Co-operative Group Ltd.,2018,Unknown,https://wikirate.org/~5675367,5735376.0,https://assets.ctfassets.net/5ywmq66472jr/2cJboNfqhy8Wh0aief9Hlo/fe1933952ef2d6234552568526c6c2c4/Co-op_Way_Report_2018.pdf,1.0,Not on the report Azeem[https://wikirate.org/Azeem].....2020-02-20 20:14:11 UTC,
https://wikirate.org/~6596792,"Global Reporting Initiative+Average hours of training (female), GRI 404-1 (formerly G4-LA9)",Co-operative Group Ltd.,2019,Unknown,https://wikirate.org/~6594050,6596792.0,https://assets.ctfassets.net/5ywmq66472jr/2SPRRF9gZuaMwXJFxKLKKj/573b714e0753db86e0faa86b2218bd5e/GRI_Index_2019.pdf,1.0,GRI 404-1 not found Alessandra Vignola[https://wikirate.org/Alessandra_Vignola].....2021-01-29 18:34:47 UTC,
https://wikirate.org/~5735423,"Global Reporting Initiative+Average hours of training, GRI 404-1 (formerly G4-LA9)",Co-operative Group Ltd.,2018,Unknown,https://wikirate.org/~5675367,5735423.0,https://assets.ctfassets.net/5ywmq66472jr/2cJboNfqhy8Wh0aief9Hlo/fe1933952ef2d6234552568526c6c2c4/Co-op_Way_Report_2018.pdf,1.0,Not on the report Azeem[https://wikirate.org/Azeem].....2020-02-20 20:15:32 UTC,
