Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8069750,KnowTheChain+1.1 Commitment,Tesco PLC,2020,100,https://wikirate.org/~8069649,8069750.0,,2.0,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+1_1_Commitment+Aileen_Rob+Tesco_PLC+2020,KnowTheChain+1.1 Commitment+Aileen Rob,Tesco PLC,2020,10,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/~8069967,KnowTheChain+1.2 Supplier Code of Conduct,Tesco PLC,2020,90,https://wikirate.org/~8069649,8069967.0,,2.0,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+1_2_Supplier_Code_of_Conduct+Aileen_Rob+Tesco_PLC+2020,KnowTheChain+1.2 Supplier Code of Conduct+Aileen Rob,Tesco PLC,2020,9,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/~8070198,KnowTheChain+1.3 Management and Accountability,Tesco PLC,2020,100,https://wikirate.org/~8069649,8070198.0,,2.0,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+1_3_Management_and_Accountability+Aileen_Rob+Tesco_PLC+2020,KnowTheChain+1.3 Management and Accountability+Aileen Rob,Tesco PLC,2020,10,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/~8070414,KnowTheChain+1.4 Training,Tesco PLC,2020,60,https://wikirate.org/~8069649,8070414.0,,2.0,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+1_4_Training+Aileen_Rob+Tesco_PLC+2020,KnowTheChain+1.4 Training+Aileen Rob,Tesco PLC,2020,6,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/~8070687,KnowTheChain+1.5 Stakeholder Engagement,Tesco PLC,2020,100,https://wikirate.org/~8069649,8070687.0,,2.0,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+1_5_Stakeholder_Engagement+Aileen_Rob+Tesco_PLC+2020,KnowTheChain+1.5 Stakeholder Engagement+Aileen Rob,Tesco PLC,2020,10,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+1_Commitment_Governance+Tesco_PLC+2020,KnowTheChain+1. Commitment & Governance,Tesco PLC,2020,9.0,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/~8070924,KnowTheChain+2.1 Traceability and Supply Chain Transparency,Tesco PLC,2020,37.5,https://wikirate.org/~8069649,8070924.0,,2.0,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+2_1_Traceability_and_Supply_Chain_Transparency+Aileen_Rob+Tesco_PLC+2020,KnowTheChain+2.1 Traceability and Supply Chain Transparency+Aileen Rob,Tesco PLC,2020,3.75,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/~8071141,KnowTheChain+2.2 Risk Assessment,Tesco PLC,2020,100,https://wikirate.org/~8069649,8071141.0,,2.0,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+2_2_Risk_Assessment+Aileen_Rob+Tesco_PLC+2020,KnowTheChain+2.2 Risk Assessment+Aileen Rob,Tesco PLC,2020,10,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+2_Traceability_and_Risk_Assessment+Tesco_PLC+2020,KnowTheChain+2. Traceability and Risk Assessment,Tesco PLC,2020,6.875,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/~8071357,KnowTheChain+3.1 Purchasing Practices,Tesco PLC,2020,75,https://wikirate.org/~8069649,8071357.0,,2.0,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+3_1_Purchasing_Practices+Aileen_Rob+Tesco_PLC+2020,KnowTheChain+3.1 Purchasing Practices+Aileen Rob,Tesco PLC,2020,7.5,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/~8071636,KnowTheChain+3.2 Supplier Selection,Tesco PLC,2020,50,https://wikirate.org/~8069649,8071636.0,,2.0,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+3_2_Supplier_Selection+Aileen_Rob+Tesco_PLC+2020,KnowTheChain+3.2 Supplier Selection+Aileen Rob,Tesco PLC,2020,5,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/~8071931,KnowTheChain+3.3 Integration into Supplier Contracts,Tesco PLC,2020,0,https://wikirate.org/~8069649,8071931.0,,2.0,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+3_3_Integration_into_Supplier_Contracts+Aileen_Rob+Tesco_PLC+2020,KnowTheChain+3.3 Integration into Supplier Contracts+Aileen Rob,Tesco PLC,2020,0,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+3_Purchasing_Practices+Tesco_PLC+2020,KnowTheChain+3. Purchasing Practices,Tesco PLC,2020,4.166666666666667,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/~8072170,KnowTheChain+4.1 Recruitment Approach,Tesco PLC,2020,45,https://wikirate.org/~8069649,8072170.0,,2.0,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+4_1_Recruitment_Approach+Aileen_Rob+Tesco_PLC+2020,KnowTheChain+4.1 Recruitment Approach+Aileen Rob,Tesco PLC,2020,4.5,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/~8072395,KnowTheChain+4.2 Recruitment Fees,Tesco PLC,2020,100,https://wikirate.org/~8069649,8072395.0,,2.0,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/KnowTheChain+4_2_Recruitment_Fees+Aileen_Rob+Tesco_PLC+2020,KnowTheChain+4.2 Recruitment Fees+Aileen Rob,Tesco PLC,2020,10,,,,,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
https://wikirate.org/~8072610,KnowTheChain+4.3 Monitoring and Responsible Recruitment,Tesco PLC,2020,75,https://wikirate.org/~8069649,8072610.0,,2.0,,GB00BLGZ9862;US8815752030;US8815754010;US881575AA22;US881575AB05;US881575AC87;US881575AD60;US881575AE44;US881575AF19;USG87621AK79;USG87621AL52;USG87623JG33;USG87623JH16
