Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~14156781,Commons+Address,Nomad Foods Europe Limited,2022,1 New Square Bedfont Lakes Business Park Feltham Middlesex England TW14 8HA,https://wikirate.org/~13403182,14156781.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,VGG6564A1057;VGG6564A1131
https://wikirate.org/GreenDex+Annual_Revenue+Nomad_Foods_Europe_Limited+2020,GreenDex+Annual Revenue,Nomad Foods Europe Limited,2020,2868757127,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/GreenDex+Annual_Revenue+Nomad_Foods_Europe_Limited+2021,GreenDex+Annual Revenue,Nomad Foods Europe Limited,2021,3081087470,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/GreenDex+Annual_Revenue+Nomad_Foods_Europe_Limited+2022,GreenDex+Annual Revenue,Nomad Foods Europe Limited,2022,3091482650,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/GreenDex+Annual_Revenue+Nomad_Foods_Europe_Limited+2023,GreenDex+Annual Revenue,Nomad Foods Europe Limited,2023,3317192550,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Nomad_Foods_Europe_Limited+2017,Walk Free+Australian MSA Registry Submission,Nomad Foods Europe Limited,2017,No,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Nomad_Foods_Europe_Limited+2019,Walk Free+Australian MSA Registry Submission,Nomad Foods Europe Limited,2019,No,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Nomad_Foods_Europe_Limited+2020,Walk Free+Australian MSA Registry Submission,Nomad Foods Europe Limited,2020,No,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Nomad_Foods_Europe_Limited+2021,Walk Free+Australian MSA Registry Submission,Nomad Foods Europe Limited,2021,No,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Nomad_Foods_Europe_Limited+2023,Walk Free+Australian MSA Registry Submission,Nomad Foods Europe Limited,2023,No,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Nomad_Foods_Europe_Limited+2017,Walk Free+Australian MSA statement assessed,Nomad Foods Europe Limited,2017,No,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Nomad_Foods_Europe_Limited+2019,Walk Free+Australian MSA statement assessed,Nomad Foods Europe Limited,2019,No,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Nomad_Foods_Europe_Limited+2020,Walk Free+Australian MSA statement assessed,Nomad Foods Europe Limited,2020,No,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Nomad_Foods_Europe_Limited+2021,Walk Free+Australian MSA statement assessed,Nomad Foods Europe Limited,2021,No,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Nomad_Foods_Europe_Limited+2023,Walk Free+Australian MSA statement assessed,Nomad Foods Europe Limited,2023,No,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/~18044807,Global Reporting Initiative+Collective Bargaining (G4-11),Nomad Foods Europe Limited,2023,Unknown,https://wikirate.org/~14615533,18044807.0,https://www.nomadfoods.com/appetite-for-a-better-world/sustainability-reports/,1.0,"According to the annual report, Nomad Foods Ltd has been involved in negotiations on collective bargaining agreements. But the number of employees covered by the agreements is not disclosed. desonzhang[https://wikirate.org/desonzhang].....2024-03-15 13:38:32 UTC",VGG6564A1057;VGG6564A1131
https://wikirate.org/Global_Reporting_Initiative+Collective_bargaining_GRI_102_41+Nomad_Foods_Europe_Limited+2023,Global Reporting Initiative+Collective bargaining (GRI 102-41),Nomad Foods Europe Limited,2023,Unknown,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Social_Metrics_Reported+Nomad_Foods_Europe_Limited+2023,Wikirate SDG Metric design+Common Social Metrics Reported,Nomad Foods Europe Limited,2023,0,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/~14555599,Core+Company Report Available,Nomad Foods Europe Limited,2020,Yes,https://wikirate.org/~14555591,14555599.0,https://www.nomadfoods.com/wp-content/uploads/2021/05/nomad-foods-2020-annual-report.pdf,1.0,Pages 37-43 provide information regarding environmental and social impact of the company. Ed Beesley[https://wikirate.org/Ed_Beesley].....2023-03-17 13:23:16 UTC,VGG6564A1057;VGG6564A1131
https://wikirate.org/~14555585,Core+Company Report Available,Nomad Foods Europe Limited,2021,Yes,https://wikirate.org/~14555574,14555585.0,https://www.nomadfoods.com/wp-content/uploads/2022/05/5052022-nomadfoods2021ar.pdf,2.0,Pages 38-45 provide information regarding environmental and social impact. Ed Beesley[https://wikirate.org/Ed_Beesley].....2023-03-17 13:20:10 UTC The company publishes its ESG information in its impact report. Manali Rana[https://wikirate.org/Manali_Rana].....2023-04-24 12:41:40 UTC,VGG6564A1057;VGG6564A1131
https://wikirate.org/~14556208,Core+Company Report Available,Nomad Foods Europe Limited,2022,Yes,https://wikirate.org/~18825742,14556208.0,https://www.nomadfoods.com/wp-content/uploads/2023/05/2022-nomadfoodsreport-1.pdf,1.0,"Sustainability Report for the year 2022 is not found. Manali Rana[https://wikirate.org/Manali_Rana].....2023-04-24 12:39:25 UTC Yes, the company published a report containing ESG information. Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-05-16 06:38:45 UTC",VGG6564A1057;VGG6564A1131
https://wikirate.org/~18044669,Core+Company Report Available,Nomad Foods Europe Limited,2023,No,https://wikirate.org/~14615533,18044669.0,https://www.nomadfoods.com/appetite-for-a-better-world/sustainability-reports/,1.0,"The annual report of 2023 is not available on the official website. desonzhang[https://wikirate.org/desonzhang].....2024-03-15 10:52:48 UTC The annual report of 2023 is not available on the official website, but we can refer to the sustainability report of 2022. desonzhang[https://wikirate.org/desonzhang].....2024-03-15 13:33:01 UTC",VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Company_size+Nomad_Foods_Europe_Limited+2019,Walk Free+Company size,Nomad Foods Europe Limited,2019,Large,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Company_size+Nomad_Foods_Europe_Limited+2020,Walk Free+Company size,Nomad Foods Europe Limited,2020,Large,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Company_size+Nomad_Foods_Europe_Limited+2021,Walk Free+Company size,Nomad Foods Europe Limited,2021,Large,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Walk_Free+Company_size+Nomad_Foods_Europe_Limited+2023,Walk Free+Company size,Nomad Foods Europe Limited,2023,Large,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/GreenDex+Company_size+Nomad_Foods_Europe_Limited+2020,GreenDex+Company size,Nomad Foods Europe Limited,2020,Large,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/GreenDex+Company_size+Nomad_Foods_Europe_Limited+2021,GreenDex+Company size,Nomad Foods Europe Limited,2021,Large,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/GreenDex+Company_size+Nomad_Foods_Europe_Limited+2022,GreenDex+Company size,Nomad Foods Europe Limited,2022,Large,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/GreenDex+Company_size+Nomad_Foods_Europe_Limited+2023,GreenDex+Company size,Nomad Foods Europe Limited,2023,Large,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/World_Benchmarking_Alliance+Core_Social_Indicators+Nomad_Foods_Europe_Limited+2023,World Benchmarking Alliance+Core Social Indicators,Nomad Foods Europe Limited,2023,4.333333333333333,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/Core+Country+Nomad_Foods_Europe_Limited+2019,Core+Country,Nomad Foods Europe Limited,2019,United Kingdom,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/GreenDex+Country+Nomad_Foods_Europe_Limited+2019,GreenDex+Country,Nomad Foods Europe Limited,2019,United Kingdom,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/~18456094,World Benchmarking Alliance+CSI.1.A Commitment to Respect Human Rights,Nomad Foods Europe Limited,2023,Yes,https://wikirate.org/~18088734,18456094.0,,1.0,"The company has a publicly available policy statement committing it to respect human rights, which is approved by the highest governance body.",VGG6564A1057;VGG6564A1131
https://wikirate.org/World_Benchmarking_Alliance+CSI_1_A_Commitment_to_Respect_Human_Rights+World_Benchmarking_Alliance_Research_Group+Nomad_Foods_Europe_Limited+2023,World Benchmarking Alliance+CSI.1.A Commitment to Respect Human Rights+World Benchmarking Alliance Research Group,Nomad Foods Europe Limited,2023,10.0,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/~18466549,World Benchmarking Alliance+CSI.10.A Living Wage Targets,Nomad Foods Europe Limited,2023,No,https://wikirate.org/~18088734,18466549.0,,1.0,"The company discloses that its employees are subject to national minimum wage requirements. However, it does not disclose if that is enough to maintain a decent standard of living for employees and his/her family. Also, no evidence found that the company discloses a time-bound target for paying all workers a living wage or that it has achieved paying all workers a living wage.",VGG6564A1057;VGG6564A1131
https://wikirate.org/~18467164,World Benchmarking Alliance+CSI.10.B Living Wage Determination,Nomad Foods Europe Limited,2023,No,https://wikirate.org/~18088734,18467164.0,,1.0,No evidence found that the company describes how it determines a living wage for the regions where it operates.,VGG6564A1057;VGG6564A1131
https://wikirate.org/~18467779,World Benchmarking Alliance+CSI.10.C Living Wage Business Relationship Support,Nomad Foods Europe Limited,2023,No,https://wikirate.org/~18088734,18467779.0,,1.0,"The company expects its suppliers to provide all locally required workers' benefits including ""the higher of minimum or living wages"" to all workers. However, the company does not disclose if such wage is enough to maintain a decent standard of living for employees of its business relationships and his/her family. Also, it does not disclose how it works to support the payment of a living wage by its business relationships.",VGG6564A1057;VGG6564A1131
https://wikirate.org/World_Benchmarking_Alliance+CSI_10_Living_wage_fundamentals+Nomad_Foods_Europe_Limited+2023,World Benchmarking Alliance+CSI 10 Living wage fundamentals,Nomad Foods Europe Limited,2023,No,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/World_Benchmarking_Alliance+CSI_10_Living_wage_fundamentals+World_Benchmarking_Alliance_Research_Group+Nomad_Foods_Europe_Limited+2023,World Benchmarking Alliance+CSI 10 Living wage fundamentals+World Benchmarking Alliance Research Group,Nomad Foods Europe Limited,2023,0.0,,,,,,VGG6564A1057;VGG6564A1131
https://wikirate.org/~18468394,World Benchmarking Alliance+CSI.11.A Fair Working Hours Commitment,Nomad Foods Europe Limited,2023,No,https://wikirate.org/~18088734,18468394.0,,1.0,No evidence found that the company publicly states that workers shall not be required to work more than 48 hours in a regular work week or 60 hours including overtime.,VGG6564A1057;VGG6564A1131
https://wikirate.org/~18469009,World Benchmarking Alliance+CSI.11.B Commitment to Fair Overtime,Nomad Foods Europe Limited,2023,No,https://wikirate.org/~18088734,18469009.0,,1.0,No evidence found that the company publicly states that all overtime work must be consensual and be paid at a premium rate.,VGG6564A1057;VGG6564A1131
https://wikirate.org/~18469624,World Benchmarking Alliance+CSI.11.C Fair Working Hours Commitment in Business Relationship Employees,Nomad Foods Europe Limited,2023,No,https://wikirate.org/~18088734,18469624.0,,1.0,"The company expects its suppliers to provide all locally required workers’ benefits and written, understandable labour conditions, including the overtime. However, no evidence found that the company has a public expectation that its business relationships shall not require workers to work more than 48 hours in a regular work week or 60 hours including overtime.",VGG6564A1057;VGG6564A1131
