Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~14365766,Net Zero Tracker+Accountability,Wm Morrison Supermarkets,2021,Not Specified,https://wikirate.org/~14316110,14365766.0,,1.0,,US92933J1079
https://wikirate.org/~19608381,Net Zero Tracker+Accountability,Wm Morrison Supermarkets,2023,Not Specified,https://wikirate.org/~16368304,19608381.0,https://zerotracker.net/,2.0,,US92933J1079
https://wikirate.org/~8069288,Commons+Address,Wm Morrison Supermarkets,2021,Hilmore House Gain Lane Bradford West Yorkshire BD3 7DL,https://wikirate.org/~8066337,8069288.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2021.csv,1.0,,US92933J1079
https://wikirate.org/~14163280,Commons+Address,Wm Morrison Supermarkets,2022,Hilmore House Gain Lane Bradford West Yorkshire BD3 7DL,https://wikirate.org/~13403182,14163280.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2022.csv,1.0,,US92933J1079
https://wikirate.org/~14365786,Net Zero Tracker+Annual Revenue,Wm Morrison Supermarkets,2021,22400000000.0,https://wikirate.org/~14316110,14365786.0,,1.0,,US92933J1079
https://wikirate.org/~19608393,Net Zero Tracker+Annual Revenue,Wm Morrison Supermarkets,2023,22400000000.0,https://wikirate.org/~16368304,19608393.0,https://zerotracker.net/,2.0,,US92933J1079
https://wikirate.org/GreenDex+Annual_Revenue+Wm_Morrison_Supermarkets+2020,GreenDex+Annual Revenue,Wm Morrison Supermarkets,2020,22593068036,,,,,,US92933J1079
https://wikirate.org/GreenDex+Annual_Revenue+Wm_Morrison_Supermarkets+2021,GreenDex+Annual Revenue,Wm Morrison Supermarkets,2021,22400000000.0,,,,,,US92933J1079
https://wikirate.org/GreenDex+Annual_Revenue+Wm_Morrison_Supermarkets+2022,GreenDex+Annual Revenue,Wm Morrison Supermarkets,2022,22785450062,,,,,,US92933J1079
https://wikirate.org/GreenDex+Annual_Revenue+Wm_Morrison_Supermarkets+2023,GreenDex+Annual Revenue,Wm Morrison Supermarkets,2023,22400000000.0,,,,,,US92933J1079
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Wm_Morrison_Supermarkets+2017,Walk Free+Australian MSA Registry Submission,Wm Morrison Supermarkets,2017,No,,,,,,US92933J1079
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Wm_Morrison_Supermarkets+2020,Walk Free+Australian MSA Registry Submission,Wm Morrison Supermarkets,2020,No,,,,,,US92933J1079
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Wm_Morrison_Supermarkets+2021,Walk Free+Australian MSA Registry Submission,Wm Morrison Supermarkets,2021,No,,,,,,US92933J1079
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Wm_Morrison_Supermarkets+2022,Walk Free+Australian MSA Registry Submission,Wm Morrison Supermarkets,2022,No,,,,,,US92933J1079
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+Wm_Morrison_Supermarkets+2023,Walk Free+Australian MSA Registry Submission,Wm Morrison Supermarkets,2023,No,,,,,,US92933J1079
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Wm_Morrison_Supermarkets+2017,Walk Free+Australian MSA statement assessed,Wm Morrison Supermarkets,2017,No,,,,,,US92933J1079
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Wm_Morrison_Supermarkets+2020,Walk Free+Australian MSA statement assessed,Wm Morrison Supermarkets,2020,No,,,,,,US92933J1079
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Wm_Morrison_Supermarkets+2021,Walk Free+Australian MSA statement assessed,Wm Morrison Supermarkets,2021,No,,,,,,US92933J1079
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Wm_Morrison_Supermarkets+2022,Walk Free+Australian MSA statement assessed,Wm Morrison Supermarkets,2022,No,,,,,,US92933J1079
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+Wm_Morrison_Supermarkets+2023,Walk Free+Australian MSA statement assessed,Wm Morrison Supermarkets,2023,No,,,,,,US92933J1079
https://wikirate.org/~14365774,Net Zero Tracker+Carbon Credit Conditions,Wm Morrison Supermarkets,2021,No conditions specified,https://wikirate.org/~14316110,14365774.0,,1.0,,US92933J1079
https://wikirate.org/~19608416,Net Zero Tracker+Carbon Credit Conditions,Wm Morrison Supermarkets,2023,No conditions specified,https://wikirate.org/~16368304,19608416.0,https://zerotracker.net/,2.0,,US92933J1079
https://wikirate.org/~14365770,Net Zero Tracker+Carbon Credit Offsets,Wm Morrison Supermarkets,2021,Yes,https://wikirate.org/~14316110,14365770.0,,1.0,,US92933J1079
https://wikirate.org/~19608384,Net Zero Tracker+Carbon Credit Offsets,Wm Morrison Supermarkets,2023,Yes,https://wikirate.org/~16368304,19608384.0,https://zerotracker.net/,2.0,,US92933J1079
