Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~12183236,Poverty Footprint+Access to Healthcare for Work-related Incidents,NESTLE UK LTD.,2020,Unknown,https://wikirate.org/~12182720,12183236.0,https://www.nestle.com/sites/default/files/2021-03/creating-shared-value-appendix-2020.pdf,1.0,,
https://wikirate.org/~17690325,Commons+Address,NESTLE UK LTD.,2022,Nestle Uk Ltd Haxby Road York England YO31 8TA,https://wikirate.org/~16850554,17690325.0,https://downloads.modern-slavery-statement-registry.service.gov.uk/publicdownloads/StatementSummaries2023.csv,1.0,,
https://wikirate.org/GreenDex+Annual_Revenue+NESTLE_UK_LTD+2020,GreenDex+Annual Revenue,NESTLE UK LTD.,2020,91092725400,,,,,,
https://wikirate.org/GreenDex+Annual_Revenue+NESTLE_UK_LTD+2022,GreenDex+Annual Revenue,NESTLE UK LTD.,2022,98873298429.3,,,,,,
https://wikirate.org/GreenDex+Annual_Revenue+NESTLE_UK_LTD+2023,GreenDex+Annual Revenue,NESTLE UK LTD.,2023,3529000000,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+NESTLE_UK_LTD+2019,Walk Free+Australian MSA Registry Submission,NESTLE UK LTD.,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+NESTLE_UK_LTD+2020,Walk Free+Australian MSA Registry Submission,NESTLE UK LTD.,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+NESTLE_UK_LTD+2022,Walk Free+Australian MSA Registry Submission,NESTLE UK LTD.,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+NESTLE_UK_LTD+2023,Walk Free+Australian MSA Registry Submission,NESTLE UK LTD.,2023,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+NESTLE_UK_LTD+2019,Walk Free+Australian MSA statement assessed,NESTLE UK LTD.,2019,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+NESTLE_UK_LTD+2020,Walk Free+Australian MSA statement assessed,NESTLE UK LTD.,2020,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+NESTLE_UK_LTD+2022,Walk Free+Australian MSA statement assessed,NESTLE UK LTD.,2022,No,,,,,,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+NESTLE_UK_LTD+2023,Walk Free+Australian MSA statement assessed,NESTLE UK LTD.,2023,No,,,,,,
https://wikirate.org/~12182299,"Global Reporting Initiative+Average hours of training (female), GRI 404-1 (formerly G4-LA9)",NESTLE UK LTD.,2020,15.6,https://wikirate.org/~11521662,12182299.0,https://www.nestle.com/sites/default/files/2021-03/2020-annual-review-en.pdf,2.0,Sustainability Report Appendix 2020 p.84 Rachel Mathie[https://wikirate.org/Rachel_Mathie].....2022-03-02 17:57:10 UTC,
https://wikirate.org/~12182219,"Global Reporting Initiative+Average hours of training, GRI 404-1 (formerly G4-LA9)",NESTLE UK LTD.,2020,14.3,https://wikirate.org/~12181153,12182219.0,https://www.nestle.co.uk/sites/g/files/pydnoa461/files/filefield_paths/nestle-net-zero-roadmap.pdf,2.0,Sustainability Report Appendix 2020 P.6 Rachel Mathie[https://wikirate.org/Rachel_Mathie].....2022-03-02 17:55:15 UTC,
https://wikirate.org/~12182288,"Global Reporting Initiative+Average hours of training (male), GRI 404-1 (formerly G4-LA9)",NESTLE UK LTD.,2020,13.3,https://wikirate.org/~11521662,12182288.0,https://www.nestle.com/sites/default/files/2021-03/2020-annual-review-en.pdf,2.0,Sustainability Report Appendix 2020 P.84 Rachel Mathie[https://wikirate.org/Rachel_Mathie].....2022-03-02 17:56:31 UTC,
https://wikirate.org/Gershon_M_Bialer+CO2e_Intensity+NESTLE_UK_LTD+2020,Gershon M. Bialer+CO2e Intensity,NESTLE UK LTD.,2020,7.794255763918553e-05,,,,,,
https://wikirate.org/~12185731,Global Reporting Initiative+Collective Bargaining (G4-11),NESTLE UK LTD.,2020,Unknown,https://wikirate.org/~12182720,12185731.0,https://www.nestle.com/sites/default/files/2021-03/creating-shared-value-appendix-2020.pdf,1.0,,
https://wikirate.org/~18076955,Global Reporting Initiative+Collective Bargaining (G4-11),NESTLE UK LTD.,2022,Unknown,https://wikirate.org/~18075521,18076955.0,,1.0,,
https://wikirate.org/~18077326,Global Reporting Initiative+Collective Bargaining (G4-11),NESTLE UK LTD.,2023,52.7,https://wikirate.org/~18075521,18077326.0,,1.0,,
https://wikirate.org/Global_Reporting_Initiative+Collective_bargaining_GRI_102_41+NESTLE_UK_LTD+2020,Global Reporting Initiative+Collective bargaining (GRI 102-41),NESTLE UK LTD.,2020,Unknown,,,,,,
https://wikirate.org/Global_Reporting_Initiative+Collective_bargaining_GRI_102_41+NESTLE_UK_LTD+2022,Global Reporting Initiative+Collective bargaining (GRI 102-41),NESTLE UK LTD.,2022,Unknown,,,,,,
https://wikirate.org/Global_Reporting_Initiative+Collective_bargaining_GRI_102_41+NESTLE_UK_LTD+2023,Global Reporting Initiative+Collective bargaining (GRI 102-41),NESTLE UK LTD.,2023,52.7,,,,,,
https://wikirate.org/Commons+Combined_Scope_1_2_and_3_Greenhouse_Gas_Emissions_GHG+NESTLE_UK_LTD+2020,"Commons+Combined Scope 1, 2 and 3 Greenhouse Gas Emissions (GHG)",NESTLE UK LTD.,2020,7100000,,,,,,
https://wikirate.org/Richard_Mills+Combined_Scope_1_and_2_Greenhouse_Gas_emissions+NESTLE_UK_LTD+2020,Richard Mills+Combined Scope 1 and 2 Greenhouse Gas emissions,NESTLE UK LTD.,2020,5200000,,,,,,
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Environmental_Metrics_Reported+NESTLE_UK_LTD+2020,Wikirate SDG Metric design+Common Environmental Metrics Reported,NESTLE UK LTD.,2020,6,,,,,,
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Social_Metrics_Reported+NESTLE_UK_LTD+2020,Wikirate SDG Metric design+Common Social Metrics Reported,NESTLE UK LTD.,2020,9,,,,,,
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Social_Metrics_Reported+NESTLE_UK_LTD+2022,Wikirate SDG Metric design+Common Social Metrics Reported,NESTLE UK LTD.,2022,0,,,,,,
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Social_Metrics_Reported+NESTLE_UK_LTD+2023,Wikirate SDG Metric design+Common Social Metrics Reported,NESTLE UK LTD.,2023,1,,,,,,
https://wikirate.org/~18076434,Core+Company Report Available,NESTLE UK LTD.,2022,Yes,https://wikirate.org/~15034355,18076434.0,https://www.nestle.com/sites/default/files/2023-03/creating-shared-value-sustainability-report-2022-en.pdf,1.0,"Nestle publishes annual reports, sustainability reports and other documents that include the company's contribution to the environment and social responsibility. All disclosures are available on the company's website. Chuheng[https://wikirate.org/Chuheng].....2024-03-19 16:41:38 UTC Yes, the company published a report containing ESG information. Pooja Yadav[https://wikirate.org/Pooja_Yadav].....2024-05-16 06:31:51 UTC",
https://wikirate.org/~18076353,Core+Company Report Available,NESTLE UK LTD.,2023,Yes,https://wikirate.org/~18075521,18076353.0,,1.0,"Nestle publishes annual reports, sustainability reports and other documents that include the company's contribution to the environment and social responsibility. All disclosures are available on the company's website. Chuheng[https://wikirate.org/Chuheng].....2024-03-19 16:40:43 UTC",
https://wikirate.org/Walk_Free+Company_size+NESTLE_UK_LTD+2019,Walk Free+Company size,NESTLE UK LTD.,2019,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+NESTLE_UK_LTD+2022,Walk Free+Company size,NESTLE UK LTD.,2022,Large,,,,,,
https://wikirate.org/Walk_Free+Company_size+NESTLE_UK_LTD+2023,Walk Free+Company size,NESTLE UK LTD.,2023,Large,,,,,,
https://wikirate.org/GreenDex+Company_size+NESTLE_UK_LTD+2020,GreenDex+Company size,NESTLE UK LTD.,2020,Large,,,,,,
https://wikirate.org/GreenDex+Company_size+NESTLE_UK_LTD+2022,GreenDex+Company size,NESTLE UK LTD.,2022,Large,,,,,,
https://wikirate.org/GreenDex+Company_size+NESTLE_UK_LTD+2023,GreenDex+Company size,NESTLE UK LTD.,2023,Large,,,,,,
https://wikirate.org/Core+Country+NESTLE_UK_LTD+2019,Core+Country,NESTLE UK LTD.,2019,United Kingdom,,,,,,
https://wikirate.org/GreenDex+Country+NESTLE_UK_LTD+2019,GreenDex+Country,NESTLE UK LTD.,2019,United Kingdom,,,,,,
https://wikirate.org/~12185789,"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",NESTLE UK LTD.,2020,3300000,https://wikirate.org/~12182720,12185789.0,https://www.nestle.com/sites/default/files/2021-03/creating-shared-value-appendix-2020.pdf,1.0,Sustainability Report Appendix 2020 P.6 Rachel Mathie[https://wikirate.org/Rachel_Mathie].....2022-03-02 17:33:55 UTC,
https://wikirate.org/Wikirate_Calculated_Metric_Design_Group+Disclosure_rate_on_selected_social_and_environmental_metrics+NESTLE_UK_LTD+2020,Wikirate Calculated Metric Design Group+Disclosure rate on selected social and environmental metrics,NESTLE UK LTD.,2020,13,,,,,,
https://wikirate.org/Wikirate_Calculated_Metric_Design_Group+Disclosure_rate_on_selected_social_and_environmental_metrics+NESTLE_UK_LTD+2022,Wikirate Calculated Metric Design Group+Disclosure rate on selected social and environmental metrics,NESTLE UK LTD.,2022,3,,,,,,
https://wikirate.org/Wikirate_Calculated_Metric_Design_Group+Disclosure_rate_on_selected_social_and_environmental_metrics+NESTLE_UK_LTD+2023,Wikirate Calculated Metric Design Group+Disclosure rate on selected social and environmental metrics,NESTLE UK LTD.,2023,4,,,,,,
https://wikirate.org/Sussex_Research_Group+Diversity_Inclusion_Disclosure+NESTLE_UK_LTD+2020,Sussex Research Group+Diversity Inclusion Disclosure,NESTLE UK LTD.,2020,6,,,,,,
