Answer Page,Metric,Company,Year,Value,Source Page,Answer ID,Original Source,Source Count,Comments,ISIN
https://wikirate.org/~8069777,KnowTheChain+1.1 Commitment,Woolworths Limited,2020,100,https://wikirate.org/~8069649,8069777.0,,2.0,,
https://wikirate.org/KnowTheChain+1_1_Commitment+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+1.1 Commitment+Aileen Rob,Woolworths Limited,2020,10,,,,,,
https://wikirate.org/~8069992,KnowTheChain+1.2 Supplier Code of Conduct,Woolworths Limited,2020,100,https://wikirate.org/~8069649,8069992.0,,2.0,,
https://wikirate.org/KnowTheChain+1_2_Supplier_Code_of_Conduct+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+1.2 Supplier Code of Conduct+Aileen Rob,Woolworths Limited,2020,10,,,,,,
https://wikirate.org/~8070223,KnowTheChain+1.3 Management and Accountability,Woolworths Limited,2020,100,https://wikirate.org/~8069649,8070223.0,,2.0,,
https://wikirate.org/KnowTheChain+1_3_Management_and_Accountability+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+1.3 Management and Accountability+Aileen Rob,Woolworths Limited,2020,10,,,,,,
https://wikirate.org/~8075292,KnowTheChain+1.4 Training,Woolworths Limited,2020,60,https://wikirate.org/~8069649,8075292.0,,2.0,,
https://wikirate.org/KnowTheChain+1_4_Training+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+1.4 Training+Aileen Rob,Woolworths Limited,2020,6,,,,,,
https://wikirate.org/~8070721,KnowTheChain+1.5 Stakeholder Engagement,Woolworths Limited,2020,100,https://wikirate.org/~8069649,8070721.0,,2.0,,
https://wikirate.org/KnowTheChain+1_5_Stakeholder_Engagement+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+1.5 Stakeholder Engagement+Aileen Rob,Woolworths Limited,2020,10,,,,,,
https://wikirate.org/KnowTheChain+1_Commitment_Governance+Woolworths_Limited+2020,KnowTheChain+1. Commitment & Governance,Woolworths Limited,2020,9.2,,,,,,
https://wikirate.org/~8070949,KnowTheChain+2.1 Traceability and Supply Chain Transparency,Woolworths Limited,2020,12.5,https://wikirate.org/~8069649,8070949.0,,2.0,,
https://wikirate.org/KnowTheChain+2_1_Traceability_and_Supply_Chain_Transparency+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+2.1 Traceability and Supply Chain Transparency+Aileen Rob,Woolworths Limited,2020,1.25,,,,,,
https://wikirate.org/~8071166,KnowTheChain+2.2 Risk Assessment,Woolworths Limited,2020,75,https://wikirate.org/~8069649,8071166.0,,2.0,,
https://wikirate.org/KnowTheChain+2_2_Risk_Assessment+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+2.2 Risk Assessment+Aileen Rob,Woolworths Limited,2020,7.5,,,,,,
https://wikirate.org/KnowTheChain+2_Traceability_and_Risk_Assessment+Woolworths_Limited+2020,KnowTheChain+2. Traceability and Risk Assessment,Woolworths Limited,2020,4.375,,,,,,
https://wikirate.org/~8071382,KnowTheChain+3.1 Purchasing Practices,Woolworths Limited,2020,50,https://wikirate.org/~8069649,8071382.0,,2.0,,
https://wikirate.org/KnowTheChain+3_1_Purchasing_Practices+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+3.1 Purchasing Practices+Aileen Rob,Woolworths Limited,2020,5,,,,,,
https://wikirate.org/~8076085,KnowTheChain+3.2 Supplier Selection,Woolworths Limited,2020,100,https://wikirate.org/~8069649,8076085.0,,2.0,,
https://wikirate.org/KnowTheChain+3_2_Supplier_Selection+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+3.2 Supplier Selection+Aileen Rob,Woolworths Limited,2020,10,,,,,,
https://wikirate.org/~8071957,KnowTheChain+3.3 Integration into Supplier Contracts,Woolworths Limited,2020,15,https://wikirate.org/~8069649,8071957.0,,2.0,,
https://wikirate.org/KnowTheChain+3_3_Integration_into_Supplier_Contracts+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+3.3 Integration into Supplier Contracts+Aileen Rob,Woolworths Limited,2020,1.5,,,,,,
https://wikirate.org/KnowTheChain+3_Purchasing_Practices+Woolworths_Limited+2020,KnowTheChain+3. Purchasing Practices,Woolworths Limited,2020,5.5,,,,,,
https://wikirate.org/~8072197,KnowTheChain+4.1 Recruitment Approach,Woolworths Limited,2020,30,https://wikirate.org/~8069649,8072197.0,,2.0,,
https://wikirate.org/KnowTheChain+4_1_Recruitment_Approach+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+4.1 Recruitment Approach+Aileen Rob,Woolworths Limited,2020,3,,,,,,
https://wikirate.org/~8072420,KnowTheChain+4.2 Recruitment Fees,Woolworths Limited,2020,25,https://wikirate.org/~8069649,8072420.0,,2.0,,
https://wikirate.org/KnowTheChain+4_2_Recruitment_Fees+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+4.2 Recruitment Fees+Aileen Rob,Woolworths Limited,2020,2.5,,,,,,
https://wikirate.org/~8072644,KnowTheChain+4.3 Monitoring and Responsible Recruitment,Woolworths Limited,2020,75,https://wikirate.org/~8069649,8072644.0,,2.0,,
https://wikirate.org/KnowTheChain+4_3_Monitoring_and_Responsible_Recruitment+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+4.3 Monitoring and Responsible Recruitment+Aileen Rob,Woolworths Limited,2020,7.5,,,,,,
https://wikirate.org/~8072888,KnowTheChain+4.4 Rights of Workers in Vulnerable Conditions,Woolworths Limited,2020,45,https://wikirate.org/~8069649,8072888.0,,2.0,,
https://wikirate.org/KnowTheChain+4_4_Rights_of_Workers_in_Vulnerable_Conditions+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+4.4 Rights of Workers in Vulnerable Conditions+Aileen Rob,Woolworths Limited,2020,4.5,,,,,,
https://wikirate.org/KnowTheChain+4_Recruitment+Woolworths_Limited+2020,KnowTheChain+4. Recruitment,Woolworths Limited,2020,4.375,,,,,,
https://wikirate.org/~8073140,KnowTheChain+5.1 Worker Engagement,Woolworths Limited,2020,25,https://wikirate.org/~8069649,8073140.0,,2.0,,
https://wikirate.org/KnowTheChain+5_1_Worker_Engagement+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+5.1 Worker Engagement+Aileen Rob,Woolworths Limited,2020,2.5,,,,,,
https://wikirate.org/~8073500,KnowTheChain+5.2 Freedom of Association,Woolworths Limited,2020,25,https://wikirate.org/~8069649,8073500.0,,2.0,,
https://wikirate.org/KnowTheChain+5_2_Freedom_of_Association+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+5.2 Freedom of Association+Aileen Rob,Woolworths Limited,2020,2.5,,,,,,
https://wikirate.org/~8073858,KnowTheChain+5.3 Grievance Mechanism,Woolworths Limited,2020,80,https://wikirate.org/~8069649,8073858.0,,2.0,,
https://wikirate.org/KnowTheChain+5_3_Grievance_Mechanism+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+5.3 Grievance Mechanism+Aileen Rob,Woolworths Limited,2020,8,,,,,,
https://wikirate.org/KnowTheChain+5_Worker_Voice+Woolworths_Limited+2020,KnowTheChain+5. Worker Voice,Woolworths Limited,2020,4.333333333333333,,,,,,
https://wikirate.org/~8074084,KnowTheChain+6.1 Monitoring Process,Woolworths Limited,2020,50,https://wikirate.org/~8069649,8074084.0,,2.0,,
https://wikirate.org/KnowTheChain+6_1_Monitoring_Process+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+6.1 Monitoring Process+Aileen Rob,Woolworths Limited,2020,5,,,,,,
https://wikirate.org/~8074301,KnowTheChain+6.2 Monitoring Disclosure,Woolworths Limited,2020,40,https://wikirate.org/~8069649,8074301.0,,2.0,,
https://wikirate.org/KnowTheChain+6_2_Monitoring_Disclosure+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+6.2 Monitoring Disclosure+Aileen Rob,Woolworths Limited,2020,4,,,,,,
https://wikirate.org/KnowTheChain+6_Monitoring+Woolworths_Limited+2020,KnowTheChain+6. Monitoring,Woolworths Limited,2020,4.5,,,,,,
https://wikirate.org/~8074516,KnowTheChain+7.1 Corrective Action Plans,Woolworths Limited,2020,75,https://wikirate.org/~8069649,8074516.0,,2.0,,
https://wikirate.org/KnowTheChain+7_1_Corrective_Action_Plans+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+7.1 Corrective Action Plans+Aileen Rob,Woolworths Limited,2020,7.5,,,,,,
https://wikirate.org/~8074731,KnowTheChain+7.2 Remedy Programs,Woolworths Limited,2020,13,https://wikirate.org/~8069649,8074731.0,,2.0,,
https://wikirate.org/KnowTheChain+7_2_Remedy_Programs+Aileen_Rob+Woolworths_Limited+2020,KnowTheChain+7.2 Remedy Programs+Aileen Rob,Woolworths Limited,2020,1.3,,,,,,
https://wikirate.org/KnowTheChain+7_Remedy+Woolworths_Limited+2020,KnowTheChain+7. Remedy,Woolworths Limited,2020,4.4,,,,,,
https://wikirate.org/~2748774,Poverty Footprint+Access to Childcare Services,Woolworths Limited,2016,Unknown,https://wikirate.org/~2748727,2748774.0,,1.0,No information could be found on childcare Shariq Matin[https://wikirate.org/Shariq_Matin].....2017-04-19 05:36:09 UTC,
