Answer Page,Metric,Company,Year,Value,Source Page
https://wikirate.org/~9823274,Commons+Address,BOPARAN HOLDINGS LIMITED,2021,Trinity Park House Trinity Business Park Fox Way Wakefield West Yorkshire WF2 8EE,https://wikirate.org/~8066337
https://wikirate.org/~14147280,Commons+Address,BOPARAN HOLDINGS LIMITED,2022,Trinity Park House Trinity Business Park Fox Way Wakefield West Yorkshire WF2 8EE,https://wikirate.org/~13403182
https://wikirate.org/GreenDex+Annual_Revenue+BOPARAN_HOLDINGS_LIMITED+2020,GreenDex+Annual Revenue,BOPARAN HOLDINGS LIMITED,2020,3455712452 ,
https://wikirate.org/GreenDex+Annual_Revenue+BOPARAN_HOLDINGS_LIMITED+2021,GreenDex+Annual Revenue,BOPARAN HOLDINGS LIMITED,2021,3589408528,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+BOPARAN_HOLDINGS_LIMITED+2020,Walk Free+Australian MSA Registry Submission,BOPARAN HOLDINGS LIMITED,2020,No,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+BOPARAN_HOLDINGS_LIMITED+2021,Walk Free+Australian MSA Registry Submission,BOPARAN HOLDINGS LIMITED,2021,No,
https://wikirate.org/Walk_Free+Australian_MSA_Registry_Submission+BOPARAN_HOLDINGS_LIMITED+2022,Walk Free+Australian MSA Registry Submission,BOPARAN HOLDINGS LIMITED,2022,No,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+BOPARAN_HOLDINGS_LIMITED+2020,Walk Free+Australian MSA statement assessed,BOPARAN HOLDINGS LIMITED,2020,No,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+BOPARAN_HOLDINGS_LIMITED+2021,Walk Free+Australian MSA statement assessed,BOPARAN HOLDINGS LIMITED,2021,No,
https://wikirate.org/Walk_Free+Australian_MSA_statement_assessed+BOPARAN_HOLDINGS_LIMITED+2022,Walk Free+Australian MSA statement assessed,BOPARAN HOLDINGS LIMITED,2022,No,
https://wikirate.org/~14556326,Global Reporting Initiative+Collective Bargaining (G4-11),BOPARAN HOLDINGS LIMITED,2020,Unknown,https://wikirate.org/~14555603
https://wikirate.org/~14556323,Global Reporting Initiative+Collective Bargaining (G4-11),BOPARAN HOLDINGS LIMITED,2021,Unknown,https://wikirate.org/~14555603
https://wikirate.org/~14556318,Global Reporting Initiative+Collective Bargaining (G4-11),BOPARAN HOLDINGS LIMITED,2022,Unknown,https://wikirate.org/~14555634
https://wikirate.org/Global_Reporting_Initiative+Collective_bargaining_GRI_102_41+BOPARAN_HOLDINGS_LIMITED+2020,Global Reporting Initiative+Collective bargaining (GRI 102-41),BOPARAN HOLDINGS LIMITED,2020,Unknown,
https://wikirate.org/Global_Reporting_Initiative+Collective_bargaining_GRI_102_41+BOPARAN_HOLDINGS_LIMITED+2021,Global Reporting Initiative+Collective bargaining (GRI 102-41),BOPARAN HOLDINGS LIMITED,2021,Unknown,
https://wikirate.org/Global_Reporting_Initiative+Collective_bargaining_GRI_102_41+BOPARAN_HOLDINGS_LIMITED+2022,Global Reporting Initiative+Collective bargaining (GRI 102-41),BOPARAN HOLDINGS LIMITED,2022,Unknown,
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Social_Metrics_Reported+BOPARAN_HOLDINGS_LIMITED+2020,Wikirate SDG Metric design+Common Social Metrics Reported,BOPARAN HOLDINGS LIMITED,2020,0,
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Social_Metrics_Reported+BOPARAN_HOLDINGS_LIMITED+2021,Wikirate SDG Metric design+Common Social Metrics Reported,BOPARAN HOLDINGS LIMITED,2021,0,
https://wikirate.org/Wikirate_SDG_Metric_design+Common_Social_Metrics_Reported+BOPARAN_HOLDINGS_LIMITED+2022,Wikirate SDG Metric design+Common Social Metrics Reported,BOPARAN HOLDINGS LIMITED,2022,0,
https://wikirate.org/~14555618,Core+Company Report Available,BOPARAN HOLDINGS LIMITED,2020,No,https://wikirate.org/~14555603
https://wikirate.org/~14555630,Core+Company Report Available,BOPARAN HOLDINGS LIMITED,2021,No,https://wikirate.org/~14555603
https://wikirate.org/~14555642,Core+Company Report Available,BOPARAN HOLDINGS LIMITED,2022,No,https://wikirate.org/~14555634
https://wikirate.org/Walk_Free+Company_size+BOPARAN_HOLDINGS_LIMITED+2020,Walk Free+Company size,BOPARAN HOLDINGS LIMITED,2020,Large,
https://wikirate.org/Walk_Free+Company_size+BOPARAN_HOLDINGS_LIMITED+2021,Walk Free+Company size,BOPARAN HOLDINGS LIMITED,2021,Large,
https://wikirate.org/GreenDex+Company_size+BOPARAN_HOLDINGS_LIMITED+2020,GreenDex+Company size,BOPARAN HOLDINGS LIMITED,2020,Large,
https://wikirate.org/GreenDex+Company_size+BOPARAN_HOLDINGS_LIMITED+2021,GreenDex+Company size,BOPARAN HOLDINGS LIMITED,2021,Large,
https://wikirate.org/World_Benchmarking_Alliance+Core_Social_Indicators+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+Core Social Indicators,BOPARAN HOLDINGS LIMITED,2023,2.083333333333333,
https://wikirate.org/Core+Country+BOPARAN_HOLDINGS_LIMITED+2019,Core+Country,BOPARAN HOLDINGS LIMITED,2019,United Kingdom,
https://wikirate.org/GreenDex+Country+BOPARAN_HOLDINGS_LIMITED+2019,GreenDex+Country,BOPARAN HOLDINGS LIMITED,2019,United Kingdom,
https://wikirate.org/~18455784,World Benchmarking Alliance+CSI.1.A Commitment to Respect Human Rights,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
https://wikirate.org/World_Benchmarking_Alliance+CSI_1_A_Commitment_to_Respect_Human_Rights+World_Benchmarking_Alliance_Research_Group+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI.1.A Commitment to Respect Human Rights+World Benchmarking Alliance Research Group,BOPARAN HOLDINGS LIMITED,2023,0.0,
https://wikirate.org/~18466239,World Benchmarking Alliance+CSI.10.A Living Wage Targets,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
https://wikirate.org/~18466854,World Benchmarking Alliance+CSI.10.B Living Wage Determination,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
https://wikirate.org/~18467469,World Benchmarking Alliance+CSI.10.C Living Wage Business Relationship Support,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
https://wikirate.org/World_Benchmarking_Alliance+CSI_10_Living_wage_fundamentals+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI 10 Living wage fundamentals,BOPARAN HOLDINGS LIMITED,2023,No,
https://wikirate.org/World_Benchmarking_Alliance+CSI_10_Living_wage_fundamentals+World_Benchmarking_Alliance_Research_Group+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI 10 Living wage fundamentals+World Benchmarking Alliance Research Group,BOPARAN HOLDINGS LIMITED,2023,0.0,
https://wikirate.org/~18468084,World Benchmarking Alliance+CSI.11.A Fair Working Hours Commitment,BOPARAN HOLDINGS LIMITED,2023,Yes,https://wikirate.org/~18088734
https://wikirate.org/~18468699,World Benchmarking Alliance+CSI.11.B Commitment to Fair Overtime,BOPARAN HOLDINGS LIMITED,2023,Yes,https://wikirate.org/~18088734
https://wikirate.org/~18469314,World Benchmarking Alliance+CSI.11.C Fair Working Hours Commitment in Business Relationship Employees,BOPARAN HOLDINGS LIMITED,2023,Yes,https://wikirate.org/~18088734
https://wikirate.org/World_Benchmarking_Alliance+CSI_11_Working_hours_fundamentals+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI 11 Working hours fundamentals,BOPARAN HOLDINGS LIMITED,2023,Yes,
https://wikirate.org/World_Benchmarking_Alliance+CSI_11_Working_hours_fundamentals+World_Benchmarking_Alliance_Research_Group+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI 11 Working hours fundamentals+World Benchmarking Alliance Research Group,BOPARAN HOLDINGS LIMITED,2023,10.0,
https://wikirate.org/~18469929,World Benchmarking Alliance+CSI.12.A Collective Bargaining,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
https://wikirate.org/World_Benchmarking_Alliance+CSI_12_A_Collective_Bargaining+World_Benchmarking_Alliance_Research_Group+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI.12.A Collective Bargaining+World Benchmarking Alliance Research Group,BOPARAN HOLDINGS LIMITED,2023,0.0,
https://wikirate.org/~18470544,World Benchmarking Alliance+CSI.12.B Collective Bargaining in Business Relationships,BOPARAN HOLDINGS LIMITED,2023,No,https://wikirate.org/~18088734
https://wikirate.org/World_Benchmarking_Alliance+CSI_12_B_Collective_Bargaining_in_Business_Relationships+World_Benchmarking_Alliance_Research_Group+BOPARAN_HOLDINGS_LIMITED+2023,World Benchmarking Alliance+CSI.12.B Collective Bargaining in Business Relationships+World Benchmarking Alliance Research Group,BOPARAN HOLDINGS LIMITED,2023,0.0,
